ax,ay,az,gx,gy,gz,mx,my,mz
-0.427,0.699,-0.008,-27.93,-57.4,-135.8,0.226,-0.571,-0.979
-0.511,0.534,-0.022,-22.89,-64.89,-118.86,0.238,-0.57,-0.968
-0.608,0.389,-0.019,-19.11,-80.08,-109.9,0.241,-0.568,-0.969
-0.68,0.284,0.027,-15.05,-91.84,-102.27,0.256,-0.561,-0.974
-0.743,0.185,0.122,-2.52,-102.2,-96.6,0.263,-0.559,-0.982
-0.822,0.148,0.285,23.45,-107.17,-91.91,0.276,-0.555,-0.985
-0.916,0.121,0.39,64.47,-104.44,-85.05,0.283,-0.554,-0.995
-0.983,0.087,0.416,112.35,-91.63,-72.94,0.29,-0.548,-1.011
-0.999,-0.021,0.384,158.27,-66.01,-53.55,0.305,-0.541,-1.045
-0.901,-0.194,0.401,205.1,-29.82,-19.46,0.301,-0.538,-1.06
-0.706,-0.443,0.251,214.83,4.34,30.94,0.302,-0.53,-1.076
-0.363,-0.405,0.605,104.72,17.29,138.74,0.289,-0.524,-1.1
-0.32,0.457,1.259,-73.36,0.07,189.35,0.281,-0.53,-1.104
-0.583,1.626,1.417,-211.61,-13.86,207.41,0.237,-0.548,-1.077
-0.824,2.338,0.95,-274.61,0.35,203.7,0.216,-0.553,-1.05
-0.566,2.709,0.862,-170.59,41.79,172.27,0.202,-0.559,-1.019
-0.154,2.672,0.848,-97.93,65.8,145.95,0.166,-0.56,-1.014
0.162,2.34,0.972,-36.82,58.8,116.34,0.157,-0.563,-1.005
0.339,1.632,0.906,-3.08,64.05,111.23,0.138,-0.562,-1.009
0.271,1.318,0.818,-19.25,78.47,110.18,0.128,-0.56,-1.015
0.208,1.093,0.713,-43.82,101.57,104.79,0.114,-0.558,-1.002
0.248,0.995,0.544,-62.37,127.19,96.74,0.106,-0.557,-1.0
0.387,0.925,0.28,-56.56,143.15,90.51,0.097,-0.558,-0.997
0.564,0.774,0.082,-28.56,140.77,85.54,0.083,-0.554,-0.994
0.706,0.569,0.012,-5.74,107.94,75.669,0.078,-0.559,-0.999
0.805,0.357,-0.001,0.28,94.85,65.03,0.068,-0.552,-1.0
0.842,0.323,0.028,-8.19,72.24,48.37,0.06,-0.551,-1.003
0.873,0.397,0.03,-22.82,47.6,20.23,0.061,-0.545,-1.001
0.852,0.5,-0.002,-27.58,18.2,-17.36,0.062,-0.543,-0.993
0.758,0.566,-0.044,-5.25,-15.26,-55.72,0.062,-0.551,-0.995
0.599,0.551,-0.04,32.83,-48.72,-91.7,0.078,-0.552,-0.998
0.45,0.528,-0.055,75.95,-83.16,-140.49,0.094,-0.552,-1.005
0.449,0.518,-0.127,83.3,-96.74,-167.23,0.104,-0.553,-1.016
0.795,0.788,-0.054,72.379,-106.54,-183.26,0.134,-0.553,-1.025
0.867,1.79,0.29,40.67,-111.44,-162.47,0.15,-0.555,-1.024
0.183,2.972,0.334,-8.54,-97.51,-127.54,0.167,-0.551,-1.034
-0.064,2.743,0.069,30.94,-88.83,-168.35,0.179,-0.556,-1.033
-0.026,2.475,0.365,72.87,-60.06,-180.11,0.215,-0.555,-1.041
0.007,2.273,0.535,-10.22,-33.46,-183.75,0.228,-0.558,-1.049
-0.03,2.129,0.584,-48.58,-15.68,-166.18,0.246,-0.555,-1.037
-0.184,1.861,0.443,-51.8,-10.99,-156.94,0.271,-0.548,-1.031
-0.178,1.402,0.306,-50.33,-15.05,-153.79,0.293,-0.542,-1.026
-0.109,1.004,0.248,-65.45,-28.56,-145.95,0.303,-0.542,-1.023
-0.177,0.745,0.194,-111.16,-49.7,-142.38,0.322,-0.537,-1.007
-0.311,0.493,0.325,-152.74,-83.02,-139.09,0.336,-0.535,-0.992
-0.389,0.406,0.64,-157.36,-122.99,-121.94,0.355,-0.526,-0.974
-0.428,0.507,0.855,-58.31,-158.62,-100.94,0.364,-0.524,-0.977
-0.583,0.407,0.63,58.03,-157.08,-83.3,0.37,-0.522,-0.989
-0.714,0.174,0.446,163.31,-135.31,-61.32,0.38,-0.513,-1.025
-0.77,-0.138,0.422,229.6,-91.98,-36.96,0.383,-0.509,-1.041
-0.641,-0.431,0.456,230.44,-51.66,-17.78,0.388,-0.495,-1.079
-0.493,-0.527,0.489,168.63,-23.03,-2.8,0.386,-0.488,-1.092
-0.467,-0.43,0.534,21.28,15.05,20.51,0.386,-0.483,-1.094
-0.384,0.041,0.559,-16.52,37.38,40.74,0.386,-0.485,-1.086
-0.165,0.341,0.472,-33.53,58.659,64.679,0.381,-0.49,-1.09
0.097,0.752,0.658,-38.01,77.56,108.29,0.369,-0.505,-1.072
-0.056,1.476,0.773,-70.84,80.36,165.69,0.362,-0.507,-1.059
-0.267,1.901,0.736,-98.07,74.2,182.49,0.348,-0.521,-1.05
-0.134,1.945,0.643,-111.65,81.76,161.28,0.325,-0.537,-1.02
0.191,1.884,0.497,-135.31,88.55,142.31,0.313,-0.545,-1.012
0.566,1.969,0.377,-123.48,95.69,129.99,0.289,-0.55,-0.986
0.956,1.976,0.409,-35.35,68.95,113.82,0.277,-0.557,-0.979
0.952,1.625,0.503,30.59,51.73,71.54,0.272,-0.56,-0.979
0.879,1.161,0.499,57.05,49.56,49.0,0.261,-0.566,-0.979
0.863,0.852,0.406,44.59,57.82,46.48,0.259,-0.563,-0.985
0.888,0.667,0.28,11.41,66.22,41.23,0.248,-0.569,-0.984
0.9,0.516,0.178,-15.75,69.37,31.85,0.247,-0.563,-0.98
0.904,0.422,0.126,-30.94,63.139,23.59,0.245,-0.565,-0.974
0.888,0.378,0.1,-40.81,46.48,10.57,0.245,-0.566,-0.96
0.819,0.334,0.121,-47.53,-2.17,-18.9,0.245,-0.568,-0.958
0.507,0.219,0.374,-39.9,-43.47,-36.75,0.249,-0.566,-0.955
0.257,0.141,0.425,-34.37,-72.17,-54.74,0.256,-0.562,-0.95
0.302,0.107,0.271,-44.66,-81.76,-69.51,0.266,-0.563,-0.958
0.537,0.199,0.109,-51.73,-92.54,-83.65,0.281,-0.565,-0.947
0.661,0.289,0.024,-40.88,-105.56,-97.23,0.286,-0.563,-0.948
0.713,0.53,0.144,-27.65,-114.8,-115.64,0.306,-0.558,-0.941
0.974,1.174,0.156,-17.08,-93.66,-138.321,0.32,-0.557,-0.945
1.003,1.567,0.173,12.74,-73.99,-123.97,0.328,-0.552,-0.947
0.559,1.935,0.137,35.28,-61.67,-92.75,0.343,-0.542,-0.956
0.31,1.989,0.053,23.03,-43.12,-109.27,0.355,-0.538,-0.96
0.126,1.983,0.311,-35.07,-28.56,-120.12,0.374,-0.532,-0.958
0.117,1.994,0.249,-104.44,-15.61,-120.96,0.386,-0.528,-0.948
0.115,1.96,0.242,-137.97,-18.83,-110.04,0.397,-0.524,-0.939
0.047,1.728,0.227,-128.59,-26.67,-90.09,0.412,-0.52,-0.922
0.035,1.271,0.333,-77.84,-56.14,-75.18,0.422,-0.512,-0.915
-0.005,0.745,0.45,-59.64,-82.39,-63.14,0.429,-0.502,-0.921
-0.012,0.581,0.608,-41.51,-108.5,-51.73,0.433,-0.501,-0.923
-0.079,0.527,0.807,-13.09,-122.22,-42.7,0.437,-0.498,-0.93
-0.177,0.542,0.775,30.94,-116.06,-31.22,0.44,-0.496,-0.943
-0.241,0.485,0.594,92.47,-97.3,-17.78,0.445,-0.493,-0.955
-0.267,0.244,0.493,181.58,-57.05,11.2,0.444,-0.487,-0.99
-0.317,0.025,0.487,187.95,-24.5,30.59,0.442,-0.487,-1.008
-0.406,-0.064,0.486,142.24,4.76,34.79,0.437,-0.483,-1.021
-0.45,-0.012,0.429,69.649,28.98,35.56,0.432,-0.484,-1.034
-0.515,0.105,0.343,8.26,50.54,38.22,0.43,-0.486,-1.031
-0.56,0.218,0.308,-23.52,72.169,41.58,0.428,-0.491,-1.025
-0.496,0.345,0.273,-38.36,88.899,49.35,0.423,-0.491,-1.015
-0.468,0.668,0.32,-43.82,107.45,92.47,0.42,-0.496,-0.973
-0.357,1.02,0.537,-48.79,105.56,140.98,0.407,-0.508,-0.983
-0.212,1.368,0.804,-60.97,97.23,177.8,0.395,-0.511,-0.972
-0.226,1.748,0.781,-94.92,103.46,196.21,0.362,-0.528,-0.945
-0.12,2.133,0.578,-127.05,119.07,196.91,0.348,-0.532,-0.931
0.049,2.656,0.562,-102.69,135.87,185.85,0.311,-0.543,-0.908
0.231,2.578,0.5,-12.74,155.12,159.39,0.292,-0.543,-0.9
0.366,2.022,0.421,36.33,159.25,134.12,0.282,-0.546,-0.903
0.438,1.538,0.273,53.2,162.19,122.15,0.256,-0.556,-0.905
0.507,1.151,0.138,56.07,165.97,117.46,0.243,-0.557,-0.917
0.566,0.949,0.063,49.909,164.99,118.37,0.22,-0.556,-0.908
0.587,0.838,0.012,39.41,161.21,118.16,0.206,-0.558,-0.916
0.593,0.664,-0.146,25.97,151.2,110.74,0.184,-0.555,-0.922
0.603,0.535,-0.251,15.47,137.48,105.0,0.177,-0.555,-0.921
0.646,0.466,-0.295,3.01,118.3,98.07,0.167,-0.555,-0.919
0.721,0.501,-0.304,-15.26,95.48,84.629,0.147,-0.553,-0.918
