ax,ay,az,gx,gy,gz,mx,my,mz
-0.104,0.576,0.812,0.49,-3.15,-0.14,0.184,-0.434,-1.212
-0.107,0.573,0.816,0.98,-3.08,-0.63,0.178,-0.435,-1.212
-0.112,0.569,0.816,0.98,-3.15,-1.12,0.182,-0.431,-1.211
-0.114,0.566,0.818,0.42,-2.73,-1.47,0.184,-0.43,-1.217
-0.11,0.566,0.814,-0.07,-2.59,-1.4,0.181,-0.436,-1.213
-0.104,0.571,0.81,-0.14,-2.24,-1.75,0.185,-0.433,-1.216
-0.102,0.568,0.81,0.49,-2.59,-1.75,0.182,-0.436,-1.218
-0.1,0.558,0.811,1.12,-3.01,-2.24,0.182,-0.436,-1.214
-0.103,0.555,0.811,0.35,-2.94,-1.68,0.184,-0.433,-1.216
-0.104,0.56,0.813,-0.21,-2.66,-1.26,0.181,-0.432,-1.215
-0.102,0.562,0.815,-0.14,-2.73,-1.19,0.179,-0.433,-1.213
-0.105,0.564,0.818,0.14,-2.66,-0.91,0.178,-0.435,-1.216
-0.099,0.564,0.815,0.14,-2.38,-1.05,0.181,-0.434,-1.213
-0.096,0.564,0.814,0.14,-2.52,-1.33,0.184,-0.431,-1.22
-0.099,0.566,0.816,0.07,-2.45,-1.54,0.182,-0.431,-1.22
-0.101,0.568,0.814,0.07,-2.24,-1.54,0.183,-0.431,-1.219
-0.103,0.564,0.813,0.14,-2.52,-1.61,0.184,-0.435,-1.214
-0.104,0.561,0.813,0.07,-2.17,-1.12,0.185,-0.435,-1.221
-0.1,0.562,0.812,-0.21,-1.75,-0.7,0.186,-0.432,-1.216
-0.099,0.562,0.808,-0.14,-2.24,-0.21,0.183,-0.429,-1.22
-0.102,0.563,0.808,0.28,-2.24,0.28,0.184,-0.432,-1.214
-0.099,0.566,0.808,0.42,-2.17,0.42,0.189,-0.428,-1.208
-0.098,0.57,0.81,0.98,-2.1,0.14,0.18,-0.431,-1.213
-0.099,0.563,0.815,1.54,-2.52,0.35,0.182,-0.438,-1.21
-0.1,0.56,0.816,1.26,-2.52,0.21,0.19,-0.434,-1.215
-0.094,0.56,0.811,0.28,-2.17,0.35,0.18,-0.434,-1.211
-0.093,0.559,0.809,0.42,-2.1,0.56,0.182,-0.434,-1.216
-0.092,0.561,0.806,0.35,-2.38,0.42,0.182,-0.432,-1.216
-0.09,0.562,0.804,0.56,-2.66,0.42,0.183,-0.432,-1.214
-0.093,0.563,0.805,0.63,-3.15,0.21,0.188,-0.432,-1.219
-0.094,0.565,0.806,0.63,-3.36,0.28,0.18,-0.428,-1.219
-0.097,0.569,0.806,0.56,-3.71,0.07,0.179,-0.432,-1.215
-0.101,0.569,0.814,1.68,-3.99,-0.42,0.184,-0.433,-1.213
-0.107,0.558,0.823,1.68,-3.92,-0.56,0.184,-0.433,-1.213
-0.107,0.559,0.822,0.7,-3.57,-0.63,0.179,-0.433,-1.213
-0.103,0.554,0.82,0.42,-3.15,-0.77,0.184,-0.43,-1.214
-0.101,0.549,0.822,0.28,-3.01,-0.56,0.183,-0.431,-1.214
-0.102,0.555,0.818,-0.56,-2.8,-0.14,0.181,-0.429,-1.214
-0.098,0.561,0.811,-0.7,-2.73,0.28,0.183,-0.434,-1.217
-0.099,0.561,0.814,0.28,-2.8,0.28,0.183,-0.433,-1.22
-0.105,0.563,0.817,0.07,-3.01,-0.14,0.179,-0.432,-1.214
-0.102,0.566,0.817,-0.07,-2.66,-0.28,0.179,-0.434,-1.215
-0.096,0.564,0.812,-0.07,-3.01,-0.63,0.18,-0.433,-1.215
-0.095,0.567,0.809,0.0,-3.08,-1.12,0.181,-0.428,-1.22
-0.096,0.566,0.806,0.14,-3.29,-1.68,0.18,-0.43,-1.216
-0.101,0.563,0.805,0.35,-3.71,-1.61,0.179,-0.429,-1.223
-0.104,0.561,0.804,0.21,-3.99,-1.47,0.182,-0.428,-1.216
-0.102,0.562,0.804,0.07,-3.99,-1.12,0.184,-0.43,-1.218
-0.102,0.564,0.809,0.42,-4.48,-0.98,0.183,-0.433,-1.218
-0.102,0.555,0.819,1.4,-4.9,-0.84,0.185,-0.427,-1.218
-0.105,0.549,0.823,1.12,-4.83,-0.42,0.184,-0.429,-1.215
-0.104,0.55,0.825,0.35,-3.99,-0.28,0.181,-0.43,-1.214
-0.103,0.555,0.821,0.14,-3.78,-0.42,0.181,-0.427,-1.216
-0.102,0.554,0.825,-0.21,-3.64,-0.14,0.18,-0.427,-1.219
-0.103,0.553,0.823,-0.56,-3.22,0.0,0.177,-0.43,-1.218
-0.102,0.555,0.82,-0.91,-2.87,-0.21,0.182,-0.43,-1.222
-0.102,0.562,0.815,-1.75,-2.73,-0.07,0.182,-0.432,-1.22
-0.104,0.564,0.813,-1.89,-2.8,-0.28,0.178,-0.427,-1.215
-0.105,0.565,0.811,-1.75,-2.8,-0.28,0.177,-0.432,-1.22
-0.104,0.566,0.809,-1.75,-2.94,-0.42,0.181,-0.431,-1.213
-0.103,0.566,0.807,-1.75,-3.01,-0.42,0.178,-0.433,-1.212
-0.104,0.564,0.809,-1.54,-3.29,-0.49,0.174,-0.434,-1.213
-0.105,0.566,0.808,-1.4,-3.43,-0.49,0.179,-0.433,-1.215
