ax,ay,az,gx,gy,gz,mx,my,mz
-0.943,0.317,0.282,12.04,-16.94,3.15,-0.154,-0.405,-0.982
-0.957,0.313,0.322,6.02,-11.34,3.85,-0.154,-0.405,-0.979
-0.948,0.354,0.303,-6.09,-3.01,1.61,-0.151,-0.407,-0.976
-0.908,0.371,0.263,-8.4,-1.47,1.19,-0.152,-0.406,-0.973
-0.903,0.389,0.23,-6.72,-3.85,3.36,-0.153,-0.402,-0.975
-0.913,0.381,0.204,-2.52,-6.3,5.04,-0.15,-0.402,-0.971
-0.922,0.367,0.184,1.89,-6.58,7.91,-0.15,-0.399,-0.969
-0.916,0.357,0.163,4.27,-5.39,9.03,-0.153,-0.4,-0.973
-0.909,0.349,0.155,5.6,-4.41,9.31,-0.158,-0.402,-0.977
-0.907,0.35,0.158,5.39,-3.78,9.8,-0.154,-0.397,-0.974
-0.901,0.341,0.159,3.78,-3.5,9.73,-0.154,-0.4,-0.973
-0.888,0.338,0.145,-2.31,-3.78,9.03,-0.154,-0.399,-0.971
-0.872,0.346,0.133,-5.88,-4.76,7.84,-0.16,-0.393,-0.969
-0.857,0.353,0.122,-7.0,-5.67,7.28,-0.158,-0.393,-0.969
-0.841,0.353,0.109,-6.86,-6.93,7.21,-0.158,-0.392,-0.971
-0.821,0.348,0.101,-5.67,-8.68,7.63,-0.157,-0.392,-0.966
-0.799,0.344,0.095,-5.11,-10.29,7.49,-0.161,-0.392,-0.969
-0.772,0.338,0.087,-5.32,-12.53,6.23,-0.16,-0.39,-0.966
-0.727,0.326,0.076,-5.81,-14.28,4.83,-0.162,-0.393,-0.961
-0.694,0.318,0.062,-7.0,-16.1,2.45,-0.165,-0.392,-0.962
-0.663,0.308,0.051,-8.4,-18.27,-0.98,-0.167,-0.39,-0.955
-0.625,0.307,0.042,-10.57,-19.67,-4.48,-0.166,-0.391,-0.957
-0.581,0.305,0.03,-12.25,-19.25,-8.89,-0.156,-0.392,-0.953
-0.533,0.3,0.019,-12.88,-19.39,-14.77,-0.156,-0.392,-0.954
-0.489,0.306,0.004,-11.41,-19.46,-24.22,-0.161,-0.395,-0.949
-0.457,0.315,-0.021,-3.08,-20.23,-31.64,-0.161,-0.393,-0.948
-0.458,0.339,-0.055,9.24,-23.24,-38.5,-0.154,-0.396,-0.946
-0.498,0.34,-0.041,25.34,-27.37,-44.59,-0.147,-0.399,-0.942
-0.556,0.322,0.025,45.71,-25.9,-50.12,-0.143,-0.403,-0.945
-0.64,0.275,0.01,66.85,-18.13,-55.44,-0.136,-0.411,-0.943
-0.753,0.214,0.067,82.6,-7.21,-55.51,-0.134,-0.419,-0.951
-0.876,0.102,0.192,81.83,9.87,-50.4,-0.133,-0.42,-0.959
-0.973,-0.05,0.361,69.51,37.24,-42.63,-0.123,-0.424,-0.969
-0.995,-0.198,0.247,0.07,89.81,-20.09,-0.123,-0.427,-0.976
-0.978,-0.04,0.089,-77.28,128.24,-5.46,-0.12,-0.422,-0.98
-1.078,0.41,0.193,-143.36,155.61,-2.94,-0.122,-0.423,-0.976
-1.241,0.953,0.213,-166.25,162.61,-9.52,-0.129,-0.427,-0.981
-1.274,1.001,0.328,-124.88,156.52,-14.77,-0.121,-0.427,-0.982
-1.038,1.131,0.234,-67.27,148.82,-18.27,-0.122,-0.43,-0.99
-0.918,0.91,0.031,-31.29,107.94,-59.43,-0.119,-0.43,-0.993
-1.052,0.972,0.379,-17.08,55.86,-66.22,-0.106,-0.438,-1.0
-1.407,1.0,0.822,-57.12,59.08,-107.87,-0.099,-0.442,-0.996
-1.501,1.705,1.222,-89.25,140.49,-97.93,-0.088,-0.458,-1.005
-0.408,1.173,0.53,3.08,84.139,-172.48,-0.073,-0.465,-1.002
-0.334,0.453,0.166,90.51,51.31,-172.2,-0.054,-0.476,-1.012
-0.736,0.492,0.302,113.61,20.16,-109.83,-0.03,-0.484,-1.035
-1.084,0.524,0.513,72.1,29.19,-111.93,-0.025,-0.486,-1.044
-1.015,0.582,0.505,10.92,44.03,-124.11,-0.007,-0.498,-1.049
-0.826,0.816,0.358,4.97,55.23,-118.93,0.006,-0.497,-1.047
-0.787,0.86,0.274,72.31,64.12,-106.89,0.016,-0.505,-1.056
-0.882,0.88,0.395,91.84,74.2,-95.97,0.04,-0.506,-1.075
