ax,ay,az,gx,gy,gz,mx,my,mz
-0.247,0.574,0.856,13.02,-0.84,-4.62,0.062,-0.426,-1.19
-0.265,0.555,0.876,2.31,2.31,-5.81,0.064,-0.427,-1.19
-0.231,0.527,0.871,-13.58,7.07,-11.69,0.066,-0.425,-1.187
-0.203,0.542,0.84,-25.06,11.2,-17.29,0.071,-0.43,-1.189
-0.204,0.577,0.863,-27.79,12.04,-19.74,0.077,-0.422,-1.186
-0.211,0.623,0.984,-28.35,11.97,-19.88,0.078,-0.43,-1.181
-0.214,0.667,1.004,-32.76,18.55,-26.74,0.083,-0.434,-1.176
-0.172,0.655,0.913,-29.12,24.36,-42.28,0.089,-0.438,-1.176
-0.11,0.409,0.888,-31.85,24.08,-56.77,0.102,-0.447,-1.163
0.158,0.678,0.675,-19.6,30.59,-20.51,0.102,-0.45,-1.167
0.084,0.595,0.772,17.85,1.82,-22.4,0.118,-0.451,-1.177
0.075,0.425,0.803,33.46,-5.18,-18.55,0.117,-0.45,-1.174
0.137,0.387,0.831,28.7,-9.03,-13.44,0.119,-0.452,-1.178
0.187,0.365,0.836,18.13,-14.63,-19.6,0.126,-0.451,-1.182
0.178,0.345,0.846,11.06,-18.62,-18.13,0.126,-0.454,-1.179
0.152,0.32,0.822,2.66,-21.49,-8.61,0.134,-0.454,-1.183
0.128,0.256,0.83,2.59,-23.03,3.01,0.138,-0.457,-1.185
0.116,0.158,0.781,-4.83,-23.59,10.57,0.137,-0.458,-1.188
0.106,0.198,0.684,-25.34,-22.54,19.32,0.135,-0.464,-1.188
0.065,0.409,0.621,-52.85,-22.82,23.31,0.134,-0.472,-1.184
-0.011,0.545,0.564,-63.28,-31.08,20.72,0.13,-0.474,-1.171
-0.051,0.534,0.563,-51.24,-38.57,32.06,0.13,-0.481,-1.165
-0.145,0.69,0.574,-32.41,-46.34,43.96,0.123,-0.486,-1.169
-0.271,0.702,0.381,-13.09,-59.22,41.65,0.118,-0.487,-1.167
-0.394,0.601,0.325,-5.81,-88.13,44.66,0.112,-0.486,-1.164
-0.539,0.662,0.277,-12.74,-112.42,48.58,0.102,-0.486,-1.16
-0.633,0.645,0.377,-46.69,-130.41,35.84,0.09,-0.492,-1.156
-0.71,0.408,0.71,-171.92,-138.11,12.88,0.076,-0.502,-1.122
-1.086,1.252,1.346,-276.22,-83.16,12.95,0.071,-0.511,-1.104
-0.672,1.498,0.482,-216.44,-5.95,-24.36,0.071,-0.515,-1.082
-0.119,0.933,0.258,-74.34,-26.46,-0.84,0.074,-0.527,-1.061
-0.051,0.893,0.219,14.63,-56.91,66.57,0.066,-0.525,-1.06
-0.313,0.742,0.412,22.54,-76.51,66.29,0.057,-0.52,-1.06
-0.524,0.548,0.421,-34.44,-32.27,64.12,0.051,-0.516,-1.055
-0.474,0.809,0.401,-145.321,-15.54,78.82,0.043,-0.522,-1.043
-0.403,1.281,0.359,-157.08,-13.16,77.629,0.033,-0.52,-1.02
-0.771,1.391,0.328,-97.72,-13.23,89.669,0.026,-0.521,-1.008
-1.198,1.347,0.164,-15.54,-9.03,119.84,0.001,-0.515,-1.002
-1.293,1.006,0.168,59.29,-21.28,153.37,-0.012,-0.505,-1.01
-1.231,0.745,0.263,87.36,-33.18,176.12,-0.024,-0.497,-1.014
-1.311,0.534,0.339,72.03,-46.62,179.83,-0.049,-0.479,-1.02
-1.461,0.331,0.341,20.51,-66.43,209.72,-0.066,-0.467,-1.023
-1.459,0.358,0.284,-42.14,-90.37,213.01,-0.099,-0.445,-1.014
-1.773,0.563,0.372,-102.55,-112.28,200.9,-0.114,-0.433,-0.998
-2.006,0.848,0.177,-125.65,-93.52,179.9,-0.131,-0.421,-0.982
-1.974,0.99,0.247,-113.89,-95.62,172.13,-0.153,-0.399,-0.954
-1.801,0.947,0.265,-73.01,-67.83,168.0,-0.166,-0.379,-0.949
-1.606,0.862,0.371,-70.35,-49.7,127.82,-0.173,-0.356,-0.931
-1.18,0.76,0.378,-50.68,-60.27,106.4,-0.18,-0.354,-0.924
-1.006,0.757,0.285,-2.94,-62.79,80.99,-0.19,-0.336,-0.915
-0.793,0.512,0.24,48.3,-78.54,52.36,-0.193,-0.338,-0.911
-0.675,0.418,0.195,102.62,-83.72,34.09,-0.192,-0.334,-0.908
-0.6,0.39,0.257,138.46,-74.55,-3.71,-0.187,-0.338,-0.91
-0.583,0.47,0.335,156.1,-57.68,-45.36,-0.185,-0.342,-0.911
-0.521,0.373,0.249,180.95,-33.18,-59.01,-0.18,-0.357,-0.924
-0.464,0.414,0.168,189.07,-13.02,-61.81,-0.184,-0.365,-0.933
-0.413,0.254,0.18,188.51,-2.1,-88.06,-0.177,-0.379,-0.958
-0.403,0.11,0.21,165.83,4.27,-97.51,-0.163,-0.392,-0.963
-0.411,0.062,0.249,131.74,14.56,-96.11,-0.156,-0.403,-0.979
-0.407,0.03,0.268,94.36,31.71,-97.58,-0.14,-0.416,-0.998
-0.378,0.015,0.261,60.409,49.77,-97.44,-0.134,-0.423,-1.008
-0.315,0.02,0.213,22.96,68.879,-92.19,-0.13,-0.43,-1.009
-0.287,0.019,0.182,8.05,74.06,-84.7,-0.106,-0.443,-1.017
-0.287,0.005,0.164,-2.59,75.179,-72.38,-0.107,-0.448,-1.027
-0.327,-0.006,0.162,-12.32,74.899,-56.14,-0.099,-0.453,-1.031
-0.398,-0.021,0.163,-23.94,74.899,-34.58,-0.094,-0.458,-1.038
-0.498,-0.022,0.153,-41.37,74.409,-8.61,-0.09,-0.459,-1.034
-0.576,0.004,0.108,-65.94,73.29,15.12,-0.092,-0.463,-1.027
-0.716,-0.001,0.071,-104.3,69.58,29.33,-0.088,-0.458,-1.033
-0.858,0.061,0.002,-142.38,76.37,74.55,-0.091,-0.45,-1.017
-1.077,0.271,-0.043,-202.3,94.429,86.8,-0.102,-0.454,-1.003
-1.123,0.369,-0.159,-239.26,126.42,80.57,-0.108,-0.451,-1.0
-1.025,0.469,-0.223,-264.53,135.73,73.08,-0.121,-0.446,-0.975
-0.946,0.625,-0.186,-267.54,122.99,70.21,-0.126,-0.439,-0.965
-0.911,0.801,-0.055,-242.41,88.2,66.78,-0.125,-0.43,-0.961
-0.986,0.988,0.237,-175.35,37.45,63.21,-0.141,-0.418,-0.942
-1.039,1.062,0.386,-70.21,-4.34,55.37,-0.14,-0.413,-0.933
