ax,ay,az,gx,gy,gz,mx,my,mz
-0.008,0.093,0.958,0.84,-4.69,3.15,0.259,-0.302,-1.335
-0.024,0.104,0.981,0.7,-4.06,5.18,0.26,-0.301,-1.343
-0.029,0.103,0.997,-1.75,-2.59,5.53,0.257,-0.301,-1.342
-0.013,0.091,1.011,-4.69,-0.49,4.55,0.257,-0.307,-1.335
0.013,0.06,1.011,-7.7,0.14,3.5,0.259,-0.304,-1.333
0.081,0.026,1.033,-10.92,0.42,1.75,0.262,-0.307,-1.335
0.128,0.018,1.021,-9.94,0.07,-2.17,0.255,-0.309,-1.333
0.15,0.005,1.008,-4.06,-3.43,-4.48,0.256,-0.308,-1.328
0.141,-0.008,1.005,4.9,-7.84,-4.13,0.26,-0.307,-1.331
0.107,-0.015,1.005,12.53,-11.76,-2.66,0.262,-0.306,-1.33
0.063,-0.011,0.992,15.4,-11.34,-0.35,0.259,-0.302,-1.334
0.044,0.004,0.984,10.85,-10.01,1.61,0.255,-0.3,-1.337
0.017,0.046,0.975,4.13,-8.54,3.64,0.253,-0.305,-1.338
-0.007,0.102,0.974,-0.84,-6.37,4.55,0.254,-0.305,-1.341
-0.009,0.14,0.985,-2.73,-4.62,3.92,0.255,-0.305,-1.341
-0.002,0.148,0.982,-2.66,-3.29,2.59,0.25,-0.303,-1.344
0.005,0.116,0.997,-4.55,-5.32,-1.61,0.254,-0.304,-1.342
0.013,-0.139,1.199,-34.86,-13.51,-4.55,0.253,-0.308,-1.341
0.01,-0.339,1.379,-88.83,-18.2,-5.04,0.254,-0.315,-1.335
-0.039,-0.355,1.527,-169.33,-10.92,-8.33,0.253,-0.328,-1.326
-0.122,0.049,1.413,-223.16,21.42,-18.06,0.25,-0.365,-1.307
-0.144,0.453,1.175,-230.37,73.99,-71.19,0.261,-0.378,-1.287
0.05,0.534,0.911,-171.08,106.75,-85.89,0.272,-0.425,-1.269
0.38,0.501,0.674,-65.73,92.96,-29.54,0.292,-0.4,-1.271
0.465,0.416,0.739,26.32,39.2,14.63,0.291,-0.401,-1.264
0.264,0.287,0.819,60.2,2.17,8.33,0.297,-0.396,-1.275
0.021,0.328,0.891,36.47,8.47,-3.15,0.299,-0.394,-1.271
0.036,0.445,0.827,21.91,27.37,-11.34,0.3,-0.39,-1.276
0.165,0.452,0.711,32.97,30.8,-17.64,0.308,-0.387,-1.273
0.263,0.339,0.625,57.47,14.42,-17.22,0.312,-0.38,-1.282
0.239,0.228,0.677,74.69,-3.71,-11.41,0.312,-0.369,-1.285
0.147,0.158,0.77,68.74,-13.51,-6.58,0.31,-0.364,-1.29
0.1,0.116,0.869,38.64,-7.77,-5.74,0.312,-0.361,-1.286
0.157,0.116,0.883,16.31,-0.98,-8.68,0.31,-0.361,-1.287
0.207,0.133,0.844,3.08,-0.91,-9.52,0.309,-0.354,-1.292
0.213,0.164,0.823,2.24,-5.25,-6.44,0.312,-0.352,-1.297
0.194,0.154,0.843,7.0,-10.92,-4.06,0.31,-0.351,-1.299
0.185,0.115,0.909,9.17,-13.93,0.21,0.311,-0.351,-1.301
0.174,0.116,0.951,2.8,-12.53,3.5,0.311,-0.358,-1.298
0.158,0.172,0.962,-8.12,-8.68,1.82,0.31,-0.357,-1.301
0.186,0.234,0.945,-6.02,-7.49,0.42,0.306,-0.356,-1.296
0.173,0.245,0.95,0.91,-8.54,0.14,0.308,-0.352,-1.299
