ax,ay,az,gx,gy,gz,mx,my,mz
-1.322,0.68,0.113,114.52,-7.21,-10.43,-0.213,-0.269,-0.882
-1.34,0.616,0.097,113.89,-5.6,-24.57,-0.21,-0.275,-0.896
-1.348,0.543,0.046,108.43,0.56,-38.78,-0.209,-0.279,-0.898
-1.348,0.492,0.09,101.36,0.07,-51.8,-0.207,-0.284,-0.904
-1.211,0.477,0.18,90.02,5.88,-71.33,-0.207,-0.303,-0.909
-0.937,0.442,0.085,76.09,21.98,-87.57,-0.201,-0.309,-0.916
-0.775,0.378,-0.084,70.139,-0.84,-94.64,-0.194,-0.326,-0.928
-0.875,0.359,-0.035,79.45,-35.0,-85.05,-0.189,-0.332,-0.923
-1.321,0.483,0.107,99.4,-37.66,-64.89,-0.188,-0.338,-0.925
-1.38,0.621,0.167,123.76,-17.57,-44.38,-0.185,-0.347,-0.933
-1.204,0.754,0.164,147.98,-12.81,-26.74,-0.178,-0.349,-0.942
-1.07,0.814,0.086,172.48,-18.69,-13.58,-0.18,-0.353,-0.948
-1.038,0.767,0.005,199.99,-23.59,-5.6,-0.169,-0.357,-0.965
-1.016,0.677,-0.05,240.03,-16.31,-6.51,-0.172,-0.357,-0.977
-0.939,0.259,-0.069,239.12,18.76,-34.23,-0.168,-0.359,-1.037
-1.006,0.175,-0.052,206.01,28.7,-40.39,-0.158,-0.355,-1.065
-1.057,0.129,-0.038,160.23,46.9,-45.43,-0.153,-0.356,-1.077
-1.061,0.129,-0.037,109.41,70.21,-50.82,-0.151,-0.357,-1.083
-1.052,0.147,-0.068,60.83,87.57,-54.88,-0.139,-0.36,-1.107
-1.08,0.177,-0.081,-3.29,99.68,-58.66,-0.131,-0.367,-1.111
-1.148,0.243,-0.111,-43.33,108.57,-66.29,-0.118,-0.374,-1.116
-1.117,0.271,-0.146,-80.43,115.99,-78.4,-0.104,-0.382,-1.125
-1.031,0.285,-0.194,-112.07,115.08,-90.65,-0.098,-0.389,-1.122
-0.99,0.29,-0.228,-135.8,104.02,-99.47,-0.073,-0.414,-1.117
-1.021,0.305,-0.225,-150.08,85.26,-102.9,-0.065,-0.419,-1.107
-1.023,0.325,-0.216,-157.92,67.55,-103.18,-0.049,-0.442,-1.094
-0.966,0.332,-0.235,-158.62,40.88,-98.14,-0.04,-0.451,-1.084
-0.979,0.339,-0.231,-149.45,20.3,-83.23,-0.024,-0.457,-1.072
-1.002,0.373,-0.189,-133.14,-0.63,-62.23,-0.015,-0.469,-1.048
-0.891,0.407,-0.114,-108.78,-20.51,-42.49,-0.01,-0.474,-1.037
-0.804,0.426,-0.04,-75.11,-42.63,-20.44,-0.006,-0.478,-1.024
-0.76,0.458,0.045,-35.63,-64.26,5.32,-0.005,-0.474,-1.023
-0.67,0.502,0.228,9.1,-85.96,27.37,-0.008,-0.474,-1.018
-0.551,0.549,0.366,59.01,-103.6,40.6,-0.017,-0.472,-1.019
-0.467,0.539,0.354,131.6,-122.01,52.08,-0.025,-0.466,-1.029
-0.489,0.453,0.364,172.97,-140.28,61.11,-0.037,-0.456,-1.04
-0.612,0.418,0.452,205.45,-162.4,70.7,-0.04,-0.445,-1.051
-0.793,0.37,0.494,224.49,-177.59,73.85,-0.049,-0.44,-1.06
-1.011,0.249,0.516,229.18,-186.13,72.1,-0.064,-0.424,-1.07
-1.222,0.174,0.488,213.71,-173.11,70.07,-0.071,-0.415,-1.076
-1.293,0.067,0.516,177.52,-143.5,53.2,-0.082,-0.407,-1.079
-1.229,-0.001,0.5,128.31,-91.14,33.53,-0.091,-0.394,-1.086
-1.08,0.004,0.436,68.53,-38.85,13.93,-0.09,-0.393,-1.092
-0.88,0.01,0.389,45.99,-35.49,5.95,-0.089,-0.386,-1.094
-0.844,-0.021,0.453,28.14,-41.44,-1.4,-0.095,-0.379,-1.091
-0.869,-0.087,0.475,6.79,-45.85,-6.09,-0.092,-0.382,-1.087
-0.873,-0.062,0.536,-42.84,-38.92,-10.43,-0.091,-0.386,-1.081
-0.844,0.107,0.515,-110.74,-23.45,-25.83,-0.092,-0.387,-1.075
-0.8,0.354,0.4,-155.68,-9.8,-40.46,-0.089,-0.392,-1.065
-0.775,0.599,0.389,-146.37,-1.61,-38.08,-0.084,-0.404,-1.053
-0.762,0.741,0.375,-84.42,3.99,-14.56,-0.082,-0.404,-1.054
-0.726,0.749,0.339,35.07,-5.67,19.25,-0.081,-0.4,-1.048
-0.696,0.518,0.314,86.169,-15.19,30.73,-0.081,-0.397,-1.055
-0.71,0.382,0.322,102.55,-21.91,40.46,-0.084,-0.389,-1.058
-0.727,0.333,0.308,96.179,-20.86,47.74,-0.085,-0.385,-1.06
-0.728,0.323,0.238,80.99,-17.92,46.27,-0.087,-0.375,-1.066
-0.759,0.314,0.174,66.919,-24.15,43.68,-0.092,-0.368,-1.071
-0.867,0.346,0.171,55.79,-39.55,49.84,-0.091,-0.364,-1.069
-1.127,0.469,0.218,39.69,-53.34,51.379,-0.1,-0.349,-1.071
-1.266,0.558,0.19,27.93,-44.87,45.92,-0.098,-0.347,-1.07
-1.351,0.65,0.103,19.25,-32.69,36.68,-0.101,-0.343,-1.075
-1.452,0.74,0.118,23.24,-31.64,26.11,-0.106,-0.333,-1.078
-1.514,0.782,0.123,35.84,-27.37,14.21,-0.105,-0.325,-1.075
-1.511,0.751,0.162,55.44,-21.91,-0.42,-0.105,-0.313,-1.075
-1.349,0.676,0.279,74.69,-17.78,-15.89,-0.107,-0.311,-1.077
-1.029,0.569,0.181,84.909,1.75,-45.22,-0.105,-0.31,-1.071
-0.745,0.425,0.0,89.389,-1.19,-66.15,-0.104,-0.313,-1.071
-0.858,0.348,-0.061,92.75,-34.79,-78.4,-0.107,-0.317,-1.072
-1.165,0.363,0.109,98.28,-70.91,-71.61,-0.104,-0.316,-1.071
-1.502,0.425,0.285,106.54,-56.42,-56.91,-0.105,-0.322,-1.076
-1.411,0.468,0.251,108.22,-7.7,-47.95,-0.105,-0.32,-1.078
-1.084,0.497,0.213,101.22,13.51,-45.5,-0.103,-0.324,-1.089
-0.932,0.516,0.168,91.139,11.06,-44.94,-0.103,-0.323,-1.088
-0.919,0.475,0.109,95.69,2.45,-44.66,-0.098,-0.328,-1.094
-0.885,0.411,0.097,108.36,7.7,-45.71,-0.099,-0.33,-1.102
-0.811,0.349,0.091,115.15,14.21,-49.98,-0.094,-0.328,-1.104
-0.749,0.312,0.085,114.31,17.43,-55.3,-0.089,-0.325,-1.116
-0.718,0.29,0.082,108.29,17.78,-62.3,-0.089,-0.325,-1.125
-0.719,0.269,0.078,99.68,17.01,-68.04,-0.087,-0.327,-1.128
-0.747,0.263,0.076,91.419,16.94,-70.7,-0.078,-0.33,-1.141
-0.78,0.262,0.065,81.69,21.77,-67.97,-0.077,-0.331,-1.145
-0.823,0.25,0.052,76.79,25.62,-63.14,-0.067,-0.333,-1.157
-0.859,0.243,0.054,70.909,28.14,-55.93,-0.062,-0.327,-1.156
-0.895,0.244,0.062,62.23,30.94,-47.67,-0.061,-0.332,-1.162
-0.91,0.246,0.068,51.45,34.58,-40.32,-0.057,-0.332,-1.169
-0.906,0.246,0.059,39.06,36.47,-33.74,-0.053,-0.336,-1.176
-0.922,0.24,0.03,25.9,35.28,-26.81,-0.048,-0.331,-1.18
-0.978,0.237,0.015,11.83,31.22,-19.53,-0.045,-0.337,-1.194
-1.019,0.247,0.002,-3.08,29.89,-12.81,-0.044,-0.337,-1.188
-1.024,0.248,-0.033,-35.14,27.79,-7.21,-0.041,-0.342,-1.187
-1.092,0.242,-0.077,-38.08,20.79,-0.56,-0.037,-0.339,-1.186
-1.206,0.267,-0.04,-50.96,12.04,9.73,-0.041,-0.348,-1.182
-1.247,0.298,-0.017,-63.63,5.6,18.41,-0.039,-0.353,-1.175
-1.219,0.333,0.025,-71.82,-3.36,27.44,-0.041,-0.352,-1.178
-1.119,0.408,0.151,-72.38,-17.15,39.13,-0.049,-0.354,-1.171
