ax,ay,az,gx,gy,gz,mx,my,mz
-0.972,0.206,0.111,-4.97,-1.12,-1.05,-0.205,-0.268,-0.878
-0.994,0.211,0.132,-3.57,-2.31,0.14,-0.203,-0.266,-0.874
-0.96,0.218,0.135,-1.26,-1.05,1.61,-0.204,-0.265,-0.872
-0.929,0.22,0.13,1.68,-2.17,3.43,-0.206,-0.265,-0.875
-0.92,0.215,0.121,4.48,-3.29,4.62,-0.203,-0.267,-0.875
-0.928,0.2,0.101,2.8,-2.8,4.83,-0.204,-0.267,-0.883
-0.958,0.21,0.102,-0.21,-3.08,3.99,-0.205,-0.26,-0.876
-1.004,0.228,0.09,-6.86,-3.85,-0.35,-0.202,-0.266,-0.871
-0.978,0.242,0.105,-7.0,-7.35,-3.99,-0.203,-0.265,-0.868
-0.962,0.255,0.131,1.05,-11.13,-2.31,-0.201,-0.261,-0.871
-0.961,0.261,0.147,8.12,-12.74,-0.49,-0.199,-0.26,-0.861
-0.966,0.259,0.157,16.17,-14.07,1.12,-0.207,-0.263,-0.864
-0.971,0.243,0.165,22.47,-13.93,1.96,-0.197,-0.266,-0.867
-0.976,0.2,0.168,22.75,-10.01,0.7,-0.2,-0.264,-0.859
-0.98,0.192,0.17,18.34,-7.7,-1.12,-0.2,-0.261,-0.868
-0.985,0.185,0.169,12.53,-5.53,-2.8,-0.199,-0.266,-0.866
-0.994,0.181,0.167,5.88,-3.5,-4.48,-0.208,-0.264,-0.871
-0.998,0.185,0.167,-0.28,-1.82,-5.11,-0.197,-0.263,-0.86
-0.997,0.193,0.147,-6.58,1.19,-6.09,-0.197,-0.264,-0.862
-1.002,0.203,0.135,-9.31,0.98,-6.23,-0.204,-0.269,-0.86
-1.012,0.212,0.14,-9.66,1.89,-5.88,-0.2,-0.268,-0.862
-0.989,0.22,0.132,-8.61,3.71,-5.95,-0.199,-0.27,-0.861
-0.968,0.22,0.12,-6.23,2.66,-5.95,-0.2,-0.265,-0.862
-0.97,0.217,0.119,-3.43,0.28,-5.81,-0.197,-0.266,-0.861
-0.973,0.206,0.124,-0.14,-0.42,-5.74,-0.192,-0.266,-0.862
-0.959,0.188,0.124,2.17,-0.21,-5.39,-0.197,-0.267,-0.866
-0.946,0.175,0.114,2.8,-0.35,-5.04,-0.2,-0.268,-0.87
-0.949,0.17,0.113,2.87,-2.03,-3.43,-0.197,-0.272,-0.871
-0.961,0.166,0.115,3.22,-2.45,-1.26,-0.197,-0.267,-0.864
-0.969,0.157,0.112,3.01,-2.38,0.7,-0.194,-0.273,-0.864
-0.979,0.154,0.111,1.82,-2.45,2.8,-0.196,-0.269,-0.861
-0.986,0.152,0.115,-0.07,-2.45,4.48,-0.2,-0.272,-0.862
-0.987,0.155,0.117,-3.01,-2.17,5.46,-0.198,-0.269,-0.858
-0.984,0.17,0.122,-6.09,-1.75,5.95,-0.197,-0.266,-0.857
-0.985,0.187,0.129,-7.98,-0.91,5.25,-0.199,-0.269,-0.861
-0.986,0.194,0.138,-9.8,0.49,3.29,-0.202,-0.262,-0.86
-0.97,0.195,0.149,-10.99,2.73,1.47,-0.199,-0.258,-0.86
-0.957,0.195,0.152,-13.02,4.9,-0.35,-0.201,-0.26,-0.866
-0.946,0.191,0.149,-14.91,7.0,-1.68,-0.197,-0.264,-0.853
-0.948,0.188,0.143,-17.15,8.33,-2.45,-0.201,-0.263,-0.855
-0.969,0.187,0.144,-19.11,9.1,-1.61,-0.202,-0.261,-0.856
-0.99,0.192,0.16,-20.86,10.57,0.98,-0.201,-0.263,-0.856
-0.982,0.198,0.134,-23.03,14.7,5.25,-0.199,-0.261,-0.868
-0.972,0.221,0.113,-24.92,12.46,8.75,-0.198,-0.256,-0.863
-1.027,0.241,0.13,-25.62,9.1,12.53,-0.201,-0.254,-0.868
-1.051,0.265,0.137,-25.97,9.59,16.38,-0.201,-0.248,-0.856
-1.041,0.286,0.128,-24.92,9.73,19.39,-0.2,-0.246,-0.853
-1.029,0.304,0.13,-21.98,7.98,22.61,-0.197,-0.245,-0.859
-1.002,0.322,0.144,-16.52,8.68,25.06,-0.201,-0.244,-0.859
-0.917,0.338,0.144,-12.25,9.66,24.29,-0.204,-0.237,-0.858
-0.864,0.331,0.149,-9.31,8.75,21.91,-0.209,-0.235,-0.86
-0.821,0.323,0.152,-8.12,7.98,18.48,-0.202,-0.23,-0.866
-0.792,0.315,0.148,-8.4,6.72,14.91,-0.207,-0.228,-0.866
-0.784,0.308,0.146,-8.89,4.97,12.18,-0.213,-0.229,-0.865
-0.797,0.308,0.16,-8.89,2.8,10.78,-0.214,-0.227,-0.857
-0.844,0.306,0.172,-8.75,3.43,11.62,-0.213,-0.223,-0.865
-0.814,0.307,0.182,-8.68,4.2,12.81,-0.214,-0.23,-0.866
-0.815,0.302,0.167,-10.43,4.34,14.21,-0.212,-0.223,-0.864
-0.833,0.301,0.15,-14.28,3.36,15.33,-0.211,-0.217,-0.874
-0.867,0.309,0.147,-19.6,2.59,16.59,-0.214,-0.209,-0.866
-0.896,0.328,0.155,-24.85,2.59,17.43,-0.214,-0.208,-0.873
-0.916,0.354,0.164,-28.91,3.64,17.22,-0.216,-0.211,-0.868
-0.942,0.384,0.154,-29.54,3.22,16.1,-0.216,-0.201,-0.868
-0.972,0.39,0.149,-29.19,2.87,14.63,-0.221,-0.199,-0.863
-0.992,0.389,0.15,-28.91,3.08,12.74,-0.221,-0.196,-0.867
-0.991,0.382,0.146,-28.07,3.71,10.01,-0.227,-0.192,-0.87
-0.988,0.386,0.152,-27.44,3.01,7.0,-0.221,-0.194,-0.865
-0.99,0.39,0.181,-27.44,1.47,2.38,-0.219,-0.194,-0.863
-0.983,0.382,0.187,-28.56,1.33,-2.73,-0.22,-0.195,-0.862
-0.95,0.371,0.198,-31.08,3.08,-6.09,-0.219,-0.191,-0.873
-0.898,0.361,0.218,-33.11,4.62,-9.45,-0.217,-0.195,-0.87
-0.841,0.366,0.237,-34.3,5.46,-11.76,-0.222,-0.196,-0.86
-0.749,0.365,0.198,-31.85,8.4,-15.05,-0.224,-0.194,-0.864
-0.72,0.349,0.155,-28.7,6.16,-16.31,-0.227,-0.196,-0.864
-0.736,0.336,0.159,-25.2,1.26,-15.96,-0.225,-0.197,-0.861
-0.737,0.335,0.202,-20.65,-0.21,-16.03,-0.226,-0.204,-0.87
-0.667,0.329,0.232,-13.93,5.32,-17.92,-0.226,-0.205,-0.868
-0.557,0.285,0.201,-4.2,9.73,-24.43,-0.225,-0.208,-0.867
-0.436,0.284,0.152,0.77,8.68,-30.03,-0.224,-0.211,-0.865
-0.465,0.239,0.073,6.3,-0.35,-31.85,-0.226,-0.22,-0.86
-0.623,0.214,0.06,11.06,-16.59,-29.19,-0.225,-0.22,-0.863
-0.883,0.183,0.08,17.64,-27.3,-23.66,-0.226,-0.229,-0.863
-1.228,0.167,0.126,29.47,-29.4,-11.2,-0.226,-0.233,-0.858
-1.509,0.166,0.213,44.52,-4.41,-0.21,-0.222,-0.238,-0.853
-1.274,0.056,0.072,45.22,30.45,-6.65,-0.224,-0.244,-0.864
-1.0,-0.038,-0.047,34.65,37.1,-13.37,-0.226,-0.249,-0.86
-0.89,-0.071,-0.079,15.82,27.51,-23.52,-0.225,-0.248,-0.868
-0.889,-0.091,-0.074,-7.98,18.69,-41.44,-0.225,-0.263,-0.867
-0.943,-0.078,-0.037,-26.04,11.62,-55.72,-0.222,-0.266,-0.869
-1.01,-0.05,0.021,-36.54,7.07,-68.11,-0.225,-0.27,-0.87
-1.053,-0.039,0.11,-31.43,7.91,-68.18,-0.219,-0.28,-0.87
-1.07,-0.043,0.204,-25.34,11.62,-64.75,-0.218,-0.288,-0.869
-1.068,-0.036,0.198,-25.27,19.81,-60.9,-0.216,-0.299,-0.872
-1.038,-0.047,0.09,-39.41,32.55,-56.63,-0.214,-0.307,-0.868
-0.987,-0.101,-0.028,-64.33,44.03,-52.08,-0.215,-0.309,-0.875
-0.965,-0.101,-0.073,-101.01,45.99,-46.13,-0.211,-0.313,-0.87
-0.972,-0.045,-0.046,-137.97,41.58,-40.39,-0.207,-0.314,-0.876
-1.004,0.076,0.001,-165.41,33.39,-31.36,-0.208,-0.311,-0.87
-1.064,0.286,0.031,-173.18,3.57,-17.22,-0.209,-0.31,-0.863
-1.135,0.603,0.056,-114.03,8.26,-6.72,-0.209,-0.305,-0.853
-1.096,0.625,0.023,-35.91,4.69,8.19,-0.21,-0.302,-0.853
-1.059,0.477,-0.034,38.92,-1.47,23.87,-0.212,-0.301,-0.849
-1.102,0.31,-0.035,94.639,-13.58,36.12,-0.211,-0.298,-0.852
-1.188,0.199,0.005,125.79,-23.38,47.88,-0.21,-0.298,-0.859
-1.238,0.127,0.038,138.81,-29.61,62.37,-0.209,-0.298,-0.862
-1.242,0.06,0.034,129.85,-31.92,67.27,-0.209,-0.289,-0.865
-1.234,0.046,0.021,112.35,-34.58,71.19,-0.214,-0.291,-0.865
-1.233,0.064,0.017,93.03,-36.82,74.06,-0.22,-0.28,-0.865
-1.224,0.105,0.033,77.0,-37.73,75.25,-0.214,-0.279,-0.868
-1.199,0.141,0.081,64.82,-38.22,74.97,-0.222,-0.273,-0.864
-1.161,0.16,0.113,53.899,-38.78,71.75,-0.218,-0.265,-0.861
-1.116,0.174,0.136,43.12,-40.18,66.639,-0.219,-0.26,-0.855
-1.077,0.188,0.141,34.02,-40.67,62.02,-0.22,-0.253,-0.853
-1.06,0.21,0.134,28.35,-41.16,58.379,-0.223,-0.247,-0.853
-1.119,0.246,0.134,26.88,-42.21,55.86,-0.224,-0.241,-0.85
-1.173,0.255,0.133,30.45,-38.99,56.419,-0.218,-0.23,-0.84
-1.201,0.247,0.145,35.49,-31.78,57.05,-0.216,-0.227,-0.838
-1.221,0.23,0.153,39.34,-25.2,57.679,-0.214,-0.219,-0.829
-1.241,0.22,0.15,39.76,-20.72,56.98,-0.218,-0.217,-0.826
-1.242,0.214,0.15,36.89,-14.63,52.429,-0.217,-0.214,-0.829
-1.226,0.206,0.139,31.36,-8.82,41.3,-0.223,-0.206,-0.829
-1.207,0.202,0.138,20.02,-7.14,31.5,-0.22,-0.201,-0.829
