ax,ay,az,gx,gy,gz,mx,my,mz
-0.971,0.186,0.178,0.07,-2.52,0.56,-0.177,-0.353,-0.937
-0.986,0.188,0.188,2.38,-2.73,0.14,-0.177,-0.355,-0.937
-0.979,0.18,0.194,4.48,-1.68,0.14,-0.176,-0.353,-0.931
-0.97,0.178,0.195,5.6,-1.33,0.28,-0.175,-0.352,-0.932
-0.971,0.173,0.196,6.23,-1.61,0.42,-0.181,-0.348,-0.932
-0.975,0.164,0.196,6.23,-1.33,0.56,-0.176,-0.353,-0.931
-0.976,0.158,0.195,4.55,-0.49,-0.14,-0.179,-0.354,-0.936
-0.983,0.165,0.19,1.12,-0.14,-0.42,-0.17,-0.353,-0.941
-0.991,0.17,0.188,0.0,0.14,-0.35,-0.175,-0.354,-0.939
-0.99,0.179,0.188,-0.7,0.7,-0.28,-0.175,-0.354,-0.934
-0.983,0.187,0.185,-0.07,0.91,-0.21,-0.177,-0.353,-0.938
-0.973,0.187,0.182,1.4,0.84,-0.42,-0.178,-0.349,-0.937
-0.966,0.18,0.178,2.73,0.63,-0.77,-0.18,-0.354,-0.938
-0.962,0.177,0.177,3.22,0.0,-1.47,-0.18,-0.357,-0.939
-0.971,0.176,0.178,4.27,-1.12,-1.4,-0.181,-0.355,-0.936
-0.979,0.173,0.182,5.11,-1.26,-0.98,-0.179,-0.351,-0.938
-0.985,0.168,0.184,5.32,-1.4,-0.49,-0.18,-0.353,-0.946
-0.988,0.163,0.187,4.97,-1.26,-0.21,-0.177,-0.357,-0.941
-0.986,0.16,0.189,3.43,-1.05,-0.28,-0.174,-0.354,-0.936
-0.981,0.16,0.184,1.26,-1.05,-0.84,-0.178,-0.354,-0.937
-0.978,0.165,0.182,-0.7,-0.91,-1.68,-0.175,-0.357,-0.942
-0.977,0.172,0.177,-1.47,-1.19,-2.73,-0.18,-0.357,-0.934
-0.982,0.176,0.183,-1.26,-1.89,-3.01,-0.177,-0.357,-0.945
-0.982,0.17,0.18,1.12,-1.96,-3.08,-0.175,-0.36,-0.941
-0.981,0.157,0.17,2.24,-2.59,-3.01,-0.176,-0.355,-0.947
-0.979,0.146,0.18,2.45,-3.64,-3.15,-0.18,-0.358,-0.949
-0.953,0.145,0.179,1.96,-3.78,-3.5,-0.175,-0.357,-0.942
-0.924,0.147,0.172,1.82,-4.9,-3.85,-0.178,-0.356,-0.942
-0.912,0.143,0.172,2.24,-7.42,-4.13,-0.177,-0.361,-0.939
-0.905,0.135,0.168,2.66,-8.19,-4.41,-0.178,-0.358,-0.939
-0.882,0.118,0.164,1.26,-8.82,-4.83,-0.175,-0.363,-0.94
-0.865,0.113,0.162,-1.05,-9.59,-4.97,-0.171,-0.362,-0.94
-0.856,0.108,0.16,-4.13,-10.71,-5.18,-0.172,-0.36,-0.938
-0.854,0.091,0.187,-7.91,-11.69,-4.9,-0.169,-0.367,-0.935
-0.846,0.051,0.199,-15.47,-10.08,-4.83,-0.169,-0.366,-0.931
-0.813,0.032,0.179,-28.56,-5.88,-4.69,-0.17,-0.362,-0.929
-0.77,0.024,0.156,-43.75,-2.45,-4.41,-0.171,-0.361,-0.927
-0.761,0.053,0.167,-57.33,-1.68,-1.89,-0.172,-0.362,-0.922
-0.804,0.084,0.172,-67.62,-2.17,1.75,-0.171,-0.364,-0.915
-0.871,0.111,0.156,-74.48,-0.98,6.72,-0.171,-0.359,-0.912
-0.93,0.137,0.13,-76.93,2.87,15.96,-0.173,-0.361,-0.913
-0.991,0.161,0.122,-75.39,3.57,22.26,-0.172,-0.351,-0.9
-1.042,0.21,0.106,-72.31,6.86,26.39,-0.171,-0.347,-0.898
-1.017,0.223,0.071,-68.95,10.08,26.74,-0.179,-0.338,-0.899
-0.956,0.231,0.045,-65.8,12.46,24.22,-0.179,-0.333,-0.897
-0.882,0.255,0.017,-63.56,12.81,17.64,-0.178,-0.33,-0.891
-0.819,0.265,0.013,-58.8,11.76,9.24,-0.179,-0.33,-0.886
-0.792,0.255,0.004,-48.93,7.21,2.03,-0.177,-0.325,-0.885
-0.814,0.255,0.004,-32.27,-0.07,-8.12,-0.178,-0.32,-0.881
-0.901,0.256,0.004,-20.02,-2.94,-13.23,-0.179,-0.327,-0.878
-0.952,0.249,0.005,-6.51,-4.41,-15.68,-0.177,-0.33,-0.889
-0.985,0.23,0.012,8.12,-4.69,-14.91,-0.183,-0.33,-0.882
-1.011,0.205,0.029,21.07,-4.48,-13.44,-0.178,-0.329,-0.884
-1.009,0.164,0.035,28.14,-2.94,-12.32,-0.181,-0.334,-0.879
-0.925,0.124,0.011,27.37,0.84,-11.69,-0.177,-0.336,-0.88
-0.868,0.107,0.001,20.02,-1.26,-11.34,-0.177,-0.337,-0.89
-0.855,0.105,0.02,9.73,-5.81,-10.29,-0.177,-0.339,-0.891
-0.865,0.122,0.04,-1.47,-10.43,-8.89,-0.175,-0.337,-0.891
-0.887,0.16,0.062,-8.12,-14.63,-5.53,-0.175,-0.341,-0.883
-0.904,0.185,0.076,-8.89,-18.2,-0.63,-0.175,-0.34,-0.882
