ax,ay,az,gx,gy,gz,mx,my,mz
-0.032,0.389,0.91,-0.07,-1.4,-0.14,0.169,-0.405,-1.204
-0.039,0.395,0.911,-0.63,-1.54,-0.14,0.172,-0.407,-1.198
-0.037,0.403,0.91,-0.98,-1.4,-0.28,0.169,-0.405,-1.197
-0.037,0.407,0.911,-0.21,-1.75,-0.77,0.168,-0.406,-1.203
-0.038,0.407,0.914,1.12,-1.82,-0.07,0.173,-0.409,-1.204
-0.037,0.404,0.914,2.24,-2.24,-0.07,0.168,-0.411,-1.201
-0.036,0.395,0.913,3.15,-2.94,-0.21,0.168,-0.407,-1.199
-0.037,0.384,0.918,2.73,-3.15,-0.35,0.164,-0.408,-1.2
-0.035,0.38,0.921,0.14,-3.92,-0.63,0.167,-0.41,-1.197
-0.03,0.371,0.92,-6.23,-4.41,-1.4,0.165,-0.407,-1.201
-0.026,0.341,0.944,-21.07,-6.44,-2.87,0.166,-0.406,-1.199
-0.005,0.323,0.98,-40.46,-8.12,-4.55,0.165,-0.415,-1.19
0.009,0.332,1.007,-71.75,-13.44,-10.01,0.168,-0.42,-1.191
0.021,0.416,1.004,-90.51,-17.99,-17.78,0.168,-0.427,-1.178
0.016,0.486,0.994,-110.32,-22.33,-22.96,0.168,-0.432,-1.173
0.018,0.528,0.991,-134.05,-23.87,-24.57,0.173,-0.448,-1.157
0.05,0.541,0.973,-154.84,-16.87,-26.39,0.173,-0.461,-1.149
0.133,0.588,0.802,-171.92,-8.33,-31.43,0.177,-0.466,-1.138
0.227,0.647,0.72,-200.2,-8.54,-40.32,0.182,-0.486,-1.112
0.324,0.703,0.615,-229.67,-9.31,-50.54,0.189,-0.492,-1.1
0.429,0.876,0.437,-228.06,-12.95,-56.28,0.199,-0.507,-1.069
0.462,1.031,0.35,-213.92,-21.21,-58.73,0.205,-0.514,-1.06
0.42,1.141,0.417,-177.45,-33.11,-51.1,0.209,-0.525,-1.047
0.318,1.12,0.526,-137.41,-42.07,-48.3,0.218,-0.532,-1.03
0.252,0.988,0.583,-99.12,-37.73,-44.03,0.218,-0.533,-1.023
0.245,0.932,0.527,-71.54,-33.11,-36.96,0.231,-0.543,-1.015
0.239,0.882,0.503,-55.72,-33.67,-18.62,0.242,-0.545,-1.012
0.18,0.789,0.564,-37.8,-37.03,-28.56,0.245,-0.552,-1.007
0.112,0.811,0.581,-26.95,-36.75,-21.7,0.255,-0.554,-1.012
0.044,0.963,0.807,-24.57,-28.07,-20.51,0.257,-0.552,-1.014
0.075,0.905,0.739,-16.66,-14.49,-20.3,0.26,-0.562,-1.008
0.156,0.738,0.597,-18.9,-11.41,-13.37,0.265,-0.562,-1.008
0.191,0.671,0.499,-34.93,-13.86,-7.49,0.269,-0.566,-1.006
0.176,0.768,0.562,-50.54,-20.09,-1.75,0.272,-0.571,-0.995
0.127,0.641,0.561,-54.11,-21.7,5.88,0.273,-0.572,-0.996
0.085,0.696,0.587,-44.45,-14.84,36.47,0.272,-0.572,-0.987
0.058,0.854,0.477,-16.31,-7.07,44.73,0.269,-0.577,-0.983
-0.063,0.809,0.634,-7.0,-4.55,48.44,0.268,-0.577,-0.983
-0.166,0.583,0.888,-15.05,8.75,57.33,0.261,-0.579,-0.983
0.04,0.579,0.611,-53.76,47.95,72.52,0.258,-0.582,-0.974
0.123,0.907,0.401,-99.33,57.33,65.24,0.254,-0.582,-0.964
-0.062,1.101,0.353,-87.36,56.84,68.879,0.24,-0.59,-0.943
-0.256,1.133,0.228,-45.22,66.429,91.21,0.233,-0.588,-0.941
-0.475,1.146,0.103,-1.75,67.62,98.14,0.217,-0.594,-0.943
-0.561,1.174,-0.031,17.22,68.53,98.84,0.207,-0.593,-0.941
-0.566,1.218,-0.17,22.4,65.73,91.21,0.203,-0.592,-0.944
-0.489,1.237,-0.26,20.37,58.659,74.409,0.19,-0.595,-0.946
-0.33,1.118,-0.262,25.06,48.23,57.82,0.182,-0.593,-0.949
-0.22,0.947,-0.075,27.3,20.37,40.18,0.178,-0.602,-0.949
-0.182,0.784,0.364,18.55,7.7,32.27,0.178,-0.599,-0.955
-0.188,0.679,0.578,5.67,7.0,27.79,0.174,-0.597,-0.956
-0.182,0.676,0.565,-9.94,11.34,25.27,0.168,-0.596,-0.955
-0.172,0.802,0.476,-21.14,12.46,20.37,0.169,-0.6,-0.953
-0.175,0.931,0.409,-20.16,9.45,14.49,0.164,-0.599,-0.948
-0.158,0.969,0.371,-13.44,4.55,5.25,0.161,-0.597,-0.946
-0.148,0.959,0.401,-7.91,-2.1,-6.02,0.165,-0.6,-0.946
-0.185,0.962,0.419,-2.1,-9.24,-15.82,0.165,-0.599,-0.947
-0.216,0.833,0.418,11.48,-15.61,-23.94,0.172,-0.596,-0.946
-0.206,0.79,0.381,15.19,-15.75,-24.64,0.174,-0.602,-0.945
-0.173,0.809,0.289,15.47,-15.89,-26.6,0.18,-0.596,-0.945
-0.154,0.866,0.209,14.21,-17.71,-28.56,0.18,-0.603,-0.95
-0.153,0.918,0.146,14.14,-21.63,-31.71,0.188,-0.603,-0.951
-0.163,0.928,0.149,17.01,-25.06,-30.87,0.191,-0.607,-0.952
-0.179,0.923,0.23,18.41,-24.57,-27.37,0.199,-0.61,-0.958
-0.182,0.86,0.216,22.19,-19.25,-19.81,0.203,-0.604,-0.958
-0.24,0.851,0.221,15.54,-16.17,-12.95,0.209,-0.605,-0.959
-0.283,0.887,0.258,4.83,-10.85,-4.13,0.203,-0.608,-0.959
-0.266,0.978,0.279,0.14,-2.17,5.88,0.206,-0.61,-0.962
-0.204,0.967,0.224,2.66,3.36,14.42,0.203,-0.611,-0.96
-0.275,0.983,0.343,-4.83,0.0,20.72,0.203,-0.609,-0.955
-0.44,0.986,0.421,-8.26,3.15,20.3,0.198,-0.607,-0.961
-0.554,1.051,0.414,-10.57,6.37,21.0,0.196,-0.608,-0.956
-0.587,1.114,0.349,-12.25,7.7,18.83,0.2,-0.61,-0.959
-0.566,1.161,0.344,-12.18,7.42,15.89,0.194,-0.605,-0.955
-0.543,1.158,0.394,-9.03,6.3,9.24,0.193,-0.608,-0.96
-0.528,1.16,0.404,-8.05,6.37,2.1,0.19,-0.609,-0.959
-0.531,1.158,0.389,-8.82,5.6,-3.92,0.192,-0.608,-0.953
-0.536,1.099,0.353,-1.33,4.48,-5.18,0.194,-0.602,-0.951
-0.462,1.092,0.254,0.07,7.7,-5.39,0.194,-0.611,-0.951
-0.383,1.172,0.221,-6.93,7.91,-8.12,0.191,-0.609,-0.954
-0.357,1.198,0.16,-6.65,6.65,-11.2,0.198,-0.61,-0.949
-0.365,1.121,0.216,3.22,5.6,-11.76,0.201,-0.609,-0.952
-0.358,0.991,0.253,17.78,8.33,-6.79,0.199,-0.611,-0.953
-0.314,0.879,0.251,15.33,11.76,-4.13,0.203,-0.605,-0.957
-0.28,0.938,0.254,0.35,14.7,0.91,0.202,-0.609,-0.956
-0.286,0.993,0.237,3.78,13.09,1.47,0.204,-0.605,-0.954
-0.274,0.971,0.233,9.87,11.9,1.68,0.203,-0.607,-0.95
-0.242,0.921,0.25,12.39,9.52,-1.05,0.203,-0.61,-0.957
-0.239,0.883,0.283,10.71,7.98,-2.03,0.206,-0.612,-0.956
-0.264,0.874,0.299,8.54,8.47,-2.8,0.2,-0.61,-0.955
-0.254,0.882,0.278,8.47,10.01,-4.83,0.203,-0.614,-0.961
-0.231,0.852,0.218,7.91,9.1,-7.35,0.207,-0.613,-0.965
-0.224,0.798,0.188,3.64,5.53,-8.89,0.213,-0.613,-0.96
-0.255,0.784,0.232,-13.58,0.42,-10.22,0.207,-0.614,-0.964
-0.239,0.815,0.3,-20.23,2.52,-9.17,0.204,-0.609,-0.96
-0.249,0.774,0.369,-20.37,3.64,-5.74,0.209,-0.61,-0.954
-0.222,0.812,0.344,-26.39,8.19,-5.11,0.21,-0.61,-0.953
-0.177,0.936,0.322,-27.79,9.87,-6.44,0.212,-0.606,-0.948
-0.181,0.941,0.3,-13.93,9.8,-4.97,0.212,-0.611,-0.944
-0.24,0.952,0.262,-1.47,5.67,-5.04,0.213,-0.612,-0.943
-0.294,0.94,0.275,2.8,4.2,-6.16,0.214,-0.612,-0.943
-0.257,0.884,0.229,13.02,3.85,-5.95,0.218,-0.611,-0.946
-0.283,0.887,0.341,10.15,2.45,-8.26,0.22,-0.614,-0.95
-0.283,0.78,0.353,30.8,6.02,-3.36,0.221,-0.613,-0.957
-0.241,0.676,0.315,35.49,8.4,-1.61,0.223,-0.611,-0.961
-0.178,0.708,0.223,22.89,9.31,-1.96,0.223,-0.614,-0.96
-0.122,0.765,0.153,-2.38,6.09,-9.31,0.22,-0.612,-0.958
-0.153,0.874,0.188,-8.33,2.1,-13.93,0.222,-0.611,-0.962
