ax,ay,az,gx,gy,gz,mx,my,mz
-0.983,0.086,0.11,6.93,-4.76,6.93,-0.19,-0.279,-0.895
-0.979,0.091,0.111,7.7,-5.46,7.21,-0.193,-0.282,-0.894
-0.971,0.088,0.109,8.89,-6.02,6.86,-0.192,-0.282,-0.893
-0.967,0.087,0.111,10.15,-8.33,7.35,-0.19,-0.285,-0.894
-0.982,0.101,0.135,11.34,-10.15,8.19,-0.189,-0.279,-0.892
-1.002,0.117,0.16,14.35,-11.62,9.03,-0.193,-0.279,-0.891
-1.014,0.149,0.204,19.46,-12.53,11.13,-0.192,-0.277,-0.896
-0.989,0.179,0.255,27.44,-10.57,13.02,-0.191,-0.278,-0.89
-0.937,0.181,0.258,38.22,-7.21,14.84,-0.189,-0.276,-0.884
-0.923,0.18,0.249,46.76,-8.68,16.17,-0.189,-0.279,-0.889
-0.951,0.195,0.269,55.37,-10.99,15.96,-0.189,-0.276,-0.894
-0.988,0.181,0.279,59.149,-7.42,15.12,-0.188,-0.279,-0.887
-0.973,0.161,0.267,60.06,-1.61,14.07,-0.189,-0.279,-0.891
-0.949,0.165,0.257,56.56,3.01,12.25,-0.191,-0.279,-0.894
-0.945,0.197,0.249,51.59,2.66,10.01,-0.195,-0.28,-0.903
-0.961,0.264,0.284,52.429,2.24,8.96,-0.194,-0.281,-0.899
-0.969,0.324,0.337,58.03,3.99,5.95,-0.196,-0.28,-0.902
-0.945,0.325,0.439,73.919,7.98,3.99,-0.198,-0.28,-0.907
-0.921,0.32,0.413,77.56,13.44,-0.28,-0.194,-0.283,-0.903
-0.936,0.309,0.377,73.71,15.68,-5.18,-0.196,-0.288,-0.911
-0.979,0.317,0.453,71.19,13.09,-7.35,-0.2,-0.286,-0.911
-1.009,0.352,0.583,70.419,19.88,-10.92,-0.2,-0.291,-0.929
-1.0,0.393,0.671,72.45,37.87,-18.55,-0.2,-0.299,-0.925
-1.006,0.453,0.571,79.73,54.53,-27.3,-0.196,-0.299,-0.941
-1.144,0.457,0.571,87.71,43.26,-27.93,-0.201,-0.308,-0.95
-1.323,0.457,0.656,93.45,42.21,-26.18,-0.197,-0.309,-0.959
-1.462,0.463,0.694,93.59,66.429,-26.46,-0.203,-0.313,-0.978
-1.528,0.478,0.655,89.53,90.09,-27.51,-0.197,-0.314,-0.995
-1.526,0.437,0.59,81.83,118.65,-37.94,-0.195,-0.321,-1.022
-1.516,0.316,0.451,56.0,128.52,-48.79,-0.194,-0.329,-1.033
-1.544,0.269,0.415,28.91,128.17,-62.58,-0.188,-0.333,-1.044
-1.606,0.285,0.427,-1.75,130.06,-80.71,-0.181,-0.343,-1.065
-1.639,0.354,0.478,-32.2,136.5,-105.35,-0.17,-0.354,-1.079
-1.615,0.393,0.461,-60.62,150.36,-137.27,-0.151,-0.383,-1.099
-1.563,0.388,0.373,-105.28,156.24,-182.98,-0.138,-0.395,-1.101
-1.518,0.363,0.332,-122.5,152.53,-212.45,-0.119,-0.412,-1.107
-1.44,0.465,0.385,-134.89,148.96,-237.58,-0.086,-0.453,-1.112
-1.337,0.597,0.292,-133.14,151.76,-258.02,-0.062,-0.475,-1.112
-1.295,0.713,0.197,-112.49,140.28,-270.69,-0.014,-0.512,-1.114
-1.305,0.803,0.173,-77.35,118.93,-278.67,0.017,-0.528,-1.117
-1.353,0.813,0.086,-28.77,109.76,-287.071,0.039,-0.541,-1.119
-1.383,0.72,0.095,26.11,110.18,-291.34,0.095,-0.561,-1.125
-1.345,0.566,0.088,77.0,123.34,-292.39,0.128,-0.56,-1.135
-1.24,0.34,0.065,114.8,138.04,-297.08,0.189,-0.559,-1.155
-1.065,0.245,0.11,115.43,132.02,-297.571,0.222,-0.553,-1.165
-1.003,0.203,0.157,100.73,123.69,-295.26,0.25,-0.546,-1.183
-0.901,0.19,0.151,80.919,123.41,-292.25,0.316,-0.529,-1.186
-0.736,0.161,0.076,60.129,115.64,-288.4,0.34,-0.516,-1.182
-0.577,0.138,0.018,39.97,100.94,-283.5,0.393,-0.489,-1.189
-0.424,0.159,-0.02,30.24,85.47,-278.321,0.416,-0.48,-1.186
-0.348,0.16,-0.008,34.44,60.2,-272.79,0.439,-0.466,-1.187
-0.331,0.061,0.069,51.659,32.48,-267.75,0.473,-0.432,-1.193
-0.583,-0.356,1.069,88.27,74.2,-227.15,0.488,-0.414,-1.178
-0.062,-0.213,0.644,101.64,116.48,-189.42,0.502,-0.379,-1.18
0.42,-0.178,0.538,71.82,89.04,-210.071,0.527,-0.364,-1.175
0.593,-0.065,0.424,19.74,80.57,-201.95,0.539,-0.346,-1.17
0.518,0.111,0.354,6.3,66.85,-186.62,0.56,-0.321,-1.158
0.466,0.094,0.302,36.12,45.22,-168.63,0.563,-0.305,-1.155
0.529,0.072,0.308,65.94,34.02,-148.821,0.565,-0.289,-1.155
0.567,0.046,0.393,68.32,29.05,-141.33,0.572,-0.259,-1.152
0.518,-0.038,0.574,58.87,20.86,-128.31,0.577,-0.243,-1.15
0.501,-0.125,0.659,66.08,18.62,-107.59,0.576,-0.218,-1.149
0.598,-0.239,0.657,81.69,18.69,-91.7,0.575,-0.214,-1.149
0.673,-0.281,0.636,91.0,17.29,-80.08,0.576,-0.197,-1.144
0.682,-0.255,0.605,97.51,17.22,-70.7,0.582,-0.179,-1.141
0.658,-0.303,0.632,107.59,15.26,-62.37,0.577,-0.166,-1.143
0.649,-0.457,0.643,113.4,12.32,-52.43,0.577,-0.143,-1.133
0.646,-0.613,0.668,98.63,8.68,-40.18,0.574,-0.144,-1.133
0.653,-0.662,0.71,66.36,7.7,-35.0,0.577,-0.136,-1.126
0.654,-0.563,0.737,28.49,10.57,-30.31,0.577,-0.128,-1.124
0.741,-0.451,0.731,25.55,10.99,-23.8,0.581,-0.125,-1.123
0.799,-0.471,0.715,24.29,9.94,-17.08,0.578,-0.122,-1.123
0.795,-0.494,0.723,16.38,6.3,-9.52,0.577,-0.117,-1.114
0.749,-0.486,0.763,1.26,3.78,-3.78,0.581,-0.115,-1.116
0.752,-0.432,0.804,-8.82,4.76,3.43,0.583,-0.116,-1.118
0.765,-0.37,0.869,-13.37,5.88,9.31,0.579,-0.121,-1.117
0.786,-0.353,0.846,-13.93,7.98,11.83,0.58,-0.121,-1.118
0.792,-0.354,0.84,-17.01,9.52,12.6,0.58,-0.124,-1.123
0.796,-0.322,0.844,-20.93,10.99,13.72,0.582,-0.126,-1.125
0.798,-0.257,0.847,-23.31,12.95,14.91,0.587,-0.135,-1.115
0.811,-0.222,0.843,-18.41,14.49,15.89,0.586,-0.137,-1.107
0.813,-0.213,0.825,-13.23,14.77,16.59,0.589,-0.145,-1.111
0.799,-0.215,0.825,-12.88,14.28,16.24,0.587,-0.144,-1.111
0.788,-0.207,0.809,-13.93,14.77,15.4,0.59,-0.144,-1.106
0.784,-0.207,0.795,-12.04,14.07,14.49,0.586,-0.148,-1.108
0.781,-0.197,0.774,-9.73,12.74,13.65,0.588,-0.147,-1.104
0.779,-0.175,0.758,-7.7,8.68,11.2,0.588,-0.157,-1.112
0.763,-0.137,0.735,-5.25,5.25,9.66,0.591,-0.155,-1.107
0.752,-0.126,0.731,-2.17,1.82,8.68,0.592,-0.153,-1.105
0.751,-0.12,0.718,0.21,-0.84,6.93,0.592,-0.153,-1.104
0.742,-0.126,0.717,1.82,-3.22,4.62,0.594,-0.151,-1.1
0.722,-0.118,0.709,2.66,-4.48,3.29,0.593,-0.153,-1.109
0.7,-0.117,0.705,5.04,-5.11,1.05,0.59,-0.154,-1.107
0.697,-0.143,0.667,6.44,-4.27,-0.35,0.594,-0.154,-1.106
0.693,-0.155,0.639,6.09,-4.13,-0.77,0.594,-0.157,-1.104
0.691,-0.179,0.637,5.32,-3.85,-1.12,0.591,-0.157,-1.105
0.69,-0.21,0.621,4.55,-2.87,-0.14,0.592,-0.152,-1.101
0.678,-0.216,0.623,2.73,-2.45,0.35,0.591,-0.155,-1.107
0.673,-0.212,0.627,-1.26,-0.77,0.0,0.587,-0.155,-1.106
0.69,-0.185,0.626,-5.32,3.01,-0.7,0.591,-0.151,-1.107
0.741,-0.154,0.604,-9.38,3.57,-1.05,0.602,-0.155,-1.103
0.762,-0.124,0.601,-8.96,2.59,-1.19,0.593,-0.154,-1.109
0.747,-0.116,0.605,-6.3,0.63,-2.1,0.595,-0.157,-1.107
0.719,-0.118,0.634,-3.92,-1.82,-3.01,0.595,-0.155,-1.108
0.714,-0.141,0.653,-4.62,-2.66,-5.04,0.589,-0.155,-1.106
0.699,-0.141,0.648,-8.05,-2.38,-7.56,0.588,-0.154,-1.106
0.678,-0.109,0.663,-7.0,-1.96,-7.49,0.586,-0.155,-1.103
0.681,-0.085,0.669,-5.81,-0.98,-7.35,0.589,-0.157,-1.112
0.694,-0.065,0.661,-3.99,-1.12,-6.93,0.591,-0.153,-1.11
0.689,-0.059,0.668,-2.52,-2.59,-7.35,0.592,-0.153,-1.117
0.684,-0.077,0.679,-1.05,-3.92,-7.49,0.587,-0.155,-1.113
0.681,-0.101,0.699,0.0,-4.62,-8.19,0.587,-0.151,-1.113
