ax,ay,az,gx,gy,gz,mx,my,mz
-0.26,3.821,-0.15,71.33,-136.71,-176.33,0.299,-0.58,-0.878
-0.775,2.387,0.128,52.429,-107.17,-196.63,0.316,-0.581,-0.892
-0.66,1.387,0.196,-2.87,-63.77,-201.53,0.337,-0.571,-0.863
-0.415,0.767,0.131,-73.01,-52.36,-181.44,0.371,-0.561,-0.892
-0.308,0.636,0.066,-120.47,-78.82,-138.88,0.388,-0.554,-0.884
-0.362,0.609,-0.023,-107.8,-124.6,-63.77,0.403,-0.547,-0.867
-0.508,0.374,0.121,-29.54,-140.0,-15.33,0.414,-0.539,-0.874
-0.554,0.198,0.213,15.54,-138.81,20.93,0.411,-0.546,-0.885
-0.553,-0.016,0.193,49.07,-123.13,46.27,0.413,-0.549,-0.9
-0.561,-0.252,0.109,64.61,-106.54,65.45,0.406,-0.554,-0.908
-0.626,-0.391,0.099,55.86,-88.9,78.889,0.399,-0.563,-0.931
-0.729,-0.416,0.153,30.1,-62.86,84.98,0.393,-0.564,-0.93
-0.79,-0.378,0.109,5.25,-21.63,90.159,0.383,-0.566,-0.933
-0.746,-0.305,0.055,-9.94,58.03,102.13,0.368,-0.576,-0.921
-0.593,-0.157,-0.084,-12.25,105.98,110.46,0.361,-0.578,-0.912
-0.56,0.04,-0.046,-15.68,132.51,118.16,0.334,-0.582,-0.9
-0.592,0.325,0.029,-11.48,159.04,127.89,0.321,-0.585,-0.893
-0.647,0.699,-0.056,-11.62,194.25,139.09,0.291,-0.587,-0.879
-0.635,1.16,-0.122,-10.78,221.62,157.36,0.272,-0.587,-0.873
-0.486,2.191,-0.287,-27.86,236.04,188.16,0.245,-0.59,-0.87
-0.441,2.975,-0.351,-47.74,196.07,193.41,0.202,-0.592,-0.85
-0.401,3.446,-0.179,-49.77,145.88,176.4,0.179,-0.593,-0.851
-0.202,3.425,-0.046,-43.89,109.83,146.37,0.141,-0.587,-0.841
0.013,3.247,0.014,-39.06,70.98,111.58,0.131,-0.584,-0.832
0.045,2.778,0.127,-9.38,35.56,78.05,0.115,-0.584,-0.832
0.041,1.785,0.212,34.86,36.61,49.98,0.105,-0.578,-0.838
0.311,1.067,0.208,26.18,73.29,38.92,0.09,-0.581,-0.839
0.594,0.529,0.1,39.76,95.2,17.15,0.062,-0.58,-0.863
0.743,0.382,0.034,61.74,91.28,12.67,0.059,-0.582,-0.867
0.911,0.205,-0.013,77.909,80.149,2.45,0.054,-0.585,-0.888
1.002,0.026,-0.015,79.31,58.24,-12.46,0.049,-0.589,-0.892
0.999,-0.051,0.009,67.69,35.84,-32.69,0.053,-0.593,-0.901
0.967,-0.012,-0.024,59.149,11.76,-70.28,0.056,-0.596,-0.899
0.925,-0.003,-0.079,62.23,-7.28,-96.88,0.065,-0.603,-0.901
1.708,1.091,-0.522,-101.85,-67.27,-127.68,0.157,-0.618,-0.853
1.118,3.997,-0.699,-112.42,-143.92,-79.8,0.22,-0.605,-0.815
0.228,3.997,-0.7,-15.19,-189.49,-113.61,0.244,-0.605,-0.829
-0.439,3.934,-0.529,43.82,-215.321,-189.63,0.272,-0.597,-0.846
-0.822,2.811,-0.412,-30.1,-217.21,-237.58,0.316,-0.59,-0.877
-0.417,1.438,-0.338,-159.88,-247.8,-241.15,0.382,-0.569,-0.875
-0.531,1.333,-0.133,-144.69,-288.05,-193.13,0.401,-0.554,-0.879
-0.611,0.705,0.075,-46.76,-264.46,-130.97,0.43,-0.544,-0.899
-0.476,0.111,0.225,-14.49,-201.11,-76.79,0.444,-0.533,-0.928
-0.297,0.176,0.073,43.19,-48.72,84.56,0.408,-0.539,-0.931
-0.294,0.961,0.2,40.6,-16.31,59.639,0.351,-0.552,-0.972
-0.358,2.532,0.141,-28.21,-12.25,118.65,0.316,-0.556,-0.978
-0.316,2.665,0.362,-18.48,-22.61,117.88,0.286,-0.562,-0.971
