ax,ay,az,gx,gy,gz,mx,my,mz
-0.046,0.438,0.887,0.0,-2.59,0.14,0.146,-0.411,-1.157
-0.045,0.45,0.886,-0.98,-2.24,0.14,0.142,-0.42,-1.158
-0.043,0.458,0.885,-1.05,-2.17,0.42,0.144,-0.417,-1.163
-0.037,0.427,0.898,2.17,-2.45,1.05,0.141,-0.419,-1.159
-0.044,0.441,0.891,0.28,-1.96,0.63,0.142,-0.418,-1.157
-0.045,0.449,0.888,0.63,-1.68,0.35,0.135,-0.417,-1.161
-0.047,0.451,0.889,1.61,-1.82,0.28,0.142,-0.415,-1.158
-0.054,0.45,0.889,1.82,-1.54,0.35,0.138,-0.416,-1.152
-0.057,0.448,0.886,1.68,-1.47,0.07,0.14,-0.418,-1.164
-0.058,0.45,0.883,1.33,-1.12,0.21,0.14,-0.419,-1.159
-0.06,0.449,0.883,1.68,-0.98,0.14,0.14,-0.421,-1.157
-0.059,0.445,0.883,1.96,-0.63,0.21,0.142,-0.417,-1.161
-0.055,0.444,0.89,1.54,-0.28,0.35,0.143,-0.418,-1.161
-0.048,0.447,0.893,1.68,-0.42,0.56,0.139,-0.415,-1.162
-0.044,0.443,0.893,2.52,-0.28,0.21,0.142,-0.416,-1.163
-0.041,0.433,0.896,3.29,-0.63,0.21,0.144,-0.415,-1.165
-0.04,0.429,0.906,3.43,-0.63,-0.21,0.139,-0.413,-1.166
-0.046,0.422,0.901,2.17,-0.56,0.28,0.14,-0.415,-1.161
-0.044,0.422,0.897,0.7,-0.21,-0.14,0.141,-0.409,-1.158
-0.041,0.428,0.893,-0.56,-0.42,-0.42,0.139,-0.413,-1.162
-0.043,0.438,0.891,-1.19,0.07,-0.21,0.142,-0.417,-1.155
-0.048,0.443,0.888,-1.33,0.14,-0.49,0.142,-0.414,-1.162
-0.049,0.445,0.884,-1.12,0.14,-0.35,0.142,-0.412,-1.163
-0.05,0.445,0.887,-0.07,0.0,-0.28,0.143,-0.413,-1.159
-0.049,0.445,0.891,0.42,-0.07,-0.28,0.143,-0.414,-1.162
-0.047,0.441,0.895,1.12,-0.14,0.14,0.145,-0.419,-1.165
