ax,ay,az,gx,gy,gz,mx,my,mz
-1.023,0.133,0.15,8.89,10.5,-14.21,-0.199,-0.34,-0.981
-1.012,0.139,0.149,8.19,10.78,-13.58,-0.196,-0.338,-0.99
-0.98,0.14,0.142,7.56,11.83,-13.51,-0.196,-0.341,-0.993
-0.94,0.141,0.131,6.44,11.06,-13.44,-0.195,-0.339,-0.991
-0.906,0.143,0.115,3.92,8.47,-14.14,-0.197,-0.348,-0.989
-0.887,0.149,0.093,0.14,4.69,-15.12,-0.192,-0.348,-0.989
-0.856,0.167,0.067,-4.83,-1.54,-17.71,-0.189,-0.348,-0.992
-0.825,0.171,0.055,-5.04,-4.9,-19.46,-0.192,-0.348,-0.989
-0.793,0.176,0.053,-3.64,-9.52,-21.21,-0.193,-0.354,-0.994
-0.763,0.183,0.054,-2.31,-14.91,-23.31,-0.187,-0.354,-0.981
-0.73,0.192,0.05,0.42,-19.25,-24.99,-0.185,-0.358,-0.983
-0.693,0.192,0.046,4.62,-22.96,-26.74,-0.183,-0.359,-0.978
-0.653,0.178,0.031,11.13,-27.02,-29.33,-0.186,-0.362,-0.974
-0.606,0.148,0.02,12.46,-30.24,-31.85,-0.178,-0.364,-0.974
-0.584,0.129,0.053,12.11,-34.44,-34.23,-0.175,-0.371,-0.972
-0.556,0.12,0.113,11.76,-36.26,-36.47,-0.175,-0.372,-0.969
-0.526,0.136,0.192,13.37,-35.91,-38.01,-0.172,-0.381,-0.968
-0.502,0.17,0.271,19.39,-34.09,-38.5,-0.172,-0.382,-0.966
-0.477,0.176,0.401,36.05,-22.61,-38.71,-0.171,-0.389,-0.964
-0.416,0.201,0.434,45.78,-10.15,-40.39,-0.167,-0.393,-0.968
-0.409,0.218,0.427,51.59,-5.18,-44.1,-0.157,-0.398,-0.983
-0.479,0.247,0.428,51.87,-6.16,-46.27,-0.158,-0.396,-0.975
-0.747,0.366,0.616,52.149,-16.17,-44.87,-0.15,-0.41,-0.973
-0.993,0.545,0.757,56.49,-14.84,-43.26,-0.15,-0.414,-0.977
-1.19,0.672,0.782,72.8,-0.7,-48.79,-0.148,-0.421,-0.984
-1.338,0.674,0.796,96.25,30.59,-52.43,-0.142,-0.431,-1.008
-1.403,0.59,0.657,115.36,75.669,-51.1,-0.135,-0.434,-1.023
-1.445,0.498,0.523,110.11,101.99,-47.32,-0.13,-0.434,-1.035
-1.014,0.639,0.261,25.06,128.45,-63.84,0.011,-0.47,-1.183
-0.78,0.495,0.322,192.22,90.79,-35.91,0.074,-0.442,-1.247
-0.763,0.456,0.346,243.04,79.03,-22.75,0.086,-0.414,-1.288
-0.814,0.353,0.42,284.76,61.669,-10.64,0.091,-0.395,-1.299
-0.985,0.192,0.353,307.3,41.37,2.66,0.097,-0.372,-1.316
-1.321,-0.056,0.317,290.5,10.5,22.47,0.098,-0.325,-1.337
-1.683,-0.539,0.461,162.82,3.92,35.84,0.096,-0.307,-1.346
-1.449,-0.774,0.158,14.56,68.95,29.05,0.098,-0.293,-1.347
-0.89,-0.627,0.366,-123.48,78.19,25.34,0.102,-0.297,-1.343
-0.35,-0.466,0.724,-209.23,59.71,19.39,0.11,-0.335,-1.333
0.116,-0.058,1.224,-259.35,11.55,21.91,0.108,-0.352,-1.321
-0.017,0.339,0.77,99.82,23.1,3.64,0.107,-0.396,-1.321
-0.115,0.225,0.773,122.5,41.86,-2.03,0.11,-0.381,-1.297
-0.142,0.015,0.838,118.16,70.77,-8.33,0.114,-0.371,-1.302
-0.062,-0.052,0.874,88.76,89.95,-10.92,0.132,-0.353,-1.305
-0.023,-0.049,0.954,44.73,95.899,-6.51,0.134,-0.35,-1.309
-0.142,0.006,1.012,-3.29,87.5,3.22,0.149,-0.347,-1.307
-0.341,-0.002,0.977,-50.19,84.21,11.83,0.154,-0.353,-1.3
-0.414,-0.009,0.923,-96.81,114.66,19.6,0.161,-0.358,-1.298
-0.097,0.032,0.851,-168.63,141.75,16.17,0.175,-0.377,-1.275
0.223,0.079,0.663,-208.88,146.02,14.7,0.184,-0.389,-1.259
0.479,0.228,0.534,-233.1,126.77,15.4,0.198,-0.425,-1.232
0.61,0.459,0.416,-225.33,99.68,13.72,0.202,-0.438,-1.216
0.625,0.591,0.376,-183.05,67.76,10.64,0.2,-0.449,-1.207
0.588,0.56,0.353,-123.34,38.5,9.17,0.206,-0.462,-1.184
0.564,0.476,0.283,-73.92,15.68,11.76,0.202,-0.463,-1.174
0.551,0.422,0.21,-37.45,-8.26,16.38,0.201,-0.463,-1.168
0.499,0.404,0.204,-5.88,-37.66,20.65,0.186,-0.46,-1.159
0.404,0.338,0.143,30.87,-69.93,30.24,0.182,-0.456,-1.159
0.299,0.332,0.163,106.61,-117.95,39.2,0.166,-0.452,-1.159
-0.083,0.501,2.011,92.61,-146.58,44.8,0.134,-0.437,-1.158
-0.942,0.248,3.79,37.66,-94.36,21.0,0.121,-0.431,-1.153
-0.553,0.301,2.544,-0.7,117.74,43.96,0.108,-0.427,-1.151
-0.147,1.443,1.846,-117.81,39.62,56.28,0.103,-0.433,-1.137
0.258,0.913,0.724,-66.36,59.429,-27.58,0.111,-0.439,-1.129
0.21,0.381,0.35,5.67,-4.83,36.75,0.113,-0.439,-1.135
0.313,0.343,0.378,6.3,3.08,22.61,0.114,-0.439,-1.132
0.322,0.293,0.506,-24.22,-19.39,-3.22,0.107,-0.437,-1.132
-0.016,0.548,0.91,-45.15,-31.99,-5.18,0.105,-0.441,-1.12
-0.261,0.81,1.102,-34.23,-19.53,-8.4,0.103,-0.445,-1.115
-0.272,0.909,1.075,-3.01,-9.1,-7.77,0.101,-0.444,-1.118
-0.13,0.777,0.899,28.07,-1.75,-8.96,0.103,-0.446,-1.119
-0.076,0.571,0.777,38.92,-0.98,-15.19,0.106,-0.442,-1.128
-0.126,0.444,0.762,26.11,-2.24,-18.41,0.108,-0.444,-1.13
-0.197,0.449,0.787,1.26,-1.26,-12.53,0.114,-0.444,-1.134
-0.202,0.478,0.814,0.35,0.14,-5.81,0.112,-0.442,-1.132
-0.175,0.481,0.839,3.57,0.84,2.66,0.114,-0.442,-1.135
-0.157,0.481,0.847,5.6,0.91,7.63,0.106,-0.439,-1.139
-0.157,0.507,0.867,4.41,0.63,9.45,0.112,-0.441,-1.137
-0.153,0.524,0.88,4.76,2.45,7.7,0.104,-0.441,-1.136
-0.149,0.514,0.895,7.84,5.53,4.69,0.106,-0.439,-1.135
-0.132,0.45,0.871,11.34,7.07,2.66,0.109,-0.439,-1.142
-0.109,0.407,0.849,8.19,7.84,1.4,0.108,-0.438,-1.135
-0.092,0.394,0.841,0.91,6.79,1.19,0.107,-0.437,-1.141
-0.081,0.42,0.854,-7.07,5.25,1.61,0.107,-0.441,-1.135
-0.076,0.461,0.869,-13.79,4.06,2.38,0.108,-0.438,-1.133
-0.072,0.529,0.872,-17.5,2.94,3.43,0.106,-0.441,-1.132
-0.075,0.55,0.86,-16.94,2.31,3.64,0.106,-0.438,-1.131
-0.082,0.565,0.841,-14.42,1.4,3.36,0.106,-0.439,-1.134
-0.086,0.564,0.821,-10.71,0.63,3.36,0.106,-0.44,-1.132
-0.089,0.556,0.812,-7.91,-0.77,2.94,0.105,-0.443,-1.135
-0.092,0.544,0.813,-6.09,-1.33,2.17,0.108,-0.443,-1.133
-0.092,0.537,0.823,-4.76,-1.47,1.47,0.109,-0.45,-1.128
-0.09,0.531,0.833,-5.67,-0.49,0.63,0.107,-0.447,-1.127
-0.082,0.525,0.836,-8.82,0.07,0.56,0.109,-0.447,-1.128
-0.075,0.527,0.832,-11.34,0.77,0.56,0.111,-0.449,-1.123
-0.072,0.536,0.828,-13.65,1.12,0.14,0.11,-0.447,-1.129
-0.077,0.554,0.825,-14.28,0.7,0.35,0.113,-0.444,-1.126
-0.084,0.57,0.822,-12.04,0.84,0.84,0.108,-0.449,-1.125
