ax,ay,az,gx,gy,gz,mx,my,mz
-0.002,0.604,0.788,3.99,1.19,3.29,0.18,-0.466,-1.124
-0.001,0.597,0.794,3.85,1.26,2.87,0.183,-0.46,-1.124
0.0,0.586,0.8,3.57,1.19,2.31,0.184,-0.461,-1.135
0.003,0.575,0.802,2.59,0.7,1.89,0.182,-0.467,-1.139
0.009,0.57,0.798,1.33,0.14,1.96,0.181,-0.465,-1.129
0.008,0.572,0.798,-1.12,-0.42,2.1,0.18,-0.47,-1.13
0.007,0.585,0.79,-3.43,-0.7,2.52,0.181,-0.469,-1.134
0.005,0.6,0.786,-6.16,-1.33,2.38,0.182,-0.468,-1.131
0.0,0.623,0.776,-6.79,-1.75,2.03,0.182,-0.467,-1.133
-0.004,0.633,0.767,-6.16,-1.96,1.47,0.182,-0.468,-1.128
-0.007,0.642,0.766,-5.11,-2.45,1.26,0.181,-0.471,-1.129
-0.006,0.651,0.764,-2.66,-2.8,1.12,0.185,-0.474,-1.125
-0.005,0.645,0.765,0.42,-2.94,0.21,0.18,-0.468,-1.128
-0.003,0.634,0.773,2.87,-3.29,-0.91,0.182,-0.471,-1.135
-0.004,0.623,0.78,3.71,-3.22,-1.61,0.179,-0.472,-1.127
-0.006,0.617,0.783,4.34,-3.01,-1.26,0.184,-0.466,-1.124
-0.008,0.599,0.787,4.34,-2.59,-1.33,0.182,-0.466,-1.13
-0.006,0.591,0.79,3.43,-2.52,-0.98,0.183,-0.462,-1.131
-0.008,0.586,0.817,2.03,-2.38,-0.14,0.183,-0.465,-1.129
0.0,0.562,0.853,3.92,-3.01,0.56,0.179,-0.468,-1.129
0.032,0.529,0.896,4.83,-4.55,1.54,0.179,-0.466,-1.133
0.099,0.502,0.997,6.86,-8.61,-0.77,0.181,-0.468,-1.125
0.161,0.521,1.133,8.4,-15.54,0.7,0.181,-0.468,-1.134
0.189,0.516,1.18,10.64,-8.4,5.46,0.182,-0.47,-1.132
0.249,0.394,1.097,16.59,0.84,5.53,0.184,-0.474,-1.138
0.383,0.274,0.964,45.85,3.01,12.11,0.187,-0.473,-1.15
0.464,0.122,0.854,60.2,-7.42,14.63,0.189,-0.472,-1.151
0.462,0.04,0.736,52.429,-21.98,20.02,0.192,-0.472,-1.166
0.359,0.176,0.665,30.66,-38.36,30.03,0.191,-0.476,-1.169
0.137,0.436,0.624,26.6,-64.82,37.87,0.191,-0.481,-1.178
0.031,0.586,0.625,49.0,-74.97,39.41,0.183,-0.477,-1.18
-0.021,0.691,0.654,76.58,-83.44,36.61,0.183,-0.478,-1.189
-0.044,0.742,0.649,98.77,-89.95,31.64,0.168,-0.471,-1.207
-0.041,0.669,0.604,118.51,-101.57,26.6,0.163,-0.465,-1.215
-0.061,0.569,0.566,138.32,-122.15,28.07,0.15,-0.448,-1.233
-0.129,0.511,0.574,152.32,-143.85,25.13,0.141,-0.436,-1.244
-0.235,0.502,0.574,162.26,-168.98,10.57,0.116,-0.417,-1.261
-0.503,0.509,0.721,163.03,-182.98,-5.39,0.101,-0.402,-1.273
-0.766,0.521,1.001,130.9,-184.31,-31.64,0.093,-0.392,-1.279
-1.002,0.665,1.312,106.54,-153.79,-53.06,0.076,-0.373,-1.285
-0.908,0.663,0.856,129.71,-108.85,-58.45,0.071,-0.365,-1.294
-0.674,0.215,0.788,168.14,-107.03,-54.32,0.062,-0.343,-1.301
-0.615,0.043,0.656,140.28,-96.6,-81.27,0.06,-0.338,-1.312
-0.69,0.145,0.577,51.1,-84.35,-101.36,0.044,-0.325,-1.304
-0.684,0.169,0.628,25.97,-82.46,-113.75,0.045,-0.325,-1.311
-0.703,0.27,0.727,9.8,-82.18,-115.01,0.04,-0.327,-1.311
-0.789,0.243,0.949,3.78,-75.67,-113.82,0.032,-0.331,-1.306
-0.686,0.183,0.976,-3.71,-76.58,-110.11,0.036,-0.336,-1.298
-0.577,0.126,0.846,-31.85,-82.81,-108.15,0.034,-0.337,-1.3
-0.485,-0.13,0.692,-59.5,-75.67,-88.13,0.029,-0.354,-1.287
-0.407,-0.39,0.679,-99.82,-68.74,-71.54,0.028,-0.373,-1.277
-0.585,0.699,1.134,-193.27,-62.44,-16.45,0.024,-0.41,-1.246
-0.556,0.821,0.812,-150.85,-57.05,5.18,0.017,-0.42,-1.233
-0.664,0.829,0.502,-127.61,-54.11,15.4,0.012,-0.436,-1.22
-0.733,0.718,0.368,-118.3,-52.08,17.29,0.008,-0.441,-1.208
-0.95,0.3,0.462,-82.53,-41.65,15.82,-0.006,-0.448,-1.189
-1.088,0.021,0.381,-60.06,-27.3,16.94,-0.005,-0.451,-1.193
-1.076,0.121,0.453,-61.11,-14.14,20.51,-0.005,-0.455,-1.155
-0.818,0.239,0.562,-80.5,-15.26,23.59,-0.017,-0.462,-1.178
-0.605,0.545,0.644,-99.26,-17.92,29.54,-0.016,-0.464,-1.169
-0.517,0.755,0.581,-94.92,-19.25,27.58,-0.023,-0.469,-1.153
-0.576,0.886,0.391,-73.43,-21.35,24.64,-0.023,-0.472,-1.141
-0.64,0.839,0.29,-61.53,-27.16,25.62,-0.028,-0.474,-1.128
-0.719,0.744,0.196,-57.47,-30.38,27.93,-0.028,-0.478,-1.127
-0.753,0.665,0.148,-65.52,-27.51,35.7,-0.034,-0.479,-1.123
-0.782,0.615,0.122,-77.07,-19.67,47.39,-0.042,-0.479,-1.109
-0.853,0.57,0.101,-105.21,-11.83,60.2,-0.048,-0.481,-1.101
-0.886,0.708,0.015,-104.72,-11.41,65.8,-0.06,-0.476,-1.08
-0.854,0.741,0.044,-81.06,-15.47,68.25,-0.067,-0.478,-1.077
-0.84,0.611,0.098,-53.69,-23.03,69.929,-0.069,-0.477,-1.067
-0.848,0.513,0.133,-31.01,-29.12,71.96,-0.082,-0.47,-1.06
-0.864,0.467,0.086,-17.78,-36.96,76.51,-0.09,-0.464,-1.064
-0.877,0.464,0.137,-6.3,-44.73,83.3,-0.1,-0.456,-1.053
-0.886,0.541,0.143,22.82,-60.48,95.409,-0.106,-0.449,-1.056
-0.879,0.503,0.279,64.399,-85.75,102.34,-0.123,-0.434,-1.05
-0.961,0.362,0.307,111.58,-115.71,108.01,-0.126,-0.423,-1.052
-1.187,0.283,0.283,143.64,-138.81,118.86,-0.144,-0.412,-1.05
-1.511,0.353,0.311,161.63,-154.98,125.58,-0.166,-0.389,-1.039
-1.833,0.482,0.34,171.43,-162.33,129.08,-0.171,-0.375,-1.047
-2.166,0.735,0.377,156.73,-144.41,122.22,-0.185,-0.352,-1.034
-1.045,-0.85,-0.175,-117.67,95.27,-122.57,-0.181,-0.359,-1.038
-0.798,-0.858,-0.131,-167.51,92.33,-130.62,-0.175,-0.368,-1.033
-0.693,-0.825,-0.096,-202.93,83.159,-118.51,-0.159,-0.396,-1.033
-0.649,-0.634,-0.02,-245.7,76.09,-98.56,-0.15,-0.405,-1.02
-0.667,-0.223,-0.061,-276.08,78.679,-93.17,-0.109,-0.428,-0.998
-0.685,0.073,-0.077,-299.18,87.22,-87.43,-0.13,-0.431,-0.99
-0.688,0.215,-0.011,-289.52,102.76,-73.22,-0.131,-0.438,-0.974
-0.623,0.186,0.045,-240.8,116.48,-38.57,-0.117,-0.448,-0.964
-0.56,0.205,0.069,-155.05,121.52,6.51,-0.123,-0.446,-0.967
-0.507,0.196,0.065,-65.31,126.98,31.57,-0.125,-0.449,-0.967
-0.446,0.11,0.063,-3.92,129.71,34.44,-0.133,-0.441,-0.985
-0.39,0.001,0.077,31.71,126.28,53.69,-0.135,-0.437,-0.994
-0.383,-0.034,0.12,50.889,114.59,51.659,-0.137,-0.439,-1.004
-0.407,-0.014,0.129,56.0,104.16,56.56,-0.14,-0.427,-1.021
-0.489,0.023,0.082,51.59,94.429,60.69,-0.141,-0.424,-1.034
-0.573,0.069,0.053,48.159,84.77,68.04,-0.145,-0.412,-1.055
-0.703,0.112,0.052,45.71,73.29,76.86,-0.151,-0.409,-1.057
-0.905,0.13,0.059,39.34,58.31,86.379,-0.15,-0.392,-1.078
-1.21,0.13,0.058,26.11,43.89,97.44,-0.157,-0.384,-1.076
-1.805,0.146,-0.004,-16.38,26.81,114.38,-0.162,-0.374,-1.074
-1.848,0.169,-0.035,-66.43,38.08,109.83,-0.172,-0.361,-1.08
-1.49,0.21,-0.104,-124.46,63.35,95.83,-0.181,-0.355,-1.077
-1.132,0.279,-0.111,-170.52,69.58,86.03,-0.18,-0.348,-1.067
-0.878,0.333,-0.024,-204.96,57.33,71.47,-0.186,-0.344,-1.064
-0.68,0.347,0.062,-224.14,45.22,49.35,-0.185,-0.346,-1.058
-0.526,0.331,0.112,-223.58,33.67,27.3,-0.187,-0.349,-1.046
