ax,ay,az,gx,gy,gz,mx,my,mz
-0.061,0.006,0.99,0.42,-1.05,-1.33,0.316,-0.15,-1.365
-0.063,0.004,0.991,0.7,-1.61,-1.82,0.318,-0.149,-1.363
-0.068,-0.001,0.991,0.7,-1.96,-2.66,0.314,-0.152,-1.363
-0.069,-0.01,0.991,0.63,-1.82,-3.15,0.315,-0.147,-1.355
-0.065,-0.017,0.99,0.63,-1.75,-3.15,0.32,-0.15,-1.365
-0.068,-0.027,0.993,0.77,-2.03,-2.38,0.319,-0.146,-1.363
-0.068,-0.032,0.999,0.77,-2.03,-1.47,0.314,-0.151,-1.364
-0.068,-0.032,0.995,0.56,-1.33,-0.35,0.318,-0.146,-1.364
-0.066,-0.023,0.999,0.56,-1.4,1.26,0.32,-0.15,-1.366
-0.062,-0.015,1.0,1.26,-1.05,2.1,0.315,-0.149,-1.366
-0.062,-0.013,0.999,2.45,-1.96,3.36,0.314,-0.149,-1.361
-0.072,-0.014,0.997,2.38,-2.45,3.29,0.317,-0.149,-1.359
-0.056,-0.019,0.988,1.47,-3.71,2.8,0.314,-0.148,-1.361
-0.047,-0.01,0.999,0.77,-7.49,3.5,0.317,-0.151,-1.36
-0.078,0.017,1.009,2.52,-7.42,4.9,0.318,-0.149,-1.358
-0.087,0.013,0.996,8.75,-3.71,4.69,0.311,-0.145,-1.359
-0.07,-0.027,0.987,16.94,-2.8,6.3,0.312,-0.14,-1.36
-0.066,-0.133,0.968,12.04,-3.57,6.79,0.313,-0.145,-1.36
-0.087,-0.242,0.999,-9.87,-5.25,5.11,0.314,-0.144,-1.358
-0.142,-0.422,1.051,-73.29,-6.02,-2.38,0.312,-0.156,-1.363
-0.208,-0.606,1.172,-196.98,-0.28,-11.97,0.313,-0.165,-1.36
-0.218,-0.874,1.232,-392.56,19.74,-35.56,0.321,-0.235,-1.354
-0.101,-1.057,0.859,-628.88,53.69,-63.77,0.324,-0.292,-1.331
0.082,-1.428,0.037,-938.77,79.8,-102.9,0.33,-0.364,-1.294
0.106,-1.429,-2.483,-1313.691,66.429,-112.28,0.353,-0.513,-1.134
0.147,1.036,-3.593,-1373.681,6.16,-102.55,0.357,-0.554,-1.02
0.603,3.517,-3.356,-1128.12,-7.77,-124.88,0.364,-0.531,-0.811
0.84,3.997,-1.968,-595.7,-31.36,-38.78,0.373,-0.506,-0.768
0.075,3.73,-0.636,36.89,-86.87,-34.09,0.371,-0.534,-0.788
-0.385,2.048,-0.661,337.68,-49.84,-48.37,0.385,-0.521,-0.818
-0.238,1.618,-1.103,647.71,5.95,-25.13,0.392,-0.533,-0.866
