ax,ay,az,gx,gy,gz,mx,my,mz
-0.863,0.118,0.305,-108.08,-44.94,40.25,-0.206,-0.072,-1.114
-0.873,0.17,0.292,-114.03,-44.52,38.71,-0.206,-0.072,-1.119
-0.88,0.23,0.282,-105.0,-42.84,38.85,-0.206,-0.071,-1.113
-0.88,0.279,0.281,-84.7,-42.07,39.97,-0.209,-0.069,-1.111
-0.876,0.298,0.294,-56.98,-41.93,41.72,-0.209,-0.065,-1.11
-0.871,0.271,0.294,-30.66,-41.16,42.7,-0.214,-0.062,-1.102
-0.871,0.226,0.289,-11.55,-40.53,43.12,-0.216,-0.061,-1.101
-0.878,0.188,0.286,-1.68,-40.6,42.07,-0.218,-0.059,-1.101
-1.102,0.174,0.422,7.63,-44.94,35.14,-0.219,-0.039,-1.08
-1.597,0.188,0.301,-37.73,1.4,-23.87,-0.222,-0.033,-1.072
-1.549,0.215,0.31,-38.43,22.4,-38.71,-0.226,-0.041,-1.077
-1.431,0.228,0.335,-29.82,46.9,-60.27,-0.225,-0.044,-1.079
-1.204,0.243,0.313,-23.66,59.78,-74.06,-0.231,-0.058,-1.091
-1.084,0.276,0.247,-13.58,65.59,-85.82,-0.223,-0.067,-1.101
-1.066,0.302,0.166,2.17,58.03,-93.8,-0.223,-0.077,-1.109
-1.179,0.314,0.15,26.11,39.83,-96.74,-0.222,-0.093,-1.109
-1.355,0.316,0.178,56.07,31.43,-96.04,-0.223,-0.097,-1.111
-1.487,0.298,0.208,89.6,45.08,-92.19,-0.22,-0.102,-1.115
-1.47,0.249,0.183,127.19,92.26,-86.8,-0.22,-0.113,-1.126
-1.231,0.137,0.105,136.43,108.5,-87.01,-0.214,-0.116,-1.135
-1.077,0.086,0.072,134.12,113.33,-87.5,-0.208,-0.122,-1.15
-0.981,0.054,0.063,121.52,110.46,-90.58,-0.205,-0.121,-1.157
-0.954,0.029,0.056,101.64,107.31,-95.41,-0.198,-0.133,-1.18
-0.972,0.013,0.052,79.31,105.21,-99.75,-0.19,-0.135,-1.185
-0.994,-0.003,0.053,56.84,105.63,-103.95,-0.182,-0.14,-1.202
-0.998,-0.003,0.046,34.86,108.71,-106.75,-0.174,-0.157,-1.211
-0.977,0.004,0.027,5.46,111.44,-106.33,-0.166,-0.166,-1.222
-0.935,0.019,-0.005,-8.26,110.18,-101.99,-0.157,-0.175,-1.228
-0.933,0.045,-0.007,-19.18,106.33,-95.76,-0.146,-0.194,-1.243
-0.939,0.067,-0.011,-26.95,103.32,-88.83,-0.131,-0.202,-1.248
-0.926,0.075,-0.018,-33.18,101.99,-81.41,-0.114,-0.217,-1.259
-0.885,0.071,-0.025,-37.38,99.26,-73.29,-0.11,-0.225,-1.265
-0.826,0.06,-0.039,-40.95,93.87,-65.8,-0.106,-0.233,-1.274
-0.781,0.055,-0.051,-45.36,84.7,-51.38,-0.087,-0.248,-1.282
-0.781,0.064,-0.034,-48.93,62.79,-38.43,-0.081,-0.253,-1.281
-0.813,0.092,-0.018,-47.32,47.81,-23.17,-0.073,-0.266,-1.291
-0.868,0.129,-0.006,-41.72,32.13,-6.58,-0.067,-0.267,-1.292
-0.941,0.152,-0.002,-32.48,15.47,10.43,-0.065,-0.268,-1.29
-1.043,0.154,-0.008,-22.05,-0.98,28.91,-0.07,-0.277,-1.288
-1.167,0.151,0.0,-12.81,-17.92,47.67,-0.072,-0.274,-1.286
-1.257,0.106,-0.036,-7.84,-38.92,67.76,-0.079,-0.264,-1.278
-1.306,0.064,-0.039,-12.53,-56.14,79.24,-0.081,-0.262,-1.272
-1.291,0.044,0.016,-18.97,-70.63,89.53,-0.094,-0.257,-1.265
-1.14,0.053,0.084,-25.41,-81.62,95.409,-0.102,-0.248,-1.259
-0.981,0.081,0.178,-23.17,-95.69,99.89,-0.112,-0.241,-1.251
-0.92,0.116,0.249,-13.3,-119.91,104.23,-0.133,-0.233,-1.242
-1.032,0.14,0.317,8.75,-135.03,107.52,-0.141,-0.224,-1.229
-1.145,0.119,0.32,25.41,-143.15,110.46,-0.165,-0.204,-1.213
-1.234,0.075,0.3,36.96,-141.96,110.67,-0.172,-0.197,-1.201
-1.274,0.023,0.267,40.11,-129.92,109.27,-0.213,-0.169,-1.184
-1.248,-0.002,0.218,35.28,-108.08,108.5,-0.194,-0.158,-1.176
-1.188,-0.005,0.179,25.2,-86.45,106.96,-0.196,-0.153,-1.166
-1.057,-0.069,0.179,-1.19,-60.83,97.37,-0.21,-0.13,-1.161
-0.985,-0.086,0.202,-26.46,-51.17,91.49,-0.21,-0.121,-1.148
-0.929,-0.067,0.243,-57.33,-43.82,83.58,-0.213,-0.113,-1.143
-0.879,-0.038,0.257,-87.71,-36.89,74.27,-0.213,-0.111,-1.137
-0.848,0.025,0.249,-112.84,-32.9,66.22,-0.212,-0.113,-1.135
-0.836,0.09,0.223,-129.571,-28.21,56.7,-0.218,-0.11,-1.136
-0.848,0.149,0.172,-140.77,-26.04,52.5,-0.219,-0.108,-1.13
-0.871,0.193,0.157,-140.91,-25.69,50.05,-0.219,-0.118,-1.135
-0.9,0.228,0.157,-134.821,-26.04,47.88,-0.221,-0.117,-1.13
-0.923,0.24,0.172,-123.76,-25.41,46.2,-0.217,-0.118,-1.131
-0.924,0.236,0.186,-111.51,-22.82,45.29,-0.222,-0.12,-1.126
-0.855,0.222,0.174,-97.16,-20.86,44.52,-0.219,-0.118,-1.126
-0.836,0.224,0.178,-89.25,-27.65,45.29,-0.22,-0.119,-1.118
-0.881,0.25,0.214,-78.68,-40.81,48.23,-0.223,-0.116,-1.121
-0.975,0.289,0.278,-63.49,-52.36,51.1,-0.226,-0.107,-1.113
-1.064,0.311,0.292,-45.99,-56.14,52.22,-0.231,-0.101,-1.109
