ax,ay,az,gx,gy,gz,mx,my,mz
-0.954,0.252,0.227,-1.05,-5.39,0.84,-0.25,-0.27,-0.92
-0.955,0.247,0.235,-1.89,-5.18,1.61,-0.246,-0.266,-0.923
-0.943,0.239,0.239,-2.45,-4.97,2.66,-0.246,-0.267,-0.918
-0.935,0.235,0.241,-2.38,-5.81,3.78,-0.249,-0.267,-0.917
-0.937,0.226,0.241,-1.19,-6.44,4.9,-0.247,-0.266,-0.923
-0.936,0.18,0.243,0.7,-7.49,8.05,-0.244,-0.264,-0.92
-0.935,0.152,0.251,0.14,-8.05,11.41,-0.247,-0.264,-0.921
-0.932,0.14,0.252,-2.38,-8.12,15.4,-0.247,-0.266,-0.919
-0.926,0.14,0.246,-5.6,-7.7,19.04,-0.242,-0.26,-0.917
-0.939,0.15,0.245,-7.49,-8.54,22.05,-0.248,-0.254,-0.922
-0.958,0.164,0.251,-6.93,-9.17,24.85,-0.25,-0.252,-0.922
-0.965,0.166,0.244,-5.32,-9.17,25.06,-0.249,-0.249,-0.916
-0.964,0.156,0.242,-4.83,-9.31,24.08,-0.25,-0.244,-0.914
-0.967,0.14,0.236,-5.74,-9.52,22.47,-0.254,-0.239,-0.911
-0.97,0.126,0.23,-7.77,-9.24,20.93,-0.256,-0.238,-0.911
-0.968,0.121,0.225,-11.69,-8.75,18.41,-0.257,-0.236,-0.91
-0.964,0.118,0.208,-17.64,-8.19,14.21,-0.253,-0.234,-0.912
-0.984,0.135,0.204,-20.51,-9.17,11.62,-0.256,-0.23,-0.905
-1.001,0.155,0.21,-21.14,-9.94,9.45,-0.259,-0.236,-0.909
-1.011,0.166,0.216,-18.48,-10.71,7.63,-0.258,-0.228,-0.91
-1.011,0.167,0.218,-14.77,-11.48,6.23,-0.26,-0.228,-0.901
-0.988,0.156,0.214,-12.74,-11.69,4.62,-0.258,-0.228,-0.904
-0.925,0.147,0.225,-13.65,-12.11,3.57,-0.257,-0.224,-0.907
-0.887,0.163,0.236,-15.12,-12.18,2.87,-0.257,-0.227,-0.9
-0.851,0.184,0.249,-14.91,-11.62,1.89,-0.258,-0.222,-0.896
-0.827,0.202,0.255,-12.39,-10.5,1.89,-0.261,-0.223,-0.895
-0.831,0.226,0.256,-6.3,-9.1,5.11,-0.252,-0.221,-0.895
-0.92,0.275,0.26,-1.26,-8.47,9.87,-0.253,-0.219,-0.896
-0.992,0.296,0.271,4.13,-6.72,15.82,-0.255,-0.218,-0.897
-1.019,0.294,0.276,7.63,-4.06,21.56,-0.257,-0.217,-0.898
-1.016,0.3,0.276,6.51,-1.47,25.41,-0.26,-0.213,-0.897
-1.019,0.319,0.278,2.45,0.07,27.09,-0.261,-0.211,-0.897
-1.012,0.326,0.277,-4.13,3.36,24.78,-0.266,-0.208,-0.896
-1.0,0.333,0.282,-9.03,5.39,21.77,-0.257,-0.204,-0.896
-0.98,0.341,0.297,-13.65,6.51,16.8,-0.264,-0.198,-0.9
-0.949,0.358,0.304,-16.38,8.05,10.08,-0.267,-0.195,-0.899
-0.915,0.376,0.306,-14.77,9.45,2.87,-0.267,-0.2,-0.903
-0.875,0.364,0.303,-5.81,10.08,-6.44,-0.263,-0.201,-0.904
-0.847,0.335,0.299,-0.07,10.99,-11.2,-0.263,-0.199,-0.907
-0.818,0.305,0.296,2.8,12.18,-15.19,-0.261,-0.2,-0.905
-0.791,0.283,0.292,3.5,13.93,-17.29,-0.264,-0.204,-0.902
-0.772,0.273,0.287,2.87,14.98,-17.85,-0.266,-0.204,-0.909
