ax,ay,az,gx,gy,gz,mx,my,mz
-0.941,0.107,0.292,0.14,-2.24,0.7,-0.223,-0.29,-0.991
-0.942,0.11,0.293,0.21,-2.73,0.56,-0.222,-0.292,-0.999
-0.952,0.105,0.298,1.26,-3.5,0.42,-0.224,-0.29,-0.998
-0.958,0.102,0.305,0.98,-3.92,0.56,-0.224,-0.291,-0.989
-0.957,0.102,0.309,0.07,-3.57,0.49,-0.227,-0.292,-0.992
-0.95,0.105,0.311,-0.7,-3.99,0.14,-0.224,-0.291,-0.987
-0.945,0.11,0.315,-0.63,-4.2,-0.14,-0.227,-0.297,-0.993
-0.945,0.112,0.324,1.4,-4.9,-0.28,-0.231,-0.295,-0.994
-0.947,0.109,0.329,3.08,-5.04,0.0,-0.229,-0.296,-0.992
-0.95,0.101,0.328,4.2,-5.18,0.28,-0.229,-0.293,-0.991
-0.964,0.099,0.332,4.13,-5.11,0.35,-0.231,-0.296,-0.989
-0.966,0.1,0.337,3.43,-4.55,0.56,-0.231,-0.296,-0.988
-0.957,0.099,0.338,2.73,-3.92,0.49,-0.225,-0.295,-0.995
-0.955,0.092,0.336,1.19,-3.01,-0.35,-0.228,-0.288,-0.992
-0.955,0.09,0.33,-0.7,-2.1,-0.84,-0.231,-0.295,-0.991
-0.95,0.095,0.327,-1.68,-1.12,-0.91,-0.226,-0.295,-0.989
-0.949,0.096,0.32,-2.03,-0.91,-0.91,-0.23,-0.291,-0.982
-0.951,0.095,0.312,-1.82,-0.84,-0.84,-0.225,-0.293,-0.992
-0.955,0.099,0.306,-1.89,-0.56,-1.05,-0.225,-0.293,-0.991
-0.959,0.101,0.295,-1.05,-1.19,-1.19,-0.224,-0.296,-0.989
-0.96,0.098,0.294,0.07,-1.33,-1.05,-0.222,-0.293,-0.987
-0.962,0.094,0.29,0.07,-1.75,-0.63,-0.226,-0.291,-0.994
-0.962,0.091,0.287,-0.21,-2.17,-0.84,-0.227,-0.294,-0.985
-0.957,0.092,0.287,-0.35,-2.38,-1.05,-0.226,-0.295,-0.985
-0.953,0.092,0.283,-1.19,-2.73,-1.33,-0.228,-0.297,-0.992
-0.953,0.09,0.285,-0.7,-3.36,-1.12,-0.227,-0.295,-0.999
-0.953,0.089,0.288,-0.21,-3.64,-0.77,-0.227,-0.295,-0.994
-0.956,0.085,0.288,-0.07,-4.13,-0.28,-0.227,-0.296,-0.989
-0.959,0.086,0.29,-0.14,-4.06,0.56,-0.23,-0.293,-0.993
