ax,ay,az,gx,gy,gz,mx,my,mz
0.096,0.962,0.27,10.22,-5.53,1.26,0.263,-0.491,-1.016
0.094,0.991,0.285,10.78,-5.53,-1.12,0.261,-0.493,-1.012
0.1,0.961,0.288,14.42,-4.83,-0.14,0.266,-0.494,-1.023
0.108,0.921,0.282,13.37,-4.55,0.14,0.261,-0.494,-1.016
0.107,0.907,0.29,11.55,-4.55,0.42,0.266,-0.496,-1.022
0.104,0.913,0.291,7.7,-4.27,0.56,0.267,-0.494,-1.025
0.105,0.926,0.292,4.83,-4.34,0.35,0.263,-0.492,-1.027
0.105,0.953,0.295,3.71,-4.27,0.28,0.262,-0.495,-1.021
0.101,0.954,0.298,6.65,-4.2,0.63,0.263,-0.492,-1.026
0.096,0.92,0.295,8.26,-4.83,0.91,0.262,-0.491,-1.025
0.093,0.926,0.301,8.47,-4.97,0.14,0.261,-0.488,-1.03
0.094,0.948,0.309,7.49,-4.83,-0.28,0.259,-0.487,-1.026
0.105,0.958,0.332,6.65,-3.43,-1.05,0.261,-0.492,-1.023
0.097,0.955,0.329,10.92,-2.87,-0.07,0.267,-0.489,-1.031
0.098,0.915,0.347,10.22,-2.38,-0.63,0.261,-0.491,-1.034
0.096,0.883,0.372,8.12,-2.31,-0.91,0.264,-0.493,-1.031
0.116,0.858,0.363,4.97,-4.97,0.07,0.261,-0.489,-1.033
0.137,0.893,0.371,0.14,-6.44,2.94,0.266,-0.489,-1.033
0.146,0.92,0.377,-3.78,-7.77,5.25,0.261,-0.491,-1.035
0.157,0.943,0.399,-11.62,-8.54,5.81,0.262,-0.493,-1.037
0.143,0.972,0.45,-18.9,-6.02,4.41,0.261,-0.492,-1.032
0.169,0.948,0.419,-25.13,-2.73,0.42,0.264,-0.495,-1.025
0.167,0.935,0.358,-28.56,-3.15,-4.9,0.267,-0.494,-1.024
0.195,0.959,0.373,-28.0,-4.9,-6.16,0.267,-0.497,-1.021
0.195,0.957,0.393,-22.96,-3.78,-8.19,0.266,-0.494,-1.017
0.183,0.97,0.448,-0.28,-0.7,-11.13,0.268,-0.499,-1.009
0.198,1.007,0.505,-13.3,2.94,-13.93,0.27,-0.5,-1.009
0.227,1.017,0.467,-7.28,6.02,-16.59,0.272,-0.501,-1.006
