ax,ay,az,gx,gy,gz,mx,my,mz
-0.921,0.257,0.313,1.68,-2.87,-0.63,-0.184,-0.355,-1.015
-0.928,0.253,0.31,1.19,-3.15,-1.05,-0.19,-0.357,-1.021
-0.923,0.25,0.313,0.77,-2.52,-0.98,-0.187,-0.353,-1.021
-0.914,0.25,0.314,0.28,-2.52,-0.21,-0.191,-0.358,-1.019
-0.912,0.254,0.311,0.63,-2.38,0.14,-0.19,-0.352,-1.012
-0.918,0.25,0.311,0.91,-2.59,0.56,-0.186,-0.353,-1.015
-0.928,0.251,0.312,0.42,-2.59,0.91,-0.188,-0.351,-1.023
-0.93,0.259,0.309,-0.21,-2.38,1.4,-0.187,-0.354,-1.021
-0.93,0.268,0.307,-0.28,-2.59,1.4,-0.186,-0.352,-1.016
-0.927,0.272,0.31,1.05,-2.59,1.05,-0.191,-0.356,-1.014
-0.924,0.26,0.31,1.54,-2.73,0.35,-0.191,-0.354,-1.013
-0.919,0.259,0.307,0.84,-2.94,-0.28,-0.193,-0.355,-1.016
-0.917,0.259,0.309,-0.07,-2.8,-0.7,-0.188,-0.35,-1.012
-0.916,0.262,0.309,0.0,-2.87,-0.49,-0.19,-0.353,-1.01
-0.918,0.262,0.31,0.56,-3.01,0.21,-0.189,-0.356,-1.013
-0.921,0.257,0.312,1.19,-2.8,0.91,-0.191,-0.353,-1.016
-0.924,0.258,0.31,0.63,-2.8,1.12,-0.188,-0.355,-1.021
-0.925,0.264,0.31,-0.35,-2.66,0.77,-0.192,-0.354,-1.014
-0.925,0.27,0.311,-0.98,-2.66,0.28,-0.193,-0.355,-1.014
-0.924,0.272,0.311,-0.56,-2.66,-0.42,-0.187,-0.355,-1.014
-0.921,0.267,0.311,0.28,-2.59,-0.84,-0.184,-0.356,-1.011
-0.919,0.26,0.308,0.77,-2.87,-0.84,-0.19,-0.353,-1.009
-0.919,0.255,0.31,0.56,-2.8,-0.63,-0.186,-0.355,-1.009
-0.927,0.257,0.321,-0.7,-2.73,-0.28,-0.188,-0.356,-1.01
-0.938,0.259,0.334,-4.69,-2.45,-0.84,-0.19,-0.358,-1.023
-0.929,0.269,0.335,-15.33,-0.7,-3.99,-0.186,-0.351,-1.016
-0.926,0.311,0.332,-21.21,-1.96,-5.53,-0.187,-0.353,-1.012
-0.934,0.343,0.352,-28.14,-2.45,-6.3,-0.188,-0.354,-1.007
-0.92,0.385,0.391,-31.36,-3.22,-8.12,-0.184,-0.357,-1.006
-0.903,0.449,0.434,-28.49,-4.55,-9.94,-0.182,-0.358,-1.008
-0.889,0.507,0.438,-17.22,-2.8,-15.96,-0.189,-0.359,-1.001
-0.849,0.491,0.425,-2.17,-1.54,-20.86,-0.179,-0.366,-1.001
-0.818,0.427,0.428,-1.05,-0.42,-24.36,-0.179,-0.368,-1.0
-0.802,0.411,0.473,-9.45,0.63,-27.37,-0.172,-0.371,-1.001
-0.809,0.481,0.508,-22.33,2.59,-31.78,-0.174,-0.37,-0.999
-0.831,0.573,0.512,-28.7,5.88,-37.59,-0.172,-0.372,-0.995
-0.842,0.635,0.496,-26.81,10.22,-46.48,-0.166,-0.38,-1.0
-0.839,0.66,0.496,-22.4,16.17,-61.53,-0.165,-0.388,-1.004
-0.838,0.714,0.581,-18.34,20.02,-71.61,-0.16,-0.398,-1.001
-0.823,0.723,0.574,-16.73,27.58,-84.84,-0.152,-0.409,-1.001
-0.792,0.741,0.557,-20.37,32.55,-98.49,-0.145,-0.418,-1.008
-0.775,0.803,0.551,-27.51,34.93,-111.93,-0.132,-0.425,-1.006
-0.765,0.867,0.561,-27.65,36.05,-125.16,-0.125,-0.437,-1.002
-0.758,0.892,0.583,-2.59,39.76,-140.071,-0.099,-0.452,-1.011
-0.738,0.809,0.514,20.02,45.64,-147.071,-0.091,-0.466,-1.018
-0.711,0.74,0.417,31.5,51.73,-153.44,-0.062,-0.482,-1.026
-0.687,0.681,0.362,28.98,55.51,-162.05,-0.05,-0.494,-1.031
-0.662,0.648,0.358,18.06,56.77,-169.12,-0.041,-0.495,-1.038
-0.657,0.663,0.395,5.04,56.21,-175.49,-0.002,-0.511,-1.044
-0.67,0.749,0.405,-3.5,57.33,-182.7,0.014,-0.518,-1.043
-0.641,0.759,0.337,1.26,58.52,-185.01,0.05,-0.533,-1.048
-0.587,0.753,0.283,5.74,56.77,-183.96,0.069,-0.536,-1.045
-0.551,0.794,0.301,3.22,52.5,-181.93,0.1,-0.541,-1.059
-0.549,0.845,0.315,1.96,48.649,-180.81,0.118,-0.548,-1.056
-0.53,0.896,0.308,15.4,43.47,-178.78,0.157,-0.55,-1.052
-0.485,0.863,0.319,29.82,39.97,-176.19,0.175,-0.55,-1.06
-0.44,0.848,0.324,35.91,36.47,-173.95,0.191,-0.553,-1.065
-0.413,0.864,0.339,32.62,32.34,-172.83,0.224,-0.551,-1.064
-0.377,0.86,0.371,28.7,28.21,-170.87,0.243,-0.548,-1.075
-0.333,0.857,0.413,31.78,24.71,-166.46,0.273,-0.538,-1.069
-0.295,0.861,0.442,40.95,24.43,-160.3,0.289,-0.535,-1.077
-0.254,0.83,0.473,41.86,26.32,-157.64,0.304,-0.531,-1.078
-0.205,0.801,0.476,32.48,28.42,-154.42,0.334,-0.518,-1.088
-0.13,0.802,0.473,15.12,28.63,-153.86,0.345,-0.512,-1.087
-0.09,0.817,0.495,3.29,27.44,-152.46,0.372,-0.499,-1.086
-0.069,0.818,0.518,0.91,27.79,-149.31,0.381,-0.493,-1.086
-0.061,0.815,0.451,1.82,32.13,-147.21,0.405,-0.483,-1.084
-0.008,0.746,0.346,7.42,32.97,-147.14,0.421,-0.472,-1.084
0.067,0.656,0.27,12.53,30.66,-144.83,0.428,-0.461,-1.083
0.109,0.578,0.3,18.83,27.09,-138.74,0.447,-0.452,-1.073
0.116,0.595,0.347,26.88,25.48,-129.08,0.458,-0.438,-1.081
0.139,0.558,0.358,37.24,24.92,-115.01,0.471,-0.42,-1.079
0.21,0.581,0.273,31.22,21.21,-110.95,0.484,-0.412,-1.077
0.277,0.59,0.334,34.86,14.35,-109.62,0.496,-0.395,-1.076
0.338,0.529,0.444,44.17,9.24,-106.12,0.501,-0.384,-1.08
0.389,0.433,0.519,53.899,6.16,-99.61,0.511,-0.374,-1.087
0.441,0.373,0.51,52.29,3.08,-92.54,0.514,-0.361,-1.086
0.498,0.354,0.481,47.11,-3.57,-83.16,0.525,-0.349,-1.089
0.57,0.276,0.519,43.54,-8.26,-75.18,0.529,-0.338,-1.094
0.606,0.24,0.588,38.22,-12.11,-67.48,0.532,-0.328,-1.091
0.622,0.239,0.694,31.71,-14.91,-60.55,0.535,-0.321,-1.097
0.625,0.275,0.717,29.05,-14.84,-52.78,0.539,-0.314,-1.104
0.636,0.282,0.685,33.6,-13.23,-45.43,0.537,-0.306,-1.105
0.69,0.251,0.633,39.27,-11.76,-35.49,0.537,-0.297,-1.11
0.702,0.234,0.678,30.52,-12.32,-33.11,0.539,-0.295,-1.104
0.686,0.242,0.763,18.13,-12.81,-30.73,0.543,-0.286,-1.116
0.671,0.265,0.794,10.64,-9.73,-26.32,0.544,-0.284,-1.113
0.681,0.312,0.765,12.25,-7.0,-22.61,0.541,-0.274,-1.111
0.71,0.3,0.703,21.07,-4.48,-18.55,0.545,-0.277,-1.111
0.717,0.291,0.686,21.7,-4.27,-16.73,0.542,-0.275,-1.111
0.707,0.295,0.689,19.46,-4.41,-15.96,0.546,-0.267,-1.116
0.685,0.307,0.698,18.62,-5.25,-14.56,0.542,-0.266,-1.117
0.681,0.317,0.703,18.83,-5.95,-12.39,0.544,-0.263,-1.12
0.648,0.315,0.732,22.05,-5.32,-10.15,0.544,-0.261,-1.123
0.633,0.284,0.749,21.21,-2.87,-7.98,0.545,-0.26,-1.123
0.646,0.268,0.736,11.76,0.49,-5.46,0.547,-0.254,-1.123
0.683,0.299,0.7,-0.7,1.82,-4.76,0.545,-0.256,-1.12
0.707,0.336,0.666,-6.72,-0.14,-3.99,0.546,-0.256,-1.122
0.702,0.335,0.676,-3.29,-4.13,-1.68,0.548,-0.254,-1.125
0.679,0.32,0.724,1.33,-5.04,-0.35,0.544,-0.252,-1.119
0.677,0.325,0.756,5.95,-5.53,0.63,0.545,-0.256,-1.124
0.687,0.323,0.758,8.89,-5.04,1.33,0.545,-0.256,-1.124
0.702,0.311,0.75,7.98,-5.39,1.12,0.546,-0.255,-1.127
0.712,0.31,0.741,3.92,-6.37,0.14,0.542,-0.257,-1.129
0.702,0.297,0.735,0.14,-7.84,-1.05,0.546,-0.256,-1.124
0.696,0.281,0.74,-1.33,-8.54,-1.96,0.546,-0.253,-1.13
0.692,0.265,0.749,1.05,-8.05,-1.75,0.55,-0.254,-1.13
0.691,0.266,0.75,2.52,-7.77,-0.84,0.546,-0.258,-1.131
0.69,0.288,0.752,2.17,-7.42,-1.12,0.548,-0.255,-1.129
0.685,0.301,0.743,2.45,-6.51,-1.19,0.544,-0.254,-1.13
0.673,0.296,0.728,3.15,-5.74,-2.03,0.549,-0.252,-1.126
0.666,0.292,0.689,5.67,-5.67,-3.36,0.545,-0.254,-1.129
0.657,0.274,0.675,6.79,-5.88,-4.13,0.546,-0.251,-1.13
0.647,0.261,0.678,7.98,-6.37,-4.62,0.548,-0.251,-1.126
0.644,0.249,0.678,8.26,-6.58,-4.55,0.548,-0.254,-1.128
0.646,0.245,0.682,4.2,-5.88,-4.55,0.547,-0.252,-1.135
0.637,0.238,0.705,2.45,-5.46,-4.69,0.546,-0.251,-1.131
0.632,0.227,0.709,2.59,-4.06,-3.64,0.547,-0.249,-1.13
0.625,0.229,0.708,2.87,-2.59,-2.52,0.548,-0.249,-1.128
0.622,0.23,0.691,2.31,-1.19,-1.75,0.552,-0.248,-1.13
0.629,0.234,0.684,0.77,-0.98,-1.26,0.548,-0.249,-1.134
0.64,0.245,0.699,-1.4,-1.26,-1.12,0.548,-0.247,-1.133
0.641,0.259,0.702,-2.66,-1.26,-0.91,0.547,-0.248,-1.134
0.645,0.253,0.696,-0.98,-1.19,0.14,0.551,-0.245,-1.132
0.647,0.237,0.694,-0.77,-1.33,0.91,0.55,-0.245,-1.13
0.646,0.244,0.689,-3.22,-1.54,0.7,0.545,-0.246,-1.136
0.645,0.269,0.692,-5.6,-2.24,-0.28,0.548,-0.246,-1.131
0.648,0.279,0.699,-4.9,-2.73,-0.91,0.548,-0.25,-1.133
0.644,0.278,0.712,-3.01,-3.01,-1.47,0.55,-0.252,-1.128
0.642,0.272,0.707,-0.28,-2.8,-1.54,0.544,-0.246,-1.13
0.647,0.255,0.7,1.12,-2.52,-1.26,0.551,-0.248,-1.129
0.641,0.249,0.699,0.42,-2.59,-1.12,0.547,-0.248,-1.133
0.624,0.254,0.718,0.98,-1.96,-0.14,0.546,-0.249,-1.13
0.615,0.25,0.724,3.29,-0.7,1.33,0.549,-0.246,-1.134
0.613,0.241,0.714,3.71,0.56,2.45,0.546,-0.251,-1.129
0.618,0.241,0.697,1.4,1.19,3.22,0.547,-0.249,-1.132
0.629,0.246,0.692,-1.68,1.05,3.57,0.55,-0.252,-1.131
0.629,0.255,0.692,-5.11,0.7,2.8,0.546,-0.252,-1.132
0.633,0.286,0.676,-6.09,-0.35,3.08,0.553,-0.252,-1.124
0.644,0.31,0.661,-3.43,-0.56,2.59,0.551,-0.25,-1.12
0.647,0.289,0.652,-0.21,-1.26,1.89,0.549,-0.254,-1.123
0.649,0.285,0.634,-2.87,-2.45,0.98,0.552,-0.251,-1.127
0.652,0.295,0.647,-4.76,-3.78,-0.42,0.551,-0.252,-1.129
0.635,0.294,0.678,-2.59,-4.9,-0.28,0.548,-0.25,-1.122
0.627,0.281,0.698,2.59,-4.62,1.96,0.548,-0.257,-1.127
0.63,0.259,0.689,2.8,-4.06,2.94,0.546,-0.252,-1.125
0.631,0.261,0.69,1.19,-4.55,3.43,0.545,-0.253,-1.123
0.636,0.256,0.699,-0.49,-4.69,4.06,0.548,-0.253,-1.124
0.656,0.265,0.7,-2.1,-4.76,4.55,0.55,-0.252,-1.126
0.665,0.273,0.704,-3.08,-4.83,4.13,0.552,-0.256,-1.128
0.657,0.267,0.737,-3.29,-4.62,3.92,0.548,-0.257,-1.129
0.658,0.255,0.755,-4.62,-2.94,3.85,0.547,-0.253,-1.129
0.668,0.248,0.721,-8.89,-0.49,4.06,0.547,-0.252,-1.13
0.684,0.267,0.67,-14.56,0.63,2.73,0.549,-0.258,-1.131
0.692,0.291,0.641,-15.61,-1.19,1.82,0.549,-0.26,-1.123
0.673,0.336,0.654,-8.26,-3.22,0.91,0.545,-0.258,-1.125
0.657,0.348,0.674,0.91,-3.57,0.14,0.546,-0.262,-1.125
0.651,0.313,0.675,6.58,-3.5,-0.56,0.547,-0.261,-1.121
0.651,0.283,0.671,4.97,-3.22,-1.4,0.546,-0.262,-1.126
0.642,0.287,0.669,-0.28,-3.15,-2.38,0.545,-0.26,-1.126
0.625,0.279,0.684,-1.12,-2.8,-1.12,0.546,-0.259,-1.127
0.613,0.261,0.677,0.21,-2.45,1.61,0.546,-0.261,-1.127
0.606,0.244,0.665,1.19,-2.24,5.39,0.55,-0.261,-1.133
0.606,0.213,0.646,0.14,-2.8,10.15,0.544,-0.258,-1.133
0.606,0.171,0.648,-3.85,-3.99,16.03,0.548,-0.261,-1.125
0.577,0.142,0.671,-11.13,-6.79,28.84,0.541,-0.263,-1.129
0.54,0.085,0.692,-12.25,-7.56,41.93,0.544,-0.273,-1.126
0.54,0.047,0.707,-15.26,-8.26,58.73,0.538,-0.279,-1.126
0.498,0.064,0.716,-24.92,-9.31,74.76,0.538,-0.289,-1.135
0.437,0.149,0.726,-36.61,-10.29,89.53,0.532,-0.311,-1.129
0.392,0.273,0.737,-42.98,-11.62,109.55,0.528,-0.315,-1.122
0.389,0.403,0.711,-41.58,-15.12,121.1,0.52,-0.331,-1.127
0.369,0.486,0.684,-36.05,-18.2,131.67,0.512,-0.349,-1.125
0.331,0.61,0.639,-28.35,-22.33,138.18,0.508,-0.355,-1.116
0.315,0.696,0.572,-18.69,-27.65,141.68,0.493,-0.379,-1.122
0.325,0.733,0.533,-11.76,-34.86,144.97,0.482,-0.384,-1.123
0.292,0.77,0.53,-12.81,-43.89,143.85,0.466,-0.407,-1.127
0.215,0.824,0.508,-23.38,-56.0,137.41,0.451,-0.418,-1.128
0.171,0.82,0.578,-25.27,-62.93,138.95,0.436,-0.434,-1.133
0.114,0.816,0.659,-22.61,-64.96,141.19,0.423,-0.442,-1.133
0.115,0.77,0.645,-19.32,-63.84,145.67,0.409,-0.448,-1.143
0.162,0.717,0.573,-21.49,-63.98,150.22,0.39,-0.465,-1.144
0.133,0.73,0.537,-51.73,-70.0,146.23,0.375,-0.478,-1.142
0.007,0.831,0.559,-65.24,-74.27,144.97,0.341,-0.492,-1.134
-0.065,0.915,0.582,-56.28,-75.6,147.91,0.327,-0.503,-1.134
-0.122,0.917,0.552,-32.55,-75.46,151.48,0.316,-0.507,-1.126
-0.16,0.879,0.531,-11.76,-76.51,155.33,0.283,-0.514,-1.133
-0.221,0.862,0.556,-6.86,-79.73,154.7,0.262,-0.516,-1.136
-0.31,0.879,0.581,-18.13,-84.7,145.74,0.237,-0.522,-1.131
-0.365,0.882,0.58,-21.98,-86.52,139.44,0.218,-0.525,-1.126
-0.41,0.874,0.599,-19.53,-87.85,135.94,0.192,-0.525,-1.129
-0.453,0.875,0.596,-16.73,-88.62,132.65,0.176,-0.524,-1.135
-0.496,0.88,0.554,-14.07,-90.72,130.62,0.143,-0.528,-1.125
-0.537,0.853,0.535,-12.32,-93.24,127.05,0.13,-0.522,-1.127
-0.58,0.817,0.527,-20.37,-96.32,123.34,0.115,-0.523,-1.122
-0.606,0.835,0.57,-29.61,-99.26,118.23,0.085,-0.523,-1.111
-0.634,0.886,0.674,-24.85,-100.38,113.82,0.074,-0.52,-1.11
-0.645,0.899,0.651,-4.55,-95.2,110.67,0.05,-0.511,-1.108
-0.642,0.814,0.59,22.05,-89.88,108.43,0.032,-0.51,-1.102
-0.667,0.69,0.579,26.39,-81.34,103.74,0.023,-0.505,-1.102
-0.708,0.605,0.597,3.64,-76.93,96.179,-0.005,-0.495,-1.097
-0.712,0.656,0.613,-20.72,-70.35,88.129,-0.006,-0.49,-1.093
-0.696,0.734,0.565,-30.03,-64.19,78.82,-0.027,-0.487,-1.079
