ax,ay,az,gx,gy,gz,mx,my,mz
0.547,0.626,0.28,7.56,124.67,-32.83,-0.133,-0.401,-0.896
0.673,0.402,0.364,35.21,102.76,-69.37,-0.133,-0.408,-0.903
0.795,0.222,0.344,35.91,87.08,-96.25,-0.132,-0.416,-0.919
0.813,0.14,0.189,35.42,70.419,-115.92,-0.12,-0.431,-0.93
0.782,0.15,-0.034,36.75,46.2,-121.31,-0.106,-0.442,-0.936
0.812,0.235,-0.202,15.4,16.38,-112.84,-0.097,-0.457,-0.944
0.926,1.119,-0.441,-42.56,-15.75,-94.85,-0.09,-0.464,-0.94
0.952,2.788,-0.313,-61.46,-98.35,-137.06,-0.073,-0.474,-0.914
-0.406,3.997,-0.176,73.08,-125.09,-129.571,-0.064,-0.48,-0.906
-1.275,3.997,0.35,162.05,-136.64,-150.78,-0.051,-0.488,-0.927
-1.918,3.482,0.586,158.48,-140.14,-198.8,-0.018,-0.51,-0.937
-1.412,2.857,0.326,28.77,-118.72,-275.38,0.004,-0.526,-0.933
-0.824,2.496,-0.027,-42.77,-128.8,-289.31,0.064,-0.539,-0.921
-1.081,1.394,0.008,42.84,-144.2,-275.52,0.093,-0.547,-0.918
-1.194,0.677,0.096,114.31,-143.78,-236.04,0.144,-0.554,-0.94
-1.074,0.055,0.109,156.03,-126.0,-190.61,0.167,-0.56,-0.95
-0.876,-0.4,0.035,159.11,-103.81,-147.28,0.196,-0.555,-0.981
-0.667,-0.744,-0.058,128.45,-85.54,-107.52,0.204,-0.558,-0.995
-0.469,-0.988,-0.15,38.08,-71.61,-42.91,0.206,-0.559,-1.004
-0.399,-0.922,-0.226,-29.26,-65.38,-2.52,0.213,-0.554,-1.002
-0.359,-0.717,-0.283,-76.79,-61.25,38.78,0.21,-0.559,-0.999
-0.367,-0.475,-0.301,-87.43,-59.15,78.26,0.198,-0.561,-0.988
-0.399,-0.291,-0.294,-71.12,-56.98,112.0,0.189,-0.562,-0.974
-0.454,-0.177,-0.28,-38.85,-56.63,141.26,0.169,-0.561,-0.972
-0.534,-0.107,-0.145,7.28,-53.41,180.25,0.144,-0.559,-0.972
-0.613,0.024,-0.006,24.85,-46.97,202.65,0.126,-0.558,-0.972
-0.697,0.232,0.088,25.41,-40.6,233.52,0.085,-0.552,-0.978
-1.096,0.842,0.349,16.8,-42.49,273.0,0.066,-0.545,-0.974
-1.824,1.731,0.518,8.54,-32.48,295.82,0.013,-0.523,-0.971
