ax,ay,az,gx,gy,gz,mx,my,mz
-0.091,0.825,0.538,0.49,-3.64,-0.35,0.09,-0.421,-1.124
-0.091,0.824,0.539,0.49,-3.36,-0.49,0.093,-0.42,-1.125
-0.089,0.824,0.539,0.56,-3.22,-0.49,0.093,-0.421,-1.126
-0.086,0.824,0.541,0.63,-3.22,-0.56,0.089,-0.419,-1.125
-0.087,0.824,0.542,0.63,-3.36,-0.56,0.089,-0.421,-1.128
-0.089,0.824,0.542,0.56,-3.15,-0.42,0.092,-0.42,-1.127
-0.089,0.822,0.54,0.49,-3.15,-0.56,0.096,-0.423,-1.124
-0.088,0.82,0.542,0.49,-3.22,-0.49,0.097,-0.423,-1.133
-0.087,0.823,0.541,0.14,-3.29,-0.49,0.091,-0.425,-1.128
-0.087,0.821,0.54,0.28,-3.15,-0.56,0.094,-0.421,-1.129
-0.089,0.82,0.537,-0.21,-3.15,-0.28,0.091,-0.418,-1.127
-0.089,0.824,0.538,-0.42,-2.73,-0.14,0.09,-0.42,-1.123
-0.086,0.831,0.541,0.21,-2.94,-0.49,0.092,-0.423,-1.132
-0.092,0.832,0.543,0.98,-3.22,-0.63,0.092,-0.42,-1.129
-0.092,0.826,0.544,1.12,-3.36,-0.77,0.093,-0.417,-1.125
-0.088,0.818,0.539,0.77,-3.36,-1.05,0.088,-0.418,-1.129
-0.086,0.817,0.536,0.28,-3.5,-0.77,0.093,-0.42,-1.128
-0.086,0.817,0.538,0.14,-3.29,-0.63,0.092,-0.424,-1.137
-0.087,0.824,0.542,0.07,-2.87,-0.42,0.089,-0.421,-1.127
-0.089,0.827,0.544,0.14,-2.87,-0.56,0.091,-0.423,-1.124
-0.088,0.827,0.543,0.21,-2.73,-0.42,0.092,-0.428,-1.127
-0.085,0.823,0.539,0.42,-2.73,-0.35,0.092,-0.424,-1.128
-0.085,0.819,0.541,0.56,-3.22,-0.56,0.091,-0.422,-1.128
-0.088,0.82,0.542,0.28,-3.08,-0.28,0.091,-0.422,-1.132
-0.088,0.824,0.541,0.0,-3.15,-0.28,0.091,-0.421,-1.123
-0.087,0.825,0.542,0.07,-3.29,-0.42,0.091,-0.423,-1.132
-0.088,0.824,0.543,0.14,-3.22,-0.49,0.089,-0.421,-1.132
-0.087,0.821,0.542,0.14,-3.15,-0.42,0.091,-0.421,-1.131
-0.087,0.823,0.543,0.14,-3.08,-0.42,0.093,-0.42,-1.125
-0.086,0.823,0.542,0.07,-3.08,-0.21,0.092,-0.423,-1.137
-0.085,0.824,0.542,0.14,-2.87,-0.49,0.091,-0.424,-1.129
-0.086,0.824,0.541,0.0,-3.01,-0.42,0.093,-0.423,-1.128
