ax,ay,az,gx,gy,gz,mx,my,mz
-0.941,0.278,0.27,-37.66,-2.31,13.51,-0.173,-0.369,-1.024
-0.966,0.341,0.242,-42.42,-4.27,12.95,-0.175,-0.369,-1.019
-0.973,0.391,0.234,-40.04,-6.16,11.83,-0.178,-0.367,-1.015
-0.951,0.422,0.219,-33.53,-7.21,8.61,-0.173,-0.368,-1.014
-0.933,0.424,0.214,-24.92,-10.71,3.15,-0.178,-0.371,-0.999
-0.926,0.418,0.219,-20.02,-15.47,-7.0,-0.178,-0.371,-1.002
-0.937,0.402,0.174,-27.51,-16.73,-15.05,-0.176,-0.371,-0.993
-0.965,0.399,0.137,-40.04,-19.18,-20.23,-0.17,-0.375,-0.992
-0.984,0.433,0.128,-54.39,-21.7,-25.13,-0.171,-0.381,-0.99
-0.966,0.481,0.12,-66.29,-21.28,-32.55,-0.169,-0.38,-0.982
-0.935,0.581,0.073,-67.62,-21.35,-42.42,-0.165,-0.38,-0.972
-0.905,0.586,0.09,-39.27,-23.73,-54.18,-0.162,-0.39,-0.968
-0.88,0.629,0.082,-24.43,-26.04,-56.98,-0.16,-0.395,-0.966
-0.868,0.496,0.135,-12.67,-25.76,-62.58,-0.148,-0.402,-0.958
-0.884,0.504,0.137,-16.8,-23.94,-67.27,-0.142,-0.403,-0.954
-0.897,0.572,0.16,-34.58,-24.92,-79.94,-0.144,-0.417,-0.955
-0.91,0.672,0.182,-42.63,-22.68,-87.43,-0.128,-0.426,-0.944
-0.896,0.741,0.173,-12.11,-16.52,-100.45,-0.127,-0.429,-0.941
-0.826,0.619,0.191,19.46,-11.69,-93.1,-0.111,-0.443,-0.944
-0.78,0.43,0.23,36.19,-9.31,-85.82,-0.108,-0.453,-0.945
-0.74,0.353,0.183,20.23,-5.95,-79.38,-0.095,-0.462,-0.951
-0.684,0.318,0.099,-10.5,-6.72,-81.2,-0.086,-0.468,-0.946
-0.645,0.329,0.062,-38.85,-11.55,-77.56,-0.078,-0.475,-0.937
-0.6,0.394,-0.001,-50.89,-15.05,-67.55,-0.071,-0.479,-0.937
-0.588,0.403,-0.033,-43.68,-21.98,-60.76,-0.066,-0.48,-0.933
-0.594,0.431,-0.065,-31.22,-26.32,-55.51,-0.054,-0.484,-0.927
-0.562,0.431,-0.124,-17.85,-28.35,-55.86,-0.048,-0.486,-0.921
-0.514,0.385,-0.14,-2.17,-33.04,-56.21,-0.041,-0.496,-0.921
-0.483,0.331,-0.138,11.69,-41.93,-52.57,-0.036,-0.493,-0.909
-0.477,0.279,-0.073,31.85,-57.05,-47.11,-0.032,-0.496,-0.917
-0.517,0.29,0.074,39.97,-61.6,-47.32,-0.025,-0.505,-0.919
-0.528,0.316,0.195,44.8,-61.88,-51.03,-0.019,-0.504,-0.923
-0.518,0.306,0.401,51.94,-57.54,-51.17,-0.014,-0.511,-0.935
-0.504,0.36,0.457,68.11,-50.68,-44.38,-0.005,-0.51,-0.937
-0.479,0.345,0.509,87.85,-46.62,-35.84,-0.003,-0.514,-0.945
-0.4,0.319,0.528,107.94,-43.33,-18.48,0.003,-0.515,-0.959
-0.315,0.484,0.394,105.35,-42.56,-26.18,0.005,-0.517,-0.967
-0.36,0.631,0.266,84.77,-47.74,-40.95,0.007,-0.519,-0.974
-0.503,0.845,0.207,67.27,-56.0,-45.15,0.013,-0.517,-0.974
-0.733,1.1,0.243,66.78,-63.14,-41.23,0.018,-0.517,-0.987
-0.949,1.292,0.317,88.62,-57.54,-37.38,0.019,-0.512,-0.993
-1.007,1.334,0.307,114.87,-18.13,-40.25,0.018,-0.52,-1.005
-0.935,1.186,0.21,144.48,3.92,-48.93,0.034,-0.519,-1.028
-0.931,1.043,0.137,150.99,22.19,-50.33,0.037,-0.519,-1.042
-0.953,0.915,0.094,136.64,36.89,-46.13,0.042,-0.517,-1.063
-0.931,0.874,0.123,103.88,51.73,-41.58,0.046,-0.513,-1.077
-0.869,0.912,0.153,54.179,65.94,-42.21,0.058,-0.514,-1.08
-0.84,1.118,0.344,-6.93,76.86,-51.17,0.062,-0.515,-1.087
-0.806,1.221,0.448,-24.92,82.81,-57.68,0.07,-0.518,-1.091
-0.806,1.247,0.528,-17.15,85.96,-61.18,0.085,-0.525,-1.087
-0.775,1.198,0.493,19.95,88.409,-55.93,0.088,-0.525,-1.086
-0.764,1.067,0.492,68.11,81.2,-51.1,0.099,-0.523,-1.101
-0.74,0.93,0.534,78.96,80.57,-46.62,0.105,-0.525,-1.108
-0.694,0.966,0.568,52.22,81.69,-46.9,0.117,-0.516,-1.118
-0.612,1.112,0.542,47.46,77.98,-51.73,0.127,-0.518,-1.12
-0.559,1.103,0.498,63.98,70.49,-53.97,0.137,-0.513,-1.127
-0.536,0.99,0.47,88.2,61.25,-52.78,0.157,-0.508,-1.145
-0.497,0.842,0.45,101.36,56.629,-49.77,0.158,-0.501,-1.154
-0.427,0.728,0.417,100.8,55.929,-47.04,0.166,-0.494,-1.171
-0.286,0.559,0.314,89.53,48.37,-41.51,0.175,-0.487,-1.174
-0.164,0.415,0.301,82.46,37.59,-27.79,0.178,-0.478,-1.182
-0.076,0.381,0.377,68.04,23.87,-6.86,0.181,-0.468,-1.191
-0.163,0.611,0.525,43.82,7.14,14.28,0.182,-0.473,-1.188
-0.367,0.852,0.7,28.0,-3.64,31.92,0.177,-0.463,-1.198
-0.501,0.899,0.792,31.92,3.85,36.82,0.172,-0.461,-1.197
-0.408,0.67,0.783,29.12,12.6,32.13,0.161,-0.449,-1.2
-0.289,0.423,0.74,13.65,20.93,23.03,0.16,-0.447,-1.201
-0.219,0.263,0.692,-6.02,26.18,16.17,0.153,-0.451,-1.196
-0.186,0.214,0.66,-23.94,31.5,12.53,0.157,-0.45,-1.194
-0.148,0.212,0.596,-37.1,43.4,8.12,0.154,-0.446,-1.194
-0.091,0.273,0.601,-36.54,50.75,6.58,0.151,-0.44,-1.184
-0.052,0.328,0.577,-35.63,57.82,1.89,0.147,-0.441,-1.178
-0.006,0.351,0.564,-33.74,60.129,-1.12,0.148,-0.434,-1.172
0.044,0.368,0.571,-40.74,60.899,-3.36,0.147,-0.435,-1.166
0.164,0.529,0.937,-68.88,58.24,4.48,0.135,-0.434,-1.153
0.482,1.277,1.273,-92.75,56.21,15.33,0.128,-0.428,-1.148
0.879,2.038,1.473,-63.7,54.25,15.33,0.116,-0.423,-1.145
0.693,1.899,1.05,34.3,52.29,22.54,0.12,-0.418,-1.144
0.194,1.161,0.793,111.16,27.72,4.76,0.121,-0.413,-1.161
-0.081,0.479,0.615,99.05,25.13,-6.58,0.131,-0.404,-1.173
-0.081,0.21,0.553,63.21,11.83,-14.21,0.137,-0.402,-1.174
-0.051,0.101,0.513,30.87,0.98,-3.71,0.146,-0.392,-1.177
-0.06,0.208,0.453,13.79,-10.85,24.64,0.154,-0.393,-1.189
-0.081,0.262,0.433,26.11,-31.36,44.8,0.134,-0.38,-1.195
-0.055,0.113,0.502,63.28,-50.96,56.98,0.137,-0.382,-1.197
-0.036,-0.017,0.807,48.51,-57.61,64.679,0.126,-0.375,-1.192
-0.116,0.164,1.102,-7.21,-48.79,56.28,0.115,-0.37,-1.199
-0.198,0.546,1.321,-78.96,-22.89,28.77,0.108,-0.372,-1.191
-0.265,0.979,1.151,-129.92,2.94,4.62,0.094,-0.381,-1.184
-0.322,1.268,0.938,-108.92,14.35,17.99,0.092,-0.385,-1.182
-0.241,1.091,0.669,-23.94,19.04,19.6,0.091,-0.388,-1.173
-0.151,0.89,0.574,3.57,19.6,16.17,0.087,-0.386,-1.177
-0.112,0.737,0.519,15.05,14.07,13.93,0.089,-0.383,-1.182
-0.11,0.687,0.569,18.9,6.37,13.02,0.085,-0.382,-1.18
-0.119,0.667,0.637,22.89,3.57,11.76,0.09,-0.381,-1.186
-0.132,0.66,0.753,28.14,-1.05,8.54,0.089,-0.378,-1.185
-0.131,0.615,0.797,25.34,-2.03,5.74,0.092,-0.378,-1.187
-0.13,0.551,0.809,15.75,-3.43,1.68,0.087,-0.381,-1.189
-0.139,0.525,0.77,-1.68,-5.6,-2.17,0.092,-0.381,-1.186
-0.159,0.597,0.726,-17.99,-10.36,-4.27,0.091,-0.384,-1.184
-0.164,0.649,0.697,-21.91,-14.63,-6.23,0.09,-0.385,-1.181
-0.173,0.669,0.699,-14.56,-21.77,-5.18,0.087,-0.384,-1.181
-0.22,0.701,0.712,-8.75,-25.2,-4.76,0.085,-0.394,-1.18
-0.254,0.706,0.73,-4.69,-25.27,-4.48,0.089,-0.392,-1.183
-0.267,0.714,0.715,-2.38,-22.89,-4.27,0.091,-0.39,-1.183
-0.257,0.706,0.688,1.05,-20.09,-5.04,0.087,-0.392,-1.176
-0.242,0.678,0.666,6.23,-17.08,-4.97,0.086,-0.393,-1.18
-0.239,0.643,0.67,5.04,-15.12,-5.11,0.087,-0.39,-1.181
-0.235,0.689,0.701,-1.68,-9.24,-4.97,0.087,-0.393,-1.177
-0.237,0.695,0.721,2.8,-6.65,-4.83,0.081,-0.389,-1.177
-0.249,0.679,0.731,7.21,-4.97,-3.43,0.085,-0.392,-1.184
-0.252,0.657,0.729,7.98,-2.17,-2.45,0.087,-0.39,-1.185
-0.25,0.645,0.732,5.88,1.4,-2.1,0.087,-0.387,-1.186
