ax,ay,az,gx,gy,gz,mx,my,mz
0.562,0.873,0.51,-179.62,45.57,-64.12,0.109,-0.477,-1.034
0.606,1.254,0.498,-137.76,32.2,-55.65,0.116,-0.477,-1.019
0.457,1.243,0.527,-45.43,22.05,-56.7,0.122,-0.479,-1.012
0.397,0.88,0.576,37.17,14.42,-57.96,0.146,-0.491,-1.019
0.356,0.573,0.642,70.35,8.89,-51.17,0.161,-0.493,-1.023
0.298,0.431,0.619,59.71,7.0,-41.09,0.181,-0.5,-1.022
0.26,0.42,0.557,26.88,4.55,-26.18,0.186,-0.504,-1.031
0.279,0.611,0.536,-14.28,-4.83,-16.24,0.199,-0.508,-1.032
0.284,0.748,0.576,-17.15,-14.91,-4.06,0.197,-0.514,-1.028
0.234,0.867,0.634,-3.57,-28.77,12.95,0.201,-0.518,-1.018
0.128,0.98,0.658,18.41,-45.08,32.48,0.204,-0.519,-1.025
0.012,1.107,0.659,61.879,-76.65,49.84,0.202,-0.519,-1.033
-0.082,1.102,0.59,73.08,-100.8,50.75,0.192,-0.525,-1.044
-0.069,0.927,0.431,87.5,-126.63,41.16,0.193,-0.526,-1.049
-0.094,0.7,0.284,98.98,-159.04,29.54,0.195,-0.522,-1.072
-0.194,0.536,0.191,103.81,-193.48,26.25,0.189,-0.52,-1.078
-0.392,0.456,0.276,102.55,-219.8,21.07,0.173,-0.519,-1.103
-0.631,0.457,0.581,104.16,-210.14,13.23,0.169,-0.517,-1.108
-0.673,0.423,0.565,96.04,-166.74,15.61,0.161,-0.513,-1.115
-0.436,0.316,0.322,65.03,-119.28,30.73,0.151,-0.507,-1.132
-0.244,0.368,0.139,29.33,-94.92,67.899,0.144,-0.509,-1.136
-0.305,0.874,0.112,-13.58,-86.87,101.85,0.124,-0.504,-1.127
-0.526,1.375,0.121,-28.84,-85.19,108.15,0.111,-0.505,-1.124
-0.649,1.572,0.197,57.26,-77.56,117.67,0.097,-0.505,-1.124
-0.562,1.062,0.385,136.99,-79.31,130.97,0.078,-0.496,-1.139
-0.597,0.615,0.579,163.1,-89.95,133.07,0.065,-0.488,-1.161
-0.755,0.415,0.739,123.41,-92.26,121.52,0.036,-0.468,-1.175
-0.907,0.488,0.711,32.13,-78.12,99.82,0.028,-0.461,-1.171
-0.95,0.703,0.487,-75.46,-60.69,85.05,0.009,-0.461,-1.157
-0.894,0.754,0.332,-112.14,-60.83,79.52,-0.002,-0.462,-1.144
