ax,ay,az,gx,gy,gz,mx,my,mz
-0.18,-0.047,0.994,25.76,-6.51,1.26,0.228,-0.243,-1.366
-0.184,-0.027,0.967,11.48,-5.18,1.47,0.227,-0.24,-1.365
-0.209,-0.085,1.027,-3.43,-3.57,-2.66,0.229,-0.243,-1.367
-0.174,0.003,0.935,-7.84,-0.56,-2.31,0.232,-0.243,-1.363
-0.153,-0.082,1.003,-1.89,-3.64,-1.12,0.226,-0.242,-1.375
-0.196,-0.107,1.061,-20.09,-1.89,-0.98,0.229,-0.248,-1.368
-0.208,-0.088,1.089,-48.23,4.13,-6.3,0.224,-0.255,-1.372
-0.099,0.204,0.932,-65.1,6.79,-12.74,0.228,-0.257,-1.367
-0.073,0.291,0.91,-39.06,1.33,-18.48,0.232,-0.268,-1.369
-0.104,0.116,0.957,17.15,-7.98,-11.97,0.231,-0.267,-1.372
-0.135,-0.021,1.044,34.93,-9.94,-4.2,0.231,-0.26,-1.364
-0.132,-0.135,1.05,18.69,-4.34,-7.07,0.231,-0.258,-1.365
-0.115,-0.12,1.025,-12.18,1.75,-4.48,0.232,-0.259,-1.331
-0.104,-0.025,0.977,-19.11,3.36,-1.89,0.229,-0.264,-1.371
-0.117,0.036,0.965,-19.46,3.85,-0.42,0.236,-0.266,-1.375
-0.122,0.065,0.961,-11.34,2.38,0.28,0.235,-0.268,-1.366
-0.112,0.062,0.958,-1.33,-0.07,1.33,0.237,-0.269,-1.369
-0.117,0.044,0.972,5.04,-2.45,2.17,0.232,-0.271,-1.365
-0.126,0.017,0.979,5.39,-3.15,2.31,0.233,-0.27,-1.363
-0.121,0.03,0.984,1.68,-3.71,2.31,0.235,-0.27,-1.367
-0.126,0.063,1,2.59,-3.64,2.59,0.233,-0.266,-1.369
-0.131,0.077,1,6.02,-3.71,2.73,0.235,-0.267,-1.37
-0.133,0.081,1,8.4,-4.2,1.47,0.233,-0.263,-1.375
-0.13,0.065,0.991,11.97,-3.92,0.42,0.231,-0.267,-1.368
-0.117,0.043,0.993,14.7,-4.83,-0.42,0.236,-0.264,-1.371
-0.117,0.03,0.996,14.14,-5.53,-1.75,0.23,-0.261,-1.37
-0.119,0.029,0.98,14.21,-5.46,-3.01,0.231,-0.26,-1.373
-0.12,0.05,0.965,19.53,-6.23,-3.36,0.235,-0.257,-1.369
-0.132,0.064,0.949,31.08,-7.07,-3.22,0.231,-0.257,-1.369
-0.157,0,0.916,53.62,-8.89,-0.98,0.229,-0.247,-1.371
-0.163,-0.106,0.949,55.649,-10.29,1.4,0.228,-0.242,-1.374
-0.238,-0.38,0.945,31.5,-6.58,5.67,0.231,-0.238,-1.369
-0.341,-0.9,1.02,-69.16,14.49,20.23,0.232,-0.242,-1.375
-0.492,-1.477,1.518,-306.74,73.08,52.919,0.232,-0.261,-1.366
-0.756,-3.34,1.507,-847.841,274.05,129.92,0.26,-0.394,-1.292
-0.853,-2.741,-3.414,-1809.99,290.64,39.2,0.267,-0.494,-1.168
-0.83,-1.035,-3.998,-2000,257.81,-220.64,0.279,-0.533,-0.788
0.57,3.997,-3.998,-1845.551,160.65,-471.31,0.289,-0.42,-0.642
1.947,3.997,-0.237,-679.14,-129.71,-212.1,0.321,-0.279,-0.599
0.928,-0.513,0.345,400.89,-18.76,-94.22,0.334,-0.31,-0.612
0.485,-1.304,-0.071,62.86,18.41,77.139,0.328,-0.335,-0.616
0.555,1.178,-0.522,-186.2,5.18,69.3,0.325,-0.321,-0.613
0.212,1.963,-1.099,-45.64,18.83,63.35,0.32,-0.315,-0.608
-0.28,1.627,-0.676,99.12,15.82,44.31,0.315,-0.329,-0.61
0.057,0.694,-0.719,160.86,44.1,36.61,0.308,-0.348,-0.617
0.194,0.426,-0.724,-17.57,12.32,-16.59,0.302,-0.351,-0.617
0.128,0.848,-0.506,-49.28,7.98,-21.42,0.302,-0.344,-0.613
0.284,0.968,-0.702,-9.94,8.96,-9.31,0.299,-0.346,-0.614
0.209,0.801,-0.816,28.63,1.61,1.33,0.3,-0.343,-0.614
0.058,0.691,-0.777,25.48,-6.72,1.61,0.298,-0.346,-0.613
0.123,0.739,-0.708,6.93,-9.03,-5.95,0.304,-0.35,-0.616
0.215,0.678,-0.676,0.49,-5.88,-9.38,0.304,-0.345,-0.617
