ax,ay,az,gx,gy,gz,mx,my,mz
-1.135,0.563,0.495,7.07,-12.88,-44.87,-0.257,-0.038,-0.911
-1.199,0.551,0.44,29.33,-15.12,-62.65,-0.259,-0.039,-0.909
-1.35,0.533,0.447,52.639,-21.7,-76.37,-0.26,-0.054,-0.898
-1.481,0.502,0.482,73.29,-21.77,-85.68,-0.258,-0.063,-0.897
-1.482,0.45,0.515,87.36,-11.9,-92.96,-0.262,-0.083,-0.895
-1.341,0.392,0.477,91.35,3.01,-108.57,-0.261,-0.095,-0.897
-1.251,0.35,0.283,84.98,14.98,-124.74,-0.268,-0.117,-0.898
-1.303,0.343,0.198,83.58,14.42,-137.69,-0.263,-0.135,-0.906
-1.358,0.348,0.125,86.24,18.13,-147.56,-0.258,-0.147,-0.9
-1.455,0.349,0.107,96.11,19.67,-154.14,-0.257,-0.18,-0.905
-1.574,0.316,0.113,109.9,22.4,-156.66,-0.257,-0.195,-0.91
-1.521,0.159,0.129,114.59,45.99,-155.12,-0.251,-0.226,-0.921
-1.349,0.077,0.118,96.95,64.26,-154.0,-0.256,-0.237,-0.936
-1.196,0.062,0.105,66.429,74.48,-153.16,-0.243,-0.267,-0.951
-1.1,0.079,0.097,34.09,79.59,-154.35,-0.234,-0.28,-0.958
-1.036,0.095,0.101,8.26,80.36,-156.45,-0.226,-0.295,-0.963
-0.988,0.109,0.12,-7.56,78.05,-156.73,-0.218,-0.322,-0.977
-0.941,0.134,0.143,-16.03,74.06,-156.45,-0.208,-0.328,-0.984
-0.892,0.163,0.162,-15.47,67.48,-154.14,-0.202,-0.343,-0.983
-0.814,0.175,0.16,-7.14,61.879,-149.94,-0.184,-0.369,-0.992
-0.758,0.181,0.16,4.83,55.79,-143.85,-0.179,-0.376,-0.996
-0.708,0.175,0.153,19.11,49.35,-135.73,-0.161,-0.4,-1.007
-0.674,0.161,0.159,33.46,41.37,-124.81,-0.149,-0.407,-1.015
-0.651,0.134,0.156,44.66,34.37,-112.14,-0.143,-0.422,-1.032
