ax,ay,az,gx,gy,gz,mx,my,mz
-0.988,0.172,0.182,-4.2,-0.84,3.22,-0.22,-0.276,-0.896
-0.975,0.162,0.188,-3.78,0.49,5.25,-0.22,-0.278,-0.897
-0.972,0.168,0.194,-2.8,0.77,7.21,-0.222,-0.275,-0.898
-0.964,0.176,0.2,-1.05,1.4,9.31,-0.221,-0.276,-0.902
-0.958,0.18,0.196,1.26,2.17,10.57,-0.216,-0.277,-0.903
-0.954,0.174,0.2,3.01,2.87,11.41,-0.222,-0.27,-0.903
-0.935,0.15,0.202,0.84,4.34,10.57,-0.22,-0.272,-0.905
-0.912,0.139,0.198,-4.48,5.6,9.17,-0.22,-0.269,-0.911
-0.896,0.139,0.195,-10.5,6.02,7.63,-0.227,-0.265,-0.907
-0.899,0.146,0.193,-14.98,5.67,6.93,-0.23,-0.267,-0.908
-0.941,0.156,0.206,-16.8,2.94,7.7,-0.225,-0.263,-0.904
-1.0,0.154,0.221,-17.36,2.03,8.89,-0.229,-0.263,-0.91
-1.026,0.131,0.219,-17.99,4.62,10.57,-0.232,-0.261,-0.914
-1.011,0.129,0.225,-21.0,5.25,11.2,-0.23,-0.258,-0.916
-1.0,0.129,0.244,-24.5,3.43,11.34,-0.232,-0.253,-0.912
-0.991,0.126,0.245,-28.0,1.82,11.41,-0.23,-0.249,-0.915
-0.983,0.132,0.251,-31.85,0.28,10.08,-0.231,-0.244,-0.914
-0.958,0.135,0.268,-31.15,1.05,9.73,-0.232,-0.243,-0.913
-0.944,0.11,0.331,-32.83,2.59,9.24,-0.234,-0.233,-0.91
-0.907,0.137,0.303,-41.02,6.58,8.96,-0.231,-0.23,-0.916
-0.877,0.195,0.301,-41.58,7.07,3.22,-0.233,-0.222,-0.916
-0.868,0.156,0.307,-30.24,8.12,7.98,-0.231,-0.223,-0.913
-0.869,0.139,0.296,-33.39,8.19,6.72,-0.232,-0.221,-0.914
-0.879,0.172,0.27,-38.85,8.4,5.6,-0.231,-0.22,-0.915
-0.897,0.193,0.257,-33.81,7.63,6.58,-0.233,-0.219,-0.914
-0.93,0.155,0.294,-31.08,6.86,8.61,-0.234,-0.215,-0.908
-0.938,0.186,0.263,-38.71,7.77,8.89,-0.229,-0.216,-0.911
-0.927,0.242,0.231,-40.53,8.68,5.6,-0.231,-0.211,-0.912
-0.898,0.273,0.212,-17.57,4.9,8.75,-0.233,-0.208,-0.902
-0.889,0.202,0.225,-0.21,1.19,11.62,-0.231,-0.208,-0.903
-0.878,0.12,0.253,-0.56,-0.7,13.65,-0.238,-0.205,-0.898
-0.864,0.104,0.255,-17.71,-0.7,11.27,-0.236,-0.201,-0.898
