ax,ay,az,gx,gy,gz,mx,my,mz
-0.946,0.201,0.198,0.98,-2.45,-10.22,-0.157,-0.369,-0.949
-0.948,0.189,0.204,1.47,-2.73,-10.01,-0.165,-0.37,-0.951
-0.953,0.187,0.209,1.75,-3.29,-9.59,-0.159,-0.373,-0.953
-0.953,0.186,0.219,2.03,-3.15,-8.89,-0.16,-0.379,-0.948
-0.949,0.188,0.221,2.45,-3.71,-8.26,-0.162,-0.373,-0.946
-0.949,0.189,0.224,3.29,-4.34,-7.21,-0.162,-0.372,-0.953
-0.949,0.188,0.228,4.69,-4.69,-6.23,-0.163,-0.372,-0.948
-0.934,0.185,0.233,5.46,-4.55,-5.39,-0.161,-0.368,-0.947
-0.921,0.184,0.236,5.95,-4.13,-5.11,-0.16,-0.378,-0.951
-0.914,0.184,0.236,6.58,-4.27,-4.69,-0.153,-0.377,-0.947
-0.917,0.18,0.237,7.21,-4.55,-3.5,-0.156,-0.377,-0.947
-0.936,0.177,0.235,7.7,-4.97,-1.26,-0.157,-0.374,-0.949
-0.974,0.182,0.243,7.56,-4.48,4.27,-0.16,-0.372,-0.946
-0.978,0.189,0.24,7.42,-2.66,8.4,-0.153,-0.37,-0.944
-0.97,0.194,0.23,7.21,-1.61,12.25,-0.156,-0.37,-0.946
-0.966,0.2,0.223,6.09,-1.61,15.54,-0.154,-0.37,-0.944
-0.967,0.207,0.221,4.41,-1.47,18.55,-0.161,-0.367,-0.95
-0.961,0.229,0.211,1.4,-0.21,21.35,-0.163,-0.367,-0.948
-0.954,0.248,0.205,0.56,-0.21,21.98,-0.167,-0.361,-0.944
-0.969,0.262,0.205,0.77,-0.7,21.84,-0.168,-0.358,-0.95
-0.98,0.26,0.206,0.84,-0.35,21.14,-0.168,-0.354,-0.947
-0.98,0.26,0.205,0.35,0.42,20.3,-0.164,-0.355,-0.948
-0.973,0.266,0.206,-0.63,0.63,19.32,-0.166,-0.352,-0.942
-0.956,0.272,0.202,-2.1,1.75,15.82,-0.169,-0.351,-0.945
-0.91,0.272,0.192,-3.01,2.31,12.67,-0.17,-0.351,-0.949
-0.887,0.268,0.187,-3.92,1.61,8.68,-0.174,-0.347,-0.953
-0.88,0.267,0.184,-5.11,0.14,5.04,-0.172,-0.343,-0.947
-0.887,0.27,0.187,-5.32,-1.05,1.96,-0.175,-0.348,-0.944
