ax,ay,az,gx,gy,gz,mx,my,mz
-0.287,0.554,0.807,-22.12,-9.87,10.57,0.117,-0.448,-1.16
-0.297,0.547,0.806,-30.73,-9.94,12.6,0.11,-0.451,-1.164
-0.309,0.539,0.848,-40.81,-11.06,13.16,0.108,-0.452,-1.158
-0.318,0.557,0.885,-52.64,-5.74,13.16,0.108,-0.459,-1.15
-0.254,0.708,0.843,-48.72,12.46,2.94,0.109,-0.459,-1.148
-0.106,0.705,0.719,-22.75,11.06,-14.28,0.101,-0.459,-1.142
-0.091,0.738,0.806,1.4,-5.39,-14.56,0.111,-0.467,-1.152
-0.202,0.492,0.75,22.33,-9.73,-20.93,0.105,-0.465,-1.153
-0.222,0.622,0.904,27.44,-14.63,-6.58,0.115,-0.467,-1.16
-0.149,0.534,0.859,34.72,0.91,-15.12,0.117,-0.461,-1.164
-0.106,0.517,0.879,19.74,-9.31,-1.54,0.118,-0.461,-1.165
-0.152,0.544,0.871,24.78,-10.43,5.6,0.123,-0.461,-1.166
-0.145,0.623,0.884,17.78,-9.66,2.87,0.121,-0.466,-1.168
-0.146,0.621,0.877,24.01,-8.19,-0.84,0.119,-0.463,-1.179
-0.162,0.566,0.89,36.12,-8.26,1.96,0.117,-0.468,-1.173
-0.178,0.512,0.904,43.12,-7.07,6.58,0.125,-0.463,-1.181
-0.186,0.453,0.931,43.82,-4.27,10.57,0.124,-0.461,-1.194
-0.176,0.417,0.938,40.18,-1.82,34.44,0.128,-0.461,-1.198
-0.168,0.419,0.95,27.93,-1.96,20.16,0.123,-0.458,-1.195
-0.186,0.446,0.946,19.04,-2.1,21.42,0.124,-0.456,-1.203
-0.217,0.486,0.95,14.28,-1.47,22.47,0.121,-0.458,-1.205
-0.236,0.517,0.944,12.95,-0.49,23.24,0.125,-0.456,-1.214
-0.243,0.519,0.95,14.98,2.24,23.87,0.126,-0.46,-1.216
-0.245,0.523,0.95,18.06,3.99,24.92,0.129,-0.46,-1.218
-0.255,0.527,0.966,24.43,5.88,25.55,0.126,-0.461,-1.221
-0.277,0.469,0.979,34.09,7.7,26.88,0.132,-0.456,-1.22
-0.28,0.414,0.981,33.67,9.87,27.86,0.136,-0.452,-1.228
-0.279,0.382,0.992,26.81,12.6,28.0,0.131,-0.456,-1.232
-0.273,0.379,0.993,16.66,14.84,26.88,0.136,-0.458,-1.239
-0.259,0.409,0.993,6.3,17.15,24.43,0.135,-0.454,-1.243
-0.246,0.465,0.973,7.49,18.76,23.8,0.137,-0.457,-1.24
