ax,ay,az,gx,gy,gz,mx,my,mz
-1.001,0.1,0.141,-22.33,-1.47,5.95,-0.185,-0.369,-0.936
-0.948,0.106,0.132,-26.11,0.28,8.4,-0.185,-0.362,-0.939
-0.914,0.111,0.128,-28.77,-3.36,12.81,-0.179,-0.364,-0.938
-0.91,0.111,0.138,-29.33,-5.11,15.33,-0.188,-0.362,-0.931
-0.916,0.112,0.144,-29.47,-6.23,19.25,-0.188,-0.359,-0.934
-0.94,0.129,0.146,-28.84,-7.14,24.29,-0.188,-0.353,-0.933
-0.972,0.135,0.157,-26.46,-8.4,29.05,-0.191,-0.348,-0.925
-0.98,0.14,0.17,-23.31,-6.09,33.95,-0.192,-0.344,-0.926
-0.956,0.152,0.174,-20.93,-3.92,40.39,-0.196,-0.339,-0.924
-0.947,0.167,0.183,-18.27,-5.95,43.96,-0.195,-0.335,-0.919
-0.969,0.172,0.197,-16.45,-7.49,47.04,-0.199,-0.326,-0.918
-0.986,0.172,0.219,-15.68,-7.0,48.58,-0.203,-0.32,-0.921
-0.989,0.174,0.221,-17.85,-5.39,49.419,-0.207,-0.311,-0.917
-0.989,0.191,0.247,-20.72,-3.92,49.909,-0.212,-0.298,-0.91
-0.983,0.219,0.272,-24.57,-1.61,50.399,-0.212,-0.294,-0.913
-0.981,0.227,0.277,-27.3,-0.07,50.47,-0.211,-0.287,-0.906
-0.982,0.248,0.307,-28.42,2.1,50.889,-0.217,-0.283,-0.909
-0.977,0.287,0.35,-27.72,3.92,49.98,-0.214,-0.273,-0.911
-0.968,0.3,0.382,-23.87,6.72,48.3,-0.217,-0.266,-0.91
-0.944,0.311,0.376,-19.18,11.83,45.15,-0.222,-0.257,-0.915
-0.925,0.353,0.439,-15.75,14.14,40.18,-0.224,-0.251,-0.909
-0.91,0.37,0.473,-12.53,19.11,35.21,-0.222,-0.25,-0.913
-0.867,0.374,0.473,-10.92,25.83,29.4,-0.224,-0.244,-0.912
-0.821,0.391,0.48,-9.94,31.99,21.07,-0.223,-0.241,-0.916
-0.809,0.437,0.491,-7.35,33.6,13.16,-0.225,-0.245,-0.922
-0.832,0.458,0.507,3.64,35.56,2.87,-0.225,-0.241,-0.925
-0.825,0.434,0.527,10.5,42.07,-4.9,-0.225,-0.24,-0.924
-0.795,0.438,0.557,13.86,51.379,-12.74,-0.229,-0.243,-0.942
-0.793,0.479,0.588,17.85,56.98,-18.48,-0.229,-0.244,-0.947
-0.854,0.499,0.582,22.89,55.44,-22.89,-0.227,-0.249,-0.957
-0.947,0.48,0.58,22.05,59.85,-34.93,-0.229,-0.251,-0.964
-1.016,0.463,0.56,11.06,72.24,-43.12,-0.224,-0.257,-0.967
-0.999,0.503,0.508,-2.8,84.84,-51.1,-0.221,-0.264,-0.977
-1.003,0.576,0.5,-12.81,86.59,-63.14,-0.219,-0.271,-0.986
-1.055,0.601,0.493,-19.11,83.09,-78.68,-0.215,-0.286,-1.002
-1.136,0.612,0.474,-31.01,78.05,-94.22,-0.21,-0.297,-1.011
-1.223,0.637,0.489,-56.49,76.02,-125.93,-0.208,-0.307,-1.017
-1.294,0.638,0.471,-70.14,78.12,-146.86,-0.193,-0.34,-1.02
-1.282,0.606,0.454,-83.58,78.96,-165.2,-0.184,-0.353,-1.029
-1.237,0.613,0.449,-98.21,77.909,-186.69,-0.16,-0.385,-1.034
-1.233,0.677,0.397,-115.29,70.77,-208.53,-0.153,-0.407,-1.036
-1.335,0.753,0.388,-126.21,56.49,-227.85,-0.123,-0.446,-1.022
-1.425,0.796,0.371,-116.13,47.32,-247.8,-0.107,-0.462,-1.019
-1.401,0.797,0.308,-98.21,44.52,-254.52,-0.091,-0.481,-1.022
-1.359,0.808,0.312,-76.65,37.1,-260.33,-0.046,-0.518,-1.008
-1.357,0.813,0.321,-53.41,27.09,-266.0,-0.024,-0.532,-1.005
-1.358,0.759,0.334,-29.68,19.88,-269.71,0.026,-0.559,-1.005
-1.307,0.737,0.356,-10.71,16.73,-269.571,0.054,-0.563,-0.999
-1.241,0.73,0.394,2.24,14.07,-268.8,0.076,-0.576,-1.004
-1.207,0.716,0.391,20.58,10.78,-268.87,0.129,-0.591,-1.005
-1.207,0.616,0.358,42.21,10.99,-269.71,0.158,-0.592,-1.015
-1.037,0.543,0.391,50.54,22.4,-261.38,0.204,-0.599,-1.022
-0.821,0.51,0.383,56.629,36.54,-245.84,0.231,-0.596,-1.03
-0.674,0.512,0.404,60.69,39.41,-231.7,0.255,-0.593,-1.048
-0.623,0.508,0.458,62.02,34.93,-221.62,0.298,-0.585,-1.043
-0.552,0.501,0.523,57.47,39.83,-212.87,0.317,-0.58,-1.046
-0.442,0.445,0.465,48.929,44.17,-209.23,0.361,-0.565,-1.054
-0.355,0.396,0.433,38.92,44.38,-203.42,0.377,-0.556,-1.055
-0.289,0.353,0.422,34.58,44.59,-195.23,0.418,-0.536,-1.061
-0.187,0.294,0.414,34.51,45.29,-186.2,0.43,-0.532,-1.057
-0.07,0.245,0.435,22.33,39.62,-175.77,0.442,-0.517,-1.058
0.074,0.194,0.468,-18.27,33.11,-171.64,0.472,-0.5,-1.053
0.181,0.244,0.491,-46.55,26.46,-166.74,0.485,-0.497,-1.049
0.302,0.337,0.508,-52.57,19.18,-156.52,0.506,-0.482,-1.037
0.458,0.402,0.458,-40.67,16.52,-144.97,0.516,-0.47,-1.028
0.622,0.355,0.395,-15.89,6.09,-120.47,0.536,-0.458,-1.032
0.722,0.151,0.365,27.93,-3.22,-98.77,0.542,-0.451,-1.032
0.696,0.119,0.441,38.29,-13.37,-80.71,0.548,-0.435,-1.043
0.665,0.096,0.597,15.26,-13.16,-75.46,0.551,-0.426,-1.035
0.674,0.203,0.617,-9.59,-4.69,-69.02,0.556,-0.421,-1.04
0.725,0.359,0.601,-9.8,-4.27,-59.15,0.562,-0.415,-1.042
0.778,0.407,0.633,9.1,-6.37,-43.61,0.562,-0.409,-1.042
0.781,0.361,0.666,20.86,-7.77,-34.16,0.559,-0.4,-1.047
0.694,0.347,0.718,23.17,-8.89,-29.33,0.568,-0.398,-1.043
0.668,0.331,0.715,22.05,-4.9,-25.83,0.569,-0.396,-1.046
0.749,0.32,0.69,19.67,-1.4,-20.3,0.568,-0.396,-1.05
0.808,0.298,0.623,15.19,1.54,-15.89,0.57,-0.393,-1.051
0.757,0.312,0.605,4.69,-5.74,-9.66,0.576,-0.387,-1.046
0.614,0.391,0.633,-1.47,-7.84,-7.0,0.574,-0.386,-1.049
0.62,0.431,0.662,-3.92,-5.46,-4.34,0.575,-0.383,-1.05
0.687,0.444,0.654,-5.18,-0.35,-1.12,0.576,-0.386,-1.051
0.737,0.435,0.629,-4.97,0.77,0.14,0.578,-0.391,-1.046
0.722,0.427,0.59,-4.9,0.07,1.96,0.572,-0.389,-1.048
0.693,0.451,0.596,-9.24,1.05,1.89,0.571,-0.385,-1.05
0.697,0.473,0.61,-14.63,2.66,1.26,0.577,-0.391,-1.042
0.697,0.485,0.626,-18.34,4.9,0.42,0.575,-0.386,-1.047
0.721,0.498,0.605,-13.3,8.26,1.89,0.573,-0.392,-1.047
0.742,0.505,0.611,-7.21,8.26,4.13,0.577,-0.396,-1.044
0.746,0.511,0.578,-5.67,7.42,1.26,0.574,-0.387,-1.035
0.718,0.525,0.573,-6.72,8.12,-2.59,0.575,-0.391,-1.039
0.688,0.514,0.58,-5.74,8.19,-3.71,0.573,-0.389,-1.04
0.684,0.491,0.587,-6.02,8.4,-3.64,0.578,-0.391,-1.034
0.699,0.489,0.588,-6.09,9.94,-4.55,0.578,-0.39,-1.034
0.696,0.489,0.584,-4.55,10.5,-6.3,0.573,-0.387,-1.026
0.687,0.498,0.573,-4.48,12.53,-9.38,0.576,-0.39,-1.027
0.691,0.488,0.552,-5.04,13.79,-11.97,0.577,-0.383,-1.025
0.676,0.478,0.554,-5.18,13.79,-11.97,0.579,-0.387,-1.027
0.657,0.472,0.56,-4.83,15.82,-11.97,0.581,-0.383,-1.031
0.641,0.481,0.539,-3.71,19.18,-13.72,0.584,-0.383,-1.023
0.654,0.483,0.5,17.5,24.29,-15.12,0.585,-0.38,-1.022
0.693,0.439,0.468,3.36,26.67,-13.79,0.586,-0.382,-1.015
0.698,0.39,0.466,2.52,26.46,-12.6,0.586,-0.382,-1.016
0.718,0.371,0.488,-2.73,27.58,-11.2,0.588,-0.379,-1.016
0.736,0.403,0.494,-8.89,28.21,-11.76,0.587,-0.378,-1.003
0.748,0.456,0.485,-13.44,28.07,-13.09,0.592,-0.377,-1.002
0.762,0.472,0.474,-11.76,24.57,-14.21,0.59,-0.373,-0.996
0.759,0.409,0.475,-9.8,22.68,-14.91,0.592,-0.371,-0.994
0.753,0.374,0.481,-12.6,20.79,-15.68,0.594,-0.372,-0.991
0.734,0.361,0.485,-14.84,18.13,-15.4,0.594,-0.366,-0.987
0.717,0.339,0.455,-10.01,14.49,-13.16,0.594,-0.365,-0.98
0.728,0.278,0.412,-2.73,7.21,-7.77,0.595,-0.368,-0.977
0.753,0.187,0.37,-7.91,-0.35,-2.8,0.598,-0.365,-0.98
0.786,0.248,0.398,-20.23,-4.9,2.8,0.598,-0.369,-0.976
0.828,0.362,0.43,-35.91,-5.39,2.59,0.597,-0.368,-0.977
0.797,0.449,0.499,-42.21,-6.86,3.01,0.599,-0.369,-0.975
0.733,0.506,0.475,-34.09,-3.71,7.7,0.596,-0.371,-0.971
0.762,0.427,0.418,-22.05,-2.45,7.14,0.598,-0.369,-0.971
0.799,0.344,0.37,-32.83,-3.29,5.95,0.595,-0.373,-0.97
0.801,0.372,0.332,-52.99,-4.97,4.83,0.596,-0.37,-0.971
0.769,0.533,0.338,-61.95,-5.39,2.03,0.595,-0.373,-0.965
0.775,0.709,0.288,-39.9,-4.48,-2.31,0.591,-0.373,-0.968
0.804,0.763,0.311,9.59,-3.99,-9.31,0.593,-0.373,-0.959
0.819,0.486,0.384,28.7,-3.64,-8.61,0.595,-0.374,-0.962
0.841,0.294,0.386,32.2,-3.08,-4.9,0.596,-0.37,-0.963
0.835,0.245,0.393,15.47,-3.36,-4.97,0.599,-0.37,-0.97
0.807,0.347,0.402,-2.59,-4.97,-5.95,0.595,-0.369,-0.969
0.77,0.47,0.419,-0.63,-6.79,-5.95,0.599,-0.372,-0.97
0.761,0.467,0.415,13.86,-5.25,-5.11,0.598,-0.369,-0.964
0.797,0.408,0.401,16.24,-4.27,-2.38,0.6,-0.365,-0.972
0.797,0.404,0.413,12.04,-4.76,0.14,0.601,-0.366,-0.963
0.785,0.427,0.4,8.05,-5.6,0.14,0.595,-0.368,-0.966
0.788,0.425,0.374,7.21,-6.65,-0.63,0.597,-0.367,-0.97
0.777,0.45,0.385,8.68,-7.63,-0.84,0.597,-0.362,-0.972
0.769,0.498,0.401,10.64,-6.86,-0.42,0.602,-0.367,-0.975
0.761,0.488,0.411,11.27,-6.37,-0.35,0.595,-0.368,-0.975
0.76,0.473,0.417,9.03,-5.6,0.07,0.598,-0.364,-0.976
0.759,0.464,0.43,5.04,-5.67,-0.84,0.593,-0.365,-0.976
0.742,0.462,0.448,1.12,-6.09,-1.12,0.593,-0.366,-0.981
0.734,0.489,0.463,1.68,-4.9,-1.68,0.596,-0.366,-0.978
0.76,0.469,0.453,4.41,-4.9,-2.52,0.594,-0.367,-0.982
0.767,0.434,0.468,7.49,-5.6,-2.24,0.593,-0.364,-0.978
0.753,0.409,0.481,6.37,-6.51,-2.59,0.598,-0.366,-0.988
0.749,0.401,0.492,4.13,-6.09,-2.03,0.595,-0.366,-0.986
0.753,0.397,0.492,1.68,-5.81,-0.84,0.599,-0.366,-0.981
0.769,0.397,0.483,-0.21,-5.18,0.49,0.596,-0.362,-0.988
0.765,0.421,0.478,-1.54,-4.97,0.63,0.598,-0.366,-0.986
0.757,0.435,0.469,-0.63,-4.06,0.84,0.597,-0.364,-0.989
0.762,0.45,0.45,2.8,-3.85,1.82,0.599,-0.363,-0.985
0.762,0.453,0.439,3.64,-4.13,1.47,0.597,-0.37,-0.981
0.759,0.454,0.434,2.94,-3.57,0.77,0.596,-0.371,-0.987
0.756,0.466,0.424,1.82,-3.15,-0.91,0.593,-0.368,-0.987
0.756,0.451,0.439,2.17,-3.08,-1.26,0.599,-0.366,-0.99
0.754,0.438,0.461,1.05,-3.01,-1.47,0.594,-0.366,-0.984
0.736,0.441,0.464,0.84,-3.08,-2.59,0.6,-0.366,-0.99
0.735,0.442,0.451,0.42,-2.8,-4.06,0.593,-0.366,-0.992
0.744,0.443,0.442,3.01,-2.94,-2.94,0.599,-0.364,-0.989
0.741,0.422,0.44,4.76,-3.78,-2.24,0.595,-0.362,-0.994
0.738,0.401,0.444,4.9,-4.41,-1.61,0.597,-0.361,-0.991
0.746,0.401,0.441,3.22,-5.6,-1.4,0.598,-0.363,-0.985
0.749,0.414,0.446,1.47,-6.79,-1.12,0.6,-0.358,-0.995
0.745,0.426,0.461,2.59,-7.7,-0.56,0.595,-0.358,-0.996
0.737,0.417,0.469,4.83,-7.35,-0.21,0.598,-0.364,-0.997
0.748,0.386,0.474,5.18,-6.58,1.33,0.594,-0.359,-0.995
0.755,0.381,0.457,3.36,-6.72,2.8,0.599,-0.36,-0.997
0.764,0.381,0.46,2.38,-7.49,4.2,0.598,-0.361,-0.999
0.766,0.392,0.469,2.38,-7.07,5.67,0.598,-0.362,-1.004
0.767,0.387,0.479,2.24,-6.51,6.51,0.598,-0.361,-0.993
0.776,0.398,0.474,3.71,-6.44,7.84,0.595,-0.361,-0.997
0.778,0.39,0.477,3.29,-6.09,8.82,0.594,-0.362,-0.998
0.758,0.419,0.482,2.52,-5.67,8.47,0.594,-0.364,-1.003
0.759,0.419,0.489,2.31,-5.39,7.56,0.594,-0.368,-0.997
0.752,0.418,0.47,4.76,-5.81,9.38,0.591,-0.371,-1.007
0.742,0.386,0.473,6.51,-6.23,11.06,0.589,-0.368,-1.005
0.739,0.347,0.479,5.67,-6.37,12.67,0.593,-0.372,-1.004
0.755,0.318,0.496,0.63,-7.42,15.96,0.593,-0.375,-1.005
0.769,0.278,0.518,-1.82,-8.68,20.79,0.59,-0.375,-1.007
