ax,ay,az,gx,gy,gz,mx,my,mz
-0.365,0.302,0.205,42.7,-21.56,-20.09,0.089,-0.56,-1.069
-0.429,0.185,0.145,70.49,6.09,-12.95,0.09,-0.561,-1.078
-0.5,-0.134,0.076,79.659,21.56,-6.65,0.092,-0.561,-1.083
-0.561,-0.32,-0.039,76.159,39.2,4.06,0.096,-0.561,-1.098
-0.624,-0.382,-0.107,53.34,52.429,6.58,0.094,-0.561,-1.106
-0.715,-0.311,-0.079,23.03,72.03,3.15,0.094,-0.559,-1.108
-0.749,-0.145,-0.035,7.98,100.1,6.93,0.097,-0.561,-1.112
-0.676,-0.028,-0.05,17.36,141.4,41.37,0.107,-0.558,-1.119
-0.611,0.067,-0.263,14.49,156.24,96.179,0.101,-0.549,-1.122
-0.665,0.545,-0.073,-32.06,175.28,144.62,0.096,-0.545,-1.125
-0.735,1.432,-0.102,-97.37,185.64,143.08,0.084,-0.537,-1.123
-0.945,2.363,0.0,-131.6,164.92,126.14,0.079,-0.543,-1.109
-1.031,3.302,0.088,-97.23,160.79,148.47,0.063,-0.536,-1.106
-0.609,2.981,0.214,-4.55,182.56,138.46,0.059,-0.536,-1.104
-0.397,2.56,0.274,0.21,179.69,115.99,0.054,-0.529,-1.111
-0.274,2.144,0.29,-3.99,168.0,111.44,0.052,-0.526,-1.12
-0.237,1.763,0.331,-19.04,173.6,110.88,0.053,-0.523,-1.125
-0.198,1.547,0.335,-45.01,194.95,106.19,0.055,-0.521,-1.128
-0.113,1.469,0.212,-63.77,223.86,99.33,0.056,-0.524,-1.132
0.03,1.294,0.094,-62.58,244.23,96.53,0.062,-0.522,-1.132
0.279,0.943,-0.16,-50.26,242.2,95.48,0.063,-0.525,-1.136
0.369,0.773,-0.201,-48.79,215.39,89.81,0.064,-0.522,-1.144
0.383,0.674,-0.203,-41.51,185.43,84.28,0.071,-0.528,-1.138
0.371,0.603,-0.142,-27.44,156.59,80.08,0.07,-0.523,-1.139
0.37,0.519,-0.091,-11.2,120.54,72.659,0.065,-0.521,-1.146
0.378,0.448,-0.12,2.38,91.909,61.389,0.066,-0.519,-1.15
0.381,0.344,-0.143,9.8,60.48,41.37,0.035,-0.525,-1.155
0.372,0.315,-0.088,14.21,33.18,17.01,0.066,-0.521,-1.153
0.315,0.418,0.06,20.37,17.99,-31.71,0.063,-0.52,-1.161
0.304,0.441,-0.004,35.7,15.12,-49.49,0.072,-0.526,-1.168
0.317,1.595,-0.047,-81.34,21.7,-82.88,0.108,-0.54,-1.155
0.508,2.274,-0.193,-69.72,22.47,-83.44,0.12,-0.545,-1.145
0.683,2.484,-0.348,-38.57,-1.61,-80.08,0.128,-0.548,-1.137
0.514,2.606,-0.289,-37.45,-43.89,-76.37,0.137,-0.553,-1.133
0.164,3.048,-0.235,-57.68,-69.16,-77.49,0.138,-0.558,-1.126
-0.078,3.113,-0.213,-39.55,-80.64,-115.36,0.155,-0.568,-1.116
-0.188,2.493,-0.196,-20.79,-86.87,-130.9,0.166,-0.574,-1.112
-0.191,2.083,-0.211,-13.65,-91.56,-126.49,0.182,-0.579,-1.104
-0.231,1.755,-0.219,-6.16,-108.5,-109.41,0.189,-0.583,-1.103
-0.321,1.458,-0.148,1.89,-133.071,-88.97,0.192,-0.582,-1.112
-0.407,1.193,-0.064,9.59,-145.95,-61.04,0.2,-0.587,-1.104
