ax,ay,az,gx,gy,gz,mx,my,mz
-0.083,0.858,0.488,-0.42,-2.45,-0.14,0.14,-0.551,-1.04
-0.083,0.862,0.487,-0.35,-2.52,-0.07,0.14,-0.553,-1.041
-0.082,0.859,0.486,0.42,-2.45,0.0,0.14,-0.554,-1.036
-0.082,0.857,0.488,0.42,-2.38,0.14,0.142,-0.551,-1.036
-0.083,0.861,0.491,0.0,-2.31,0.0,0.142,-0.55,-1.041
-0.082,0.86,0.489,0.07,-2.24,-0.14,0.137,-0.553,-1.043
-0.08,0.857,0.488,0.42,-2.24,-0.07,0.133,-0.555,-1.039
-0.08,0.855,0.487,0.35,-2.31,0.0,0.135,-0.555,-1.036
-0.079,0.857,0.485,0.21,-2.24,0.14,0.137,-0.555,-1.037
-0.079,0.859,0.486,0.21,-2.45,0.42,0.134,-0.556,-1.036
-0.082,0.86,0.487,0.42,-2.45,0.49,0.139,-0.554,-1.038
-0.08,0.856,0.491,0.56,-2.59,0.63,0.14,-0.556,-1.035
-0.08,0.856,0.489,-0.28,-2.38,0.28,0.134,-0.554,-1.035
-0.081,0.862,0.491,-0.63,-2.59,0.14,0.141,-0.555,-1.038
-0.081,0.864,0.489,-0.35,-2.38,0.14,0.136,-0.555,-1.034
-0.082,0.863,0.486,0.28,-2.31,-0.07,0.137,-0.553,-1.031
-0.085,0.859,0.487,0.49,-2.31,-0.21,0.14,-0.556,-1.033
-0.085,0.861,0.487,0.56,-2.24,-0.42,0.134,-0.553,-1.027
-0.082,0.862,0.489,0.7,-2.17,-0.35,0.137,-0.553,-1.033
-0.08,0.86,0.488,0.63,-2.1,-0.7,0.134,-0.551,-1.033
-0.08,0.859,0.487,0.49,-2.45,-0.49,0.141,-0.553,-1.035
-0.081,0.858,0.487,0.35,-2.31,-0.56,0.132,-0.557,-1.034
-0.082,0.858,0.487,0.42,-2.66,-0.63,0.133,-0.553,-1.033
-0.083,0.858,0.49,0.56,-2.73,-0.56,0.137,-0.558,-1.038
-0.081,0.856,0.492,0.42,-2.59,-0.42,0.141,-0.554,-1.033
-0.082,0.853,0.491,0.42,-2.59,-0.28,0.136,-0.553,-1.034
-0.083,0.853,0.489,-0.28,-2.66,-0.28,0.139,-0.554,-1.037
-0.083,0.861,0.488,-0.84,-2.24,-0.21,0.135,-0.556,-1.034
