ax,ay,az,gx,gy,gz,mx,my,mz
-0.977,0.235,0.209,-4.41,13.23,-13.51,-0.204,-0.318,-0.934
-0.981,0.237,0.206,-4.13,13.37,-15.05,-0.201,-0.318,-0.932
-0.987,0.234,0.2,-3.5,13.79,-35.07,-0.199,-0.324,-0.931
-0.982,0.226,0.189,-2.8,15.4,-20.51,-0.203,-0.323,-0.936
-0.966,0.217,0.18,-3.36,15.75,-23.1,-0.199,-0.329,-0.934
-0.958,0.21,0.169,-4.34,15.61,-25.83,-0.197,-0.323,-0.935
-0.951,0.204,0.158,-5.95,15.26,-28.42,-0.19,-0.331,-0.939
-0.944,0.202,0.157,-6.93,14.21,-30.87,-0.193,-0.34,-0.943
-0.938,0.201,0.155,-7.63,12.39,-33.67,-0.19,-0.342,-0.945
-0.925,0.192,0.142,-8.19,11.13,-35.14,-0.185,-0.341,-0.947
-0.914,0.185,0.129,-8.47,9.31,-36.05,-0.187,-0.349,-0.945
-0.904,0.18,0.122,-8.61,7.28,-36.4,-0.188,-0.357,-0.944
-0.903,0.182,0.122,-7.63,4.55,-35.28,-0.183,-0.358,-0.947
-0.906,0.185,0.124,-6.02,1.33,-33.18,-0.179,-0.367,-0.953
-0.913,0.19,0.129,-3.01,-1.33,-30.03,-0.179,-0.369,-0.952
-0.917,0.197,0.144,3.5,-4.27,-23.59,-0.178,-0.369,-0.946
-0.919,0.203,0.156,9.66,-6.37,-18.83,-0.174,-0.377,-0.951
-0.909,0.196,0.161,14.14,-7.49,-14.56,-0.172,-0.375,-0.952
-0.889,0.182,0.165,17.85,-8.26,-11.13,-0.171,-0.383,-0.95
-0.866,0.176,0.173,19.25,-9.52,-8.61,-0.171,-0.381,-0.944
-0.841,0.177,0.182,19.18,-9.94,-7.7,-0.173,-0.381,-0.941
-0.805,0.174,0.186,16.59,-7.91,-9.31,-0.17,-0.381,-0.95
-0.725,0.162,0.172,13.23,-6.09,-12.6,-0.17,-0.381,-0.948
-0.681,0.145,0.15,8.96,-6.37,-15.26,-0.167,-0.382,-0.947
-0.673,0.138,0.145,5.11,-10.43,-16.66,-0.162,-0.384,-0.953
-0.711,0.153,0.161,2.87,-15.12,-16.31,-0.157,-0.38,-0.943
-0.748,0.177,0.193,3.08,-15.26,-15.19,-0.164,-0.384,-0.944
-0.737,0.173,0.195,7.77,-9.38,-12.95,-0.165,-0.388,-0.939
-0.716,0.166,0.2,10.71,-10.15,-9.45,-0.16,-0.39,-0.934
-0.763,0.18,0.216,10.57,-14.14,-5.25,-0.157,-0.39,-0.942
-0.812,0.214,0.217,7.28,-13.37,-2.73,-0.163,-0.391,-0.946
-0.815,0.241,0.219,4.97,-7.98,-1.89,-0.16,-0.393,-0.947
-0.786,0.26,0.21,3.22,-5.11,-2.8,-0.16,-0.391,-0.938
-0.776,0.282,0.222,1.47,-6.3,-4.48,-0.158,-0.386,-0.939
-0.808,0.359,0.256,0.49,-9.52,-7.63,-0.162,-0.389,-0.94
-0.862,0.38,0.272,1.33,-7.7,-12.53,-0.157,-0.39,-0.938
-0.867,0.376,0.248,3.22,-3.71,-16.8,-0.16,-0.394,-0.937
-0.869,0.37,0.234,3.5,-1.68,-20.86,-0.158,-0.396,-0.939
-0.88,0.377,0.242,2.8,-0.42,-26.18,-0.159,-0.4,-0.938
-0.9,0.402,0.261,1.75,4.13,-33.95,-0.157,-0.401,-0.936
-0.923,0.421,0.259,2.66,7.28,-37.38,-0.148,-0.405,-0.944
-0.936,0.412,0.254,4.27,10.57,-39.83,-0.145,-0.407,-0.938
-0.948,0.426,0.254,2.73,13.09,-41.86,-0.144,-0.419,-0.944
-0.958,0.45,0.289,1.33,16.87,-45.29,-0.138,-0.416,-0.94
-0.941,0.456,0.284,0.91,21.77,-47.81,-0.134,-0.429,-0.945
-0.922,0.442,0.278,1.4,25.55,-50.61,-0.129,-0.428,-0.951
-0.943,0.426,0.241,-5.39,22.89,-51.24,-0.126,-0.434,-0.955
-0.982,0.456,0.225,-16.52,21.63,-52.01,-0.124,-0.444,-0.956
-0.987,0.486,0.186,-32.13,23.38,-55.44,-0.117,-0.445,-0.954
-0.914,0.516,0.2,-41.65,27.65,-59.43,-0.106,-0.454,-0.954
