ax,ay,az,gx,gy,gz,mx,my,mz
-0.297,0.386,0.883,-129.571,3.64,-44.45,0.13,-0.45,-1.204
-0.259,0.507,0.863,-145.6,4.97,-44.66,0.13,-0.457,-1.18
-0.234,0.64,0.793,-155.26,8.26,-44.66,0.132,-0.477,-1.174
-0.181,0.831,0.707,-145.04,11.2,-46.27,0.133,-0.48,-1.168
-0.042,0.808,0.604,-95.62,8.12,-57.68,0.145,-0.496,-1.151
-0.102,0.783,0.637,-57.54,-12.25,-49.0,0.145,-0.497,-1.146
-0.177,0.765,0.65,-16.45,-18.62,-36.82,0.151,-0.507,-1.147
-0.192,0.646,0.666,0.63,-17.36,-33.39,0.153,-0.506,-1.148
-0.165,0.604,0.646,-2.8,-14.7,-30.52,0.161,-0.503,-1.145
-0.141,0.605,0.587,-13.93,-20.51,-29.33,0.164,-0.505,-1.142
-0.161,0.554,0.561,-21.7,-24.57,-25.34,0.168,-0.503,-1.141
-0.16,0.626,0.552,-34.09,-30.8,-15.47,0.167,-0.513,-1.142
-0.178,0.667,0.529,-45.01,-33.18,-14.07,0.168,-0.513,-1.133
-0.206,0.778,0.511,-55.86,-38.22,-13.65,0.165,-0.516,-1.129
-0.23,0.856,0.489,-57.61,-34.72,-30.24,0.16,-0.521,-1.119
-0.315,0.593,0.443,-46.48,-35.0,-29.05,0.167,-0.526,-1.116
-0.239,0.73,0.392,-68.32,-40.25,-5.53,0.168,-0.53,-1.102
-0.285,0.781,0.411,-79.31,-48.58,-8.33,0.168,-0.537,-1.099
-0.31,0.777,0.444,-79.73,-55.58,-5.39,0.167,-0.537,-1.084
-0.32,0.792,0.504,-77.0,-61.18,0.98,0.163,-0.543,-1.076
-0.353,0.886,0.528,-82.53,-66.22,3.43,0.158,-0.548,-1.066
-0.364,0.93,0.5,-82.81,-71.12,0.84,0.153,-0.545,-1.056
-0.334,0.963,0.429,-68.46,-67.55,2.52,0.153,-0.55,-1.043
-0.311,0.981,0.511,-39.41,-71.96,8.82,0.149,-0.553,-1.042
-0.318,0.972,0.467,-12.18,-66.29,17.01,0.15,-0.557,-1.044
-0.252,0.945,0.548,32.9,-66.57,27.02,0.146,-0.56,-1.044
-0.249,0.899,0.663,52.01,-68.39,34.09,0.141,-0.556,-1.051
-0.329,0.711,0.738,45.01,-71.82,39.55,0.131,-0.55,-1.057
-0.357,0.561,0.784,8.96,-75.11,40.53,0.13,-0.552,-1.051
-0.282,0.534,0.66,-44.52,-74.27,33.95,0.117,-0.551,-1.045
-0.283,0.66,0.596,-114.1,-86.38,33.81,0.113,-0.551,-1.035
-0.37,0.886,0.468,-140.77,-89.04,24.71,0.113,-0.557,-1.021
-0.458,0.879,0.422,-159.81,-94.36,10.78,0.103,-0.56,-0.989
-0.549,0.921,0.331,-182.84,-96.95,3.99,0.104,-0.562,-0.97
-0.55,0.959,0.115,-206.571,-95.48,-3.22,0.101,-0.566,-0.926
-0.513,1.154,-0.046,-205.94,-88.34,-0.14,0.107,-0.568,-0.913
-0.594,1.028,-0.16,-166.11,-73.08,18.97,0.105,-0.562,-0.89
-0.697,0.982,-0.333,-101.71,-49.28,30.24,0.105,-0.558,-0.873
-0.786,0.82,-0.267,-80.08,-38.29,44.31,0.103,-0.558,-0.868
-0.81,0.902,-0.209,-73.22,-25.55,53.2,0.097,-0.554,-0.846
-0.756,0.919,-0.229,-66.22,-13.93,58.8,0.092,-0.551,-0.845
