ax,ay,az,gx,gy,gz,mx,my,mz
-0.172,0.195,0.981,6.93,-4.41,-3.85,0.238,-0.341,-1.337
-0.18,0.191,0.979,21.91,-2.66,-3.99,0.232,-0.334,-1.341
-0.16,0.131,0.965,29.05,-2.31,-4.2,0.233,-0.331,-1.335
-0.15,0.074,0.964,28.42,-2.66,-4.48,0.237,-0.327,-1.334
-0.149,0.041,0.973,19.25,-2.87,-4.97,0.233,-0.323,-1.341
-0.15,0.046,0.968,8.12,-2.94,-5.04,0.236,-0.323,-1.343
-0.157,0.091,0.965,4.27,-0.63,-4.62,0.241,-0.324,-1.337
-0.164,0.089,0.963,8.47,-1.61,-2.8,0.239,-0.32,-1.341
-0.167,0.054,0.977,8.4,-2.59,-1.61,0.238,-0.316,-1.339
-0.151,0.041,0.973,0.07,-1.75,-3.36,0.231,-0.317,-1.343
-0.131,0.08,0.993,-7.63,-0.84,-4.97,0.234,-0.315,-1.339
-0.138,0.129,0.99,-6.51,-3.01,-3.64,0.237,-0.322,-1.332
-0.168,0.106,1.002,8.4,-4.2,-2.73,0.234,-0.32,-1.335
-0.174,0.042,1.013,8.47,-3.22,-2.52,0.233,-0.319,-1.336
-0.174,-0.001,0.944,-9.59,-2.59,-3.22,0.237,-0.319,-1.338
-0.177,-0.034,0.893,-65.59,-8.68,-7.84,0.235,-0.322,-1.331
-0.201,-0.202,0.739,-201.74,-25.06,-23.31,0.238,-0.352,-1.316
-0.252,-0.434,0.703,-460.25,-34.86,-43.68,0.233,-0.383,-1.292
-0.026,-1.027,-0.443,-1039.431,-28.21,-143.99,0.238,-0.506,-1.184
0.038,-1.468,-2.166,-1571.85,-97.51,-267.05,0.25,-0.566,-1.059
-0.105,0.49,-3.938,-1818.6,-141.4,-267.26,0.286,-0.545,-0.745
-0.361,3.997,-3.785,-1519.421,-56.28,-218.4,0.298,-0.451,-0.643
1.975,3.997,-0.706,-821.24,38.78,-53.55,0.298,-0.365,-0.59
0.481,3.105,0.105,448.35,-10.57,-101.99,0.306,-0.405,-0.627
-0.001,-0.091,-1.491,753.9,3.15,-24.01,0.319,-0.453,-0.669
-0.716,-0.56,-0.634,550.62,-31.71,101.43,0.315,-0.533,-0.761
-0.496,0.958,-0.656,357.0,49.21,27.58,0.31,-0.547,-0.79
-0.141,1.903,0.032,396.83,42.56,-23.03,0.31,-0.56,-0.823
0.151,2.693,-0.445,690.41,26.25,-29.82,0.324,-0.579,-0.93
0.215,1.79,-1.153,1057.63,-67.34,-16.17,0.324,-0.574,-1.034
0.04,0.097,-1.036,1190.069,-130.69,154.7,0.308,-0.486,-1.23
-0.218,-1.078,-0.496,1020.04,-58.45,215.18,0.296,-0.413,-1.288
0.089,-2.212,0.636,760.06,34.44,163.59,0.285,-0.279,-1.345
0.426,-2.286,0.828,221.62,-3.36,16.8,0.282,-0.265,-1.353
-0.158,-0.852,1.315,-122.92,-50.61,-2.17,0.274,-0.279,-1.343
-0.241,0.504,1.076,-231.91,-16.31,-18.2,0.267,-0.301,-1.338
-0.338,0.98,0.955,-158.27,-7.14,-14.0,0.267,-0.319,-1.331
-0.239,0.737,0.861,2.87,-0.56,7.56,0.268,-0.33,-1.33
-0.049,0.162,0.883,113.33,1.05,35.49,0.266,-0.318,-1.33
-0.003,-0.193,0.991,109.55,-10.71,42.56,0.26,-0.303,-1.341
-0.094,-0.185,1.086,42.98,-11.34,34.37,0.258,-0.305,-1.338
-0.162,0.154,1.052,-38.85,-0.77,8.19,0.254,-0.3,-1.342
-0.139,0.248,0.988,-39.9,0.21,-1.33,0.259,-0.304,-1.339
-0.104,0.235,0.969,-18.13,0.42,2.03,0.261,-0.311,-1.34
-0.066,0.155,0.974,-0.84,-0.7,5.18,0.26,-0.314,-1.336
-0.063,0.109,0.97,2.66,-2.52,5.11,0.258,-0.31,-1.335
-0.085,0.089,0.99,-0.91,-3.36,3.43,0.26,-0.312,-1.335
-0.09,0.065,1.002,-4.13,-4.06,2.8,0.257,-0.314,-1.335
-0.095,0.075,0.994,-9.94,-3.78,1.54,0.253,-0.313,-1.335
-0.102,0.097,0.992,-14.28,-3.01,-0.49,0.256,-0.314,-1.338
-0.106,0.121,0.97,-12.46,-2.59,-0.49,0.257,-0.319,-1.34
-0.107,0.14,0.963,-2.31,-3.29,-0.21,0.257,-0.315,-1.334
-0.1,0.064,0.981,2.59,-4.48,0.84,0.256,-0.315,-1.343
-0.089,0.031,0.993,-1.33,-4.13,1.33,0.254,-0.315,-1.333
-0.078,0.029,1.015,-10.71,-3.36,0.7,0.255,-0.317,-1.338
-0.079,0.074,0.999,-19.32,-1.96,0.07,0.256,-0.323,-1.337
-0.09,0.136,0.997,-17.01,-1.47,2.24,0.26,-0.32,-1.337
-0.1,0.15,0.979,-3.43,-2.73,3.29,0.26,-0.32,-1.331
-0.097,0.104,0.988,1.26,-3.43,3.78,0.259,-0.321,-1.332
-0.104,0.096,0.999,-1.68,-3.57,3.29,0.25,-0.322,-1.34
-0.119,0.119,0.999,-6.09,-3.71,2.38,0.255,-0.323,-1.335
-0.126,0.142,0.999,-7.21,-2.59,1.05,0.258,-0.331,-1.335
-0.118,0.139,1.0,-3.85,-2.1,-0.14,0.253,-0.33,-1.332
-0.111,0.119,0.997,-3.15,-2.24,-0.14,0.252,-0.329,-1.331
-0.109,0.108,0.999,-4.27,-2.17,-0.91,0.256,-0.324,-1.332
-0.098,0.1,0.997,-5.81,-1.26,-0.63,0.253,-0.326,-1.338
-0.088,0.101,0.997,-6.93,-0.35,-0.63,0.257,-0.333,-1.33
-0.089,0.113,0.994,-6.79,-0.77,-0.14,0.255,-0.334,-1.332
-0.084,0.113,0.991,-5.39,-0.42,0.91,0.259,-0.335,-1.335
-0.065,0.105,0.992,-5.04,0.14,3.01,0.255,-0.332,-1.333
-0.054,0.118,0.987,-7.56,0.0,4.34,0.255,-0.333,-1.333
-0.067,0.151,0.986,-10.22,-0.98,5.39,0.258,-0.338,-1.336
-0.089,0.168,0.99,-9.59,-1.61,6.3,0.256,-0.341,-1.33
-0.099,0.172,0.993,-10.43,-0.07,6.23,0.255,-0.339,-1.33
-0.095,0.179,0.976,-13.65,1.33,4.9,0.255,-0.342,-1.328
-0.097,0.2,0.969,-15.96,1.05,3.22,0.252,-0.342,-1.327
-0.103,0.212,0.972,-14.91,0.63,1.89,0.256,-0.345,-1.326
-0.108,0.208,0.975,-12.67,0.49,0.49,0.253,-0.345,-1.327
-0.105,0.194,0.971,-10.99,0.63,-1.19,0.257,-0.344,-1.325
-0.098,0.178,0.962,-11.2,-0.49,-3.43,0.255,-0.354,-1.329
-0.1,0.176,0.974,-11.13,-1.61,-3.92,0.254,-0.348,-1.331
-0.113,0.183,0.976,-9.66,-2.17,-4.27,0.253,-0.353,-1.324
-0.112,0.178,0.972,-6.72,-1.68,-4.48,0.253,-0.354,-1.32
-0.097,0.162,0.973,-5.6,-1.33,-4.48,0.258,-0.356,-1.323
-0.093,0.157,0.983,-5.81,-2.94,-4.83,0.259,-0.352,-1.325
-0.11,0.171,0.986,-5.46,-3.22,-4.69,0.26,-0.356,-1.324
-0.106,0.164,0.979,-3.15,-2.17,-4.55,0.264,-0.353,-1.329
-0.089,0.142,0.972,-1.54,-1.75,-3.5,0.262,-0.355,-1.322
-0.077,0.131,0.977,-2.52,-2.66,-2.8,0.261,-0.355,-1.325
-0.081,0.142,0.982,-5.46,-4.06,-1.82,0.258,-0.357,-1.327
-0.093,0.161,0.986,-5.6,-4.69,-1.19,0.262,-0.356,-1.323
-0.097,0.182,0.983,-3.43,-4.62,0.07,0.258,-0.359,-1.325
-0.098,0.194,0.991,-0.14,-4.55,1.05,0.258,-0.361,-1.323
-0.099,0.193,0.989,2.31,-4.97,1.33,0.255,-0.359,-1.327
-0.102,0.185,0.991,3.78,-5.25,1.19,0.253,-0.353,-1.324
-0.106,0.181,1.002,1.4,-4.55,1.19,0.254,-0.355,-1.329
-0.118,0.199,1.004,0.77,-4.13,0.91,0.254,-0.357,-1.32
-0.119,0.203,1.0,0.98,-3.64,0.84,0.254,-0.356,-1.32
-0.109,0.196,0.996,1.05,-2.73,0.63,0.253,-0.351,-1.321
-0.1,0.199,0.99,0.56,-1.89,0.21,0.256,-0.354,-1.317
-0.095,0.204,0.993,1.54,-2.31,-0.42,0.256,-0.356,-1.322
-0.097,0.198,0.987,3.08,-2.66,-0.21,0.255,-0.358,-1.32
-0.099,0.195,0.989,4.55,-2.45,-0.28,0.256,-0.353,-1.316
-0.095,0.187,0.989,4.97,-1.75,-0.42,0.254,-0.356,-1.316
-0.088,0.183,0.989,4.2,-1.47,-0.77,0.256,-0.355,-1.315
-0.09,0.186,0.988,2.94,-1.4,-1.05,0.259,-0.357,-1.314
-0.102,0.193,0.983,2.94,-1.68,-0.77,0.26,-0.353,-1.317
-0.109,0.182,0.979,4.41,-0.77,-0.63,0.258,-0.351,-1.313
-0.099,0.174,0.972,3.36,0.63,-0.98,0.255,-0.353,-1.315
-0.09,0.175,0.965,0.77,0.35,-1.54,0.262,-0.354,-1.321
-0.095,0.19,0.964,0.14,-0.98,-1.12,0.257,-0.35,-1.323
-0.103,0.19,0.956,1.33,-1.47,-0.77,0.256,-0.351,-1.32
