ax,ay,az,gx,gy,gz,mx,my,mz
-0.798,0.164,0.144,25.27,46.69,-41.65,-0.217,-0.269,-0.996
-0.778,0.16,0.157,22.26,45.92,-40.11,-0.216,-0.28,-1.003
-0.751,0.151,0.167,18.27,43.82,-38.29,-0.211,-0.288,-1.011
-0.724,0.14,0.162,13.23,41.09,-35.49,-0.207,-0.29,-1.015
-0.698,0.133,0.153,4.76,34.93,-30.66,-0.207,-0.291,-1.02
-0.67,0.141,0.16,-0.56,29.75,-26.67,-0.207,-0.297,-1.021
-0.662,0.148,0.168,-5.25,23.87,-22.47,-0.198,-0.299,-1.029
-0.668,0.157,0.169,-8.47,17.15,-17.85,-0.2,-0.304,-1.033
-0.685,0.16,0.167,-11.41,10.15,-12.46,-0.201,-0.305,-1.035
-0.707,0.165,0.182,-12.32,3.36,-6.3,-0.2,-0.308,-1.032
-0.727,0.178,0.199,-11.2,-5.6,4.06,-0.201,-0.309,-1.034
-0.777,0.182,0.195,-8.89,-13.16,11.83,-0.205,-0.306,-1.033
-0.85,0.172,0.195,-5.25,-22.47,21.49,-0.202,-0.307,-1.034
-0.976,0.173,0.23,0.21,-33.67,33.67,-0.209,-0.296,-1.028
-1.116,0.182,0.264,4.83,-40.81,46.2,-0.207,-0.295,-1.025
-1.213,0.155,0.24,5.39,-41.93,54.389,-0.211,-0.289,-1.024
-1.269,0.127,0.221,-1.75,-43.33,61.74,-0.217,-0.281,-1.014
-1.378,0.164,0.246,-8.75,-47.46,66.22,-0.22,-0.274,-1.004
-1.392,0.213,0.289,-16.03,-49.0,66.85,-0.223,-0.265,-0.995
-1.298,0.249,0.35,-20.3,-50.4,60.55,-0.224,-0.26,-0.994
-1.174,0.275,0.421,-19.11,-55.09,50.889,-0.23,-0.248,-0.987
-1.106,0.297,0.469,-11.2,-64.12,21.63,-0.232,-0.245,-0.98
-1.112,0.3,0.499,8.96,-75.32,19.81,-0.238,-0.245,-0.975
-1.159,0.232,0.479,21.28,-75.53,8.26,-0.239,-0.239,-0.964
-1.143,0.166,0.447,28.14,-67.41,-0.84,-0.235,-0.241,-0.955
-1.087,0.086,0.389,25.48,-54.39,-6.44,-0.237,-0.248,-0.944
-1.03,0.047,0.345,16.59,-44.59,-5.04,-0.236,-0.243,-0.942
-0.988,0.018,0.309,2.66,-35.63,-7.63,-0.236,-0.249,-0.939
-0.927,-0.019,0.301,-24.57,-20.72,-7.0,-0.239,-0.246,-0.943
-0.854,-0.025,0.294,-42.7,-13.23,-4.06,-0.238,-0.245,-0.938
-0.747,0.009,0.283,-59.64,-11.97,-0.49,-0.241,-0.243,-0.932
-0.701,0.046,0.303,-72.59,-15.68,5.53,-0.24,-0.243,-0.932
-0.687,0.109,0.32,-80.64,-21.35,14.42,-0.243,-0.238,-0.93
-0.713,0.188,0.357,-79.59,-27.3,23.45,-0.243,-0.23,-0.915
-0.748,0.245,0.375,-67.9,-28.98,36.96,-0.239,-0.225,-0.913
-0.763,0.277,0.393,-37.45,-27.86,46.2,-0.238,-0.213,-0.904
-0.757,0.265,0.386,-15.47,-27.58,53.34,-0.239,-0.207,-0.896
-0.756,0.234,0.401,0.84,-28.21,57.82,-0.243,-0.203,-0.9
-0.769,0.214,0.403,11.62,-28.14,60.34,-0.241,-0.192,-0.898
-0.781,0.199,0.402,17.85,-27.72,61.879,-0.244,-0.188,-0.892
-0.789,0.178,0.414,20.79,-26.53,62.02,-0.244,-0.176,-0.883
-0.803,0.142,0.429,17.22,-26.39,60.55,-0.245,-0.173,-0.88
-0.824,0.132,0.428,10.15,-27.16,59.08,-0.246,-0.165,-0.875
-0.849,0.142,0.423,3.01,-26.81,57.679,-0.247,-0.162,-0.874
-0.877,0.172,0.411,-0.84,-25.34,56.629,-0.244,-0.158,-0.87
-0.915,0.205,0.405,0.63,-24.01,56.77,-0.243,-0.146,-0.868
-0.966,0.228,0.437,8.89,-23.73,56.56,-0.245,-0.14,-0.868
-1.061,0.241,0.419,15.54,-22.26,55.02,-0.247,-0.133,-0.861
-1.127,0.241,0.41,21.42,-20.37,52.71,-0.243,-0.128,-0.856
-1.202,0.23,0.387,26.81,-19.67,50.47,-0.243,-0.118,-0.86
-1.334,0.236,0.4,31.15,-24.08,48.86,-0.238,-0.113,-0.856
-1.475,0.223,0.436,28.91,-19.88,43.05,-0.238,-0.108,-0.848
-1.49,0.224,0.364,18.2,8.26,30.66,-0.238,-0.107,-0.855
-1.413,0.245,0.306,11.13,17.43,20.51,-0.24,-0.105,-0.856
-1.37,0.274,0.299,6.58,17.43,9.52,-0.241,-0.101,-0.853
-1.322,0.299,0.321,5.46,18.55,-2.52,-0.244,-0.107,-0.869
-1.227,0.297,0.309,8.4,27.58,-15.12,-0.251,-0.104,-0.87
-1.131,0.3,0.256,23.24,27.44,-32.69,-0.248,-0.106,-0.871
-1.079,0.274,0.241,35.49,24.01,-43.82,-0.245,-0.117,-0.877
-1.074,0.255,0.229,46.69,27.23,-51.52,-0.251,-0.123,-0.88
-1.058,0.242,0.223,56.419,34.51,-55.72,-0.248,-0.127,-0.887
-1.04,0.217,0.205,64.61,41.79,-58.17,-0.251,-0.146,-0.898
-1.043,0.176,0.183,69.929,46.97,-57.75,-0.248,-0.152,-0.906
-1.058,0.134,0.171,69.3,57.889,-56.14,-0.251,-0.169,-0.917
-1.034,0.091,0.137,56.0,67.83,-55.72,-0.247,-0.174,-0.924
-0.987,0.083,0.108,41.37,74.62,-56.14,-0.252,-0.182,-0.931
-0.942,0.091,0.096,25.76,76.23,-57.19,-0.247,-0.193,-0.946
-0.921,0.108,0.102,11.62,73.639,-57.75,-0.251,-0.201,-0.953
-0.92,0.125,0.114,0.0,70.28,-57.54,-0.247,-0.213,-0.964
-0.912,0.147,0.122,-8.82,68.04,-56.91,-0.249,-0.216,-0.972
-0.886,0.176,0.122,-17.78,64.75,-55.79,-0.247,-0.221,-0.973
-0.841,0.204,0.107,-19.6,61.389,-54.6,-0.242,-0.233,-0.984
-0.826,0.214,0.107,-17.92,57.47,-52.99,-0.24,-0.238,-0.997
-0.82,0.209,0.088,-14.84,53.62,-51.52,-0.238,-0.252,-0.995
-0.82,0.202,0.078,-13.37,50.61,-50.33,-0.236,-0.253,-1.004
-0.82,0.195,0.067,-14.07,47.11,-49.21,-0.233,-0.258,-1.014
-0.829,0.19,0.087,-15.54,42.98,-47.46,-0.228,-0.264,-1.013
-0.843,0.189,0.127,-19.74,36.96,-44.66,-0.229,-0.271,-1.016
-0.832,0.183,0.13,-23.94,33.53,-44.8,-0.224,-0.282,-1.018
-0.804,0.172,0.118,-28.91,30.31,-45.5,-0.215,-0.286,-1.02
-0.785,0.166,0.118,-33.46,25.13,-45.15,-0.218,-0.293,-1.025
-0.787,0.173,0.133,-37.31,18.62,-42.84,-0.213,-0.3,-1.03
