Accelerometer_Avg_x,Accelerometer_Avg_y,Accelerometer_Avg_z,Accelerometer_Avg_total,Accelerometer_Deviation_x,Accelerometer_Deviation_y,Accelerometer_Deviation_z,Accelerometer_Deviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometer_Dc_x,Accelerometer_Dc_y,Accelerometer_Dc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscope_Avg_x,Gyroscope_Avg_y,Gyroscope_Avg_z,Gyroscope_Avg_total,Gyroscope_Deviation_x,Gyroscope_Deviation_y,Gyroscope_Deviation_z,Gyroscope_Deviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscope_Dc_x,Gyroscope_Dc_y,Gyroscope_Dc_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,Magnetometer_Avg_x,Magnetometer_Avg_y,Magnetometer_Avg_z,Magnetometer_Avg_total,Magnetometer_Deviation_x,Magnetometer_Deviation_y,Magnetometer_Deviation_z,Magnetometer_Deviation_total,Magnetometer_Skewness_x,Magnetometer_Skewness_y,Magnetometer_Skewness_z,Magnetometer_Skewness_total,Magnetometer_Kurtosis_x,Magnetometer_Kurtosis_y,Magnetometer_Kurtosis_z,Magnetometer_Kurtosis_total,Magnetometer_Correlation_x_y,Magnetometer_Correlation_x_z,Magnetometer_Correlation_x_total,Magnetometer_Correlation_y_z,Magnetometer_Correlation_y_total,Magnetometer_Correlation_z_total,Magnetometer_Zero_x,Magnetometer_Zero_y,Magnetometer_Zero_z,Magnetometer_Zero_total,Magnetometer_Dc_x,Magnetometer_Dc_y,Magnetometer_Dc_z,Magnetometer_Energy_x,Magnetometer_Energy_y,Magnetometer_Energy_z,Magnetometer_Entropy_x,Magnetometer_Entropy_y,Magnetometer_Entropy_z,YPR_Avg_x,YPR_Avg_y,YPR_Avg_z,YPR_Avg_total,YPR_Deviation_x,YPR_Deviation_y,YPR_Deviation_z,YPR_Deviation_total,YPR_Skewness_x,YPR_Skewness_y,YPR_Skewness_z,YPR_Skewness_total,YPR_Kurtosis_x,YPR_Kurtosis_y,YPR_Kurtosis_z,YPR_Kurtosis_total,YPR_Correlation_x_y,YPR_Correlation_x_z,YPR_Correlation_x_total,YPR_Correlation_y_z,YPR_Correlation_y_total,YPR_Correlation_z_total,YPR_Zero_x,YPR_Zero_y,YPR_Zero_z,YPR_Zero_total,YPR_Dc_x,YPR_Dc_y,YPR_Dc_z,YPR_Energy_x,YPR_Energy_y,YPR_Energy_z,YPR_Entropy_x,YPR_Entropy_y,YPR_Entropy_z,class
-0.491472222,-0.738552778,0.474761111,-0.25175463,0.118629438,0.077880196,0.102067781,0.099525805,-0.076295755,-0.510011666,0.849496623,0.087729734,-0.55856506,0.665766853,1.576848008,0.561349934,-0.215130593,0.161189861,1.188910924,-0.354665168,0.162364809,0.940140601,0,0,0,0,90.800273,197.822642,82.280603,92.02244,198.549191,84.89374,-123.6225839,-442.7212796,-111.0906978,2.756788889,1.001758333,-2.100691667,0.552618519,33.09748411,47.18022068,34.16645885,38.14805455,-0.252807435,-0.175123614,0.244934736,-0.060998771,-0.634285809,-0.591317935,-0.896402022,-0.707335255,0.947918653,-0.940246521,1.197848799,-0.960570581,1.198872356,-1.108136914,0.033333333,0.013888889,0.016666667,0.021296296,204343.092,411717.136,215071.9534,397095.6023,801711.6274,421833.5337,360.3266659,360.1617268,360.3074926,0.792577778,0.788119444,-1.280455556,0.100080556,0.112840544,0.042736982,0.092890307,0.082822611,-0.02204461,-0.533974747,-0.277904233,-0.27797453,-1.40020595,-1.097743644,-1.152442548,-1.216797381,0.82163684,-0.774871485,0.917343365,-0.541029499,1.028638589,-0.213330402,0,0,0,0,227.704781,223.7930005,591.8585865,230.728508,224.265135,593.350214,-642.5412254,-594.8025852,915.3883915,13.59152333,20.88623116,-38.58971944,-1.37065498,94.41355446,32.05193533,64.23749709,63.56766229,-0.2968527,-0.581958889,1.167341937,0.096176782,-0.838755131,0.432666007,2.203410728,0.599107201,-0.149864142,-0.118735378,1.289694354,0.043549923,0.325641471,0.85614486,0.477777778,0.211111111,0.169444444,0.286111111,1716684.714,353714.3456,1253424.372,3275513.558,526882.0358,2021624.092,360.0395707,360.2461435,360.0641183,cement_A
-0.479586111,-0.733466667,0.487552778,-0.241833333,0.092333263,0.075560454,0.076668641,0.081520786,0.464297435,-0.346874539,0.91155994,0.342994279,0.351871559,0.449217591,1.390649554,0.730579568,-0.259749682,0.064749063,0.952771502,-0.127474609,0.512796984,0.895662292,0,0,0,0,84.0862065,194.461865,86.5338005,85.870177,195.725784,87.690885,-112.7686998,-428.9247817,-115.9297169,11.73668889,14.65843056,-13.94316389,4.150651852,22.9721943,33.63015463,23.96055122,26.85430005,0.855323303,0.724438364,-0.821670133,0.252697178,0.043323043,-0.105151185,-0.525826848,-0.195884997,0.947288646,-0.936026965,1.206582777,-0.952643217,1.212677181,-1.10148396,0.047222222,0.025,0.019444444,0.030555556,115571.1678,201216.5798,126264.4443,239569.7678,484508.4793,276667.1403,360.5417839,360.2676865,360.4690433,0.324411111,0.633230556,-1.358036111,-0.133464815,0.066019129,0.027838715,0.113801954,0.069219933,0.220373115,-0.269409508,-0.773633122,-0.274223172,-1.19996014,-0.592327477,-1.067019597,-0.953102405,0.781769846,-0.844393589,-0.120067196,-0.411440938,0.471362735,0.673243034,0,0,0,0,38.6061975,144.5060815,664.8518805,39.456394,144.632135,668.596667,-44.31316543,-241.7610845,779.9656505,3.098643326,5.902618429,-22.46918904,-4.489309094,95.72185536,39.15194025,90.38929222,75.08769594,0.125442439,-0.133438142,0.176220124,0.056074807,-1.138326607,-0.672539804,-0.771036891,-0.860634434,-0.053809968,0.006374783,1.254417273,0.189666641,0.681136677,1.31080484,0.333333333,0.330555556,0.275,0.312962963,1475446.349,328123.7468,1592288.45,3302019.066,564377.5187,3123031.897,360.039253,360.2297801,360.0415029,cement_A
-0.936847222,-0.101611111,0.2443,-0.264719444,0.130424144,0.254951605,0.128349064,0.171241604,0.25560976,-0.551510191,-0.052364349,-0.11608826,2.226061513,-0.183516923,-0.848079653,0.398154979,-0.190564648,-0.023313925,0.460443364,0.388315641,1.634750647,1.309903993,0,0.063888889,0.005555556,0.023148148,318.180182,8.845414,23.595886,322.089543,27.11705,27.41615,-3058.581844,-29.32603788,-29.67616738,-40.43932778,-0.930602778,4.208488889,-12.38714722,50.24051657,24.44157916,21.00475666,31.89561746,-0.314260003,-0.756701994,-0.380581825,-0.483847941,-0.025241481,2.008806525,0.869244145,0.950936396,0.497746651,-0.371060254,1.712216434,0.15661163,1.653462808,0.194081001,0.041666667,0.077777778,0.072222222,0.063888889,1294680.045,110521.437,67738.00115,1497401.545,215372.4528,165208.0252,360.0865707,360.6027558,360.7861787,-0.421191667,0.313452778,-0.2832,-0.130312963,0.122565128,0.149884059,0.209527031,0.160658739,5.313617645,0.003129335,-2.744257216,0.857496588,29.39372471,-1.010739241,11.34660303,13.24319617,0.368126049,-0.797006303,0.066893278,0.119691297,1.369872802,0.807809583,0.002777778,0,0,0.000925926,66.3875785,38.8582025,39.1042125,69.272867,43.458435,44.677374,-85.77882588,-49.42490444,-51.00761352,5.954337466,1.260435804,6.48502006,4.566597777,101.9067466,39.56265476,100.9709803,80.81346053,-0.114043857,0.116810925,-0.096234481,-0.031155805,-1.223623606,-0.928168323,-1.114326384,-1.088706104,-0.187973479,-0.025279655,1.137403405,-0.008970796,0.241310036,1.213163052,0.166666667,0.2,0.527777778,0.298148148,1925265.192,188969.0926,1952256.854,3751358.088,564045.2459,3685389.962,360.0345508,360.2299155,360.0351693,cement_A
-0.947877778,0.119422222,0.290844444,-0.179203704,0.095363903,0.119559909,0.088435182,0.101119664,-0.827385888,-0.311748423,1.006146545,-0.044329255,0.98884437,1.525984015,1.45863718,1.324488522,-0.016807089,-0.27586733,0.681945215,0.115195968,1.26725594,0.750597981,0,0.077777778,0,0.025925926,324.563164,8.2551215,31.4689075,326.72396,10.280246,33.268058,-3534.6942,-10.5824407,-36.65543322,2.055508333,3.216916667,-4.547708333,0.241572222,75.41954729,12.61640853,27.34533291,38.46042958,-0.130917527,0.48617541,0.388536304,0.247931396,-0.587039274,0.579947648,-0.612175903,-0.20642251,-0.391182275,-0.852675981,1.226390965,0.45188578,-0.117768172,-0.812833561,0.041666667,0.086111111,0.016666667,0.048148148,619698.8001,30691.39982,91603.80118,2049239.962,61028.03416,276641.5979,360.0632541,362.1362156,360.4690866,-0.425675,0.195633333,-0.349683333,-0.193241667,0.057023216,0.081981665,0.118061565,0.085688815,0.159659749,-0.383207233,-0.025531948,-0.083026477,-1.502017794,-1.300350982,-1.675179448,-1.492516075,-0.312761777,-0.936365182,-0.923880831,0.187560314,1.007023453,0.934118618,0,0,0,0,65.875473,14.224021,47.0486385,66.402307,16.197622,49.038108,-81.42036225,-16.96074342,-56.77132579,-3.4279268,-8.40102897,4.967432351,-2.287174473,118.788298,43.47725044,106.6341378,89.63322875,0.088787495,0.101601209,-0.133802371,0.018862111,-1.611327381,-0.922376157,-1.240698345,-1.258133961,0.260198866,0.084249009,1.551710807,-0.000187526,0.829668139,1.301233735,0.194444444,0.202777778,0.55,0.315740741,2151176.511,278404.9223,2216949.176,5084067.756,705905.4935,4102385.299,360.0254932,360.1836877,360.0315941,cement_A
-0.948725,0.141338889,0.281152778,-0.175411111,0.091760524,0.100498848,0.083699041,0.091986138,-0.6799696,0.222725164,0.791252891,0.111336152,0.473923444,0.175669566,0.556857788,0.402150266,-0.083457055,-0.40700227,0.53603171,0.137885817,1.134754629,0.654551505,0,0.044444444,0,0.014814815,325.007249,8.95203,29.349361,327.059683,10.827612,30.978869,-3574.388367,-11.16336931,-33.89567353,-3.307561111,4.069375,-3.034430556,-0.757538889,70.94358489,11.24956786,25.35478939,35.84931405,0.094122847,0.16308123,0.287210535,0.181471537,-0.660448851,-0.395824164,-1.014755509,-0.690342841,-0.562478885,-0.822922082,1.22041176,0.649282314,-0.340098121,-0.717506273,0.038888889,0.058333333,0.036111111,0.044444444,513730.9375,20452.06503,48661.3771,1815815.591,51520.53235,234746.3209,360.071387,362.5332027,360.5529333,-0.422069444,0.188783333,-0.340444444,-0.191243519,0.056301649,0.089385232,0.116991107,0.08755933,0.124492869,-0.09457945,0.0256198,0.018511073,-1.306259342,-1.274362118,-1.720042248,-1.433554569,-0.261217658,-0.922415398,-0.856125218,0.102173221,0.989404622,0.847315485,0,0,0,0,64.882722,13.826404,45.2540975,65.272497,15.706392,46.652162,-79.72821905,-16.42290472,-53.59787521,-16.93523749,25.90200593,6.962907705,5.30989205,94.26316896,35.1239466,84.81675476,71.40129011,0.402967247,-0.244622378,-0.054990785,0.034451361,-0.830196428,-0.531653373,-0.486978385,-0.616276062,-0.052557756,-0.158034063,1.106607411,0.001035407,0.423766934,0.979762839,0.272222222,0.25,0.477777778,0.333333333,1815293.106,456557.5737,1180146.266,3302045.025,685657.993,2607251.03,360.0392527,360.1891148,360.0497144,cement_A
-0.954255556,0.130461111,0.286330556,-0.17915463,0.091925611,0.099811537,0.092339796,0.094692315,-0.739736086,0.101696092,1.001912593,0.121290866,0.741252525,0.443840065,0.41188324,0.532325277,-0.085530516,-0.398631828,0.491899448,0.08777636,1.056625804,0.680693203,0,0.05,0,0.016666667,329.4525315,8.029408,31.157939,330.859434,9.71368,32.584257,-4087.408468,-9.983047011,-35.82702656,0.700077778,3.261133333,-3.037816667,0.307798148,76.49627149,12.19459981,24.88321392,37.8580284,-0.308047717,0.001659953,0.251959149,-0.018142871,-0.17460074,0.810241002,-1.006633497,-0.123664412,-0.415727242,-0.780028574,1.374002516,0.523793208,-0.173630958,-0.750134551,0.036111111,0.088888889,0.027777778,0.050925926,301133.5744,21789.66719,42799.82942,2106781.078,57363.57184,226224.9594,360.0615262,362.2735417,360.5737942,-0.42115,0.1845,-0.347111111,-0.194587037,0.057896361,0.078870041,0.121597647,0.086121349,0.104037652,-0.201692562,-0.048660928,-0.048771946,-1.358445451,-1.177504421,-1.781517958,-1.439155943,-0.220965386,-0.934886123,-0.850092815,0.037258279,0.819860215,0.817563875,0,0,0,0,64.877011,13.9296365,48.3248505,65.058952,14.493864,48.69796,-79.40984437,-15.10187663,-56.31593548,5.183250001,3.885722629,2.246030411,3.771667681,82.10094305,34.69236627,99.63744924,72.14358619,-0.037333386,0.318568177,-0.004765961,0.092156277,-0.663453327,-0.387920479,-1.182824695,-0.744732834,0.07771674,-0.064214197,1.086707579,-0.054226224,0.494430941,1.281945797,0.141666667,0.319444444,0.588888889,0.35,1005394.983,235778.6962,1454786.393,2436275.135,438717.2825,3575759.74,360.0532038,360.2956492,360.0362477,cement_A
-0.946988889,0.152594444,0.279447222,-0.171649074,0.089276629,0.099939242,0.089028257,0.092748043,-0.740663311,0.65547426,1.124538531,0.346449826,0.208659001,3.493685678,1.104095373,1.602146684,-0.147800592,-0.447996971,0.373281845,0.156230835,1.085231123,0.697008656,0,0.044444444,0,0.014814815,324.7240705,10.0094425,29.167488,325.712978,11.97825,30.966041,-3419.85583,-12.3905187,-33.88031677,0.752902778,2.072683333,-4.083025,-0.419146296,72.06486803,12.79791123,24.47783144,36.44687023,-0.328436501,0.143678824,0.215534423,0.010258915,-0.608386412,-0.006221534,-0.968194547,-0.527600831,-0.513288101,-0.826256817,1.242106033,0.616232103,-0.249900813,-0.745736824,0.038888889,0.075,0.041666667,0.051851852,380103.2568,22490.98502,32785.96131,1869808.344,60509.71727,221700.717,360.0693253,362.1546236,360.5855226,-0.426502778,0.177636111,-0.336305556,-0.195057407,0.055496697,0.080980953,0.120124107,0.085533919,0.134025253,-0.142742286,-0.14163377,-0.050116934,-1.402501939,-1.307137888,-1.710420915,-1.47335358,-0.307650595,-0.928923756,-0.947031067,0.112799401,0.905573952,0.908487665,0,0,0,0,66.5257555,13.60609,45.804207,66.594421,13.720501,45.911242,-81.70939231,-14.2641432,-52.62221808,-17.73558535,-5.610472735,-9.997771173,-11.11460975,116.8024272,43.13085755,99.86333405,86.59887294,0.236517122,0.054260081,0.202816333,0.164531179,-1.362232399,-1.167487789,-1.070463503,-1.200061231,-0.239408759,0.130773236,1.380340984,0.035538142,0.216126262,1.347254902,0.261111111,0.108333333,0.544444444,0.30462963,2328907.86,184213.7171,1785073.206,5024648.877,681029.3798,3626150.73,360.0257947,360.1904008,360.0357439,cement_A
-0.945661111,0.158313889,0.2789,-0.169482407,0.092132825,0.095324497,0.083387622,0.090281648,-0.929037749,0.042625088,0.771429474,-0.038327729,0.393242828,0.078562638,0.165802801,0.212536089,-0.154977527,-0.411850755,0.476469088,0.124819177,1.012989421,0.635134331,0,0.036111111,0,0.012037037,323.823087,10.3877825,29.575333,324.994822,12.294017,30.505934,-3342.309413,-12.7287028,-33.33030052,-0.566552778,3.387577778,-4.325377778,-0.501450926,71.71746278,12.79578991,24.06826352,36.19383874,-0.420667767,0.228132822,0.169244635,-0.007763436,-0.291988182,-0.359389234,-0.775451673,-0.475609696,-0.590703866,-0.825260354,1.22386456,0.668866774,-0.372149827,-0.733788882,0.036111111,0.047222222,0.025,0.036111111,360748.8069,24717.34491,50684.1964,1851737.562,63074.85216,215276.4727,360.0700019,362.0664961,360.603025,-0.423388889,0.17125,-0.338680556,-0.196939815,0.057550836,0.082897988,0.1197641,0.086737641,0.116811027,-0.202574342,-0.137806609,-0.074523308,-1.283459418,-1.13885411,-1.712322445,-1.378211991,-0.227069437,-0.92855528,-0.835627407,0.024183701,0.838462863,0.787775019,0,0,0,0,65.582106,12.5045275,45.977599,65.72529,13.03151,46.457265,-80.40481766,-13.52094999,-53.34078431,-5.306963117,32.24982989,14.6000121,13.84762629,114.9196899,34.01786092,90.00101586,79.64618888,0.145099203,-0.761266794,-0.357879733,-0.324682441,-1.457773478,0.293323967,-0.625554831,-0.596668114,0.020135274,0.12768299,1.595760568,-0.030329414,0.421892406,1.301287169,0.327777778,0.144444444,0.488888889,0.32037037,2374971.728,523463.525,1522744.362,4764491.631,791015.9003,2992803.555,360.0272033,360.1639145,360.0433091,cement_A
-0.945091667,0.178447222,0.271127778,-0.165172222,0.086804089,0.095810504,0.08586071,0.089491768,-0.884369438,-0.234519912,0.950752767,-0.056045528,1.289713002,1.770886343,1.263914783,1.441504709,0.003785121,-0.37753199,0.611805762,-0.014131599,1.060720128,0.578102708,0,0.027777778,0,0.009259259,322.5655135,13.288584,27.7030855,324.263955,14.768303,29.11764,-3266.590463,-15.40006067,-31.67999164,2.002236111,3.3478,-5.016880556,0.111051852,71.09044742,13.5632426,23.03277408,35.89548804,0.040460102,0.182433258,0.448562376,0.223818579,-0.63594615,-0.652257764,-0.825956556,-0.704720157,-0.625946836,-0.79432387,1.234280373,0.663477591,-0.436095715,-0.680786334,0.036111111,0.061111111,0.047222222,0.048148148,398338.1031,30044.62086,62711.49713,1820829.839,70260.95333,200043.9981,360.0711904,361.854052,360.6490255,-0.421180556,0.163575,-0.337252778,-0.198286111,0.058217057,0.077646134,0.124121603,0.086661598,0.107310978,-0.16052714,-0.09484502,-0.049353728,-1.412520155,-1.207504257,-1.727832764,-1.449285725,-0.276812191,-0.914125022,-0.885501814,0.024026454,0.744425981,0.839697132,0,0,0,0,64.899454,11.0084725,45.5104365,65.081623,11.802853,46.492419,-79.44362273,-12.20293479,-53.38713273,-30.79296426,23.57070902,9.111835677,0.629860146,109.6880618,38.71551406,90.22536718,79.54298101,0.483209856,-0.88718913,-0.112524618,-0.172167964,-1.004569849,0.18755187,-0.799200546,-0.538739508,-0.191155027,0.225097763,1.541266413,0.053329394,0.283617154,1.470658731,0.308333333,0.116666667,0.55,0.325,2516870.821,580294.7751,1486771.501,4672683.917,739608.9669,2960511.276,360.0277378,360.1753131,360.0437815,cement_A
-0.936030556,0.188786111,0.284458333,-0.154262037,0.080308514,0.097296119,0.083732732,0.087112455,-0.528210148,-0.244908471,0.676368897,-0.032249907,0.09015363,0.835787987,0.378416934,0.434786184,-0.225178855,-0.264214849,0.416427867,0.125213492,1.029666856,0.857475746,0,0.022222222,0,0.007407407,316.7916705,14.2917565,29.954045,317.736957,16.238423,31.653977,-2706.508959,-17.00548482,-34.70555731,5.874325,1.663763889,-5.852458333,0.561876852,68.59699608,12.60939229,23.73009651,34.97882829,-0.051832581,0.23002276,0.316003623,0.164731267,-0.772961536,-0.347944593,-0.72675764,-0.615887923,-0.690679622,-0.814392602,1.159625199,0.736551634,-0.494319407,-0.653175714,0.036111111,0.072222222,0.033333333,0.047222222,712125.0216,32185.79651,105658.8628,1706420.003,58235.35835,215052.7496,360.0759645,362.239295,360.6036534,-0.418216667,0.158625,-0.35195,-0.203847222,0.059222441,0.079886697,0.118857841,0.085988993,0.062253698,-0.054908725,-0.075525339,-0.022726789,-1.317552535,-1.397810982,-1.694394672,-1.469919397,-0.275804852,-0.902984708,-0.815656845,-0.003144072,0.734735467,0.757419185,0,0,0,0,63.88252,9.323243,47.5360385,64.228492,11.355759,49.678556,-78.17608017,-11.72562962,-57.63146732,36.49923277,35.92577616,6.109194411,26.17806778,114.6968461,35.1097908,88.52915419,79.44526369,-0.632618719,-1.185323963,-0.117547642,-0.645163441,-0.990751749,0.833000297,-0.8352253,-0.330992251,0.063683232,0.168210491,1.659309535,0.058772358,0.599370202,1.383164295,0.255555556,0.055555556,0.555555556,0.288888889,2258658.033,660069.16,1310047.201,5215521.778,908409.169,2834904.023,360.0248506,360.1427235,360.0457216,cement_A
