Accelerometer_Avg_x,Accelerometer_Avg_y,Accelerometer_Avg_z,Accelerometer_Avg_total,Accelerometer_Deviation_x,Accelerometer_Deviation_y,Accelerometer_Deviation_z,Accelerometer_Deviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometer_Dc_x,Accelerometer_Dc_y,Accelerometer_Dc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscope_Avg_x,Gyroscope_Avg_y,Gyroscope_Avg_z,Gyroscope_Avg_total,Gyroscope_Deviation_x,Gyroscope_Deviation_y,Gyroscope_Deviation_z,Gyroscope_Deviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscope_Dc_x,Gyroscope_Dc_y,Gyroscope_Dc_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,class
-0.972658333,0.281658333,0.192508333,-0.166163889,0.100355936,0.145321033,0.110130125,0.118602365,-0.624307134,0.539746446,0.476584343,0.130674552,0.500410336,0.480788946,0.084459937,0.355219739,0.258681702,-0.167507077,1.007570574,0.326627239,1.747459057,1.187038755,0,0.011111111,0.011111111,0.007407407,342.0194945,32.9663195,16.172188,344.208797,36.161863,17.707717,-7847.101131,-40.19993075,-18.62378568,-44.281,15.06635556,11.32356944,-5.963691667,43.93948932,12.58304553,11.56110299,22.69454595,-0.301022062,0.374903877,-0.05129092,0.007530298,-1.075502244,-0.212404252,-0.501604331,-0.596503609,-0.789769556,-0.697166426,1.143083904,0.487264973,-0.72641704,-0.570214378,0.030555556,0.033333333,0.038888889,0.034259259,790411.5681,93942.88888,58809.11727,1400934.846,138718.1176,94277.63786,360.0925334,360.9366996,361.3799325,cement
-0.977791667,0.274005556,0.185758333,-0.172675926,0.107445017,0.156269034,0.109847343,0.124520465,-1.17244774,0.528399939,0.687086415,0.014346205,1.541371582,1.134554822,0.550846807,1.075591071,0.114914958,-0.257908934,0.779567079,0.432467966,1.735630616,1.202353888,0,0.011111111,0.038888889,0.016666667,346.126706,32.670299,15.7089955,348.343551,35.81966,16.766135,-10758.30884,-39.77748188,-17.5851197,-45.78052222,15.35569722,11.70060833,-6.241405556,44.26909811,11.86693711,12.03901796,22.72501773,-0.501763684,0.335042589,0.189250978,0.007509961,-0.994277182,-0.389517911,-0.460898703,-0.614897932,-0.749355943,-0.69859351,1.186628709,0.435045809,-0.707099574,-0.603934641,0.030555556,0.036111111,0.044444444,0.037037037,1091638.344,108410.5365,73179.83211,1460019.334,135583.7881,101463.188,360.0887878,360.9584113,361.2818587,cement
-0.979327778,0.270636111,0.173652778,-0.178346296,0.096848239,0.142701333,0.108168819,0.11590613,-1.045677353,0.227974188,0.252553579,-0.188383195,1.195067685,-0.197389932,-0.215276656,0.260800366,0.201003193,-0.234617852,0.86408999,0.286132985,1.666165583,1.089485525,0,0.011111111,0.025,0.012037037,347.097777,27.5434,12.2713965,348.646492,33.698727,15.068081,-11054.97412,-37.17895921,-15.72631833,-44.60746389,15.26955278,10.39972778,-6.312727778,42.85324099,11.90319505,10.4072229,21.72121964,-0.486518764,0.406873806,0.113281138,0.01121206,-1.010380797,-0.695916304,-0.180580442,-0.628959181,-0.742137946,-0.527258737,1.313560175,0.325680733,-0.76010415,-0.382615786,0.033333333,0.027777778,0.027777778,0.02962963,1344640.712,126399.2026,65448.35622,1377441.395,134944.306,77927.26549,360.0941121,360.9629652,361.6708079,cement
-0.970416667,0.293480556,0.180552778,-0.165461111,0.088843394,0.137173955,0.10212831,0.109381886,-1.116713392,0.239446819,0.971617797,0.031450408,1.09380527,-0.392418634,0.722420746,0.474602461,0.139580449,-0.145137234,0.851764207,0.393052812,1.734442347,1.308721572,0,0,0.005555556,0.001851852,340.4295945,34.44769,12.67021,341.856596,37.781111,15.490619,-6783.091781,-42.21105722,-16.18714365,-50.75131111,16.82409722,11.25274167,-7.558157407,35.81352147,11.25098194,9.337538644,18.80068068,-0.258887102,0.266502914,0.255273866,0.087629893,-0.97508686,-0.236660132,-0.988146155,-0.733297716,-0.687693403,-0.607626868,1.191582179,0.473057977,-0.476607392,-0.377717839,0.011111111,0.027777778,0.036111111,0.025,1024400.7,107826.5011,50935.19896,1388989.404,147468.5431,76972.97626,360.0933294,360.8809821,361.6916194,cement
-0.985104575,0.270424837,0.16324183,-0.183812636,0.096458949,0.126425916,0.10111994,0.108001602,-0.883503788,-0.12596741,0.544492059,-0.154993046,0.338715449,-0.323183156,-0.167715746,-0.050727818,0.214944366,-0.244482911,0.915832628,0.500514542,1.831187881,1.303826814,0,0.013071895,0.026143791,0.013071895,149.195465,11.873678,4.6464025,149.899509,13.634305,5.64159,-7397.094485,-14.96816462,-5.85757725,-49.85396732,16.55127451,10.9929281,-7.436588235,31.31131061,8.403063541,10.2004594,16.63827785,-0.356684152,0.759376989,0.120470995,0.174387944,-0.148120109,0.971590229,-0.708705766,0.038254785,-0.48821254,-0.714008184,1.197576955,0.203877285,-0.288723931,-0.627641812,0.039215686,0,0.065359477,0.034858388,465800.61,47174.47052,27483.76204,530269.8832,52717.09321,34408.75756,153.0441582,153.445342,153.6833596,cement
-0.280061111,0.951213889,-0.131186111,0.179988889,0.172703878,0.248102323,0.183031361,0.201279188,-0.176419468,1.310474369,-1.535141357,-0.133695485,-0.41984241,2.444388445,2.656002665,1.5601829,-0.158148702,0.439151831,1.062431632,-0.536969578,0.608642937,0.624263183,0.027777778,0,0.077777778,0.035185185,34.783394,339.4715545,10.3258705,38.973908,347.890545,18.255699,-43.70550317,-10342.38091,-19.2309034,-21.14773333,53.62404722,-8.024022222,8.150763889,14.13618346,33.83846826,14.54887649,20.84117607,-0.338382623,-0.340245392,0.710277519,0.010549835,0.32301939,-0.481192908,0.999940186,0.280588889,-0.14053394,-0.046612462,0.417566226,-0.394627251,1.252831006,0.025736191,0.038888889,0.008333333,0.075,0.040740741,200383.6727,1146834.304,43940.50483,232940.9908,1447408.935,99379.70626,360.5572252,360.0895616,361.3088304,cement
-0.271997222,0.945236111,-0.147283333,0.175318519,0.164657751,0.199439931,0.145589025,0.169895569,-0.104855739,1.479659848,-1.071957923,0.100948729,-0.35278311,2.328452584,1.00538848,0.993685985,-0.086325454,0.484573696,1.283080083,-0.369375629,0.773703156,0.892957899,0.022222222,0,0.066666667,0.02962963,30.0714575,328.470347,11.396267,36.394079,335.969133,15.439876,-40.48710975,-5033.063846,-16.13174298,-20.24798889,53.55335833,-10.60637778,7.566330556,12.210784,28.72454945,11.24608994,17.39380779,-0.639482389,0.344474206,0.318486265,0.007826027,0.103470628,-0.890671032,-0.083205571,-0.290135325,-0.055444617,-0.331838051,0.395904214,-0.242142239,1.455941914,0.013721001,0.016666667,0.005555556,0.069444444,0.030555556,184522.2002,1265278.897,68354.76848,201270.348,1329502.295,86029.12385,360.6450638,360.0975065,361.5127971,cement
-0.285466667,0.941875,-0.123075,0.177777778,0.173465475,0.191192975,0.15182328,0.172160577,-0.35870972,1.400485011,-1.362243557,-0.106822755,0.621925419,2.362836309,1.822001737,1.602254488,-0.01675534,0.614589225,1.530959809,-0.354048048,0.781443517,1.10792956,0.027777778,0,0.088888889,0.038888889,36.0556205,326.0089035,10.9644595,40.169336,332.525977,13.751195,-45.21442935,-4357.18321,-14.29732068,-22.47711667,55.11662222,-9.669847222,7.656552778,10.59713076,30.98236338,12.21992807,17.93314074,-0.210246376,0.362633321,0.172343063,0.108243336,0.151646706,-0.823624482,-0.126021755,-0.265999843,-0.076503359,-0.226784962,0.304217763,-0.301563512,1.476961746,0.026404068,0.016666667,0,0.083333333,0.033333333,199060.856,1338977.242,63931.48089,222307.1834,1439189.599,87419.73145,360.5839227,360.0900732,361.4886331,cement
-0.383138889,0.992611111,-0.1695,0.146657407,0.171586414,0.27318149,0.173292062,0.206019989,-0.738286361,1.151084788,-1.06881734,-0.218672971,0.13930902,0.597630858,0.677421233,0.471453704,0.036593225,0.672268056,1.446858265,-0.520488051,0.918667862,0.710884545,0,0,0.083333333,0.027777778,5.7930545,35.997752,1.861134,6.344543,38.156578,2.115374,-7.701906196,636.9520639,-2.247434102,-19.5635,59.28725,-4.678527778,11.68174074,11.48881926,25.1555622,9.587438137,15.41060653,-0.363780081,-0.532679169,1.141195008,0.081578586,-0.275382571,-0.475271203,3.833945323,1.02776385,0.276550061,-0.676610889,0.775999728,0.008169975,1.843608487,0.131045993,0.055555556,0,0.166666667,0.074074074,14601.72996,134089.964,2422.75227,18530.04601,149320.0916,4097.073319,36.07007661,36.00868143,36.31912746,cement
-0.945855556,-0.377330556,0.216538889,-0.368882407,0.187771215,0.200357262,0.164760208,0.184296228,0.089581298,0.603033741,0.555416551,0.41601053,-0.602213918,0.958379258,0.178740299,0.17830188,0.107076471,-0.292746223,0.873549264,-0.389058638,0.848426254,0.172766265,0,0.019444444,0.027777778,0.015740741,328.7954005,58.4605745,20.2665595,334.764274,65.707697,26.652606,-4775.576444,-80.37848995,-28.78360033,56.95648056,24.61809167,-19.36509722,20.73649167,50.20890975,19.14533767,14.98141136,28.11188626,0.09937882,-0.320036751,0.113111324,-0.035848869,-0.91514871,0.019119094,-0.595683859,-0.497237825,0.850341464,-0.638990859,2.024623989,-0.580581945,1.890378968,-1.003741269,0.041666667,0.055555556,0.044444444,0.047222222,1343584.599,257795.8041,157972.9954,2075391.106,350133.9811,215801.8836,360.0624569,360.370525,360.6015543,cement
