Accelerometer_Avg_x,Accelerometer_Avg_y,Accelerometer_Avg_z,Accelerometer_Avg_total,Accelerometer_Deviation_x,Accelerometer_Deviation_y,Accelerometer_Deviation_z,Accelerometer_Deviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometer_Dc_x,Accelerometer_Dc_y,Accelerometer_Dc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscope_Avg_x,Gyroscope_Avg_y,Gyroscope_Avg_z,Gyroscope_Avg_total,Gyroscope_Deviation_x,Gyroscope_Deviation_y,Gyroscope_Deviation_z,Gyroscope_Deviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscope_Dc_x,Gyroscope_Dc_y,Gyroscope_Dc_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,class
-0.971080556,0.262361111,-0.257705556,-0.322141667,0.117618152,0.10042666,0.116304638,0.111449817,-0.413131698,-0.057533007,-0.282506007,-0.251056904,0.089038241,0.519277813,0.419390863,0.342568972,-0.010168222,-0.305781042,0.727082737,0.199205558,1.09824517,0.900358466,0,0.002777778,0.011111111,0.00462963,342.654282,26.7069805,25.544135,344.459331,28.410792,28.778012,-7979.409327,-30.84504825,-31.27837129,-47.52012222,10.00735,-11.25311111,-16.25529444,61.38684329,18.12214687,20.18080346,33.22993121,-0.437241194,0.157660297,-0.670314202,-0.3166317,-0.37249822,-0.641731948,0.66003692,-0.118064416,-0.756972151,0.800328351,1.920562265,-0.76834965,-1.319650556,1.666759073,0.05,0.052777778,0.091666667,0.064814815,1249266.815,77291.847,98099.95797,2169542.356,154281.3341,192203.0416,360.059746,360.8419885,360.6755523,cement
-0.968269444,0.311994444,-0.243038889,-0.299771296,0.123883131,0.108014737,0.105447874,0.11244858,-0.306957904,0.475997221,-0.151987145,0.005684057,0.041059473,0.933353653,-0.196390557,0.259340856,-0.007849638,-0.305292172,0.807861192,0.058775613,1.007038611,0.657864737,0,0,0.005555556,0.001851852,341.466496,36.8288595,22.7778505,343.041389,39.242778,25.267376,-7282.135314,-44.04390334,-27.17469021,-52.06216389,13.63959167,-11.69331667,-16.7052963,71.30907581,21.56044915,21.02190938,37.96381145,0.097511719,-0.111080001,-0.17962168,-0.064396654,-0.389144653,-0.040255222,-0.065109931,-0.164836602,-0.873090483,0.721972314,1.782278618,-0.745313555,-1.484749243,1.486568147,0.044444444,0.058333333,0.086111111,0.062962963,1994897.822,121753.0816,90886.09172,2806363.153,234320.9143,208315.5583,360.0461867,360.5539387,360.6232101,cement
-0.966619444,0.311761111,-0.253025,-0.302627778,0.114501175,0.101161387,0.119805407,0.111822656,-0.409407765,0.741129207,-0.629662745,-0.099313767,0.569185091,0.779001105,-0.136303273,0.403960974,-0.069149194,-0.240465833,0.703764713,-0.086084074,0.74162418,0.747285074,0,0,0,0,339.7738565,37.3095605,24.4947865,341.086921,38.674302,28.214995,-6492.400923,-43.32908574,-30.61439802,-51.87366944,15.63609722,-13.38274444,-16.54010556,63.94918014,23.28486651,22.02216806,36.41873823,0.045553515,-0.08399936,-0.298004891,-0.112150245,-0.25203121,-0.635434052,0.272308576,-0.205052229,-0.877836678,0.775079272,1.663368892,-0.746190006,-1.353281126,1.488599551,0.047222222,0.052777778,0.088888889,0.062962963,1476061.484,145785.8471,111277.5712,2440935.08,283202.1161,239066.5446,360.0531022,360.4582062,360.542926,cement
-0.952597222,0.313438889,-0.281144444,-0.306767593,0.118582304,0.091432468,0.114312832,0.108109201,-0.364392168,0.273910785,-0.283556365,-0.124679249,0.497564649,0.204925349,-0.147421186,0.185022937,-0.140422752,-0.135228029,0.835126009,0.003865809,0.695803183,0.912324205,0,0,0,0,328.613855,36.657638,30.8693085,331.741163,38.37738,33.159464,-4226.175999,-42.95673233,-36.52364295,-54.17226667,13.92603333,-14.47347778,-18.2399037,67.97542321,23.41659704,22.53974158,37.97725394,0.012974172,0.095915256,-0.131557669,-0.00755608,-0.128180534,-0.629422738,0.074829813,-0.227591153,-0.85501457,0.807802657,1.742136353,-0.759751647,-1.364711258,1.570931667,0.033333333,0.066666667,0.077777778,0.059259259,1850205.075,199306.7615,164047.1051,2719905.349,267217.7117,258307.7434,360.047655,360.4856521,360.5024273,cement
-0.996873016,0.292809524,-0.272222222,-0.325428571,0.111558724,0.096367164,0.127113054,0.111679647,-0.582379587,0.682195623,0.041689725,0.047168587,0.049658872,0.4455345,-0.434153621,0.020346584,0.101939732,-0.228715839,0.826557037,-0.182202947,0.757336363,0.75250439,0,0,0,0,63.106595,5.767394,4.9209885,63.390673,5.986515,5.686548,10222.39161,-6.615109478,-6.250758094,-46.75057143,12.48453968,-9.913873016,-14.72663492,79.22019479,26.37858474,25.11823259,43.57233738,0.462833067,-0.513665779,0.402403596,0.117190295,-0.881552923,-0.840449162,0.334511085,-0.462497,-0.968626721,0.830783541,1.710649725,-0.782815358,-1.606963391,1.613030411,0.031746032,0.031746032,0.095238095,0.052910053,168072.3271,13633.1411,10810.01911,533071.6771,53656.68824,45940.26067,63.00744641,63.07405723,63.08651345,cement
-0.851038889,0.300530556,-0.552091667,-0.367533333,0.188308328,0.148093773,0.156689874,0.164363992,-0.453299836,1.015665626,-0.752743733,-0.063459314,-0.240939383,0.662339808,0.659568521,0.360322982,-0.244428505,0.004985869,0.930199015,-0.255434817,0.377465895,0.728872836,0,0,0,0,269.054347,35.84259,113.944487,273.501798,40.410137,118.568493,-1138.29704,-45.51974579,-176.7982067,-50.83956389,12.97446389,-31.20225278,-23.02245093,49.76477044,19.0001359,30.93226658,33.23239097,-0.494535328,0.062804655,-0.328079093,-0.253269922,0.041018164,0.862301446,-0.558097044,0.115074189,-0.625695374,0.813216064,1.896676331,-0.609470592,-0.93251664,1.800103799,0.044444444,0.063888889,0.047222222,0.051851852,1180897.646,105500.2317,506133.8446,1822029.708,190563.0759,694938.85,360.0711435,360.681377,360.1865879,cement
-0.840244444,0.370875,-0.501238889,-0.323536111,0.160982819,0.138888858,0.13534948,0.145073719,-0.762113082,1.089005294,-0.963596002,-0.212234596,0.470174314,0.950692562,1.316563214,0.912476697,-0.363447188,0.076898972,0.833454127,-0.282851352,0.290171935,0.747509563,0,0,0,0,258.8760855,54.5628505,93.569468,263.49343,56.461817,97.041566,-982.9137519,-66.96440599,-132.8535587,-50.58723611,18.56350833,-29.38827778,-20.47066852,51.97942219,18.5735859,28.98874273,33.18058361,-0.384579715,0.682106423,-0.642201555,-0.114891616,-0.411376634,0.028485719,-0.120695904,-0.167862273,-0.679373557,0.806753714,1.891099797,-0.675346455,-1.094534807,1.759454563,0.036111111,0.069444444,0.041666667,0.049074074,1398345.452,154490.6134,406293.0246,1893934.364,248249.4966,613446.5073,360.068442,360.5228136,360.2113894,cement
-0.847469444,0.361119444,-0.486097222,-0.324149074,0.142494188,0.120549135,0.135134147,0.132725823,-0.555656977,0.874454425,-0.841966462,-0.174389671,0.384459675,0.875084633,1.329689624,0.863077977,-0.265299234,-0.051783656,0.779914951,-0.177731111,0.442476023,0.801124775,0,0,0,0,262.048453,49.237582,89.2385965,265.863259,52.178165,91.638629,-1016.7207,-61.02276468,-122.9309059,-52.89773611,17.13296667,-27.20907222,-20.99128056,44.62190994,17.76743628,23.06368422,28.48434348,-0.360383801,0.706635141,-0.459965145,-0.037904602,-0.176981569,-0.378984436,-0.183990844,-0.246652283,-0.658486643,0.744882665,1.758932204,-0.633237235,-0.920515477,1.581597597,0.044444444,0.083333333,0.061111111,0.062962963,1410381.509,192553.4509,355110.3789,1724142.72,219319.3219,458016.1708,360.0751835,360.5918908,360.283182,cement
-0.842121212,0.285252525,-0.441636364,-0.332835017,0.134528678,0.205333891,0.228844284,0.189568951,-0.278575451,-2.874861783,3.116879934,-0.012185767,1.382189938,11.13578276,12.72037938,8.412784023,-0.183762678,0.179019539,0.726720116,-0.798057528,-0.010647113,0.469798917,0,0.01010101,0.01010101,0.006734007,71.220322,9.486575,22.182499,71.999344,12.22957,24.493826,-263.9911807,-13.95322612,-32.54614542,-47.47707071,17.4900101,-27.28057576,-19.08921212,43.3703009,21.07634961,23.25571415,29.23412155,-0.937981952,-0.472593798,0.19221931,-0.406118813,0.038481176,-0.132946752,-0.503488832,-0.199318136,-0.516205981,0.619018336,1.603820267,-0.597278147,-0.520001566,1.283236184,0.04040404,0.03030303,0.050505051,0.04040404,314113.7269,60183.44655,85076.08059,409370.469,74261.18364,127220.7474,99.02394743,99.1321563,99.07709932,cement
-0.957269444,0.3425,0.277927778,-0.112280556,0.210445948,0.197710956,0.153089572,0.187082159,-0.630682131,0.846606341,-0.701196892,-0.16175756,0.035373112,2.27844282,3.940254353,2.084690095,-0.239247206,-0.095262531,0.794092044,0.000817984,0.788357251,0.712006339,0,0.005555556,0.027777778,0.011111111,336.4602245,48.163126,31.7911285,345.834823,56.302514,36.244896,-8789.197359,-66.74044394,-40.30256944,48.24718333,-24.59733056,-12.42015556,3.743232407,61.88050728,28.55725153,22.40126855,37.61300912,0.233549955,-0.127349718,0.319660275,0.141953504,-0.259866791,-0.099660014,0.566419586,0.06896426,-0.674507611,-0.689157429,0.722633572,0.50981865,-0.046819893,-0.151147793,0.075,0.05,0.113888889,0.07962963,1444143.581,342203.1298,135572.3964,2216515.637,511396.3027,236187.7549,360.0584796,360.2536023,360.5495536,cement
