Accelerometer_Avg_x,Accelerometer_Avg_y,Accelerometer_Avg_z,Accelerometer_Avg_total,Accelerometer_Deviation_x,Accelerometer_Deviation_y,Accelerometer_Deviation_z,Accelerometer_Deviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometer_Dc_x,Accelerometer_Dc_y,Accelerometer_Dc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscope_Avg_x,Gyroscope_Avg_y,Gyroscope_Avg_z,Gyroscope_Avg_total,Gyroscope_Deviation_x,Gyroscope_Deviation_y,Gyroscope_Deviation_z,Gyroscope_Deviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscope_Dc_x,Gyroscope_Dc_y,Gyroscope_Dc_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,class
-0.561122222,-0.864530556,0.1015,-0.441384259,0.150001321,0.12975727,0.133140924,0.137633171,-0.77472058,0.207958614,-0.10077695,-0.222512972,0.203417974,0.820704823,-0.587799617,0.14544106,-0.097501756,-0.105597568,0.895789874,-0.103113407,0.736764709,0.755060963,0,0,0.088888889,0.02962963,116.218197,272.5604765,6.469,121.449076,275.130011,10.090352,-183.2802264,-1167.041555,-10.3813277,-20.58182222,-38.25961667,5.459175,-17.79408796,32.82094985,40.80772453,17.04309389,30.22392276,-0.147518675,-0.350627463,-0.007675379,-0.168607172,-0.483496049,-0.906129446,-0.25488924,-0.548171578,0.82018752,-0.413602461,1.960098665,-0.512872385,1.951636995,-0.577717423,0.108333333,0.055555556,0.133333333,0.099074074,358835.3132,861200.0065,54434.5215,540297.4159,1126464.714,115297.0707,360.2400278,360.115087,361.1275735,cement
-0.542369444,-0.886836111,0.116347222,-0.437619444,0.144843919,0.136136342,0.135879824,0.138953362,-0.423270547,0.329368241,-0.138429755,-0.07744402,-0.120096234,0.630326341,-0.511702017,-0.000490636,-0.175060626,0.011186862,0.881820148,-0.24850452,0.554237219,0.746075342,0,0,0.102777778,0.034259259,110.726673,286.183011,6.8478805,113.451975,289.804101,11.520001,-165.6582364,-1486.261703,-11.90082751,-28.11965556,-47.23316667,7.061347222,-22.763825,27.82227984,37.25412211,14.63332481,26.56990892,-0.0188057,-0.225955832,-0.444373531,-0.229711688,-0.414438242,-0.133324895,-0.191858669,-0.246540602,0.793578111,-0.385717592,1.947391127,-0.501983578,1.956633943,-0.556990073,0.072222222,0.025,0.133333333,0.076851852,379054.041,904226.3784,54671.7764,563325.9422,1302782.993,95038.85502,360.2302093,360.0995068,361.3688378,cement
-0.558608333,-0.873511111,0.131155556,-0.43365463,0.151329862,0.137069589,0.134103746,0.140834399,-0.451059384,-0.302113037,-0.142155809,-0.298442743,-0.350035015,1.032047754,-0.400691306,0.093773811,-0.163752474,-0.125985295,0.795184122,-0.151591411,0.652965283,0.66929555,0,0,0.086111111,0.028703704,116.596833,278.5905485,10.270779,120.579839,281.451504,12.666814,-181.3077974,-1289.936111,-13.12875712,-28.37650833,-47.73950833,8.655872222,-22.48671481,26.64707663,34.49718254,16.21806503,25.7874414,0.004005883,0.01280571,-0.00698697,0.003274874,-0.578869631,-0.72726138,0.1827498,-0.374460404,0.730173812,-0.337334833,1.797972002,-0.38248819,1.851713824,-0.231340789,0.077777778,0.030555556,0.105555556,0.071296296,400524.5054,1060919.578,72683.06761,545505.4506,1248881.853,121661.9126,360.2377347,360.1038027,361.0684085,cement
-0.549933333,-0.873169444,0.121180556,-0.433974074,0.149931933,0.127022381,0.131194864,0.136049726,-0.6290379,-0.127524238,-0.284158228,-0.346906789,0.106286715,0.780474016,-0.522796943,0.121321263,-0.142065388,-0.181965304,0.793926889,-0.202142545,0.582156107,0.575053178,0,0,0.091666667,0.030555556,111.259409,277.0951835,9.531864,116.966252,280.281443,11.482855,-173.2592739,-1265.719342,-11.86118921,-24.41635278,-40.97161389,7.123694444,-19.42142407,26.74129925,35.1825833,14.70870802,25.54419686,-0.136580959,-0.543770892,-0.169431356,-0.283261069,0.525338414,0.505772119,-0.154406645,0.292234629,0.753360041,-0.158211089,1.993383125,-0.222580064,2.037822709,0.103624174,0.061111111,0.033333333,0.108333333,0.067592593,372639.4029,926692.4767,60264.06692,472051.9327,1049935.433,96153.52106,360.2747556,360.1234785,361.3529099,cement
-0.556822222,-0.882133333,0.132111111,-0.435614815,0.157930686,0.113461026,0.140008606,0.13713344,-0.635153636,0.372201725,0.074805707,-0.062715401,-0.718502458,1.255277878,-1.03942317,-0.16754925,-0.22481681,-0.059347171,0.905057338,-0.254648862,0.308477063,0.741928052,0,0,0.088888889,0.02962963,14.1834405,35.2666785,1.5209105,15.074689,35.596468,1.667509,-22.66846968,-170.3446173,-1.731677623,-33.62157778,-59.74664444,8.321111111,-28.34903704,22.86214182,35.88377729,13.23710936,23.99434282,0.220733599,0.541238642,-0.935115042,-0.057714267,-0.159389337,-0.965586397,-0.048921134,-0.391298956,0.716445681,-0.149442519,1.941821556,-0.346537405,1.986972799,-0.108964757,0.044444444,0.044444444,0.111111111,0.066666667,64077.01621,182312.4022,7508.949591,74388.96093,218578.8148,11000.78795,45.02723826,45.0092663,45.18483381,cement
-0.735675,-0.650222222,0.399433333,-0.328821296,0.18599366,0.227093778,0.201920724,0.205002721,-0.771505794,-0.054007813,1.114193528,0.09622664,0.475458445,-0.575303852,0.941798309,0.280650967,-0.149565086,0.024081484,0.765311357,-0.431125567,0.547419239,0.529230996,0,0,0,0,203.522022,158.91602,62.2956435,207.292085,170.769788,72.114828,-488.6789961,-324.8800656,-90.17949031,-41.90277778,-37.43462778,21.09087778,-19.41550926,37.16234531,51.63352945,29.77820803,39.52469426,0.261111435,0.326801159,-0.443919815,0.047997593,-0.431649034,-0.592135697,-0.232357171,-0.418713967,0.540856016,-0.624241351,1.176476185,-0.65427887,1.321952165,-0.688248004,0.072222222,0.097222222,0.088888889,0.086111111,800379.6082,1028619.037,283062.8128,1129277.77,1464254.179,479364.0477,360.1148002,360.088531,360.2705614,cement
-0.711013889,-0.654016667,0.404536111,-0.320164815,0.151918883,0.170900913,0.199827047,0.174215614,-1.192323667,0.097824385,1.110439852,0.005313523,1.81547184,0.010776544,1.040995908,0.955748098,-0.291523956,0.133695004,0.739388667,-0.370151744,0.302192138,0.900485141,0,0,0,0,187.3327525,158.673069,64.1989255,190.303235,164.500172,73.288913,-403.7152069,-302.9161843,-92.02298019,-43.36898056,-40.15876667,23.85065833,-19.89236296,28.40193683,49.95304905,24.21874616,34.19124401,-0.188526404,0.41561375,0.100777543,0.109288297,0.117454759,-0.510252084,-0.647897141,-0.346898155,0.592574952,-0.688630633,1.208645464,-0.676734261,1.473876473,-0.852400611,0.044444444,0.088888889,0.072222222,0.068518519,814152.2572,1204130.09,277129.8369,967513.8564,1478892.114,415944.5646,360.1340014,360.0876545,360.3118499,cement
-0.714777778,-0.6605,0.386858333,-0.329473148,0.156647926,0.177246517,0.179961383,0.171285275,-1.101440992,-0.063223552,1.064818595,-0.033281983,1.85964296,-0.139917322,0.972325873,0.897350504,-0.130983941,0.081860127,0.865008042,-0.41095726,0.483238954,0.700257853,0,0,0,0,189.1909815,160.583183,57.444037,192.760504,168.363568,65.536369,-414.9365616,-316.2805937,-80.1222642,-42.90069444,-44.46683889,23.28415556,-21.36112593,33.66531492,49.09638221,25.72049887,36.160732,-0.413664247,-0.083678745,0.46794017,-0.009800941,-0.382692843,-0.841838251,-0.414899231,-0.546476775,0.701185512,-0.812951891,1.304770562,-0.724163114,1.495439217,-1.028783698,0.05,0.083333333,0.088888889,0.074074074,959440.9091,1376299.454,373593.3177,1070576.284,1579591.623,433330.5464,360.121097,360.0820652,360.2993275,cement
-0.708755556,-0.668555556,0.353377778,-0.341311111,0.146002916,0.196161901,0.151366705,0.164510507,-0.619642029,0.385905557,1.420524262,0.39559593,-0.443105489,0.548535517,2.368779208,0.824736412,-0.583817804,0.301049886,0.468353274,-0.623805791,0.100293727,0.443460651,0,0,0,0,23.345645,21.0406295,6.176498,23.564308,21.845071,6.650448,-49.46860871,-42.45438174,-7.803745921,-54.69417778,-58.22682222,37.72104444,-25.06665185,27.41607248,38.38256378,19.88219582,28.56027736,-0.169010669,-0.353893085,-0.571582253,-0.364828669,0.438523652,-0.756935624,0.216311911,-0.034033353,0.512382027,-0.609036325,1.224554943,-0.578655941,1.432938319,-0.666152031,0.044444444,0.044444444,0.044444444,0.044444444,155660.302,191200.1464,77143.18336,168439.2351,218861.2813,81818.05071,45.01202535,45.00925434,45.02476366,cement
-0.999461111,-0.069266667,0.300627778,-0.256033333,0.160535419,0.118569441,0.167463115,0.148855991,-0.697254832,0.241465915,0.057656386,-0.132710843,-0.182285381,0.640856702,-0.496768771,-0.012732483,-0.083322596,-0.049050654,0.956909619,-0.371393993,0.288859167,0.77627221,0,0.116666667,0.027777778,0.048148148,364.5666735,3.770565,37.5485605,368.889888,6.78837,42.631544,14938.36139,-6.9188356,-48.35816399,-59.47913056,-6.761088889,18.55859167,-15.89387593,57.19310984,13.03956474,23.53034842,31.254341,-0.526035089,0.015439774,0.180194215,-0.1101337,-0.573698282,0.339269799,-0.2094142,-0.147947561,0.026033004,-0.797574071,1.240319644,-0.095635621,0.392845708,-0.746534375,0.061111111,0.133333333,0.083333333,0.092592593,1609991.611,48731.81508,205335.0314,2451174.763,77667.32578,323315.5036,360.0528804,361.6764259,360.4012937,cement
