Accelerometer_Avg_x,Accelerometer_Avg_y,Accelerometer_Avg_z,Accelerometer_Avg_total,Accelerometer_Deviation_x,Accelerometer_Deviation_y,Accelerometer_Deviation_z,Accelerometer_Deviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometer_Dc_x,Accelerometer_Dc_y,Accelerometer_Dc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscope_Avg_x,Gyroscope_Avg_y,Gyroscope_Avg_z,Gyroscope_Avg_total,Gyroscope_Deviation_x,Gyroscope_Deviation_y,Gyroscope_Deviation_z,Gyroscope_Deviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscope_Dc_x,Gyroscope_Dc_y,Gyroscope_Dc_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,class
-1.007622222,0.077994444,-0.270144444,-0.399924074,0.11708528,0.151918052,0.127121732,0.132041688,0.380621393,-2.328708544,-1.128102691,-1.025396614,3.207294461,13.27730973,4.670958826,7.051854337,-0.350285927,-0.025505313,0.459159876,-0.038216323,0.803129695,0.896153992,0,0.152777778,0.002777778,0.051851852,369.057615,6.507992,28.5051215,370.444142,10.498402,32.089664,12768.86997,-10.81375519,-35.2299936,-48.15952222,-0.357558333,-11.05709167,-19.85805741,56.57297438,18.32110311,20.45313389,31.7824038,-0.465418882,-0.818462476,-0.497351576,-0.593744311,-0.50829827,3.189328185,-0.123377797,0.852550706,-0.659068357,0.689717467,1.843944817,-0.672599686,-1.029535898,1.483516936,0.05,0.086111111,0.091666667,0.075925926,1427013.183,74891.757,126892.5634,1987142.764,120884.6402,194612.3863,360.0652311,361.0752988,360.6671733,cement
-1.002608333,0.03125,-0.282780556,-0.418046296,0.106244762,0.090029555,0.101404959,0.099226425,-0.556339854,-0.43449101,-0.896087572,-0.628972812,0.249509466,0.450218751,4.370337087,1.690021768,-0.148584315,-0.089338562,0.844617836,0.066326683,0.816003444,0.986476801,0,0.111111111,0,0.037037037,364.4087685,2.1252425,30.270853,365.944111,3.269478,32.489211,22163.09217,-3.299443158,-35.71215469,-50.24643889,-0.993763889,-13.04965278,-21.42995185,48.04525363,14.18565295,17.1151809,26.44869583,0.108477707,-0.385690009,0.393513444,0.038767047,0.07175681,-0.542059911,-0.064332637,-0.178211913,-0.613129626,0.724562804,1.956566529,-0.563687079,-0.942198509,1.660978508,0.022222222,0.077777778,0.069444444,0.056481481,1407346.398,48743.16976,119758.6879,1739898.366,72799.31386,166760.2278,360.0745025,361.7890838,360.7788451,cement
-1.019277778,-0.009430556,-0.294130556,-0.440946296,0.113856638,0.108151749,0.101613058,0.107873815,-0.705328922,-0.553530004,-0.491234127,-0.583364351,0.262628963,2.166305377,0.59929119,1.00940851,-0.132743417,-0.145469031,0.785349551,0.23108547,1.080144714,1.02010614,0,0.186111111,0,0.062037037,376.280631,1.7038245,33.3443825,378.680588,4.242865,34.861679,7297.683118,-4.293466665,-38.59958556,-53.026925,-4.285091667,-13.37162222,-23.56121296,50.00569884,14.03851783,19.90034764,27.98152144,-0.336673847,-0.061983045,0.209860791,-0.062932034,-0.51406628,-0.286651018,0.141169928,-0.219849123,-0.62727188,0.7681662,2.018707451,-0.577865649,-1.030264857,1.794064637,0.038888889,0.097222222,0.077777778,0.071296296,1492701.697,45479.46035,124857.4783,1912472.889,77559.11766,206936.6822,360.0677784,361.6787757,360.6273699,cement
-1.009419444,-0.054541667,-0.303980556,-0.455980556,0.105041945,0.115821023,0.105471255,0.108778074,-0.977328938,-0.456360903,-0.946793955,-0.793494599,1.070335449,0.099851276,1.940099645,1.036762123,-0.091688958,-0.063576541,0.806384364,0.160103091,1.131442262,1.078676529,0,0.125,0,0.041666667,369.0580725,2.705527,35.0016615,370.786113,5.900149,37.270211,12375.44987,-5.99845957,-41.57433375,-60.34402778,-6.264177778,-14.48711667,-27.03177407,52.38694845,12.62397983,22.91631909,29.30908246,-0.265921879,-0.410902123,-0.195428106,-0.290750703,-0.569028875,-0.588212543,-0.278426859,-0.478556092,-0.444032068,0.787541728,2.211910053,-0.444531141,-0.710514316,1.998065785,0.027777778,0.072222222,0.066666667,0.055555556,1722608.017,38479.56916,155440.7392,2298885.86,71497.7244,264612.3228,360.056384,361.8218182,360.4904403,cement
-1.009851852,-0.095,-0.248648148,-0.451166667,0.116165656,0.061016391,0.064627181,0.080603076,-0.549854165,-1.461417574,-0.752649376,-0.921307039,1.233294314,3.596734615,0.848775624,1.892934851,0.231643169,-0.277387875,1.39415138,0.417959805,1.425962154,0.718417191,0,0.037037037,0,0.012345679,55.6416755,0.572702,3.4922305,55.797942,0.688392,3.564139,1675.85432,-0.697280937,-3.816005163,-35.12225926,-4.3595,-9.112277778,-16.19801235,46.48274006,11.45731132,13.09371434,23.67792191,-0.077049769,-0.654314646,0.189595992,-0.180589475,-1.540021134,-0.336998041,-0.979577224,-0.9521988,-0.431401998,0.830576991,2.213681215,-0.342715841,-0.552534085,2.017685793,0.037037037,0.092592593,0.111111111,0.080246914,118839.4508,5812.41371,10582.74021,183287.7838,8114.862037,13741.86392,54.0159141,54.36174791,54.21303543,cement
-1.014038889,0.044713889,-0.254591667,-0.407972222,0.197624992,0.254679,0.131030859,0.19444495,-0.580417005,0.872896276,-0.370275982,-0.025932237,0.657067298,0.014103042,-0.128625836,0.180848168,0.152804796,-0.276295405,1.030306726,-0.345807972,1.232048097,-0.059873226,0,0.075,0.011111111,0.028703704,375.449269,16.789367,24.9080405,384.238982,24.069861,29.514961,5706.7592,-25.79449997,-32.15088342,-62.68244722,10.19310556,-14.87150556,-22.45361574,56.45175714,14.09114089,26.76186856,32.4349222,0.255176365,-0.106284062,0.504886641,0.217926314,-0.46580716,-0.223114793,2.810805194,0.707294414,0.045424381,0.335582687,2.037083914,0.364555577,0.814295631,1.567542065,0.036111111,0.108333333,0.1,0.081481481,1831738.501,64194.04394,238843.0415,2561720.427,108885.4749,337449.343,360.0505981,361.1941897,360.3844678,cement
-1.011363889,0.030225,-0.262486111,-0.414541667,0.209971065,0.327514405,0.146827033,0.228104168,-0.032445853,0.969020253,-0.802174738,0.044799888,1.701009036,0.062135152,1.220990865,0.994711684,0.118364853,-0.255436825,0.926034059,-0.439420474,1.261918174,-0.222371407,0,0.086111111,0.005555556,0.030555556,377.596703,20.731079,29.5980755,384.100115,38.944525,32.564569,5737.5677,-43.66855603,-35.80322632,-63.33762222,11.42008889,-17.65485556,-23.1907963,70.91845102,17.83396323,45.26797694,44.67346373,0.864426463,-0.234183378,-0.21080644,0.139812215,0.365364128,1.687304523,4.490784345,2.181150999,0.292791824,0.401421294,2.111132911,0.625306469,1.497637726,1.900185005,0.066666667,0.1,0.108333333,0.091666667,2314622.214,96177.02661,543641.078,3254789.19,161448.7229,849918.1178,360.0398227,360.8045256,360.1525499,cement
-1.018727778,0.02725,-0.270102778,-0.420526852,0.180991554,0.305234598,0.125448232,0.203891461,0.14837373,1.098452561,-0.838797024,0.136009756,2.747274278,0.877887007,2.219500437,1.948220574,0.110157586,-0.204577276,0.926726414,-0.428424656,1.331233163,-0.207701464,0,0.083333333,0.011111111,0.031481481,379.4833125,18.3648505,29.8991475,385.403122,33.80786,31.929397,5461.735133,-37.31184203,-35.03691832,-64.60902222,9.055997222,-16.18109722,-23.91137407,60.02551017,17.41809433,42.58232761,40.00864404,0.561930912,0.125451238,0.326907526,0.338096559,0.284174977,5.162317592,7.321082327,4.255858299,0.305484437,0.438419898,2.099931369,0.596052084,1.528075748,1.981591703,0.061111111,0.086111111,0.097222222,0.081481481,1933853.375,83702.85623,467712.9517,2799859.545,138744.3945,747029.7115,360.046294,360.9365218,360.1735707,cement
-0.853,0.133777778,-0.501444444,-0.406888889,0.159059737,0.051630692,0.04666455,0.085784993,-0.695600713,-1.493702726,0.231635755,-0.652555895,-0.626036114,1.845117156,-1.734453734,-0.171790897,0.900566202,-0.905436152,1.903652571,-0.693735158,1.894290253,-1.552391714,0,0,0,0,6.5710395,0.168235,2.2655435,6.776181,0.18506,2.282617,-27.42382766,-0.188945132,-3.058267334,-93.11588889,5.710222222,-30.12077778,-39.17548148,40.47529336,13.79405501,41.2943498,31.85456606,0.67223747,0.336082815,0.137542814,0.381954366,-0.267821081,-1.362061033,-1.208706334,-0.946196149,0.957125603,0.953123307,2.920665868,0.980602427,2.920376755,2.932037402,0,0.111111111,0.111111111,0.074074074,83565.62464,751.5836795,12468.17192,92779.36323,2005.943324,23512.36121,9.000873124,9.040561992,9.003446316,cement
-0.847458333,0.285897222,0.499213889,-0.020782407,0.211147325,0.18520836,0.203843326,0.200066337,-0.518886447,0.871991463,0.604064194,0.319056404,-0.30061974,1.253315637,0.383168408,0.445288102,-0.126256883,-0.110319217,0.826104286,0.315871837,1.114320012,1.1948628,0,0.022222222,0,0.007407407,269.0479295,35.648199,96.3087,274.596775,41.774169,104.675979,-1157.507096,-47.25795135,-147.590314,52.52685833,-16.83840556,-30.94211944,1.582111111,63.82414417,24.479435,32.54376333,40.2824475,-0.14454346,-0.243416245,-0.058855545,-0.148938416,-0.496236146,0.159049455,-0.271227682,-0.202804791,-0.538470443,-0.804214635,0.607473546,0.547206155,0.196615844,-0.133786558,0.047222222,0.072222222,0.047222222,0.055555556,1425248.802,148786.4447,473234.5678,2459733.201,317798.8702,725944.0635,360.0526964,360.4082676,360.1786147,cement
