Accelerometer_Avg_x,Accelerometer_Avg_y,Accelerometer_Avg_z,Accelerometer_Avg_total,Accelerometer_Deviation_x,Accelerometer_Deviation_y,Accelerometer_Deviation_z,Accelerometer_Deviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometer_Dc_x,Accelerometer_Dc_y,Accelerometer_Dc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscope_Avg_x,Gyroscope_Avg_y,Gyroscope_Avg_z,Gyroscope_Avg_total,Gyroscope_Deviation_x,Gyroscope_Deviation_y,Gyroscope_Deviation_z,Gyroscope_Deviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscope_Dc_x,Gyroscope_Dc_y,Gyroscope_Dc_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,class
-0.414186111,0.883997222,0.091480556,0.187097222,0.166558553,0.168714395,0.146559903,0.16061095,-0.889454209,-1.038126363,-0.248888807,-0.725489793,1.544787037,4.053095641,-0.489826469,1.702685403,0.4615143,0.220508247,1.723047684,0.248663795,1.75596801,1.40239877,0.005555556,0,0.080555556,0.028703704,66.0028155,287.0000035,5.6058345,71.745079,291.569629,10.745459,-89.60203819,-1533.895914,-11.07606283,-24.09643333,37.3999,6.851130556,6.718199074,23.93972477,45.0149811,18.12148373,29.02539653,-0.574155489,0.300042327,0.554791135,0.093559324,0.064221458,-0.762501332,1.274155281,0.191958469,-0.165514902,-0.275053405,0.396366636,0.044894705,1.442397472,0.467098364,0.077777778,0.047222222,0.125,0.083333333,276251.9826,822700.1605,71779.66278,415349.4677,1233036.375,135117.4185,360.3122971,360.1051371,360.9617281,cement
-0.401972222,0.913055556,0.136908333,0.215997222,0.149668557,0.144860094,0.135778189,0.143435613,-0.534061906,0.460704754,-0.247067826,-0.106808326,0.931200825,-0.124018264,-0.586307021,0.07362518,0.055804035,0.152594204,1.244260719,0.367326874,1.415876967,1.476814187,0,0,0.069444444,0.023148148,62.733876,303.789222,10.9224105,66.233644,307.675762,13.384659,-81.16692519,-2116.86359,-13.90151176,-20.36592778,39.37717222,8.934355556,9.3152,21.02283806,42.61078237,17.79094663,27.14152235,-0.910852014,0.298209809,0.062700033,-0.183314057,1.223760301,-0.488810872,0.331784019,0.355577816,-0.265538598,-0.325421649,0.144371838,0.305692248,1.564649224,0.883349339,0.105555556,0.05,0.127777778,0.094444444,234772.6293,860851.8703,106427.5394,308423.0644,1211846.568,142682.5768,360.4206931,360.106976,360.9106075,cement
-0.394161111,0.897708333,0.127225,0.210257407,0.145528946,0.131376033,0.13147639,0.136127123,-0.225929158,0.645591544,-0.390256287,0.009802033,0.408355502,0.526907057,-0.572175691,0.121028956,0.053219715,0.236658623,1.349002008,0.405544142,1.413682431,1.610229068,0.005555556,0,0.086111111,0.030555556,60.8101315,293.0595925,10.6971695,63.554996,296.330369,12.050007,-77.18058409,-1675.507321,-12.46731601,-23.18765278,45.00174167,9.879480556,10.56452315,19.12799179,37.00400994,15.98384029,24.03861401,-0.177824524,0.393372772,-0.095759843,0.039929468,-0.289504026,-0.060623115,0.396964776,0.015612545,-0.257861665,-0.221522722,0.251482567,0.057637127,1.3724958,0.577377727,0.055555556,0.033333333,0.119444444,0.069444444,254231.4643,952437.8008,85288.11828,325277.0321,1222003.262,127111.4231,360.3988711,360.1060866,361.0224737,cement
-0.386338889,0.911230556,0.107455556,0.210782407,0.163765878,0.144600099,0.136243565,0.148203181,-0.428591488,0.351579385,-0.311697513,-0.129569872,0.286259053,0.106079362,-0.619601901,-0.075754495,0.265469853,0.296721562,1.636801906,0.393905959,1.631153618,1.631512036,0.011111111,0,0.091666667,0.034259259,57.872605,303.0776405,6.217704,63.38772,306.450113,10.839242,-76.93403388,-2060.173174,-11.17573218,-24.73999167,48.25830833,8.925030556,10.81444907,18.64784517,38.27069324,17.38744711,24.76866184,-0.345940572,0.228073298,-0.107354424,-0.075073899,-0.129378682,-0.065431941,-0.108763855,-0.101191493,-0.195558619,-0.215600233,0.299367953,-0.005796351,1.393824295,0.530716479,0.083333333,0.025,0.108333333,0.072222222,282012.9803,1125510.201,80748.14733,345531.3542,1365663.702,137512.6155,360.3754657,360.0949239,360.9449328,cement
-0.386469136,0.927814815,0.14991358,0.230419753,0.138163446,0.145316777,0.11085751,0.131445911,-0.557516564,0.018763025,-0.639347282,-0.392700274,1.850723676,-0.617913802,-0.214175897,0.339544659,0.074191005,-0.140978272,1.014228154,0.37139961,1.496735017,1.105778486,0,0,0.049382716,0.016460905,12.9908225,70.9995045,2.0161505,13.64425,71.438541,2.815841,-16.40816486,-605.1923478,-2.917254901,-12.92475309,27.53135802,4.404345679,6.336983539,13.86634118,22.5294306,14.76610232,17.05395803,0.249976548,-0.744806448,-0.521073421,-0.338634441,0.081944029,-0.10547144,1.92025402,0.632242203,-0.184231695,0.147285689,0.697230609,0.045154869,1.210368434,1.045254679,0.111111111,0.012345679,0.160493827,0.094650206,22146.91176,87531.62164,9932.974704,29105.29745,102509.6243,19232.31913,81.22605198,81.06405436,81.34258737,cement
-0.997516667,0.062875,0.343888889,-0.196917593,0.192440307,0.178030392,0.157564039,0.17601158,-0.855406251,0.324270925,1.044679895,0.171181523,0.471563657,0.860467784,1.69505257,1.009028004,-0.212696062,-0.373167237,0.544147193,0.431986858,1.16563178,0.924134717,0,0.136111111,0,0.04537037,364.596247,7.947426,46.3263105,371.546198,12.833311,51.510958,11584.47406,-13.30770522,-60.11216723,-50.98373889,1.287597222,30.81783056,-6.29277037,67.06382629,32.93121681,24.12386415,41.37296908,0.152470031,-0.600016479,-0.113462135,-0.187002861,-1.063882768,2.316124715,-0.419391799,0.277616716,-0.560414172,-0.555084151,0.851230449,-0.094912614,-0.167789767,-0.39223172,0.1,0.119444444,0.086111111,0.101851852,1587084.847,220014.1683,407886.2064,2554883.434,391004.261,551411.8206,360.0507335,360.3317596,360.2351866,cement
-0.972458333,0.058255556,0.37525,-0.179650926,0.161480351,0.187994625,0.136040777,0.161838585,-0.9696377,-0.264722364,0.735042382,-0.166439227,0.886338151,-0.051638773,0.780039873,0.538246417,-0.13484585,-0.346636101,0.549766373,0.26942319,1.253546618,0.80769348,0,0.130555556,0,0.043518519,344.9460815,8.849733,53.937422,349.830401,13.944848,57.355076,-12383.86532,-14.50677804,-68.22459497,-54.74403333,4.613663889,31.46406111,-6.222102778,59.36973474,25.98732665,21.99832051,35.7851273,0.171071054,-0.639452806,-0.085000573,-0.184460775,-0.576433699,1.228246157,1.199732332,0.617181597,-0.494843967,-0.659318954,0.894398195,-0.031947292,-0.114411082,-0.502317498,0.088888889,0.141666667,0.041666667,0.090740741,1588536.098,113878.2651,438917.1001,2347802.852,250785.7347,530608.7688,360.055209,360.5175187,360.2444136,cement
-0.963958333,0.064455556,0.379188889,-0.173437963,0.147696163,0.183036011,0.119323314,0.150018496,-0.945149808,-0.173020488,0.475704703,-0.214155198,1.070566159,0.01558402,0.21498307,0.433711083,-0.172762433,-0.296896287,0.537585497,0.25239417,1.250753582,0.81103395,0,0.152777778,0,0.050925926,338.330774,6.8296835,53.400179,342.370737,13.556412,56.888016,-6991.413386,-14.08687731,-67.56475112,-59.93525833,6.319608333,32.37776667,-7.079294444,60.4709944,26.38107436,19.01107782,35.28771553,-0.056492982,0.002342057,-0.002118674,-0.018756533,-1.046645641,-0.051217544,-0.196245674,-0.43136962,-0.590994504,-0.589093535,0.954457406,0.035781802,-0.245884445,-0.444008104,0.083333333,0.119444444,0.044444444,0.082407407,1983904.009,128992.6983,457420.167,2609631.488,264923.4722,507506.7075,360.049669,360.4898635,360.2555474,cement
-1.06125,0.091055556,0.395972222,-0.191407407,0.195238085,0.163226997,0.142648653,0.167037911,-0.880557853,1.00198339,0.615251908,0.245559148,0.148431822,0.194768586,-0.561258834,-0.072686142,-0.047893117,-0.6848316,0.537185417,0.167166994,1.063965548,0.216894529,0,0.083333333,0,0.027777778,41.406077,0.698004,6.293407,41.917301,1.25763,6.377135,255.0187722,-1.303154621,-7.749988396,-76.41427778,3.586666667,48.85261111,-7.991666667,58.85428266,23.56965841,14.245344,32.22309503,0.454586308,-0.875593633,0.080206773,-0.113600184,-0.714919257,-0.257952978,-1.281488877,-0.751453704,-0.711499655,-0.846267917,0.931912382,0.579889996,-0.311714653,-0.67943002,0.027777778,0.111111111,0,0.046296296,314490.1402,11087.94243,90721.61815,334906.8637,20462.14712,93222.26777,36.00387015,36.06344809,36.01390763,cement
-1.002847222,0.181961111,0.158063889,-0.220940741,0.184473851,0.121460733,0.151346875,0.152427153,-0.288480913,0.307047601,0.722648015,0.247071568,-0.635529948,0.990681814,0.819384531,0.391512132,-0.118597302,-0.023518525,1.092387264,0.325952394,0.976955255,1.22418306,0,0.033333333,0.086111111,0.039814815,365.3956675,14.751173,13.7366265,374.303935,17.23052,17.240425,9420.443857,-18.09667302,-18.10759918,56.39466389,-14.508975,-8.113594444,11.25736481,55.67587308,17.70046595,19.20027344,30.85887082,0.176737685,0.098240195,0.21758005,0.164185977,-0.710107589,-0.257732973,0.895778274,-0.024020763,-0.635582915,-0.735821954,0.98181741,0.740261108,-0.112543071,-0.280771445,0.058333333,0.063888889,0.080555556,0.067592593,1389267.561,148764.0598,95575.56261,2260857.945,188574.0661,156413.1293,360.0573325,360.6885777,360.8304864,cement
