Accelerometervg_x,Accelerometervg_y,Accelerometervg_z,Accelerometervg_total,Accelerometer_Deviation_x,Accelerometer_Deviation_y,Accelerometer_Deviation_z,Accelerometer_Deviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometer_Dc_x,Accelerometer_Dc_y,Accelerometer_Dc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscopevg_x,Gyroscopevg_y,Gyroscopevg_z,Gyroscopevg_total,Gyroscope_Deviation_x,Gyroscope_Deviation_y,Gyroscope_Deviation_z,Gyroscope_Deviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscope_Dc_x,Gyroscope_Dc_y,Gyroscope_Dc_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,class
-0.972658333,0.281658333,0.192508333,-0.166163889,0.100355936,0.145321033,0.110130125,0.118602365,-0.624307134,0.539746446,0.476584343,0.130674552,0.500410336,0.480788946,0.084459937,0.355219739,0.258681702,-0.167507077,1.007570574,0.326627239,1.747459057,1.187038755,0,0.011111111,0.011111111,0.007407407,342.0194945,32.9663195,16.172188,344.208797,36.161863,17.707717,-7847.101131,-40.19993075,-18.62378568,-44.281,15.06635556,11.32356944,-5.963691667,43.93948932,12.58304553,11.56110299,22.69454595,-0.301022062,0.374903877,-0.05129092,0.007530298,-1.075502244,-0.212404252,-0.501604331,-0.596503609,-0.789769556,-0.697166426,1.143083904,0.487264973,-0.72641704,-0.570214378,0.030555556,0.033333333,0.038888889,0.034259259,790411.5681,93942.88888,58809.11727,1400934.846,138718.1176,94277.63786,360.0925334,360.9366996,361.3799325,cement
-0.552902778,-0.880230556,0.091377778,-0.447251852,0.147429452,0.124043539,0.129050449,0.133507813,-0.648218048,0.206294943,0.023383927,-0.13951306,0.318569361,0.758566365,-0.580427971,0.165569252,-0.114835097,0.004494295,1.001925561,-0.171831517,0.63620643,0.811925895,0,0,0.091666667,0.030555556,114.3110855,280.4698205,6.128012,117.877293,284.469347,9.00141,-175.2657816,-1355.859652,-9.232252471,-28.00208056,-48.82915278,7.209363889,-23.20728981,29.55189371,38.86744994,17.07329852,28.49754739,0.151107566,0.020031565,-0.222994157,-0.017285009,-0.619292669,-1.00272811,-0.171194544,-0.597738441,0.815070285,-0.486928941,1.856935732,-0.584033441,1.859210632,-0.702385509,0.075,0.041666667,0.125,0.080555556,332467.0514,909948.8413,60912.29358,596675.1375,1402187.337,123650.0821,360.2173347,360.0924508,361.0511794,cement
-0.549722222,-0.879336111,0.129111111,-0.433315741,0.151432844,0.142858986,0.133453358,0.142581729,-0.515468405,0.100755128,-0.352014544,-0.25557594,-0.233860062,0.625874871,-0.318237708,0.024592367,-0.142994045,-0.084811958,0.839423253,-0.213057039,0.650657094,0.632429765,0,0,0.097222222,0.032407407,111.821409,282.7501105,10.588468,117.045514,285.710647,12.412612,-173.4332456,-1384.529933,-12.85587589,-24.10490556,-40.62796944,6.173113889,-19.51992037,27.40982751,36.10329236,15.49790522,26.33700836,-0.416378188,-0.605333059,-0.14224376,-0.387985003,0.006906554,0.429635602,-0.34359571,0.030982149,0.732828108,-0.335124702,1.848106794,-0.324601285,1.942488826,-0.205299709,0.091666667,0.036111111,0.119444444,0.082407407,358210.6469,860713.6606,60065.4261,479644.2418,1063468.663,100185.2644,360.2704032,360.1219066,361.2982685,cement
-0.556602778,-0.871552778,0.125627778,-0.434175926,0.155965472,0.127433327,0.141159682,0.141519494,-0.312533028,-0.295417375,-0.082502181,-0.230150861,-0.391172053,1.140363752,-0.511543496,0.079216068,-0.159089806,-0.186815564,0.772482292,-0.143831054,0.581670145,0.66205745,0,0,0.091666667,0.030555556,114.849113,276.269761,8.757899,120.287477,279.303659,12.855022,-180.647599,-1246.020774,-13.33105248,-30.94701944,-50.94096111,9.579686111,-24.10276481,28.93138578,35.72885269,15.23979686,26.63334511,0.369227279,0.075331841,-0.044620692,0.133312809,-0.165257802,-0.149533724,0.550790322,0.078666265,0.787688144,-0.282205716,1.981494305,-0.385410526,1.976626815,-0.251379669,0.055555556,0.019444444,0.111111111,0.062037037,583362.7499,1295256.771,76367.18915,646107.5145,1393751.676,116647.846,360.2006976,360.0930105,361.1144759,cement
-0.650580556,-0.675269444,0.045033333,-0.426938889,0.235565665,0.400916453,0.20057956,0.279020559,-0.737935913,1.17210074,-0.627557995,-0.064464389,-0.592043852,-0.095022337,-0.415478385,-0.367514858,-0.803768647,0.589644661,0.11322555,-0.787988578,0.191820112,0.084445429,0,0.041666667,0.069444444,0.037037037,160.0764475,185.7294405,5.379205,172.348647,222.020217,15.213658,-330.6425023,-579.2680376,-15.88495892,-20.68295,-34.1512,5.466266667,-16.45596111,27.47806442,35.00281561,14.95210966,25.81099656,0.164369357,-0.621158561,-0.246847774,-0.23454566,0.424874321,-0.195154621,-0.395791241,-0.05535718,0.517114556,0.049846394,1.794732664,-0.269967237,1.750244042,0.266250032,0.066666667,0.044444444,0.108333333,0.073148148,333962.3435,602199.2506,56939.31026,425818.2402,860940.5623,91240.43563,360.3046127,360.150596,361.4260495,cement
-1.007430556,0.088277778,-0.2742,-0.397784259,0.107631551,0.112587894,0.123079712,0.114433052,-0.465690313,0.183952632,-1.321223121,-0.534320268,0.077416858,-0.046809338,5.14677241,1.72579331,-0.129619045,-0.148590053,0.653216819,0.163785884,1.038122399,1.096947424,0,0.136111111,0,0.04537037,366.7686685,4.7828795,29.8244755,369.540315,7.36884,32.520332,13944.45712,-7.522824699,-35.74975995,-57.466725,1.810813889,-14.20641667,-23.28744259,55.72341736,16.83893149,19.42985049,30.66406645,-0.19368761,-0.138201636,-0.381187047,-0.237692098,-0.696168565,-0.271484246,-0.161138354,-0.376263722,-0.735544622,0.672220157,1.839246243,-0.733978485,-1.252580795,1.452150566,0.038888889,0.094444444,0.086111111,0.073148148,1436414.871,45425.58245,131901.4944,2306708.541,103258.3178,208562.8913,360.0561927,361.2594958,360.6224697,cement
-1.012897222,0.030680556,-0.286947222,-0.42305463,0.110489255,0.099938735,0.098019613,0.102815868,-0.797751445,-0.712031517,-1.126977277,-0.87892008,0.532704362,3.197405903,5.311767885,3.013959384,-0.215157295,-0.090190892,0.779512278,0.11768577,0.852997512,0.970821502,0,0.111111111,0,0.037037037,371.990486,2.025495,31.2803885,373.740717,3.934457,33.100759,9791.822226,-3.977932007,-36.45243471,-55.09458611,-2.617986111,-13.94993611,-23.88750278,51.07251397,14.33501829,19.50059479,28.30270902,-0.172081131,-0.143741915,0.238138842,-0.025894735,-0.013401584,-0.845968243,-0.246137466,-0.368502431,-0.671003774,0.763425336,1.990654347,-0.63875949,-1.144449504,1.743084626,0.025,0.069444444,0.061111111,0.051851852,1708467.009,26554.42167,131502.498,2031773.437,76444.77627,206954.6093,360.0637979,361.7033631,360.6273155,cement
-1.012297222,-0.033244444,-0.297980556,-0.447840741,0.10629954,0.102275506,0.104567826,0.104380957,-0.704070518,-0.690292877,-0.49549149,-0.629951628,0.176858999,0.536519853,0.886797503,0.533392118,-0.04669126,-0.098172598,0.874282772,0.185352425,1.117963944,1.083426899,0,0.191666667,0,0.063888889,370.8883345,2.625319,33.7017835,372.976293,4.16357,35.901663,10347.44403,-4.212287089,-39.87863313,-51.20873611,-4.461766667,-12.79134167,-22.82061481,47.9435319,13.00479525,19.53195341,26.82676019,-0.27300491,-0.276482449,0.231021683,-0.106155225,-0.424375392,-0.112225398,0.264193483,-0.090802436,-0.483492998,0.763829141,2.108897207,-0.440167963,-0.699782856,1.879776969,0.036111111,0.105555556,0.083333333,0.075,1281351.144,46772.17563,140848.8185,1771530.086,68051.5421,196241.6252,360.073172,361.9145671,360.6616241,cement
-1.006725,-0.040169444,-0.288919444,-0.445271296,0.109757508,0.133601196,0.104009464,0.115789389,-0.750532783,0.474697391,-0.977316152,-0.417717182,0.877319002,1.081852971,1.834424924,1.264532299,0.068308501,-0.053659937,0.978521993,0.26611418,1.457620265,1.154449958,0,0.102777778,0,0.034259259,366.7523585,3.1967425,31.87079,369.195097,7.006631,33.945269,14454.46795,-7.145706921,-37.47928086,-52.59085556,-6.074786111,-12.138625,-23.60142222,50.70537776,12.3634708,21.5110532,28.19330059,-0.414902397,-0.450593787,-0.420701086,-0.428732423,-0.519945481,-0.43166682,0.174585279,-0.259009007,-0.387237657,0.771281251,2.217152551,-0.396510328,-0.560449302,1.976246674,0.036111111,0.069444444,0.080555556,0.062037037,1243363.417,40226.73206,113313.9233,1921260.032,68313.03718,219625.7857,360.0674684,361.9071995,360.5910635,cement
-0.972425,0.264691667,-0.262816667,-0.323516667,0.117661166,0.099956751,0.116322276,0.111313398,-0.459769346,0.318000317,-0.185820289,-0.10919644,0.114912799,-0.108301891,0.370735888,0.125782265,-0.125307021,-0.333817625,0.595664657,0.267938219,1.045518033,0.932746114,0,0,0.011111111,0.003703704,342.9231925,26.867507,28.3751155,345.403631,28.819091,29.73725,-8518.920504,-31.32690466,-32.41482729,-45.59065556,9.911552778,-11.79336667,-15.82415648,64.58427427,18.9272724,20.30335235,34.60496634,-0.291407437,-0.047077255,-0.615157905,-0.317880866,-0.505027453,-0.511188788,0.481450798,-0.178255148,-0.770489401,0.820859951,1.926521749,-0.762809547,-1.338588715,1.701492551,0.041666667,0.052777778,0.083333333,0.059259259,1922953.649,112879.9818,148519.8668,2249869.089,164332.9869,198471.4611,360.0576126,360.7903741,360.6541772,cement
