Accelerometer_Avg_x,Accelerometer_Avg_y,Accelerometer_Avg_z,Accelerometer_Avg_total,Accelerometer_Deviation_x,Accelerometer_Deviation_y,Accelerometer_Deviation_z,Accelerometer_Deviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometerorrelation_x_y,Accelerometerorrelation_x_z,Accelerometerorrelation_x_total,Accelerometerorrelation_y_z,Accelerometerorrelation_y_total,Accelerometerorrelation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometer_Dc_x,Accelerometer_Dc_y,Accelerometer_Dc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscope_Avg_x,Gyroscope_Avg_y,Gyroscope_Avg_z,Gyroscope_Avg_total,Gyroscope_Deviation_x,Gyroscope_Deviation_y,Gyroscope_Deviation_z,Gyroscope_Deviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscopeorrelation_x_y,Gyroscopeorrelation_x_z,Gyroscopeorrelation_x_total,Gyroscopeorrelation_y_z,Gyroscopeorrelation_y_total,Gyroscopeorrelation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscope_Dc_x,Gyroscope_Dc_y,Gyroscope_Dc_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,class
-0.999461111,-0.069266667,0.300627778,-0.256033333,0.160535419,0.118569441,0.167463115,0.148855991,-0.697254832,0.241465915,0.057656386,-0.132710843,-0.182285381,0.640856702,-0.496768771,-0.012732483,-0.083322596,-0.049050654,0.956909619,-0.371393993,0.288859167,0.77627221,0,0.116666667,0.027777778,0.048148148,364.5666735,3.770565,37.5485605,368.889888,6.78837,42.631544,14938.36139,-6.9188356,-48.35816399,-59.47913056,-6.761088889,18.55859167,-15.89387593,57.19310984,13.03956474,23.53034842,31.254341,-0.526035089,0.015439774,0.180194215,-0.1101337,-0.573698282,0.339269799,-0.2094142,-0.147947561,0.026033004,-0.797574071,1.240319644,-0.095635621,0.392845708,-0.746534375,0.061111111,0.133333333,0.083333333,0.092592593,1609991.611,48731.81508,205335.0314,2451174.763,77667.32578,323315.5036,360.0528804,361.6764259,360.4012937,cement
-0.881158333,0.068347222,0.426294444,-0.128838889,0.209363188,0.328405464,0.226778274,0.254848975,-0.364133884,-0.238496938,0.500527984,-0.034034279,-0.378660144,-0.745281745,0.455685726,-0.222752054,0.184199593,0.020158539,1.076821514,0.51427301,1.897578843,1.569120676,0,0.030555556,0.002777778,0.011111111,284.885909,10.872557,76.2627335,295.298263,40.507737,83.935922,-1643.037415,-45.64362587,-109.4562253,47.70070556,-3.146427778,-26.29684167,6.085812037,59.64836477,26.90043905,29.85773161,38.80217848,-0.173614136,-0.258368224,-0.25803601,-0.230006123,-0.214448598,-0.31723828,-0.071684807,-0.201123895,-0.204095888,-0.807385516,0.774477025,0.418043686,0.701205199,-0.181843796,0.033333333,0.058333333,0.038888889,0.043518519,1296584.654,78772.27908,363232.1863,2099982.503,264072.1065,569882.8866,360.0617254,360.491445,360.2275589,cement
-0.855397222,0.331741667,0.462166667,-0.020496296,0.190932116,0.166941914,0.174389395,0.177421142,-0.239223376,0.922334739,0.279248143,0.320786502,-0.60810663,1.68296533,-0.096465896,0.326130935,-0.186382013,0.011916141,0.912490995,0.242107408,0.978330795,1.223543266,0,0.005555556,0,0.001851852,268.8780645,43.3675725,84.842806,276.537413,49.651969,87.843488,-1192.791552,-57.59568953,-116.1965791,52.44674722,-19.12569167,-29.01270556,1.436116667,62.83729674,26.29162984,30.56740419,39.89877692,-0.21709602,-0.35778073,0.119943853,-0.151644299,-0.479149474,-0.112122259,0.150553336,-0.146906132,-0.707032511,-0.825768536,0.476371972,0.602845682,0.007294603,-0.137143623,0.052777778,0.066666667,0.080555556,0.066666667,1812274.588,311938.6481,517611.419,2411707.376,380535.0774,639397.1818,360.0537459,360.3408956,360.2028051,cement
-0.854488889,0.363316667,0.438722222,-0.017483333,0.185777704,0.189778057,0.160008474,0.178521412,-0.118914595,1.502479006,0.116551629,0.50003868,-0.596166532,4.827983002,-0.149747782,1.360689563,-0.108616538,0.098491768,1.013459308,0.209122625,1.137459736,1.221102454,0,0.011111111,0,0.003703704,270.656022,53.209773,73.391455,275.279262,60.485296,78.508764,-1169.731717,-72.69995853,-100.4050977,51.64778333,-17.96720278,-27.70885556,1.990575,62.0104723,24.8966198,30.98926833,39.29878681,-0.105004802,-0.045332221,0.409220029,0.086294335,-0.085345256,0.074080049,0.493531145,0.160755312,-0.709669126,-0.763047457,0.526627643,0.707226692,0.071405253,0.03256816,0.069444444,0.091666667,0.083333333,0.081481481,1382250.736,180010.9081,384950.3013,2344605.192,339358.3392,622121.554,360.0552843,360.3823028,360.20844,cement
-0.922330556,0.356661111,0.323369444,-0.080766667,0.20029908,0.185847149,0.177559582,0.187901937,-0.610752187,1.035937078,-0.050431379,0.124917837,-0.071372053,3.056536256,2.039308052,1.674824085,-0.198822953,0.082423446,0.947214679,0.140502658,0.909893164,1.171786435,0,0.005555556,0.022222222,0.009259259,311.1114625,50.948636,41.637244,320.692815,58.228672,48.994273,-2937.107132,-69.46425977,-56.71258356,46.89008889,-24.27061389,-16.71999722,1.966492593,61.81897794,28.47019857,24.27084384,38.18667345,0.383563509,-0.056296153,0.051774372,0.126347243,-0.209224833,-0.188237283,0.433887196,0.012141693,-0.746478861,-0.715653768,0.607464688,0.622544284,-0.067214197,-0.058821078,0.083333333,0.055555556,0.1,0.07962963,1674115.522,398458.8629,238168.4467,2167295.929,503861.3659,312707.5803,360.059808,360.2573975,360.4149224,cement
-0.958669444,0.314077778,0.291391667,-0.117733333,0.193567241,0.209229352,0.149616303,0.184137632,-0.473362187,1.007176528,-0.427352015,0.035487442,0.043504478,2.081534741,3.398281094,1.841106771,-0.204769277,-0.11251454,0.727116379,0.223563211,1.102661237,0.948275255,0,0.008333333,0.022222222,0.010185185,337.219031,43.295331,34.834906,344.345537,51.271838,38.625891,-7918.78925,-59.78677669,-43.26832925,47.99151667,-25.38001667,-13.99510278,2.872132407,57.72857696,24.31438558,22.55977449,34.86757901,-0.217507109,-0.231164369,0.395387249,-0.01776141,0.153831636,-0.415948196,1.283154476,0.340345972,-0.51078437,-0.747786291,0.815636748,0.358813028,0.083810573,-0.340848031,0.080555556,0.052777778,0.125,0.086111111,1124343.516,283301.8832,147197.2183,2028878.737,444720.4532,253730.2776,360.063889,360.2916551,360.5115044,cement
-0.954986111,0.305525,0.316297222,-0.11105463,0.192537968,0.171313129,0.136626307,0.166825802,-0.302997649,0.791529898,0.124017768,0.204183339,-0.395945946,2.906263869,0.643340423,1.051219449,-0.185903836,-0.095819084,0.884747992,0.297481018,1.055971641,1.013871343,0,0.011111111,0.011111111,0.007407407,332.3157715,38.7053875,39.715397,341.664963,44.169737,42.735845,-6708.434059,-50.34699705,-48.49241226,54.0568,-27.35509722,-18.702625,2.666359259,52.85637057,21.65708203,19.95844251,31.4906317,-0.047272063,-0.011914979,-0.03836112,-0.032516054,-0.325824414,-0.880403397,-0.261259891,-0.489162568,-0.588107388,-0.762475035,0.790770623,0.595411813,0.077970885,-0.23652552,0.063888889,0.036111111,0.083333333,0.061111111,1853558.707,392721.8579,228970.4123,2057736.073,438238.9965,269325.9394,360.0629929,360.2959722,360.4818454,cement
-0.922607843,0.340738562,0.317098039,-0.088257081,0.181873555,0.144823705,0.143199471,0.156632244,-0.525423961,0.144104966,0.004308019,-0.125670325,-0.245330443,-0.191806025,0.032675343,-0.134820375,-0.335175439,0.030347638,0.878988698,0.105259394,0.631653123,1.046802084,0,0,0.013071895,0.004357298,132.1083815,19.216212,17.0806165,135.295333,20.972731,18.52176,-1169.193747,-24.30428098,-21.07277192,33.98900654,-17.82945752,-9.521313725,2.212745098,67.88392803,27.97363258,22.66327481,39.50694514,0.415763277,-0.074051653,-0.343690445,-0.000659607,-1.143609437,-1.145759748,-0.391908263,-0.893759149,-0.824302081,-0.810432242,0.669708978,0.660093344,-0.329647197,-0.351503779,0.052287582,0.104575163,0.117647059,0.091503268,390526.2365,75521.49132,39280.95547,881812.4784,168363.2923,92454.75437,153.0265511,153.1391651,153.2536138,cement
-1.001883333,-0.050305556,0.272366667,-0.259940741,0.173085136,0.106478954,0.154934535,0.144832875,-0.492581993,0.145742531,0.467015226,0.040058588,-0.243280305,0.463589822,-0.080007462,0.046767352,-0.061737784,-0.083748231,1.060089899,-0.350600098,0.286350725,0.711906249,0,0.147222222,0.027777778,0.058333333,364.8069895,2.958657,32.0599535,372.142324,4.99263,35.347792,11033.4098,-5.062843625,-39.19642253,-65.90024722,-7.009713889,20.21384444,-17.56537222,45.8356328,11.58241299,18.87840163,25.43214914,-0.254497672,0.080831259,-0.243689452,-0.139118622,-0.942552887,-0.032732816,-0.185437064,-0.386907589,-0.050852688,-0.776201413,1.202933884,-0.060804569,0.318638221,-0.684312791,0.05,0.163888889,0.058333333,0.090740741,2149489.763,37688.06355,218498.367,2319749.214,65983.81658,275397.6799,360.0558768,361.9748928,360.4712082,cement
-1.008644444,-0.072125,0.298466667,-0.260767593,0.17510943,0.106924576,0.146859093,0.142964366,-0.348207588,0.181348918,0.241900824,0.025014051,-0.313253737,0.611479792,-0.381297542,-0.027690496,-0.077544405,0.023161524,1.1906429,-0.407883414,0.233935433,0.750551598,0,0.144444444,0.011111111,0.051851852,373.2120845,3.7436825,35.994988,377.289694,5.988557,39.83398,7855.794894,-6.089861112,-44.78998989,-65.94346389,-7.600175,19.45639167,-18.02908241,48.0553957,11.42992291,20.89812723,26.79448195,-0.444617909,-0.367675686,0.084550232,-0.242581121,-0.440046996,-0.050038709,-0.730646458,-0.406910721,-0.116095539,-0.819231118,1.105004999,0.042529997,0.25153325,-0.671191695,0.038888889,0.130555556,0.066666667,0.078703704,1736556.906,46029.18228,190838.4169,2396830.135,67826.08721,293501.8435,360.0540795,361.9209651,360.4421068,cement
