Accelerometer_Avg_x,Accelerometer_Avg_y,Accelerometer_Avg_z,Accelerometer_Avg_total,Accelerometereviation_x,Accelerometereviation_y,Accelerometereviation_z,Accelerometereviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometerc_x,Accelerometerc_y,Accelerometerc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscope_Avg_x,Gyroscope_Avg_y,Gyroscope_Avg_z,Gyroscope_Avg_total,Gyroscopeeviation_x,Gyroscopeeviation_y,Gyroscopeeviation_z,Gyroscopeeviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscopec_x,Gyroscopec_y,Gyroscopec_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,class
-0.858975,-0.56445,0.155525,-0.422633333,0.167695597,0.188187872,0.150451227,0.168778232,-0.215451198,0.144699221,0.628076986,0.185775003,0.157802108,-0.306713226,0.405292415,0.085460432,-0.176602719,-0.210394162,0.60912504,0.081223215,1.011934443,0.772933064,0,0.005555556,0.05,0.018518519,270.8865875,121.272734,13.115901,275.745551,127.446652,16.856495,-1178.197704,-197.2914822,-17.68454921,-1.158027778,-0.224738889,2.270916667,0.29605,65.25951791,43.055822,22.91809834,43.74447941,-0.538031477,-1.08557979,0.667752311,-0.318619652,0.276971725,1.181580484,-0.154595539,0.434652223,0.961937364,-0.738200856,2.051878619,-0.761174852,2.020522629,-1.326556935,0.05,0.052777778,0.044444444,0.049074074,181824.7173,95758.72236,67253.00066,1533652.454,667387.5535,190942.6658,360.084524,360.1942948,360.6800199,cement
-0.728127778,0.759827778,-0.0592,-0.009166667,0.20066437,0.174674692,0.17700935,0.184116137,-0.316734953,0.066669056,1.489965585,0.413299896,0.524273601,-0.328091204,5.156673147,1.784285181,-0.086489237,0.226152479,1.225248343,0.137932261,0.987065483,1.338738546,0,0,0.091666667,0.030555556,199.7950025,213.5545505,6.9548005,205.35705,218.82582,12.541302,-478.059543,-558.0148948,-12.99397237,4.6223,-12.18778889,0.743441667,-2.274015741,74.55578432,101.2899245,30.15887048,68.66819309,-0.188457062,0.13601322,0.421698631,0.12308493,-0.204672568,-0.12147687,0.005287589,-0.10695395,-0.797577133,0.190470812,-0.007082736,-0.298515207,0.477995019,0.205670018,0.077777778,0.05,0.083333333,0.07037037,1074040.756,1704756.39,144773.0222,2008775.028,3746948.759,327639.6628,360.0645285,360.0345915,360.3959916,cement
-0.702838889,0.757283333,-0.035372222,0.006357407,0.207927636,0.173658342,0.147734523,0.176440167,-0.391558302,0.174458915,0.89768415,0.226861588,-0.191221955,1.417425885,2.651000676,1.292401535,-0.099416353,0.130064925,1.189515065,0.330210861,1.143563181,1.315587543,0,0,0.108333333,0.036111111,188.36765,211.298652,4.347188,193.397906,217.308696,8.307606,-417.901387,-548.2543671,-8.503846575,-1.645344444,-7.334397222,-3.411861111,-4.130534259,65.32678251,102.4224349,27.56414298,65.10445347,-0.002837494,0.029391491,-0.707389479,-0.22694516,1.236319058,0.100724996,0.669075831,0.668706628,-0.843595201,-0.03426676,-0.338238396,0.03047481,0.739628154,0.436942615,0.077777778,0.066666667,0.075,0.073148148,1116033.538,2492305.401,178661.7482,1537306.442,3795893.48,277712.1989,360.084323,360.0341454,360.4672759,cement
-0.739594444,0.70745,-0.024811111,-0.018985185,0.217027781,0.18115447,0.208108473,0.202096908,0.027859808,-0.031565247,1.608018891,0.534771151,0.036487588,0.529224556,3.643263812,1.402991985,-0.002590486,0.217621705,1.295652794,0.310542955,1.213372758,1.541808215,0,0,0.091666667,0.030555556,204.6475405,185.257642,6.942577,213.87636,191.98888,15.812902,-526.9201452,-411.3775136,-16.53939021,30.19174444,-39.72252778,-4.057558333,-4.529447222,71.86528786,84.13530872,28.97541182,61.65866946,0.010451302,0.192305103,-0.390247714,-0.062497103,0.330094259,-0.674245825,0.402780335,0.019542923,-0.776801796,0.128222324,0.165818102,-0.220726817,0.355417556,0.318190894,0.063888889,0.047222222,0.080555556,0.063888889,1382440.767,1495669.075,185140.9816,2187417.971,3116386.579,308173.7771,360.0592577,360.0415914,360.4210338,cement
-0.730555556,0.711855556,-0.000541667,-0.006413889,0.212436506,0.192712311,0.174346362,0.193165059,-0.143589049,0.323194455,1.821669905,0.66709177,0.656309553,0.717772158,5.477750029,2.283943913,0.050804838,0.341001969,1.458233063,0.449976853,1.459668435,1.72652191,0,0,0.1,0.033333333,196.928474,189.875193,6.0612195,208.382648,195.795492,10.942901,-494.7834287,-429.2596956,-11.28595972,-6.960180556,7.24505,2.123852778,0.802907407,78.25618887,88.77744768,24.19993159,63.74452271,-0.124524897,0.488954144,-0.263080068,0.03378306,-0.237544538,0.237398588,0.121028525,0.040294192,-0.863246445,-0.25631379,-0.071902702,0.129657032,0.382162437,0.245549122,0.069444444,0.063888889,0.077777778,0.07037037,997000.2477,1384838.391,117008.4772,2222091.075,2856213.348,212453.0783,360.0583329,360.0453805,360.6110525,cement
0.00275,-0.999561111,0.087025,-0.303262037,0.158363975,0.251177199,0.197334268,0.202291814,0.330208251,-0.348848062,-0.037268336,-0.018636049,0.115742802,-0.070823479,0.227095299,0.09067154,0.07122819,0.058962016,0.928807227,-0.298648832,1.006088806,0.650831824,0.169444444,0,0.147222222,0.105555556,3.9670975,368.654063,9.8255295,9.031216,382.396464,16.745099,-9.263609495,6146.627746,-17.56197981,1.595158333,-1.081586111,2.372502778,0.962025,26.70663188,73.10921713,19.35797141,39.72460681,-0.033533574,-0.197716684,-0.453585621,-0.228278626,0.096856167,0.115806935,0.020419772,0.077694291,-0.168833498,0.064698847,0.39310107,-0.653743823,1.408323287,-0.672350001,0.183333333,0.088888889,0.077777778,0.116666667,132317.3044,705613.479,69911.20584,257683.938,1924605.885,136929.5375,360.5036453,360.0673511,360.9489671,cement
-0.018777778,-1.006508333,0.097791667,-0.309164815,0.161965379,0.224915107,0.196919649,0.194600045,-0.399068547,-0.198349495,0.068237992,-0.17639335,0.706596103,-0.042249778,0.339913173,0.334753166,0.06644436,0.163855,1.074902055,-0.170746506,1.038301153,0.950950539,0.180555556,0,0.161111111,0.113888889,5.317602,372.0789635,9.3110465,9.57074,382.912499,17.402601,-9.832131027,6016.301393,-18.28658472,-0.552127778,0.733866667,2.580002778,0.920580556,24.67245255,71.47343706,16.91450726,37.68679896,0.020102367,-0.072127064,-0.775903869,-0.275976189,-0.243711138,0.027264183,0.842417645,0.208656897,-0.16373337,-0.060957499,0.316789966,-0.665548862,1.490609543,-0.85331016,0.2,0.058333333,0.066666667,0.108333333,136323.05,280373.1183,57573.108,219252.5136,1839236.675,105392.5093,360.5920714,360.0704778,361.2339037,cement
0.000352778,-1.046436111,0.105194444,-0.31362963,0.152956332,0.229018137,0.179102255,0.187025575,0.229305152,-0.395659492,-0.147695547,-0.104683295,-0.203731481,0.306571211,-0.017684529,0.028385067,0.121968337,-0.236184387,0.741011688,-0.352492674,0.986719244,0.332837593,0.147222222,0,0.125,0.090740741,4.7055385,402.190058,9.204902,8.422475,413.092023,15.531656,-8.624245819,2801.044674,-16.23195936,-1.140702778,57.76028611,-7.25575,16.45461111,22.18274438,51.70085346,16.89388314,30.25916032,0.179016188,0.035694745,-0.508003742,-0.097764269,0.521075793,-1.092330291,0.012848335,-0.186135388,-0.129129716,-0.022814577,0.499723088,-0.563416938,1.29937849,-0.421073923,0.2,0.05,0.091666667,0.113888889,99577.32996,1586531.684,68516.75542,177615.1263,2163322.404,121697.7104,360.7311495,360.0599178,361.0680933,cement
-0.035711111,-1.029455556,0.060508333,-0.334886111,0.187441961,0.260087535,0.224143357,0.223890951,0.201613397,-0.287467549,0.068286455,-0.005855899,-0.272854575,-0.239760079,0.161368754,-0.117081967,0.091519941,-0.084072557,0.859350729,-0.339794391,0.898113818,0.53601249,0.194444444,0,0.166666667,0.12037037,7.15369,393.7613325,10.056056,13.107518,405.872736,19.404541,-13.60279258,3185.207548,-20.51006429,-0.274847222,8.392997222,1.619733333,3.245961111,30.86222333,82.76275433,18.4772259,44.03406785,-0.5134528,0.205101906,-0.69155205,-0.333300981,1.20557427,-0.159611614,1.236546651,0.760836436,-0.181257985,-0.080394667,0.32645957,-0.570129596,1.513244627,-0.708302219,0.202777778,0.052777778,0.086111111,0.113888889,159889.9063,692995.3388,56946.34542,342918.8532,2491241.727,123851.3087,360.3783292,360.0520298,361.0494666,cement
-0.135194444,-0.997572222,0.089169444,-0.347865741,0.266644866,0.251831415,0.247724391,0.255400224,-0.385709187,-0.127371617,-0.211445356,-0.24150872,0.810358202,-0.379059524,-0.434492016,-0.001064446,0.122301505,-0.2925566,0.880856006,-0.2606672,0.860879667,0.407483928,0.122222222,0,0.136111111,0.086111111,20.0011595,368.0655115,12.5018555,32.175728,381.084984,24.954683,-35.33375369,6506.554344,-26.81334561,6.5026,12.54456389,-1.217147222,5.943338889,31.9895652,88.43102149,25.87686641,48.7658177,-0.042611651,-0.054522839,-0.301024981,-0.132719824,0.398293651,-0.140735243,0.880251787,0.379270065,0.1028828,-0.179793453,0.747144349,-0.539824031,1.594420987,-0.566212969,0.186111111,0.069444444,0.091666667,0.115740741,187282.6231,1165343.839,87610.8457,383621.7918,2871868.192,241593.7185,360.3381501,360.0451331,360.5372383,cement
