Accelerometer_Avg_x,Accelerometer_Avg_y,Accelerometer_Avg_z,Accelerometer_Avg_total,Accelerometer_Deviation_x,Accelerometer_Deviation_y,Accelerometer_Deviation_z,Accelerometer_Deviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometer_Dc_x,Accelerometer_Dc_y,Accelerometer_Dc_z,Accelerometernergy_x,Accelerometernergy_y,Accelerometernergy_z,Accelerometerntropy_x,Accelerometerntropy_y,Accelerometerntropy_z,Gyroscope_Avg_x,Gyroscope_Avg_y,Gyroscope_Avg_z,Gyroscope_Avg_total,Gyroscope_Deviation_x,Gyroscope_Deviation_y,Gyroscope_Deviation_z,Gyroscope_Deviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscope_Dc_x,Gyroscope_Dc_y,Gyroscope_Dc_z,Gyroscopenergy_x,Gyroscopenergy_y,Gyroscopenergy_z,Gyroscopentropy_x,Gyroscopentropy_y,Gyroscopentropy_z,class
-0.666011111,-0.692905556,0.41955,-0.313122222,0.271667893,0.276472205,0.243219512,0.263786537,-1.28355974,0.118638164,0.679226691,-0.161898295,1.582409937,-0.362194499,1.278618777,0.832944738,0.240694198,-0.286108032,1.018346488,-0.049938155,1.24993171,0.575035539,0,0.005555556,0.033333333,0.012962963,173.361544,185.7569315,70.5454485,186.254728,200.359796,84.664056,-385.9195782,-451.8255725,-110.6977161,-27.41783333,-34.54488056,20.41378333,-13.84964352,64.46197284,40.45965571,34.68083952,46.53415602,0.608289802,-0.012677294,0.383683257,0.326431922,-0.433019592,-0.142452942,-0.142006232,-0.239159589,0.246552655,-0.096638035,1.527607381,-0.611197366,0.755489977,0.079995565,0.091666667,0.091666667,0.088888889,0.090740741,1210751.456,791918.4262,469883.1479,1766550.07,1018919.705,583013.9447,360.0733783,360.1272385,360.2224305,cement
-0.847475,0.594169444,-0.191630556,-0.148312037,0.197785418,0.219827247,0.259463591,0.225692085,-0.004527712,1.31249404,0.173128737,0.493698355,1.786941946,3.530386929,14.06846002,6.461929632,0.378472252,0.005942356,1.251819512,0.176635773,1.508755129,1.326888613,0,0,0.086111111,0.028703704,265.3713215,139.408512,24.3918735,272.639861,144.490085,37.455705,-1123.514123,-241.364443,-41.80527763,-38.77216111,29.7458,0.744391667,-2.760656481,112.3723002,58.94776679,31.65718488,67.65908394,0.47897462,-0.331163682,-0.106598911,0.013737342,-0.063582135,0.350965111,1.108042378,0.465141785,-0.822496191,0.553370843,1.203181375,-0.636630992,-0.792679474,0.832301605,0.055555556,0.077777778,0.136111111,0.089814815,1964343.412,651747.771,153521.0672,5087093.156,1569474.658,360983.3305,360.025478,360.0825943,360.3593777,cement
-0.851155556,0.578813889,-0.177958333,-0.1501,0.195213226,0.175782098,0.205210328,0.192068551,-0.502644996,0.691226893,0.8824422,0.357008032,1.190337704,0.065890239,7.144870242,2.800366062,-0.045085772,-0.022055423,0.951545441,0.201209842,1.084358141,1.230154053,0,0,0.094444444,0.031481481,269.9445175,127.3487625,17.884887,274.526634,131.732951,26.560961,-1156.261803,-207.7560584,-28.676744,-45.61589722,32.77537222,-1.232219444,-4.690914815,88.36686745,47.12802697,22.97339684,52.82276375,0.179673378,-0.200985895,0.065276868,0.014654784,-0.284219515,-0.707512541,0.403302948,-0.196143036,-0.818704335,0.51965858,1.168459692,-0.446544927,-0.671622645,0.90584462,0.05,0.063888889,0.108333333,0.074074074,1884948.39,814975.5877,101869.1374,3560224.803,1186299.342,190546.3177,360.0364059,360.1092805,360.681437,cement
-0.761222222,0.639025,-0.298125,-0.140107407,0.211662836,0.252447017,0.246588678,0.23689951,-0.132544704,2.402878862,0.727530053,0.99928807,1.539034682,14.90535606,6.517838699,7.654076481,0.018893576,-0.190885364,0.714911961,0.242134801,1.334548076,1.128375269,0.005555556,0.011111111,0.066666667,0.027777778,214.392791,159.0952655,40.886709,224.733754,169.949681,53.886417,-598.1104217,-321.9246644,-63.37226179,-3.892672222,-6.089108333,8.083419444,-0.632787037,88.56710136,63.35336638,37.84685484,63.25577419,-0.592975832,0.081100164,0.111679572,-0.133398699,0.266809965,-0.256693465,0.979930056,0.330015518,-0.713977123,0.444602287,0.951075947,-0.683545093,-0.407101961,0.536221529,0.075,0.075,0.116666667,0.088888889,1100445.232,419701.0262,296234.2388,2829342.363,1458261.458,539181.3928,360.0458115,360.0888949,360.240525,cement
-0.672175,0.676958333,-0.385763889,-0.126993519,0.20214519,0.264300378,0.166610182,0.211018583,-0.05097924,1.947719912,1.737229899,1.211323524,0.987218745,12.05120536,7.616543164,6.884989088,-0.126338865,0.254288361,1.000484445,0.292939291,1.362762695,1.400053548,0.011111111,0.011111111,0.027777778,0.016666667,170.9711575,181.451058,58.6538875,177.365487,190.125819,63.566183,-349.61396,-402.9175855,-77.19708268,-2.172275,-3.485480556,-1.292561111,-2.316772222,66.35154997,70.69027235,38.01081143,58.35087792,-0.325191689,0.729905433,0.262654867,0.222456204,-0.113673749,0.723569356,0.643970853,0.417955487,-0.774606964,0.662781481,0.630448691,-0.797481732,-0.188840827,0.438951221,0.086111111,0.077777778,0.133333333,0.099074074,432115.3598,482366.8182,198380.1208,1586608.906,1803334.745,520737.2998,360.0817022,360.0718812,360.2490501,cement
-0.693136111,0.663711111,-0.391313889,-0.140246296,0.259544389,0.255517014,0.179770436,0.231610613,0.526747651,1.611641329,1.741987066,1.293458682,1.835641123,4.268145575,10.84293149,5.648906062,0.052115468,0.10652752,1.260785388,0.37373604,1.451703693,1.307863096,0.022222222,0,0.044444444,0.022222222,181.954903,173.064382,59.851537,197.208345,182.088498,66.759829,-436.109604,-368.4520593,-81.95854735,-48.092725,48.72768611,-23.997325,-7.78745463,67.47650615,66.24134645,35.5420245,56.41995903,-0.702351956,0.240344243,-0.368246594,-0.276751435,1.197714533,0.655129402,0.987385725,0.94674322,-0.84325366,0.663303527,0.623775684,-0.809136556,-0.344147992,0.473256886,0.055555556,0.038888889,0.080555556,0.058333333,1851332.41,1888208.223,451386.8396,2471756.069,2434429.214,662078.5607,360.05244,360.0532442,360.1958537,cement
-0.728505556,0.670844444,-0.349888889,-0.13585,0.233770531,0.281650834,0.210692981,0.242038115,0.235777843,1.907478027,3.215098041,1.78611797,1.112006317,6.606493924,16.61368359,8.110727945,-0.219611713,0.027663862,0.734369006,0.553828485,1.433657923,1.541683758,0.011111111,0.005555556,0.044444444,0.02037037,198.4114785,172.2147435,51.544895,210.732842,190.569406,60.052956,-508.2418942,-404.9149834,-72.0762701,-34.89962222,28.87107222,-17.487525,-7.838691667,53.47723354,59.03390874,30.9344905,47.81521093,-0.457695312,0.237701424,-0.256203803,-0.158732563,0.326001872,0.353175967,6.836409043,2.505195627,-0.760642092,0.529561313,0.521910635,-0.710187195,-0.075549287,0.362412675,0.069444444,0.080555556,0.105555556,0.085185185,953977.1719,989244.6331,292695.63,1468007.33,1554674.829,454592.244,360.0883046,360.0833808,360.2853166,cement
-0.867244444,0.380341667,-0.034769444,-0.173890741,0.251373717,0.353220638,0.340420581,0.315004979,-0.188278677,1.614069518,0.371737092,0.599175978,2.390957236,7.438509891,-0.247644614,3.193940838,0.413600154,-0.516546767,0.703552934,-0.413426649,1.004587,0.204896682,0.005555556,0.072222222,0.086111111,0.05462963,279.263136,67.522005,10.005117,293.508602,96.992857,42.154231,-1589.124306,-132.7622821,-47.74492738,-41.40888889,18.03290556,1.530122222,-7.281953704,51.18611953,35.92219191,27.46082854,38.18971333,-0.590004168,0.507341397,-0.229497407,-0.104053393,-0.002375642,2.94273164,1.081288479,1.340548159,-0.444978383,0.057361923,0.963000855,-0.678590104,-0.14373429,0.157647657,0.05,0.083333333,0.086111111,0.073148148,1055406.73,345979.766,94649.48503,1560497.368,581612.2397,272317.8162,360.0830696,360.2229669,360.4765445,cement
-1.008975,0.150772222,0.182175,-0.225342593,0.217890918,0.190940023,0.246361297,0.218397413,-1.644103056,0.036887383,1.959072103,0.117285477,4.244954928,-0.50908519,6.149925697,3.295265145,0.26679384,-0.231050039,0.970298824,0.407261689,1.599860967,1.253586959,0,0.086111111,0.086111111,0.057407407,375.430737,16.1688865,21.7114385,383.582521,21.308528,33.797383,5855.595657,-22.64913856,-37.29908114,-70.19067222,10.91148333,19.78545556,-13.16457778,57.57453557,12.55837641,13.68507928,27.93933042,-0.221067057,-0.094480668,-0.427584991,-0.247710905,-0.64540002,0.258506117,0.528810722,0.047305606,-0.236051998,-0.4246919,1.74657598,-0.259976949,-0.164285,-0.502204161,0.033333333,0.094444444,0.038888889,0.055555556,2628078.839,74918.56838,185190.349,2966960.741,99638.38319,208348.4328,360.0436864,361.3054201,360.6231116,cement
-1.005013889,0.202261111,0.170247222,-0.210835185,0.234180325,0.175042403,0.261542269,0.223588332,-1.577098424,0.033551267,2.263637617,0.240030153,4.675009576,-0.194943998,9.046334107,4.508799895,0.173709463,-0.299573954,0.832939688,0.370003535,1.397627963,1.145651242,0,0.080555556,0.091666667,0.057407407,371.541603,18.7449405,24.819209,383.361603,25.757784,35.059851,5907.564523,-27.74276197,-38.84268041,-66.60580833,12.05489167,19.33966389,-11.73708426,62.17409453,12.95563915,18.00518037,31.04497135,0.179201988,-0.72221956,0.231120916,-0.103965552,-0.781877505,2.260116045,0.055422549,0.511220363,-0.397189349,-0.602132638,1.487736786,0.186853642,-0.269767214,-0.547949059,0.027777778,0.066666667,0.033333333,0.042592593,2445713.713,81690.19442,185526.7672,2988702.624,112740.8396,251355.283,360.0433685,361.1532215,360.5163444,cement
