Accelerometer_Avg_x,Accelerometer_Avg_y,Accelerometer_Avg_z,Accelerometer_Avg_total,Accelerometer_Deviation_x,Accelerometer_Deviation_y,Accelerometer_Deviation_z,Accelerometer_Deviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometer_Dc_x,Accelerometer_Dc_y,Accelerometer_Dc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscope_Avg_x,Gyroscope_Avg_y,Gyroscope_Avg_z,Gyroscope_Avg_total,Gyroscope_Deviation_x,Gyroscope_Deviation_y,Gyroscope_Deviation_z,Gyroscope_Deviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscope_Dc_x,Gyroscope_Dc_y,Gyroscope_Dc_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,class
-0.942191667,0.36235,0.240036111,-0.113268519,0.1231264,0.148709317,0.124697217,0.132177645,-0.460034935,0.069068173,1.081596204,0.230209814,1.156654072,-0.457086934,1.258248694,0.652605277,0.204834788,-0.210670211,0.963228336,-0.083050878,1.237529037,0.653724108,0,0.005555556,0,0.001851852,322.5087655,51.964775,24.533388,325.038689,55.228314,26.340023,-3346.954811,-65.23635217,-28.41937581,44.2423,-14.48812222,-12.097175,5.885667593,40.95001808,18.18335169,12.63217896,23.92184958,-0.065004337,0.29179769,0.06096189,0.095918414,0.394941008,-0.030920237,-0.648321534,-0.094766921,-0.852755484,-0.661704245,0.714213118,0.617986794,-0.373319002,-0.134920613,0.019444444,0.047222222,0.038888889,0.035185185,1124583.237,146501.3479,101297.9055,1308342.632,194594.3871,110128.8918,360.0990839,360.6672351,361.1806624,cement
-0.987613889,-0.339952778,-0.004672222,-0.44407963,0.130162605,0.166030287,0.157316836,0.151169909,-0.706453806,-0.946109539,1.291406093,-0.120385751,1.056255896,1.425673177,1.019727494,1.167218856,-0.361481174,-0.21401862,0.241298349,-0.007126852,0.779637841,0.848557379,0,0,0.063888889,0.021296296,354.513595,48.7387195,4.425534,357.236459,51.528221,8.91735,-46536.35507,-60.13567795,-9.143846898,60.51558611,15.95574444,-0.339169444,25.37738704,48.76703539,17.12096464,9.653265874,25.18042197,0.488428412,-0.535631961,-0.084586899,-0.04393015,-0.061462198,1.785138914,0.21095866,0.644878459,0.210770265,-0.239507724,1.988195193,0.039208284,1.103162356,-0.05383278,0.027777778,0.077777778,0.105555556,0.07037037,1626174.736,150260.9458,11605.32637,2174529.565,197176.756,33588.20806,360.059609,360.6584805,363.9003006,cement
-0.9798,-0.146947222,-0.079319444,-0.402022222,0.133234209,0.328306564,0.207955526,0.223165433,-0.849080035,0.702675558,0.631206579,0.161600701,0.869708802,0.189367745,1.915510438,0.991528995,-0.109417213,-0.09065347,0.351577431,-0.523949152,0.917571884,0.106922637,0,0.025,0.055555556,0.026851852,349.424463,18.4192605,8.1139375,351.993382,46.576327,17.833347,-15826.60963,-53.49780238,-18.76280129,55.56505,6.735330556,3.778730556,22.02637037,53.29401289,22.36495833,16.92846298,30.86247807,0.203594146,-0.483190378,2.154313724,0.624905831,-0.219052021,0.161040086,12.92042995,4.287472671,-0.190431942,0.210249386,1.704147324,-0.330501063,0.214538863,0.672073511,0.052777778,0.083333333,0.077777778,0.071296296,1677448.836,104277.7219,49747.4312,2133981.573,196400.174,108306.5989,360.0607418,360.661089,361.2005936,cement
-0.968691667,0.243511111,-0.276966667,-0.334049074,0.138342397,0.19183953,0.129420671,0.153200866,-0.203412474,0.789780235,-0.082323537,0.168014741,-0.100383902,0.218870686,-0.178278938,-0.019930718,0.123872327,-0.3153093,0.791760961,-0.222963442,1.175712981,0.280852357,0,0.036111111,0.005555556,0.013888889,342.105197,27.632502,28.876366,344.700779,34.596024,33.645688,-8111.019538,-38.27417474,-37.11440981,61.90433333,-13.85734444,12.63851111,20.2285,44.78949395,18.37850887,17.25428873,26.80743052,-0.163033818,0.152906898,-0.392544686,-0.134223869,-0.688572499,-0.395388128,0.483539683,-0.200140315,-0.811777938,0.722086487,1.579014245,-0.491176965,-0.986872774,1.513351936,0.038888889,0.047222222,0.069444444,0.051851852,1799847.485,151443.8178,130087.78,2101768.291,190726.41,164679.2794,360.0616729,360.6807924,360.7887084,cement
-0.9764,0.278744444,-0.293280556,-0.330312037,0.133766986,0.194430511,0.14298466,0.157060719,-0.492976721,0.992833907,-0.084184812,0.138557458,0.073715431,1.348676723,-0.520553308,0.300612949,0.067729892,-0.270135537,0.689609131,-0.221202397,1.094239132,0.406473041,0,0.019444444,0.002777778,0.007407407,346.5661115,35.1438235,33.4596775,349.650204,41.580608,38.324915,-12161.98594,-47.01038711,-42.89101035,63.05660278,-16.38937778,14.10291389,20.25671296,50.29975371,18.49182518,14.35813964,27.71657285,0.1720831,-0.419151562,0.145947695,-0.033706922,-0.874461404,-0.406429765,0.195593497,-0.36176589,-0.868727865,0.730390338,1.613562998,-0.531268983,-1.184598359,1.489089609,0.038888889,0.055555556,0.072222222,0.055555556,1998866.012,170994.3177,120012.9799,2342232.136,219801.3489,145817.4075,360.0553403,360.5905906,360.8909825,cement
-0.980675,0.200805556,-0.287141667,-0.35567037,0.114198499,0.194949512,0.124067318,0.14440511,-0.360093119,-0.119540331,0.081729513,-0.132634646,1.111319471,1.05191291,-0.332711676,0.610173568,0.307629776,-0.442840745,0.825654372,-0.200253785,1.421247636,0.238607844,0,0.041666667,0,0.013888889,348.1618625,20.7685775,31.8178415,350.915311,28.198146,35.223493,-13905.76078,-30.5945625,-39.04364142,57.44993611,-12.29671667,12.81517222,19.32279722,50.54062039,18.34001261,13.86046705,27.58036668,0.300537979,-0.405362941,-0.220248448,-0.108357803,-0.590353891,-0.446053784,-0.237588901,-0.424665525,-0.650754023,0.698634768,1.750853719,-0.521372156,-0.78954574,1.436091484,0.025,0.058333333,0.05,0.044444444,1670242.232,106130.5981,110857.8139,2107745.809,175523.5092,128282.8269,360.061498,360.7398801,361.0131108,cement
-1.020172222,-0.011066667,-0.199266667,-0.410168519,0.113946056,0.182914707,0.092211839,0.129690867,-0.562371326,-0.684467819,-0.016571823,-0.421136989,1.770136253,-0.085698662,-0.330419786,0.451339268,0.046976583,-0.010047772,0.93770859,0.129043591,1.543415155,0.884186438,0,0.088888889,0.011111111,0.033333333,377.4551465,5.905915,15.9347785,379.344624,12.088894,17.355682,7059.535747,-12.50894773,-18.23478515,65.58693611,4.618322222,10.73743889,26.98089907,41.29668359,12.37671788,15.12933473,22.9342454,-0.328682365,0.909833668,-0.088263319,0.164295995,-0.676667921,0.468757215,-0.198904579,-0.135605095,-0.521178556,0.563581743,1.891181494,-0.130916508,-0.485165634,1.603849367,0.027777778,0.105555556,0.086111111,0.073148148,1862763.616,30070.77114,82269.29821,2162542.415,62824.33642,123908.1707,360.0599394,362.0747839,361.0489836,cement
-1.028488889,-0.005594444,-0.206586111,-0.413556481,0.106508033,0.190677905,0.082103142,0.126429693,-0.73062521,-1.042134584,0.206624633,-0.522045054,2.111068436,0.728698528,-0.651029569,0.729579131,-0.130760364,0.034860972,0.667858266,-0.102378904,1.331532505,0.52436037,0,0.083333333,0.011111111,0.031481481,382.8025815,5.1410775,16.1815965,384.888008,13.10017,17.790749,5567.327159,-13.59487896,-18.71565313,60.69691389,2.421305556,11.20790278,24.77537407,44.15418055,9.907826318,15.0893889,23.05046525,-0.258414858,0.254837765,-0.501131008,-0.168236034,-0.384599088,-0.618645897,1.042921189,0.013225401,-0.422033867,0.610378718,2.133708956,-0.026514979,-0.395949842,1.812434359,0.033333333,0.058333333,0.063888889,0.051851852,1755148.584,26085.56303,77839.84256,2028134.525,37449.98746,127190.4272,360.0639124,363.4942045,361.0218368,cement
-1.035233918,-0.011345029,-0.218704678,-0.421761209,0.108040648,0.16214573,0.086952887,0.119046422,-0.851626644,-0.832252553,0.476065132,-0.402604688,1.662040005,0.370817293,-0.083427357,0.64980998,-0.158391927,0.015789665,0.703347727,-0.067541442,1.168956094,0.652747521,0,0.084795322,0.005847953,0.030214425,368.0476105,3.915343,17.473256,370.51666,9.035622,18.944249,4443.602362,-9.280820797,-20.05515499,56.69846491,3.317690058,11.51399415,23.84338304,40.28393315,9.923463587,12.56160273,20.92299982,-0.313820453,0.799089761,-0.007824753,0.159148185,0.153732191,-0.048524328,-0.679812874,-0.191535004,-0.441856035,0.54817649,2.0448868,-0.080022462,-0.424482429,1.617846776,0.023391813,0.096491228,0.093567251,0.071150097,1509292.295,17633.47677,75835.16507,1654428.828,37442.91134,99305.14618,342.0707121,345.152591,343.1818945,cement
-0.928819444,0.372913889,0.222388889,-0.111172222,0.106809374,0.125173062,0.094169993,0.108717476,-0.222151222,-0.606374639,0.712281834,-0.038748009,0.521584571,0.3404172,0.285465002,0.382488925,0.339931573,-0.032790777,1.345429894,-0.052528118,1.439827091,0.773495932,0,0.011111111,0,0.003703704,312.6805255,51.3959535,19.105987,314.680969,55.703903,20.99693,-2499.725752,-65.90096054,-22.29742285,56.8028,-18.99370556,-17.42902222,6.793357407,28.85370084,13.5497532,10.44071745,17.61472383,0.091002674,0.138988057,0.612673753,0.280888161,-1.04634911,-0.665708213,-0.229274853,-0.647110725,-0.736904314,-0.497646718,0.776227922,0.48288945,-0.151631734,0.149011747,0,0.044444444,0.022222222,0.022222222,1383443.234,178442.0325,136648.9724,1461273.89,195968.3985,148600.5827,360.0887116,360.6625482,360.8742545,cement
-0.915577778,0.398519444,0.219322222,-0.09924537,0.116273693,0.133907243,0.102208129,0.117463022,-0.196169308,0.342768716,0.82693528,0.324511563,1.856604663,-0.169757319,0.367498213,0.684781852,0.224078525,-0.040889071,1.20974442,0.099385446,1.448282858,0.942954094,0,0,0,0,303.629737,59.996753,19.728951,306.648806,63.629603,21.077546,-2069.186496,-77.29063804,-22.38835601,52.87062778,-20.06818611,-13.88335556,6.306362037,25.91939924,13.96955397,7.926544684,15.9384993,0.300246915,-0.032292385,0.014635584,0.094196705,-0.881038933,-0.985333816,-0.349208453,-0.738527067,-0.818661472,-0.393278199,0.713098906,0.396564006,-0.257632615,0.20534131,0,0.019444444,0.033333333,0.017592593,1209944.248,203525.5344,85200.42945,1248162.674,215236.9915,92007.96196,360.1038626,360.6031358,361.4141067,cement
