Accelerometer_Avg_x,Accelerometer_Avg_y,Accelerometer_Avg_z,Accelerometer_Avg_total,Accelerometer_Deviation_x,Accelerometer_Deviation_y,Accelerometer_Deviation_z,Accelerometer_Deviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometer_Dc_x,Accelerometer_Dc_y,Accelerometer_Dc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscope_Avg_x,Gyroscope_Avg_y,Gyroscope_Avg_z,Gyroscope_Avg_total,Gyroscope_Deviation_x,Gyroscope_Deviation_y,Gyroscope_Deviation_z,Gyroscope_Deviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscope_Dc_x,Gyroscope_Dc_y,Gyroscope_Dc_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,class
-0.988852778,-0.236647222,0.217952778,-0.335849074,0.120156509,0.114064214,0.123748807,0.119323177,-1.728602306,-0.124012565,0.359620987,-0.497664628,3.747775823,0.418071062,0.989713361,1.718520082,0.011204762,0.000600327,1.01831735,-0.328010065,0.627033969,0.724140373,0,0.011111111,0.019444444,0.010185185,354.1290655,22.6358005,20.0925745,357.216265,24.844519,22.614185,-46196.15567,-26.68620192,-24.12996112,-41.26113889,-10.27498333,10.19573333,-13.78012963,43.15046359,13.35629257,16.2335677,24.24677462,-0.250509042,-0.430581813,-0.039757214,-0.24028269,-0.60625826,0.361315445,-0.886253449,-0.377065421,0.61205739,-0.791934636,1.586576245,-0.529512069,1.285572335,-1.031522645,0.086111111,0.105555556,0.058333333,0.083333333,868523.7213,64114.52823,98681.63314,1283199.872,102227.7002,132293.4114,360.1010259,361.2722384,360.9823137,cement
-0.412975,0.837313889,0.361325,0.261887963,0.100675562,0.106699494,0.121398391,0.109591149,-0.942937524,1.693275556,-0.11266682,0.212557071,2.980230445,4.102780455,0.499447953,2.527486284,-0.19430962,-0.066951333,0.655299634,0.050244606,0.850770148,1.095153241,0,0,0,0,63.0410835,254.137851,50.438914,65.046211,256.492559,52.305597,-79.39086336,-892.0838961,-61.19713175,-14.88544722,26.39133056,12.49975278,8.001878704,14.89515953,26.71866346,13.6249068,18.41290993,0.102816798,0.411856997,0.416788162,0.310487319,-0.761933998,-0.522358322,-0.622856041,-0.63571612,-0.481509707,-0.591640423,-0.327551806,0.823531187,1.670949098,1.456368442,0.083333333,0.069444444,0.047222222,0.066666667,103716.6679,347593.7408,86201.19249,159639.2339,507740.15,123077.4857,360.8136654,360.2554298,361.0560842,cement
-0.638736111,0.451122222,0.135744444,-0.017289815,0.315346159,0.522918951,0.310103354,0.382789488,-0.571776268,-0.516804008,-0.380519466,-0.489699914,-1.077095565,-1.310446119,-1.369016677,-1.25218612,0.88283453,0.877058929,2.740346884,0.886163675,2.811257337,2.743210905,0,0.002777778,0.008333333,0.003703704,155.2075885,93.903848,16.8850415,182.673727,171.703976,41.252632,-370.8561659,-328.2779426,-46.59159262,-18.98431111,16.89098056,6.945355556,1.617341667,43.26463555,32.01645164,24.95453879,33.41187533,-1.795422085,1.292102246,-0.32441808,-0.27591264,7.580019868,1.651793787,2.612738848,3.948184168,-0.210148513,0.33992581,1.347398708,0.677084217,1.191815089,1.83584844,0.091666667,0.119444444,0.075,0.09537037,494001.8274,218133.9365,100391.118,803603.7926,471729.024,241548.1093,360.1613458,360.2749438,360.5373399,cement
-0.988197222,-0.217608333,-0.274538889,-0.493448148,0.102548214,0.134630562,0.10518998,0.114122918,-1.121943712,-1.157231465,0.057937292,-0.740412628,1.616308479,1.334319424,-0.273415259,0.892404215,-0.044528589,0.120720107,0.957317353,-0.140868142,1.009843768,0.864019736,0,0,0,0,353.4020145,18.9845845,29.0620765,355.337959,23.572359,31.117152,-27438.98332,-25.22399531,-34.061292,-44.396125,-7.652280556,-9.179936111,-20.40944722,56.37091419,13.41526143,21.53729126,30.44115563,-0.535308854,-1.162060171,-2.15941103,-1.285593352,1.440051722,4.363379105,10.1197762,5.307735674,0.458537041,0.771223149,2.599519119,0.248678948,1.465755279,2.24524782,0.061111111,0.094444444,0.127777778,0.094444444,1207109.609,43295.60083,116002.3227,1853530.517,85869.58928,197325.411,360.0699342,361.5156195,360.6579835,cement
-0.989808333,-0.222675,-0.272133333,-0.494872222,0.085234216,0.130443655,0.102736253,0.106138042,-1.29744729,-0.657038691,-0.108318436,-0.687601472,2.241390862,0.180690657,0.340312668,0.920798062,-0.133195126,0.132685979,0.767787084,-0.200790626,0.92768243,0.827731269,0,0,0.011111111,0.003703704,353.8059205,20.2602245,27.8516285,355.314747,23.975893,30.460064,-27301.2597,-25.68661385,-33.27555128,-44.38925556,-8.814947222,-8.779738889,-20.66131389,60.4410689,11.08408802,18.50115936,30.00877209,-0.386242189,-0.022429882,-1.009649025,-0.472773699,0.602514949,-0.36847398,5.926876449,2.05363914,0.475683761,0.77149794,2.665460474,0.311348143,1.519396543,2.285409396,0.061111111,0.091666667,0.1,0.084259259,1537936.602,54183.69926,98837.48663,2024470.375,72201.7086,150975.6166,360.0640281,361.803966,360.8604685,cement
-0.985861111,-0.225822222,-0.286122222,-0.499268519,0.095558055,0.135065998,0.101540504,0.110721519,-1.31140215,-0.555762922,-0.303982987,-0.72371602,2.184392142,0.118015419,0.469793225,0.924066929,-0.005912521,0.200990578,1.040160573,-0.221551734,1.011587772,0.820280169,0,0.005555556,0,0.001851852,351.5201735,21.1619295,30.854342,353.17925,24.92586,33.183504,-18640.84302,-26.78007202,-36.55281048,-37.55874722,-7.036611111,-8.145294444,-17.58021759,59.95632162,10.54912099,17.11419668,29.20654643,-0.073785168,-0.305741106,-0.962975134,-0.447500469,0.468576641,0.677208782,2.376314205,1.174033209,0.326234766,0.814828842,2.648137563,0.258883025,1.182595574,2.35218927,0.038888889,0.113888889,0.113888889,0.088888889,1122341.35,36924.67414,82991.34628,1801951.198,57887.22585,129326.9578,360.0719364,362.2528463,361.0049086,cement
-0.985936111,-0.222483333,-0.287458333,-0.498625926,0.088954163,0.124995932,0.096178182,0.103376092,-1.527273118,-0.79637057,-0.274537516,-0.866060401,3.524678201,1.336185413,0.121294312,1.660719309,-0.026119391,0.069863053,0.893907332,-0.040580113,1.148907637,0.941421176,0,0,0,0,351.3464495,19.3225095,31.720792,352.793829,23.444214,33.077713,-17624.58571,-25.07731969,-36.42448727,-32.70567222,-6.060638889,-6.655133333,-15.14048148,54.05700848,10.22671728,18.53370588,27.60581054,0.029279789,0.028553456,-2.160172947,-0.700779901,1.098883977,-0.196629472,18.25325946,6.385171321,0.307003162,0.777447959,2.593860981,0.063595152,1.014317026,2.217308067,0.061111111,0.116666667,0.119444444,0.099074074,905016.5383,24885.14365,80162.13237,1437055.618,50874.15239,139604.0592,360.090207,362.5656176,360.9307399,cement
-0.977469444,-0.22955,-0.315188889,-0.507402778,0.078885988,0.139028226,0.109256034,0.109056749,-0.766972237,-0.896043644,-0.31048034,-0.657832073,0.811651169,1.212878103,0.064627482,0.696385584,0.013451773,0.024510805,0.765052305,-0.173422545,1.110815456,0.79847387,0,0.005555556,0.005555556,0.003703704,345.273876,22.676732,38.4961565,346.201025,25.927938,40.06113,-9032.001942,-27.94025224,-45.07738244,-42.09874167,-8.195844444,-9.069902778,-19.78816296,61.56952889,12.52662283,18.7733107,30.95648747,0.134907458,-0.034198762,-1.208135683,-0.369142329,0.178967929,-0.045846116,8.208579686,2.780567166,0.382237427,0.734212622,2.588836176,0.262369751,1.323998726,2.172890026,0.047222222,0.111111111,0.102777778,0.087037037,1218444.748,53084.0652,99358.6046,2002719.938,80671.73243,156492.1192,360.0647236,361.6137119,360.8300662,cement
-0.95875,-0.250919444,-0.347608333,-0.519092593,0.114434473,0.13319677,0.108227843,0.118619696,-1.726111616,-1.118467496,-0.438929901,-1.094503005,4.557632207,2.517237638,0.041824642,2.372231496,-0.039186492,0.06638134,0.981281123,0.198115371,1.265844457,1.198894364,0,0,0,0,332.9225795,26.254766,45.786332,335.626852,29.052701,47.716135,-4957.327085,-31.60313558,-55.00703214,-30.64033056,-8.5105,-7.890997222,-15.68060926,48.65879956,14.93094801,20.6395819,28.07644316,0.184309525,-0.365333405,-0.739792299,-0.306938726,-0.320190815,1.25519278,4.809903706,1.914968557,0.35572665,0.735637621,2.463039504,0.044022847,1.180662122,2.033453026,0.091666667,0.105555556,0.119444444,0.105555556,660621.5332,60529.61413,83540.16733,1190343.107,106330.2547,175773.6642,360.1089091,361.2229847,360.738825,cement
-0.955352778,-0.264080556,-0.368458333,-0.529297222,0.132411734,0.110506695,0.097577567,0.113498665,-1.972177819,-0.425943279,-0.544413268,-0.980844789,5.352694692,-0.362476534,0.267522509,1.752580223,-0.104684518,0.134459432,1.180310073,0.175743796,1.002601115,1.18770066,0,0,0,0,331.7151725,27.355014,50.3612365,334.883447,29.502097,52.301853,-4799.943723,-32.13561969,-61.19200672,-37.086925,-11.37883611,-10.70842778,-19.72472963,48.59443369,12.98482062,18.80200965,26.79375466,0.124464188,-0.123744082,0.058894263,0.019871456,-0.983590582,-0.551825301,1.12387287,-0.137181004,0.515690412,0.810986931,2.632656983,0.28142461,1.617386325,2.308960024,0.088888889,0.077777778,0.088888889,0.085185185,718759.2637,62426.26391,89323.26316,1345269.237,107310.052,168546.9573,360.0963634,361.2117806,360.770571,cement
