Accelerometer_Avg_x,Accelerometer_Avg_y,Accelerometer_Avg_z,Accelerometer_Avg_total,Accelerometer_Deviation_x,Accelerometer_Deviation_y,Accelerometer_Deviation_z,Accelerometer_Deviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometer_Dc_x,Accelerometer_Dc_y,Accelerometer_Dc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscope_Avg_x,Gyroscope_Avg_y,Gyroscope_Avg_z,Gyroscope_Avg_total,Gyroscope_Deviation_x,Gyroscope_Deviation_y,Gyroscope_Deviation_z,Gyroscope_Deviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscope_Dc_x,Gyroscope_Dc_y,Gyroscope_Dc_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,Magnetometer_Avg_x,Magnetometer_Avg_y,Magnetometer_Avg_z,Magnetometer_Avg_total,Magnetometer_Deviation_x,Magnetometer_Deviation_y,Magnetometer_Deviation_z,Magnetometer_Deviation_total,Magnetometer_Skewness_x,Magnetometer_Skewness_y,Magnetometer_Skewness_z,Magnetometer_Skewness_total,Magnetometer_Kurtosis_x,Magnetometer_Kurtosis_y,Magnetometer_Kurtosis_z,Magnetometer_Kurtosis_total,Magnetometer_Correlation_x_y,Magnetometer_Correlation_x_z,Magnetometer_Correlation_x_total,Magnetometer_Correlation_y_z,Magnetometer_Correlation_y_total,Magnetometer_Correlation_z_total,Magnetometer_Zero_x,Magnetometer_Zero_y,Magnetometer_Zero_z,Magnetometer_Zero_total,Magnetometer_Dc_x,Magnetometer_Dc_y,Magnetometer_Dc_z,Magnetometer_Energy_x,Magnetometer_Energy_y,Magnetometer_Energy_z,Magnetometer_Entropy_x,Magnetometer_Entropy_y,Magnetometer_Entropy_z,class
-0.947205556,-0.08145,0.240272222,-0.262794444,0.110274768,0.23568143,0.12360611,0.156520769,-0.86505131,-0.462661377,-0.112828039,-0.480180242,0.549805373,-0.305425577,-0.805895822,-0.187172009,0.031719032,-0.21112081,0.585574255,0.571314293,1.979272001,1.501225569,0,0.069444444,0.005555556,0.025,325.374417,8.011575,22.7565995,327.3692,22.384742,26.283316,-3611.707712,-23.86890678,-28.35337343,-40.37372778,-0.847966667,3.495072222,-12.57554074,50.32039989,24.47119027,21.68152061,32.15770359,-0.31112071,-0.762946128,-0.351066872,-0.47504457,-0.034043123,1.995413559,0.523974868,0.828448435,0.498840792,-0.388689448,1.682341818,0.140617632,1.636368789,0.173009648,0.044444444,0.077777778,0.072222222,0.064814815,1040877.099,104265.6062,81412.97877,1498384.994,215840.9522,173629.3917,360.0865139,360.6014453,360.7479682,-0.441305556,0.304752778,-0.256955556,-0.131169444,0.03693058,0.140697716,0.132299631,0.103309309,-0.256537902,-0.115221836,-0.130235602,-0.16733178,-1.500711416,-1.194194291,-1.051416798,-1.248774168,0.138232082,-0.295346407,0.167509566,0.653633426,2.24837597,2.065225768,0,0,0,0,70.267244,37.4131395,28.598841,70.601206,40.561237,30.070566,-87.82494843,-45.71156357,-32.81127006,cement
-0.940702778,0.169355556,0.280983333,-0.16345463,0.083004739,0.086645486,0.077678395,0.082442873,-0.767240452,0.004194252,0.589193119,-0.057951027,0.994298023,1.048757194,0.337382574,0.793479264,-0.115532934,-0.304539676,0.598452921,0.021225214,0.954654325,0.657900745,0,0.027777778,0,0.009259259,319.5507805,11.8052545,29.502161,321.052141,13.027948,30.594804,-2967.525654,-13.51711544,-33.43641683,13.30245556,1.588977778,-7.188616667,2.567605556,57.61424486,11.66453779,20.64415579,29.97431281,-0.043717425,0.079986374,0.570285963,0.202184971,-0.672180731,-0.604119857,-0.394884495,-0.557061694,-0.736141439,-0.769444141,1.105712439,0.632718529,-0.590030389,-0.544013077,0.030555556,0.072222222,0.027777778,0.043518519,906366.3125,34683.98813,144460.1805,1258688.352,49891.0652,172028.656,360.1029938,362.6165397,360.7549427,-0.417619444,0.184619444,-0.345477778,-0.192825926,0.063194999,0.074445746,0.124459251,0.087366665,0.110063491,-0.485695634,-0.140234481,-0.171955541,-1.554113439,-0.820662522,-1.815468265,-1.396748075,-0.261004579,-0.923957146,-0.815307473,-0.005020274,0.656162644,0.751957752,0,0,0,0,62.8248295,13.9322475,43.164176,64.223859,14.265543,48.5442,-78.16921663,-14.85416156,-56.11040796,cement
-0.407325,-0.085275,0.77355,0.09365,0.376724136,0.163139901,0.310569419,0.283477819,-0.534221342,-0.839286995,0.033502554,-0.446668594,-1.548969072,2.033025989,-1.154172395,-0.223371826,-0.456226381,0.88224516,2.032941341,-0.469903434,-0.54561315,1.997590035,0.016666667,0.083333333,0,0.033333333,74.0900935,6.143374,226.0975595,110.820503,12.199123,250.139868,-160.1069974,-12.62700749,-819.6818158,-2.539975,0.227194444,31.20907222,9.632097222,13.25804701,13.50182158,58.81362292,28.52449717,-0.176447018,-0.473368298,1.04291481,0.131033164,-0.108642757,0.71246509,0.921093322,0.508305218,0.021737029,-0.671196533,-0.908831561,-0.260118515,-0.052884373,1.626769919,0.108333333,0.102777778,0.083333333,0.098148148,26738.94613,28311.17713,814031.1454,65601.82205,65646.28921,1595897.435,361.9864559,361.9851029,360.0812265,-0.195383333,0.263080556,-0.524647222,-0.152316667,0.146889784,0.101439564,0.011244035,0.086524461,0.206115498,0.822020166,0.040555156,0.356230273,-1.107949135,-0.917456477,0.78948817,-0.411972481,0.600250368,-0.573878387,2.326812654,-0.068332642,2.18252589,-0.924414547,0.005555556,0,0,0.001851852,14.421029,26.450453,99.104448,21.510452,28.620491,99.137209,-22.87740572,-31.09237741,-136.8129012,cement
-0.140933333,-0.184911111,0.960283333,0.21147963,0.099337058,0.150063183,0.178565232,0.142655157,0.113532536,-0.543099401,0.45208152,0.007504885,-0.396118094,1.915374791,-0.112946425,0.46877009,0.164442437,0.151146365,1.058519734,0.055322685,1.235686965,1.415171864,0.05,0.080555556,0,0.043518519,8.6449195,16.0352285,335.562465,10.70282,20.415988,343.450664,-11.03076526,-21.64340905,-7471.129902,-7.928141667,-5.905975,63.09725833,16.42104722,15.49587387,15.24324341,64.07675675,31.60529135,0.046721865,0.158579734,-0.075961385,0.043113405,-0.203297944,-0.409828785,-0.354252338,-0.322459689,0.274346154,-0.59157497,-0.576751728,-0.441960825,-0.279223481,1.524202662,0.105555556,0.072222222,0.044444444,0.074074074,79153.8989,69615.86704,2595994.058,109071.9134,96205.32378,2911354.116,361.1921417,361.3521786,360.0445209,-0.114497222,0.29015,-0.528038889,-0.117462037,0.097607234,0.098734632,0.016032039,0.070791302,0.568002432,0.498368049,-0.670263789,0.132035564,-1.272290241,-1.172560955,-0.083956862,-0.842936019,0.270965187,-0.694379157,1.599470079,0.397288742,1.858309421,-0.176832923,0.005555556,0,0,0.001851852,6.4315895,33.073413,100.3972125,8.149243,33.816798,100.469554,-8.337988257,-37.32272908,-139.3633772,cement
-0.127655556,-0.168305556,0.977183333,0.227074074,0.10522578,0.150197559,0.161967691,0.139130343,0.231502925,-0.433469333,0.681031247,0.159688279,-0.600326887,0.951453219,0.67644727,0.342524534,0.053733446,0.188970586,1.034307386,0.060460241,1.190569248,1.372333632,0.041666667,0.080555556,0,0.040740741,8.4683205,14.5146955,348.9408885,9.852626,18.318984,353.203488,-10.12986423,-19.30114326,-18708.6046,-6.843713889,-5.075872222,59.26763333,15.78268241,14.24418676,14.22649978,64.71712405,31.06260353,-0.032638016,0.093903454,0.02756406,0.029609833,-0.051794388,-0.541191949,-0.926083023,-0.506356453,-0.043305619,-0.449629239,-0.498046206,-0.360777131,-0.313522074,1.712024086,0.113888889,0.1,0.061111111,0.091666667,53224.72404,40893.70626,2024161.832,89903.97941,82136.79898,2772345.062,361.4473335,361.5848016,360.0467535,-0.062075,0.348261111,-0.532705556,-0.082173148,0.090605294,0.094637018,0.014874922,0.066705745,-0.118174589,-0.486668229,-0.14826761,-0.251036809,-1.360067712,-1.339699415,-0.651421623,-1.117062917,0.316614172,-0.574277574,1.679411298,0.40868011,1.939908225,0.022765658,0.013888889,0,0,0.00462963,2.1357595,46.7173305,102.1766515,4.342545,46.887108,102.23873,-4.395567077,-53.90822068,-142.7908188,cement
-0.131252778,-0.1015,0.997216667,0.254821296,0.100888387,0.180659594,0.171013881,0.150853954,-0.134397701,-0.495533912,0.338287092,-0.09721484,-0.322344729,-0.093712503,-0.664150725,-0.360069319,0.061520694,0.05076041,0.800001738,-0.06301696,1.1672849,1.09211853,0.036111111,0.144444444,0,0.060185185,8.5880955,8.827485,361.6854615,9.866073,15.45845,368.527258,-10.14407918,-16.15201998,15558.32049,-2.894027778,5.660986111,15.69474722,6.153901852,18.58424974,18.21622132,103.5280722,46.77618109,-0.330874885,-0.035013253,0.118696271,-0.082397289,0.602636856,-0.61636334,-0.666320916,-0.226682467,0.326935342,-0.591109827,-0.783661336,-0.532366865,-0.658943187,1.771094283,0.130555556,0.063888889,0.047222222,0.080555556,74532.10497,83019.14906,3086998.84,127349.9046,130995.8939,3947179.256,361.0205536,360.9920704,360.0328366,-0.064783333,0.291394444,-0.529816667,-0.101068519,0.090913682,0.108512723,0.02226681,0.073897738,-0.283648623,0.294844921,0.332832453,0.11467625,-1.33754433,-1.376907862,-0.525052903,-1.079835032,0.422081994,-0.020758711,1.84380092,0.631161707,2.177870564,1.202589374,0.011111111,0,0,0.003703704,2.5533665,33.2631755,101.08,4.486384,34.806864,101.232544,-4.54299967,-38.53239707,-140.8357774,cement
-0.138352778,-0.1271,0.986005556,0.240184259,0.104355219,0.172640349,0.157682258,0.144892608,-0.020140857,-0.637323658,0.424271249,-0.077731089,0.68749708,2.495144723,-0.284718305,0.965974499,0.041246742,0.199835767,0.986845548,0.039057941,1.263718059,1.278734241,0.033333333,0.097222222,0,0.043518519,9.730245,10.8924,355.785671,10.811341,16.545276,358.945434,-11.14607436,-17.3423131,-122534.1574,-2.693663889,3.460969444,19.183775,6.650360185,17.1400923,19.19028042,95.00639987,43.7789242,0.082561605,0.290049198,-0.205476965,0.055711279,-0.321220526,0.274530707,-0.815673245,-0.287454355,0.37044312,-0.713075218,-0.993576485,-0.572818532,-0.659717373,1.63986845,0.102777778,0.077777778,0.041666667,0.074074074,47053.20215,43209.69281,1307629.803,108373.8922,136888.2619,3381923.966,361.1998457,360.949254,360.0383255,-0.086327778,0.312108333,-0.529791667,-0.101337037,0.103310096,0.092386218,0.01980596,0.071834091,0.056689016,0.036976205,0.123526387,0.072397203,-1.536247642,-1.161894829,-0.672791729,-1.123644734,0.386964765,-0.38595742,1.829438469,0.366175685,1.943590341,0.191583803,0.013888889,0,0,0.00462963,2.954265,35.958673,101.090398,6.525166,38.140857,101.185735,-6.645620944,-42.66061356,-140.7451966,cement
-0.112441667,-0.067061111,0.989013889,0.269837037,0.082250207,0.168610635,0.156523879,0.135794907,0.160273381,-0.304267882,0.242566506,0.032857335,-0.150373834,0.146280634,-0.106546506,-0.036879902,-0.077325595,0.064877611,0.584463633,-0.095064866,1.085244434,1.073907202,0.044444444,0.122222222,0,0.055555556,5.5651535,5.648996,357.442872,6.986961,11.853626,360.953351,-7.125249444,-12.25721616,136301.5367,3.731075,7.938033333,-29.18731111,-5.839400926,14.6519476,15.16051764,82.28684932,37.36643818,0.256709994,-0.066744504,0.801355006,0.330440165,0.034247598,-0.026208102,0.398607638,0.135549045,0.128636855,-0.607906489,-0.894400494,-0.402421277,-0.430029772,1.800517355,0.108333333,0.063888889,0.036111111,0.069444444,42790.56332,67502.03676,1376048.41,82296.17606,105427.3205,2744288.892,361.5817189,361.2334949,360.0472315,-0.055861111,0.344241667,-0.525386111,-0.079001852,0.083289706,0.108545126,0.028343495,0.073392776,-0.487629469,-0.301588608,0.24975684,-0.179820412,-0.902309844,-1.567182546,-1.191975506,-1.220489298,0.164315082,-0.130909486,1.327308775,0.846273637,1.992256486,1.489233235,0.013888889,0,0,0.00462963,1.9963845,44.943085,99.4875385,3.62075,46.902373,99.660211,-3.657536178,-53.92840068,-137.8109589,cement
-0.123366667,-0.148147222,0.977055556,0.235180556,0.100179001,0.150336245,0.165933562,0.138816269,0.272471949,-0.317409005,0.596145631,0.183736192,-0.654948827,0.536985657,0.374717704,0.085584845,0.01879352,0.233462241,1.021087586,-0.089625211,0.98941667,1.266765481,0.058333333,0.083333333,0,0.047222222,6.5350145,12.6170965,346.1003045,9.09186,16.037491,353.581742,-9.32742569,-16.78525016,-19832.39488,-7.107025,-2.595075,57.07817778,15.79202593,14.11324658,12.48301562,60.24257509,28.9462791,-0.133348586,-0.241029094,-0.063936942,-0.146104874,0.243315879,-0.24771883,-0.544263632,-0.182888861,-0.061817341,-0.583738754,-0.753960325,-0.189838152,0.00601919,1.71470652,0.111111111,0.094444444,0.044444444,0.083333333,46343.21247,30317.46786,2116161.976,89889.67204,58521.63358,2479351.043,361.4475648,362.228273,360.0522793,-0.108330556,0.278491667,-0.530869444,-0.120236111,0.090100001,0.103798175,0.013798034,0.06923207,0.766268373,0.512080951,-0.093312962,0.395012121,-0.894242604,-1.293761292,-0.720584194,-0.969529364,0.368799567,-0.787985879,1.697306864,0.06668962,1.992533259,-0.726213072,0.005555556,0,0,0.001851852,6.735121,29.9593845,101.482895,7.147267,31.799401,101.524591,-7.292039651,-34.88044932,-141.4016633,cement
-0.371319444,0.035325,0.883686111,0.182563889,0.252319497,0.218521541,0.186000026,0.218947021,0.096599672,-0.357856941,0.02917412,-0.07736105,-0.953111625,1.077532023,-0.257382838,-0.044320813,-0.490464173,0.285806014,0.905709678,-0.260385938,0.211631453,0.919010081,0.022222222,0.125,0,0.049074074,55.642746,7.1481945,287.0775895,72.555573,17.639827,293.578975,-90.86976064,-18.54870461,-1591.189401,-10.40130278,7.183294444,23.07508333,6.619025,46.43132564,29.39568908,81.10639832,52.31113768,-0.700473941,0.522812339,-0.565874545,-0.247845382,1.198542401,0.934338566,0.440358061,0.857746343,-0.720220562,-0.670386606,-0.556529612,0.657328177,0.941834125,1.324805333,0.111111111,0.094444444,0.069444444,0.091666667,331878.4285,173286.8424,971184.4554,815059.8361,329654.252,2559854.635,360.159077,360.393569,360.050635,-0.195405556,0.290766667,-0.479394444,-0.128011111,0.163817266,0.134311913,0.067097773,0.121742317,0.095583618,-0.389141576,0.727385428,0.144609157,-1.384154536,-1.096711624,-0.643225666,-1.041363942,0.521347222,-0.820573916,1.468525743,-0.415765588,1.575628337,-1.011716199,0.016666667,0,0,0.005555556,14.265417,34.177899,83.193839,23.406994,36.93058,84.355612,-25.03473836,-41.15217342,-110.1710089,cement
