Accelerometer_Avg_x,Accelerometer_Avg_y,Accelerometer_Avg_z,Accelerometer_Avg_total,Accelerometer_Deviation_x,Accelerometer_Deviation_y,Accelerometer_Deviation_z,Accelerometer_Deviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometer_Dc_x,Accelerometer_Dc_y,Accelerometer_Dc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscope_Avg_x,Gyroscope_Avg_y,Gyroscope_Avg_z,Gyroscope_Avg_total,Gyroscope_Deviation_x,Gyroscope_Deviation_y,Gyroscope_Deviation_z,Gyroscope_Deviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscope_Dc_x,Gyroscope_Dc_y,Gyroscope_Dc_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,Magnetometer_Avg_x,Magnetometer_Avg_y,Magnetometer_Avg_z,Magnetometer_Avg_total,Magnetometer_Deviation_x,Magnetometer_Deviation_y,Magnetometer_Deviation_z,Magnetometer_Deviation_total,Magnetometer_Skewness_x,Magnetometer_Skewness_y,Magnetometer_Skewness_z,Magnetometer_Skewness_total,Magnetometer_Kurtosis_x,Magnetometer_Kurtosis_y,Magnetometer_Kurtosis_z,Magnetometer_Kurtosis_total,Magnetometer_Correlation_x_y,Magnetometer_Correlation_x_z,Magnetometer_Correlation_x_total,Magnetometer_Correlation_y_z,Magnetometer_Correlation_y_total,Magnetometer_Correlation_z_total,Magnetometer_Zero_x,Magnetometer_Zero_y,Magnetometer_Zero_z,Magnetometer_Zero_total,Magnetometer_Dc_x,Magnetometer_Dc_y,Magnetometer_Dc_z,Magnetometer_Energy_x,Magnetometer_Energy_y,Magnetometer_Energy_z,Magnetometer_Entropy_x,Magnetometer_Entropy_y,Magnetometer_Entropy_z,class
-0.503688889,-0.826630556,0.226994444,-0.367775,0.126935364,0.123387667,0.126570621,0.125631217,-0.314865972,-0.308209298,0.296473374,-0.108867299,0.91376279,0.355689308,0.416977277,0.562143125,-0.187170819,0.034275466,0.861084231,-0.011831156,0.781108359,1.030488872,0,0,0.022222222,0.007407407,94.1349,249.4901605,21.737782,97.13343,251.475333,24.316776,-133.0257963,-834.1985503,-26.0782748,-25.583475,-34.45055,13.13886389,-15.63172037,25.64506593,36.70025337,20.81753967,27.72095299,-0.287491675,-0.064426474,0.376567028,0.008216293,-0.098361275,-0.099328573,0.604307909,0.135539353,0.617108554,-0.331141301,1.493439244,-0.449933172,1.556928482,-0.151050444,0.055555556,0.044444444,0.083333333,0.061111111,389546.7866,831278.3599,149907.7965,472386.0959,912149.6373,218159.8928,360.2745611,360.142138,360.5950416,-0.268880556,0.571138889,-0.264108333,0.012716667,0.095535448,0.072191048,0.084849913,0.084192136,0.280670142,0.238785769,-0.411619824,0.035945362,-1.702893837,-1.366102408,-0.980733411,-1.349909885,0.885785888,-0.395487055,1.49567671,0.051485227,1.914472346,0.603187597,0,0,0,0,29.2319975,118.716256,25.9033115,29.312559,119.308024,27.702979,-31.91086183,-178.4475301,-30.01252437,cement
-0.491144444,-0.822702778,0.282333333,-0.343837963,0.137288367,0.099494461,0.129619893,0.12213424,-0.606860863,-0.401074014,0.125328497,-0.294202127,0.782559296,0.273035991,0.417308398,0.490967895,-0.197848339,-0.108281795,0.847985613,-0.15689848,0.425720266,0.811758702,0,0,0.022222222,0.007407407,90.401906,245.2516875,31.9437165,93.625546,247.226043,34.744834,-126.5331418,-789.2014952,-38.45639223,0.005436111,4.423925,-1.429136111,1.000075,34.09332459,53.73891114,24.96429115,37.59884229,-0.196055583,-0.244766042,0.024373793,-0.138815944,-0.622339505,-0.700458688,-0.690232982,-0.671010392,0.878580075,-0.793707545,1.635500222,-0.824679656,1.678378373,-1.234432278,0.063888889,0.025,0.063888889,0.050925926,131014.5055,312948.3479,72351.03021,418447.7319,1046679.006,225092.9746,360.3099828,360.1238628,360.5766844,-0.234572222,0.577763889,-0.310088889,0.011034259,0.101228731,0.059637352,0.078448694,0.079771592,-0.02822205,0.247523618,-0.04749165,0.057269973,-1.724002604,-1.111251236,-1.273341049,-1.36953163,0.825620885,-0.41299983,1.480066686,0.1281576,1.921331866,0.555137794,0,0,0,0,21.7396755,120.6707515,34.913132,23.497698,121.452381,36.831354,-25.13852425,-183.2877534,-41.02900329,cement
-0.898975,-0.245355556,0.214027778,-0.310100926,0.219232403,0.263997667,0.136512675,0.206580915,0.50847966,-1.619872718,-0.131494634,-0.414295897,0.343364327,1.505208477,-0.559911512,0.429553764,-0.746679598,0.13943322,0.199171997,-0.337010222,0.262827461,0.378113546,0,0.061111111,0.038888889,0.033333333,299.0859005,32.7338375,20.403354,308.238803,46.761882,23.199696,-2143.806085,-53.74274889,-24.79775244,43.15089167,9.486563889,-13.12257778,13.17162593,53.11041459,17.83593139,20.00474461,30.31703019,0.509136891,0.147321758,-0.684957182,-0.009499511,-0.79333319,-0.126293366,0.311002942,-0.202874538,0.374720086,-0.866406623,1.400587486,-0.437726693,0.955926739,-1.115469866,0.055555556,0.141666667,0.063888889,0.087037037,905909.6284,81007.52615,107838.1534,1685777.612,146921.5234,206061.0676,360.0768949,360.8842703,360.6300405,-0.380052778,0.416091667,-0.226152778,-0.063371296,0.117731474,0.134004042,0.099986202,0.117240573,1.692667454,0.389652194,0.257991728,0.780103792,1.340563,-0.857992426,-1.55317076,-0.356866729,0.854198011,-0.578043517,1.487548898,-0.570131116,1.514533614,-0.379284974,0,0,0,0,53.4604835,63.266946,20.001301,56.988293,68.792169,22.011235,-67.70624701,-85.04297688,-23.44469823,cement
-0.976644444,-0.102305556,0.195627778,-0.294440741,0.136082415,0.102056199,0.143932528,0.127357047,-0.767969292,0.027416641,0.059488995,-0.227021219,0.505636316,0.43791463,-0.569186628,0.124788106,-0.026292558,-0.085871732,0.950393899,-0.444330391,0.271085492,0.68233542,0,0.091666667,0.1,0.063888889,347.667622,5.5126445,16.8512815,350.047006,7.517482,21.235248,-12661.20749,-7.677809201,-22.5663657,59.99565556,12.72655,-18.11406389,18.20271389,48.85702469,18.0647181,18.95597605,28.62590628,-0.044875157,0.372392587,-0.192124657,0.045130924,-0.874313029,-0.186056251,-0.858324232,-0.639564504,0.10583923,-0.812424082,1.235548274,-0.131749508,0.724458022,-0.807543519,0.019444444,0.141666667,0.061111111,0.074074074,1988534.054,134373.2361,210706.5394,2155135.517,175787.6814,247481.4019,360.0601455,360.738766,360.5244386,-0.425216667,0.351916667,-0.237580556,-0.103626852,0.033939124,0.103010591,0.095420002,0.077456573,-0.148484106,0.154202224,0.377673843,0.12779732,-1.636158956,-1.583151075,-1.297649031,-1.505653021,0.751055461,-0.878084286,0.355282787,-0.377569663,1.193869736,0.345030967,0,0,0,0,65.1079785,45.9692975,21.116055,65.505988,48.404348,23.597819,-80.0768597,-55.9236471,-25.25315031,cement
-0.978861111,-0.046288889,0.193080556,-0.277356481,0.140610031,0.092408873,0.145919733,0.126312879,-0.612760179,0.090388925,-0.116033039,-0.212801431,-0.044837458,0.023520648,-0.578149298,-0.199822036,-0.035638992,-0.07751503,0.997568102,-0.431439406,0.193504818,0.753300168,0,0.172222222,0.083333333,0.085185185,349.715493,2.523193,17.196458,352.058492,3.845542,21.086161,-15959.3187,-3.887063854,-22.39807611,57.46188889,6.821297222,-16.47141111,15.93725833,51.11383632,16.99534551,18.54731633,28.88549939,0.049826638,0.114292705,0.240726144,0.134948496,-0.86470833,0.323183361,-0.142488477,-0.228004482,0.062540463,-0.786523017,1.3013049,-0.177430298,0.585109242,-0.854074956,0.030555556,0.191666667,0.058333333,0.093518519,1363571.64,60940.14132,126856.557,2129217.458,120733.8713,221511.7178,360.0608777,361.0766456,360.586023,-0.423763889,0.377658333,-0.2242,-0.090101852,0.026925872,0.106920414,0.093218048,0.075688111,-0.255096676,-0.581911194,0.493492376,-0.114505165,-1.37490576,-1.308682705,-1.208239264,-1.29727591,0.745144009,-0.882251254,0.321784201,-0.413644656,1.168280161,0.333415713,0,0,0,0,64.7234285,54.3291955,18.472781,64.908301,55.460805,21.223888,-79.18551569,-65.56098567,-22.5535373,cement
-0.983583333,-0.015436111,0.163172222,-0.278615741,0.165823446,0.095687404,0.135489927,0.132333592,-0.429752937,0.12895291,-0.405598425,-0.235466151,-0.604953813,-0.248379396,-0.031153081,-0.294828763,0.191151029,-0.225317361,1.160596916,-0.444828878,0.507164453,0.419866977,0,0.161111111,0.075,0.078703704,352.769346,1.851274,12.1367115,358.176092,3.381967,16.19377,-70696.21555,-3.414039693,-16.95651996,49.63109722,6.4628,-12.67429722,14.4732,49.92712338,18.9376037,18.48234985,29.11569231,0.50218384,0.405486423,-0.420885039,0.162261741,-0.563872262,0.406875803,0.695446653,0.179483398,-0.076433361,-0.790686434,1.163149927,-0.088605858,0.463113199,-0.778698019,0.075,0.169444444,0.061111111,0.101851852,1306519.326,77770.46263,106404.287,1784146.846,144144.2224,180804.6238,360.0726544,360.9013506,360.7182259,-0.434052778,0.315255556,-0.185019444,-0.101272222,0.020686684,0.115249831,0.095086815,0.077007777,0.214871188,0.224910239,-0.064747362,0.125011355,-1.496840294,-1.701887742,-1.274691193,-1.491139743,0.712458949,-0.892126274,0.23332723,-0.479593436,1.095801429,0.277356644,0,0,0,0,67.9725215,38.919443,15.039581,67.978711,40.560692,15.578531,-83.80325984,-45.71087137,-16.2831637,cement
-0.9942,0.003772222,0.123483333,-0.288981481,0.138775234,0.093905439,0.12886304,0.120514571,-0.3427251,-0.313467117,-0.121792768,-0.259328328,-0.106541327,0.207087168,-0.440887403,-0.113447187,0.009822933,-0.260145163,0.881010184,-0.268866013,0.503024045,0.560209049,0,0.177777778,0.122222222,0.1,359.100286,2.053135,9.550839,362.769194,3.179686,11.467374,47160.62141,-3.208020718,-11.84467201,59.80172222,6.507647222,-12.67080278,17.87952222,48.73101079,20.89905804,16.58214594,28.73740492,-0.188354239,0.13083369,0.031565242,-0.008651769,-0.746624649,0.350787634,-0.515000011,-0.303612342,-0.035651934,-0.760130343,1.231194214,-0.121933835,0.596427502,-0.800631663,0.047222222,0.180555556,0.069444444,0.099074074,1801289.752,91466.02859,110173.5205,2142344.662,172483.2357,156786.0505,360.0605046,360.7529489,360.8285065,-0.428438889,0.316175,-0.211177778,-0.107813889,0.01897591,0.110974096,0.089389171,0.073113059,-0.061671427,0.075857142,0.347478314,0.120554676,-1.229479558,-1.644517017,-0.963703745,-1.27923344,0.557237078,-0.88770001,0.020024089,-0.257496835,1.347649093,0.601380632,0,0,0,0,66.0986505,37.652956,17.04595,66.211188,40.421477,18.931132,-81.13320421,-45.53413535,-19.98191028,cement
-0.995855556,0.029025,0.150044444,-0.272262037,0.134215048,0.110010742,0.137902213,0.127376001,-0.339148246,0.196635322,-0.397549701,-0.180020875,-0.595374614,-0.264880227,-0.78878573,-0.54968019,0.056192335,-0.300239782,0.777172134,-0.548450765,0.329104574,0.292598608,0,0.152777778,0.119444444,0.090740741,360.8304355,1.788131,10.9251835,363.507108,4.660133,14.950928,37313.5241,-4.721248686,-15.59874962,52.73666111,3.433977778,-11.37145833,14.93306019,43.68403283,19.78251086,14.94107323,26.1358723,0.383410034,0.192382884,0.205605934,0.260466284,-0.701896048,0.295712694,-0.166326337,-0.190836564,-0.099166732,-0.749591631,1.167841734,0.008765939,0.596172204,-0.674578591,0.05,0.202777778,0.044444444,0.099074074,1495740.709,65676.99346,108973.5266,1688202.054,145130.3781,126916.4642,360.0767844,360.8952108,361.0240488,-0.428188889,0.352841667,-0.19945,-0.091599074,0.015472301,0.111363494,0.080488286,0.069108027,-0.241540086,-0.628251014,0.517329718,-0.117487127,-1.109516267,-1.379174179,-0.52182797,-1.003506139,0.582465749,-0.893751741,0.12156585,-0.356391416,1.326766933,0.39027155,0,0,0,0,66.0420975,49.231726,14.7375685,66.090642,49.283665,16.65312,-80.95227482,-57.10069733,-17.46083494,cement
-0.984172222,0.035363889,0.128177778,-0.273543519,0.152351579,0.099301971,0.136394634,0.129349395,-0.298258243,-0.009586118,-0.172063415,-0.159969259,-0.192215721,0.110194061,-0.72554989,-0.269190517,-0.011141441,-0.157952293,1.002721096,-0.470278341,0.258687818,0.507391524,0,0.127777778,0.116666667,0.081481481,354.529885,2.1013345,8.579935,357.050148,4.000135,12.611894,-43574.40756,-4.045081871,-13.06976768,56.52772222,5.019077778,-12.18447222,16.45410926,47.94708839,20.0327902,14.84043195,27.60677018,0.31218551,0.534567932,-0.114182958,0.244190161,-0.647780559,1.030370435,-0.093876987,0.096237629,-0.083819396,-0.779631941,1.256861162,-0.046704955,0.554964323,-0.850381267,0.033333333,0.158333333,0.058333333,0.083333333,1369187.163,98029.657,71889.7452,1977950.399,153541.377,132731.9222,360.0655343,360.8460558,360.9790596,-0.433619444,0.289866667,-0.170841667,-0.104864815,0.015410031,0.116936421,0.088272337,0.073539597,0.233445188,0.155794563,-0.068806894,0.106810952,-0.948021309,-1.656668994,-1.155417014,-1.253369106,0.388007331,-0.926822796,-0.285976468,-0.334214723,1.270250534,0.47468434,0,0,0,0,67.7575635,32.964396,12.73073,67.774785,35.170852,13.312397,-83.49355684,-38.9789734,-13.82357742,cement
-0.895952778,-0.215583333,0.248163889,-0.287790741,0.188768157,0.271544837,0.232150295,0.230821096,0.112489167,-0.118619301,1.296514743,0.430128203,0.141688533,-1.342982692,2.973785821,0.590830554,-0.364225017,0.161089964,0.551343959,-0.641154206,0.233716133,0.383226824,0,0.072222222,0.047222222,0.039814815,293.597771,20.2326915,29.5610195,301.811327,43.276598,41.572467,-1867.237593,-49.18984572,-46.99998137,37.21781667,12.50252778,-13.52273333,12.06587037,52.20767217,35.98045087,26.89345428,38.36052577,0.379636875,-0.037727833,-1.057098517,-0.238396491,-0.876988719,1.416486845,1.761465805,0.766987977,0.368305331,-0.681379234,1.228732449,-0.600915163,1.017924796,-0.789899702,0.088888889,0.141666667,0.1,0.110185185,1368767.767,255149.5231,221777.3473,1479890.488,522326.1765,326203.9919,360.0875954,360.248292,360.3977363,-0.395055556,0.375363889,-0.298961111,-0.106217593,0.048541359,0.09517515,0.057450352,0.067055621,1.412682032,-0.09484628,-0.386805764,0.310343329,0.549795024,0.440697688,-0.747312836,0.081059959,0.488093656,-0.697314816,0.819241767,-0.015033391,1.759795904,0.330635036,0,0,0,0,56.4985045,50.883174,32.6489755,57.033056,53.984289,33.364184,-67.76944009,-63.50766755,-36.77216536,cement
