Accelerometer_Avg_x,Accelerometer_Avg_y,Accelerometer_Avg_z,Accelerometer_Avg_total,Accelerometer_Deviation_x,Accelerometer_Deviation_y,Accelerometer_Deviation_z,Accelerometer_Deviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometer_Dc_x,Accelerometer_Dc_y,Accelerometer_Dc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscope_Avg_x,Gyroscope_Avg_y,Gyroscope_Avg_z,Gyroscope_Avg_total,Gyroscope_Deviation_x,Gyroscope_Deviation_y,Gyroscope_Deviation_z,Gyroscope_Deviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscope_Dc_x,Gyroscope_Dc_y,Gyroscope_Dc_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,Magnetometer_Avg_x,Magnetometer_Avg_y,Magnetometer_Avg_z,Magnetometer_Avg_total,Magnetometer_Deviation_x,Magnetometer_Deviation_y,Magnetometer_Deviation_z,Magnetometer_Deviation_total,Magnetometer_Skewness_x,Magnetometer_Skewness_y,Magnetometer_Skewness_z,Magnetometer_Skewness_total,Magnetometer_Kurtosis_x,Magnetometer_Kurtosis_y,Magnetometer_Kurtosis_z,Magnetometer_Kurtosis_total,Magnetometer_Correlation_x_y,Magnetometer_Correlation_x_z,Magnetometer_Correlation_x_total,Magnetometer_Correlation_y_z,Magnetometer_Correlation_y_total,Magnetometer_Correlation_z_total,Magnetometer_Zero_x,Magnetometer_Zero_y,Magnetometer_Zero_z,Magnetometer_Zero_total,Magnetometer_Dc_x,Magnetometer_Dc_y,Magnetometer_Dc_z,Magnetometer_Energy_x,Magnetometer_Energy_y,Magnetometer_Energy_z,Magnetometer_Entropy_x,Magnetometer_Entropy_y,Magnetometer_Entropy_z,class
-0.974305556,-0.135063889,0.2008,-0.302856481,0.142226525,0.095501331,0.141416481,0.126381446,-0.71545126,-0.166097164,0.08469759,-0.265616945,0.782558221,-0.142632225,-0.681581463,-0.013885155,0.041739805,-0.155869366,0.982503674,-0.287738229,0.480663205,0.726121927,0,0.066666667,0.05,0.038888889,344.7694075,7.791038,19.76281,349.019892,9.850593,21.714934,-11443.16259,-10.12771522,-23.10884229,49.74209444,11.74071111,-15.484725,15.33269352,53.40956025,17.18092182,20.31877671,30.30308626,0.182751317,0.092528614,-0.45643763,-0.0603859,-0.895781807,0.017838334,0.024949483,-0.28433133,0.28914161,-0.845243723,1.359695208,-0.326635491,0.857569893,-1.004426328,0.052777778,0.158333333,0.061111111,0.090740741,1421106.537,106313.1272,148182.9451,1917668.551,155890.2139,234946.5823,360.0675948,360.8332786,360.5524613,-0.432011111,0.355558333,-0.207855556,-0.094769444,0.033153848,0.09963292,0.094862071,0.075882946,0.27843983,0.233303629,-0.121265702,0.130159252,-1.58480677,-1.553788004,-1.443046436,-1.527213736,0.774197184,-0.878791657,0.354827792,-0.441571676,1.099221058,0.286384107,0,0,0,0,67.509565,48.8450355,17.017654,67.5838,49.085441,18.792988,-83.2038991,-56.83477421,-19.82806754,cement
-0.537308333,0.754527778,0.3479,0.188373148,0.09790745,0.121409703,0.137988792,0.119101982,-0.003349087,0.285385044,-0.141127088,0.046969623,-0.0905922,0.056799431,-0.518489929,-0.184094232,-0.237748227,-0.217648831,0.327529476,0.110425648,0.951872338,1.092224437,0,0,0.002777778,0.000925926,105.7816085,207.48863,47.8891985,107.383001,210.258894,50.427114,-153.0296081,-505.4938077,-58.64131473,34.86026389,-40.16391389,-25.57666389,-10.29343796,29.09352458,41.34849663,25.2677587,31.90325997,0.170191973,-0.12526972,0.152084984,0.065669079,-0.372142679,-0.662665123,-0.240347918,-0.425051907,-0.819926106,-0.821767973,-0.801592756,0.87649611,1.242539118,1.178607718,0.044444444,0.047222222,0.036111111,0.042592593,687117.6664,1041614.649,402020.7976,742201.6216,1196221.735,465345.1315,360.1747004,360.1083737,360.2787186,-0.258961111,0.019161111,-0.308786111,-0.182862037,0.066053544,0.089917256,0.096058005,0.084009602,-0.018368099,-0.058862279,0.425184216,0.115984613,-1.270725297,-1.688911036,-1.327671108,-1.42910248,-0.772102959,0.050473041,0.017575424,-0.666786325,-0.299168722,0.469426481,0,0.002777778,0,0.000925926,24.9947885,0.2636275,35.5736535,25.712614,3.042814,37.647361,-27.69036891,-3.068751892,-42.0441725,cement
-0.541191667,0.755830556,0.350344444,0.188327778,0.10987935,0.124139535,0.136191402,0.123403429,-0.502321543,0.543120422,0.23203663,0.09094517,0.373969746,0.04283069,-0.689431117,-0.090876893,-0.296434518,-0.266323718,0.298282687,0.077726248,0.827798303,0.944680599,0,0,0,0,107.794785,209.531125,47.2651835,109.786281,211.208563,50.864158,-157.9572108,-511.0178664,-59.23317323,32.96558056,-34.547175,-24.13500278,-8.572199074,27.42639024,41.37697216,25.9316763,31.57834623,0.26214811,-0.233944195,0.096261581,0.041488499,-0.524218766,-0.65247127,-0.49515587,-0.557281969,-0.820673824,-0.851265041,-0.905852922,0.899105756,1.335857512,1.259940044,0.033333333,0.066666667,0.038888889,0.046296296,532201.4204,780646.1785,377237.8641,662017.0979,1046002.005,451782.0701,360.1958719,360.123943,360.2870927,-0.283886111,0.041016667,-0.302241667,-0.181703704,0.068639322,0.094324232,0.091032106,0.08466522,0.330826755,-0.494170062,0.434871768,0.090509487,-1.286898263,-1.528180428,-1.262659867,-1.359246186,-0.846688719,0.201730405,0.08433217,-0.682915462,-0.30660925,0.477920775,0,0.005555556,0,0.001851852,30.516036,3.603678,33.8537325,30.708965,3.808594,35.869273,-33.57281622,-3.849317577,-39.83867373,cement
-0.549163889,0.761180556,0.338613889,0.183543519,0.108037356,0.130558302,0.133958092,0.124184583,-0.481755036,0.367063594,0.478630561,0.12131304,-0.193902615,0.021880581,-0.027780118,-0.066600717,-0.475903457,-0.235037261,0.116109953,0.16966669,0.820320637,1.05259992,0,0,0,0,110.0682515,211.614194,44.1039065,112.771097,214.718871,47.737489,-164.2105532,-532.0635522,-55.0354123,33.59541944,-35.84295556,-23.67892222,-8.642152778,26.01483172,40.08245825,24.93876709,30.34535236,0.163619279,-0.18426301,0.069331232,0.016229167,-0.413734318,-0.458257927,-0.175148197,-0.349046814,-0.815925856,-0.825264999,-0.898673827,0.886850649,1.350231354,1.285758381,0.038888889,0.063888889,0.030555556,0.044444444,482179.8497,583884.3334,253817.6713,649952.5237,1040875.532,425748.0462,360.1995097,360.1245536,360.304663,-0.270397222,0.002355556,-0.257613889,-0.175218519,0.066452452,0.092100436,0.098578752,0.085710546,-0.104346261,0.24824791,-0.235705683,-0.030601345,-1.342831101,-1.6088454,-1.551747593,-1.501141365,-0.814800396,0.118839694,0.036448828,-0.66266249,-0.319324642,0.530208229,0,0.008333333,0,0.002777778,26.5393,1.6467415,27.26911,27.911011,3.055694,27.389767,-30.25684167,-3.081852887,-29.64525785,cement
-0.534319444,0.753394444,0.351002778,0.190025926,0.107072123,0.124766493,0.132762099,0.121533572,-0.293835529,0.5333508,0.232074666,0.157196645,-0.208194144,0.330225714,-0.288004305,-0.055324245,-0.175334522,-0.272729298,0.403083158,0.077360092,0.956637246,0.931531426,0,0,0,0,105.248679,206.8178195,48.524012,106.906215,209.941152,50.698341,-152.0631469,-503.6611685,-59.00842181,34.51775278,-39.26133611,-26.03634722,-10.25997685,27.48400931,41.78274375,24.31247063,31.19307456,-0.003172443,-0.058376832,0.124887858,0.021112861,-0.648856785,-0.675356965,-0.183095954,-0.502436568,-0.842394373,-0.831015761,-0.894993059,0.891523153,1.292129743,1.241400846,0.030555556,0.052777778,0.036111111,0.039814815,623253.0802,960527.234,389886.6815,700864.5688,1183410.068,456835.5377,360.1850095,360.1095474,360.2839144,-0.253719444,0.012352778,-0.304372222,-0.181912963,0.071043622,0.09137548,0.093117938,0.085179013,-0.063350039,0.088513537,0.322867995,0.116010498,-1.49269476,-1.679252636,-1.296617921,-1.489521772,-0.785356752,0.030129281,0.024499565,-0.635525856,-0.27703967,0.436574099,0,0.008333333,0,0.002777778,24.4544685,0.4840915,34.078952,24.991471,3.060745,36.472824,-26.85582241,-3.08699081,-40.58458644,cement
-0.543777778,0.748997222,0.352263889,0.185827778,0.101068654,0.126354297,0.142430236,0.123284396,-0.528378954,0.215383168,0.332316275,0.006440163,-0.360368369,-0.359793561,-0.550228405,-0.423463445,-0.411813445,-0.401801073,-0.066467177,0.077560213,0.776901125,0.905392833,0,0,0,0,108.80662,206.4896865,47.9331435,110.127292,207.706409,51.975439,-158.6640872,-490.9878791,-60.74566904,31.22013333,-34.42716389,-23.65005278,-8.952361111,26.89111298,38.56823316,24.60173363,30.02035992,-0.130415007,0.119995686,0.343601227,0.111060635,-0.175401351,-0.141198173,0.735853701,0.139751392,-0.824074912,-0.831468183,-0.84434561,0.874918624,1.263557686,1.198742931,0.033333333,0.061111111,0.038888889,0.044444444,562484.6555,888860.0459,402210.3853,611218.3258,962185.7601,419245.3058,360.2121605,360.1347437,360.3093926,-0.2847,0.047688889,-0.305458333,-0.180823148,0.068636595,0.093354092,0.089421123,0.083803937,0.498436938,-0.547883027,0.557040793,0.169198235,-1.113418285,-1.44635755,-1.090982073,-1.216919303,-0.816659871,0.137637229,0.056151657,-0.676562015,-0.276807948,0.426092638,0,0.005555556,0,0.001851852,30.144568,3.8995345,35.2225395,30.875426,3.956118,36.468335,-33.77187314,-4.000075699,-40.57902833,cement
-0.612227778,0.684330556,0.279730556,0.117277778,0.191075431,0.18116185,0.162618904,0.178285395,-1.010659961,-0.351681529,-0.064619646,-0.475653712,0.581917311,0.066017572,-0.561206034,0.028909617,0.437871661,0.41955135,1.899359462,0.560801287,1.996940113,1.931625738,0,0,0.011111111,0.003703704,140.050658,172.8036595,32.701417,148.079762,180.406053,37.689873,-251.5508421,-361.6278843,-42.09720125,23.96240556,-22.70028889,-16.14602778,-4.961303704,30.12944948,40.0583569,24.73837622,31.64206087,0.089812732,-0.504387152,-0.211490591,-0.208688337,-0.361514771,-0.587221632,-0.238442248,-0.395726217,-0.818804549,-0.794545879,-0.705589005,0.862703528,1.160800215,1.117425072,0.038888889,0.077777778,0.041666667,0.052777778,317822.6673,375494.8997,185580.609,533513.0182,763191.0264,314165.3296,360.2430822,360.1698935,360.4129949,-0.332130556,0.063111111,-0.271166667,-0.180062037,0.117473601,0.104231494,0.091188815,0.10429797,-0.486332775,-0.338268523,-0.183787744,-0.33612968,-0.903581714,-1.270351605,-1.385997579,-1.186643633,-0.869092193,-0.300553301,-0.004988366,-0.187046118,-0.143055605,0.348862402,0,0.005555556,0,0.001851852,41.858088,2.1382675,28.6991415,44.679871,5.344998,29.464834,-51.01086826,-5.425552351,-32.09141214,cement
-0.913761111,0.401133333,0.087241667,-0.14179537,0.133397999,0.143571987,0.115068458,0.130679481,-0.291239202,0.104617693,0.32893509,0.04743786,-0.651027769,-0.565022331,0.00682974,-0.403073453,-0.027256125,-0.067758989,0.931193327,0.312742643,1.346216609,1.154968056,0,0,0.086111111,0.028703704,302.758385,61.311272,5.267579,306.991582,65.347512,7.506669,-2084.894696,-79.8401686,-7.666530406,55.52644167,-27.62758889,-12.76301111,5.045280556,47.75403435,20.29253979,9.535013547,25.86052923,0.224762151,-0.234082065,-0.210836105,-0.07338534,-0.884567307,-0.906872451,-0.085918769,-0.625786175,-0.91522789,-0.600171613,0.907138879,0.616251676,-0.678149936,-0.255999812,0.027777778,0.022222222,0.027777778,0.025925926,1764921.048,392951.2368,78155.11386,1930908.067,423025.502,91371.93695,360.0671312,360.3066255,361.423989,-0.507741667,0.110358333,-0.070036111,-0.155806481,0.048374034,0.086330096,0.104176407,0.079626846,0.466152596,-0.252384577,-0.205344108,0.00280797,-0.914475317,-1.556490968,-1.544320287,-1.338428857,-0.908036796,0.23107337,-0.074654176,-0.595209089,-0.246173895,0.803371017,0,0.002777778,0.008333333,0.003703704,93.425033,5.3358705,2.1388795,93.650993,7.067465,5.672801,-126.5796252,-7.208990806,-5.763622905,cement
-0.909397222,0.393136111,0.097961111,-0.139433333,0.138850861,0.136352712,0.106742726,0.127315433,-0.626044389,-0.049000672,0.625031206,-0.016671285,0.354805534,-0.864251799,0.79066925,0.093740995,-0.112941554,-0.012670854,0.959023188,0.337766942,1.230996433,1.186335404,0,0,0.05,0.016666667,300.402726,60.514963,6.0702725,304.661833,62.333303,7.55654,-1981.964091,-75.38629382,-7.718555481,45.01568889,-21.37942222,-11.01832222,4.205981481,42.4822533,19.51818307,9.269100462,23.75651228,0.28390187,-0.2943352,-0.056205006,-0.022212779,-0.861761681,-1.016933808,-0.380559347,-0.753084945,-0.875805207,-0.704313086,0.793878241,0.710794906,-0.467222042,-0.285323085,0.027777778,0.05,0.033333333,0.037037037,916858.9746,205993.399,58646.69303,1379215.473,301694.0994,74635.07327,360.093991,360.4300874,361.7448653,-0.485225,0.076791667,-0.053969444,-0.154134259,0.046229223,0.087647009,0.105656554,0.079844262,-0.32066638,0.466432767,-0.499141873,-0.117791829,-1.047493357,-1.424256427,-1.429112117,-1.3002873,-0.933772929,0.296599775,-0.053547639,-0.604489152,-0.24283308,0.831449411,0,0.008333333,0.027777778,0.012037037,85.4106535,4.8118595,2.9606375,85.528959,4.888425,5.067363,-112.1809613,-4.955718495,-5.139709595,cement
-0.917952778,0.384363889,0.066933333,-0.155551852,0.145654826,0.134175252,0.108401112,0.129410397,-0.386434107,0.203700641,0.567670428,0.128312321,-0.49393695,-0.602277479,0.963282001,-0.044310809,-0.117110514,0.002990123,1.00660866,0.442288701,1.275493558,1.299592924,0,0,0.102777778,0.034259259,308.0707255,56.775081,2.501959,310.986947,59.665895,5.843114,-2284.193578,-71.51942401,-5.93951755,48.11923611,-22.61221389,-9.136613889,5.456802778,44.56490379,20.30512138,8.229597084,24.36654075,-0.005923982,-0.217170838,-0.244575415,-0.155890078,-1.398468284,-1.147636631,-0.478027718,-1.008044211,-0.89292079,-0.645133162,0.866961503,0.605863945,-0.595151839,-0.337288716,0.038888889,0.036111111,0.047222222,0.040740741,909583.6848,206850.4675,35885.26022,1548536.952,332499.6616,54433.43335,360.0837114,360.3901973,362.3967407,-0.497691667,0.109077778,-0.102586111,-0.163733333,0.045464723,0.084698908,0.109360938,0.079841523,0.088746705,-0.179712312,0.426841794,0.111958729,-1.257734802,-1.6610561,-1.544927613,-1.487906172,-0.927819825,0.210208924,-0.126900861,-0.534988766,-0.200284712,0.92188953,0,0.008333333,0.011111111,0.006481481,89.223619,4.7164045,7.368922,89.915053,6.865872,8.094141,-119.8490306,-6.999362916,-8.280313287,cement
