Accelerometer_Avg_x,Accelerometer_Avg_y,Accelerometer_Avg_z,Accelerometer_Avg_total,Accelerometer_Deviation_x,Accelerometer_Deviation_y,Accelerometer_Deviation_z,Accelerometer_Deviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometer_Dc_x,Accelerometer_Dc_y,Accelerometer_Dc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscope_Avg_x,Gyroscope_Avg_y,Gyroscope_Avg_z,Gyroscope_Avg_total,Gyroscope_Deviation_x,Gyroscope_Deviation_y,Gyroscope_Deviation_z,Gyroscope_Deviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscope_Dc_x,Gyroscope_Dc_y,Gyroscope_Dc_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,Magnetometer_Avg_x,Magnetometer_Avg_y,Magnetometer_Avg_z,Magnetometer_Avg_total,Magnetometer_Deviation_x,Magnetometer_Deviation_y,Magnetometer_Deviation_z,Magnetometer_Deviation_total,Magnetometer_Skewness_x,Magnetometer_Skewness_y,Magnetometer_Skewness_z,Magnetometer_Skewness_total,Magnetometer_Kurtosis_x,Magnetometer_Kurtosis_y,Magnetometer_Kurtosis_z,Magnetometer_Kurtosis_total,Magnetometer_Correlation_x_y,Magnetometer_Correlation_x_z,Magnetometer_Correlation_x_total,Magnetometer_Correlation_y_z,Magnetometer_Correlation_y_total,Magnetometer_Correlation_z_total,Magnetometer_Zero_x,Magnetometer_Zero_y,Magnetometer_Zero_z,Magnetometer_Zero_total,Magnetometer_Dc_x,Magnetometer_Dc_y,Magnetometer_Dc_z,Magnetometer_Energy_x,Magnetometer_Energy_y,Magnetometer_Energy_z,Magnetometer_Entropy_x,Magnetometer_Entropy_y,Magnetometer_Entropy_z,class
-0.590913889,0.632783333,0.445883333,0.162584259,0.136777479,0.185765003,0.214207733,0.178916738,-0.603071222,-0.291199722,1.874894657,0.326874571,0.657402337,0.788997841,5.025731596,2.157377258,-0.250211663,-0.065384886,0.426404823,0.172724922,1.05379015,1.326599184,0,0.005555556,0,0.001851852,129.4142785,150.235059,80.2568865,132.439429,156.572418,88.090884,-209.5186975,-277.0817503,-116.6298457,0.873338889,6.316444444,-5.16705,0.674244444,50.88233971,64.64873779,47.58284865,54.37130871,-0.122214116,0.152350724,-0.162289244,-0.044050879,-0.251584636,-0.279975909,-0.230790003,-0.25411685,-0.892332034,-0.874556551,-0.890537549,0.901800999,1.143159104,1.128971564,0.091666667,0.080555556,0.075,0.082407407,246759.7448,520737.8934,313977.7956,932319.0773,1518968.436,824697.3209,360.1390619,360.0853413,360.1572172,-0.239916667,0.003436111,-0.297197222,-0.177892593,0.062184615,0.080901458,0.120825276,0.08797045,0.30229608,0.720197013,-0.277634207,0.248286295,-0.960743055,-0.930801622,-1.65093451,-1.180826396,-0.001877913,-0.53921211,-0.035441019,-0.80964116,-0.193706359,0.247735775,0,0.011111111,0,0.003703704,21.7223505,2.1959685,36.69027,22.113696,2.360467,37.052977,-23.5609744,-2.376046386,-41.3042102,cement
-0.796802778,-0.479186111,0.370147222,-0.301947222,0.186883483,0.205691264,0.233617275,0.208730674,-0.511204781,1.080356496,1.736283663,0.768478459,0.499503993,3.137949459,3.251072552,2.296175334,0.21537786,-0.065419406,1.034355515,-0.290509423,0.853127168,0.774376929,0,0.022222222,0,0.007407407,235.5528415,90.3158065,61.2436595,241.135237,97.894161,68.970959,-730.3147134,-134.456745,-85.31638339,17.35019444,14.65893056,-10.5277,7.160475,78.99964653,63.35033907,47.09124245,63.14707602,-0.419376591,-0.538056432,0.135633177,-0.273933282,-0.328587473,0.677878005,-0.577286232,-0.075998567,0.838346461,-0.893739918,1.425590251,-0.845875255,1.421223312,-1.220965153,0.102777778,0.080555556,0.05,0.077777778,1719335.836,867165.4545,629127.0866,2355110.423,1522133.894,838230.3298,360.0550377,360.0851638,360.1546779,-0.314555556,0.474419444,-0.340852778,-0.06032963,0.050563571,0.106927645,0.069972598,0.075821271,-0.270523375,-0.097989287,0.291618854,-0.025631269,-1.043956699,-1.709789435,-0.989041839,-1.247595991,0.688612628,-0.16516529,1.485575898,0.584544646,2.408934366,1.63707666,0,0,0,0,36.044056,81.1570305,42.772915,36.540674,85.142639,43.587641,-40.66861451,-111.5172973,-49.59209182,cement
-0.776547222,-0.517552778,0.376788889,-0.30577037,0.185648961,0.212548485,0.237111225,0.211769557,-0.473561978,1.097572046,1.417467864,0.680492644,0.352672873,4.813995965,3.949532353,3.03873373,0.035509637,-0.046207954,0.860558328,-0.1246297,0.895264238,0.954069677,0,0.016666667,0.005555556,0.007407407,223.5058275,105.189893,60.7944005,229.496805,112.693585,71.348976,-633.079135,-164.0462525,-88.98506925,-6.805441667,-0.452908333,4.008836111,-1.083171296,75.97130026,64.35088039,44.34570813,61.55596293,-0.254572871,-0.14941676,-0.061453773,-0.155147801,0.079164673,-0.114518932,-0.724869324,-0.253407861,0.874728837,-0.909784962,1.493207291,-0.895876761,1.479578481,-1.338981518,0.097222222,0.086111111,0.080555556,0.087962963,891762.4174,602508.0967,301413.4763,2094462.9,1490846.736,713740.5348,360.0618881,360.0869515,360.1816702,-0.306816667,0.509097222,-0.326636111,-0.041451852,0.056366605,0.10973027,0.077141849,0.081079575,-0.382157027,-0.483338313,-0.009682049,-0.291725797,-0.870922871,-1.511598446,-1.17888659,-1.187135969,0.675212311,-0.096274308,1.517411221,0.654754011,2.445728552,1.770625067,0,0,0,0,34.276221,95.6671755,38.9556415,35.032918,97.639457,40.551125,-38.80962466,-133.9767181,-45.69872096,cement
-0.812405556,-0.515794444,0.368680556,-0.319839815,0.179888027,0.197841033,0.238496985,0.205408682,-0.361888574,0.335834719,1.777488411,0.583811519,0.608856583,1.39184963,3.319168271,1.773291495,0.202815788,-0.047652126,1.015772176,-0.264679333,0.833460109,0.864425515,0,0.022222222,0,0.007407407,242.664201,101.564738,59.468387,249.250496,109.866594,69.410219,-810.2084011,-158.1235169,-85.98953051,-7.942627778,-0.962247222,6.870591667,-0.678094444,74.08958241,61.48267065,44.68850146,60.08691818,0.072321523,-0.389132402,-0.24865297,-0.18848795,-0.4850621,1.127888141,-0.627611536,0.005071502,0.816062426,-0.910005625,1.391259439,-0.831694248,1.410909861,-1.229356091,0.086111111,0.102777778,0.075,0.087962963,929199.7368,612771.1233,361712.3686,1998846.561,1361176.096,735936.1894,360.0648491,360.095237,360.1761884,-0.323055556,0.459883333,-0.340594444,-0.067922222,0.059746708,0.111352432,0.081846991,0.084315377,-0.191320725,0.217923663,0.297319502,0.107974147,-1.152213318,-1.68068547,-0.932158584,-1.255019124,0.646817368,-0.237341141,1.332446592,0.564488751,2.32696992,1.548043062,0,0,0,0,37.9651455,79.600851,42.742579,38.856442,80.601136,44.173262,-43.55783814,-103.8529955,-50.35157701,cement
-0.783411111,-0.513066667,0.395511111,-0.300322222,0.175495261,0.202282904,0.245820666,0.207866277,-0.43317005,0.22840805,2.022655643,0.605964548,0.325959659,0.502952062,5.817156284,2.215356002,0.11174175,-0.034412499,0.912314425,-0.371537633,0.628102957,0.791978991,0,0.011111111,0.005555556,0.005555556,226.5826815,100.411743,67.252336,232.03136,109.49608,78.068462,-652.7481233,-157.3571735,-99.68606747,13.213625,13.48980833,-6.345363889,6.786023148,72.4184821,62.03134069,44.76608826,59.73863702,-0.044631463,-0.169692891,0.035150249,-0.059724702,-0.856224793,-0.675210084,-0.95536043,-0.828931769,0.84621073,-0.888153803,1.425390684,-0.87155519,1.411088786,-1.232307977,0.088888889,0.105555556,0.083333333,0.092592593,1178117.941,856003.3443,399441.1406,1950853.117,1450750.377,735935.8683,360.0664447,360.0893553,360.1761885,-0.314797222,0.472919444,-0.348627778,-0.063501852,0.059613994,0.100883137,0.073365791,0.077954307,-0.050425362,0.197378545,0.498940759,0.215297981,-1.088204657,-1.586066964,-0.842656611,-1.172309411,0.67420811,-0.208579179,1.44094215,0.558330405,2.335184974,1.504184687,0,0,0,0,35.932748,81.651245,44.21064,36.954403,84.178875,45.692592,-41.18175639,-109.8697389,-52.33517474,cement
-0.785086111,-0.519061111,0.387838889,-0.305436111,0.195549627,0.172343138,0.231139392,0.199677386,-0.399418378,0.303162179,1.6623942,0.522046001,-0.067887806,1.024998696,3.57293318,1.51001469,0.146816652,-0.156854593,0.924477217,-0.310957232,0.646936627,0.735562463,0,0.011111111,0,0.003703704,229.225269,101.3909935,61.5333065,235.655949,107.685574,73.383992,-682.2694046,-153.6448282,-92.17292957,5.716294444,9.370647222,-2.262411111,4.274843519,71.20528207,63.25890778,46.18936941,60.21785309,0.049454184,0.024088134,0.016393812,0.02997871,-0.709901173,-0.668184627,-0.69373586,-0.69060722,0.835002246,-0.890913438,1.376267635,-0.863511812,1.375512542,-1.193552803,0.080555556,0.111111111,0.069444444,0.087037037,745149.3142,696337.2965,266243.876,1837032.558,1472219.439,769887.4862,360.0705624,360.0880519,360.168415,-0.306986111,0.505258333,-0.320030556,-0.040586111,0.061460758,0.106154067,0.084485809,0.084033545,-0.128270366,-0.429298188,-0.116608001,-0.224725518,-1.137299973,-1.518952436,-1.191335422,-1.282529277,0.600219632,-0.270210148,1.217937325,0.576100087,2.281425868,1.535504135,0,0,0,0,34.580979,95.4490115,38.790281,35.286443,95.959681,39.440667,-39.12100128,-130.834129,-44.29332937,cement
-0.79105,-0.5291,0.368372222,-0.317259259,0.194955872,0.201423203,0.234452282,0.210277119,-0.368271268,0.651350907,2.018923339,0.767334326,-0.030617191,1.515304379,5.368503083,2.284396757,0.226983961,-0.113959354,1.017503372,-0.323068751,0.808128121,0.699846446,0,0.022222222,0.005555556,0.009259259,233.2713975,107.286668,62.488506,238.956442,115.386522,68.639748,-710.6889498,-169.8154503,-84.81015894,-18.56067778,-7.055105556,12.77369167,-4.280697222,71.50052268,61.37629093,46.72008267,59.86563209,0.569624466,0.332187961,-0.425419615,0.158797604,-0.437794899,-0.322675597,-0.551995795,-0.437488764,0.826732775,-0.880093393,1.355106011,-0.849910586,1.349358902,-1.142081223,0.077777778,0.091666667,0.058333333,0.075925926,1698769.111,1096173.682,682017.641,1964456.461,1374056.497,844535.9964,360.0659845,360.094344,360.1535225,-0.301755556,0.479594444,-0.346255556,-0.056138889,0.059316488,0.107907712,0.084241427,0.083821876,-0.354703768,-0.132551921,0.315127052,-0.057376212,-1.029659399,-1.636182281,-0.972268995,-1.212703559,0.574269363,-0.316451127,1.128897273,0.570050479,2.266630496,1.514920766,0,0,0,0,33.6340615,82.882101,44.675749,34.04695,86.995766,45.71623,-37.60327446,-114.7179123,-52.36618741,cement
-0.774711111,-0.511347222,0.39255,-0.297836111,0.174607782,0.163833025,0.200084587,0.179508465,-0.921597187,-0.200515095,2.395550475,0.424479398,5.131552159,1.561533973,12.01003951,6.234375213,0.193533098,0.025760659,1.178045872,-0.380516983,0.676791629,0.792393553,0.005555556,0.005555556,0.005555556,0.005555556,221.467068,98.84569,63.3485135,227.039466,103.794207,69.886564,-614.7253271,-145.8433632,-86.72181264,16.86552778,12.77718056,-9.979205556,6.554500926,50.36988694,45.4480581,30.07366885,41.96387129,0.803588687,0.257010349,-1.144837741,-0.028079568,0.845646258,1.531207007,2.902913911,1.759922392,0.811519671,-0.779183589,1.520807516,-0.777893468,1.499625741,-1.061090566,0.119444444,0.105555556,0.086111111,0.103703704,512321.6015,394858.9645,187631.4216,1015765.754,802361.6379,361443.6365,360.1276337,360.1615957,360.3589196,-0.287425,0.537227778,-0.301227778,-0.017141667,0.050006721,0.096429556,0.05127056,0.065902279,-1.293594127,-0.984789126,-0.973650964,-1.084011406,0.558361243,-0.5560751,0.731979974,0.244755373,0.728864127,0.233352674,2.00683329,0.650235021,2.522152149,1.906483939,0,0,0,0,29.954809,106.166837,33.1073965,30.640969,107.248444,33.612064,-33.49156331,-152.7564872,-37.07349968,cement
-0.843091667,-0.523163889,0.205972222,-0.386761111,0.198146803,0.169986644,0.123156762,0.163763403,-0.852828676,-0.050396561,0.688287122,-0.071646038,0.563382111,-0.105785854,-0.153696658,0.101299866,0.12407474,-0.203733627,1.185531528,-0.166897321,1.062613015,0.332292068,0,0,0.011111111,0.003703704,262.4285195,103.0325615,17.3828795,270.023657,108.934529,20.733172,-1080.378612,-156.2000154,-22.00021135,16.25124444,11.20450278,-6.324280556,7.043822222,65.98058426,39.88200324,26.20895625,44.02384792,-0.71572666,-0.119891907,0.388708452,-0.148970039,-0.196482428,-0.842372517,-0.496952318,-0.511935754,0.912220055,-0.816519569,1.839040102,-0.77768236,1.810122837,-1.332936923,0.052777778,0.025,0.044444444,0.040740741,636531.1554,264655.8184,121964.0807,1662314.56,617801.4234,261686.1285,360.0779805,360.2098985,360.495932,-0.320608333,0.363111111,-0.230844444,-0.062780556,0.064525442,0.110035771,0.086699149,0.087086788,-0.004092496,0.045618512,0.251786437,0.097770817,-1.666524137,-1.630307987,-1.03604372,-1.444291948,0.932394553,-0.288099213,1.632213604,0.05246932,2.006595862,0.848382677,0,0,0,0,37.1822015,48.4550685,19.7409535,38.503165,51.824718,21.890124,-43.11438836,-60.53989262,-23.30734829,cement
-0.823677778,-0.514758333,0.240147222,-0.366096296,0.172857541,0.169407038,0.121587157,0.154617245,-0.682873788,-0.180820388,0.701211334,-0.054160947,0.881857681,-0.445979466,0.835556152,0.423811455,-0.102783994,-0.255553367,0.804394114,-0.182747007,0.837037034,0.30044644,0,0,0.005555556,0.001851852,250.3829465,102.593862,23.0770185,254.996932,105.722959,26.083485,-874.2496507,-149.6803057,-28.12096491,4.709111111,5.160727778,-4.876158333,1.664560185,58.30364943,35.24324453,25.12573141,39.55754179,-0.571783915,-0.026423515,0.233696336,-0.121503698,-0.201057512,-0.507759426,-0.65478682,-0.454534586,0.924574466,-0.861174819,1.750639779,-0.855237933,1.710440751,-1.396074186,0.038888889,0.05,0.027777778,0.038888889,255045.4134,107360.6312,84674.40481,1231736.855,456738.9827,235828.5477,360.105248,360.2839745,360.550392,-0.3192,0.378255556,-0.185041667,-0.04199537,0.067972944,0.107052693,0.072242885,0.082422841,0.075351514,-0.2567504,0.013254557,-0.05604811,-1.700849081,-1.648775064,-1.015274965,-1.45496637,0.939419613,-0.597220111,1.521367611,-0.311632662,1.800405888,-0.020783564,0,0,0,0,38.1227705,54.9396415,13.849071,38.343226,55.633516,14.205403,-42.91394578,-65.80246779,-14.78896757,cement
-0.824747222,-0.502166667,0.233344444,-0.364523148,0.160703315,0.166191339,0.108904868,0.145266507,-0.675734984,0.007898085,0.894438258,0.075533786,0.129793401,-0.478815789,0.272109666,-0.025637574,0.077420012,-0.203842153,1.042018912,-0.242743665,1.047708984,0.246477072,0,0,0,0,249.4785485,93.875503,22.1909575,254.172073,100.724732,23.871564,-864.6294875,-139.8548492,-25.56690277,-11.46691111,-2.888575,2.281358333,-4.024709259,66.03261766,37.67330059,26.60092609,43.43561478,-0.055583052,0.390757096,-0.028266796,0.102302416,-0.529026252,-0.4280456,-0.714718242,-0.557263365,0.929847346,-0.902463382,1.774043602,-0.893091515,1.733980142,-1.534151152,0.027777778,0.038888889,0.025,0.030555556,1083335.642,333242.5013,141845.7995,1617046.792,513943.7194,256612.9912,360.080164,360.2523444,360.5057502,-0.321136111,0.387886111,-0.182119444,-0.038456481,0.068057254,0.099340469,0.079649019,0.082348914,0.025521187,-0.362368296,-0.218875236,-0.185240782,-1.658285444,-1.490694368,-1.183120391,-1.444033401,0.931563891,-0.638718933,1.332451217,-0.342886022,1.644582872,0.025708958,0,0,0,0,37.749303,55.3923825,13.0359865,38.793669,57.716699,14.224125,-43.47897128,-68.73688216,-14.80926048,cement
