Accelerometer_Avg_x,Accelerometer_Avg_y,Accelerometer_Avg_z,Accelerometer_Avg_total,Accelerometer_Deviation_x,Accelerometer_Deviation_y,Accelerometer_Deviation_z,Accelerometer_Deviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometer_Dc_x,Accelerometer_Dc_y,Accelerometer_Dc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscope_Avg_x,Gyroscope_Avg_y,Gyroscope_Avg_z,Gyroscope_Avg_total,Gyroscope_Deviation_x,Gyroscope_Deviation_y,Gyroscope_Deviation_z,Gyroscope_Deviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscope_Dc_x,Gyroscope_Dc_y,Gyroscope_Dc_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,Magnetometer_Avg_x,Magnetometer_Avg_y,Magnetometer_Avg_z,Magnetometer_Avg_total,Magnetometer_Deviation_x,Magnetometer_Deviation_y,Magnetometer_Deviation_z,Magnetometer_Deviation_total,Magnetometer_Skewness_x,Magnetometer_Skewness_y,Magnetometer_Skewness_z,Magnetometer_Skewness_total,Magnetometer_Kurtosis_x,Magnetometer_Kurtosis_y,Magnetometer_Kurtosis_z,Magnetometer_Kurtosis_total,Magnetometer_Correlation_x_y,Magnetometer_Correlation_x_z,Magnetometer_Correlation_x_total,Magnetometer_Correlation_y_z,Magnetometer_Correlation_y_total,Magnetometer_Correlation_z_total,Magnetometer_Zero_x,Magnetometer_Zero_y,Magnetometer_Zero_z,Magnetometer_Zero_total,Magnetometer_Dc_x,Magnetometer_Dc_y,Magnetometer_Dc_z,Magnetometer_Energy_x,Magnetometer_Energy_y,Magnetometer_Energy_z,Magnetometer_Entropy_x,Magnetometer_Entropy_y,Magnetometer_Entropy_z,class
-0.817944444,0.473991667,0.325133333,-0.006273148,0.17805869,0.208318779,0.222225884,0.202867784,-1.035893778,0.125764047,1.002176677,0.030682315,1.375126419,0.872875208,1.068850241,1.105617289,-0.17246716,-0.137559517,0.549921007,0.504975402,1.428655165,1.493229085,0,0.011111111,0.025,0.012037037,245.7669965,89.46849,48.9256925,252.265684,96.503333,55.83457,-842.9593245,-131.8468286,-66.08392413,-34.32771944,27.75743333,12.15006111,1.859925,64.24342522,50.3297068,31.91332561,48.82881921,-0.475181396,0.519729483,1.123883015,0.389477034,0.916954377,0.162513041,4.072579263,1.717348894,-0.835855499,-0.647605701,0.030879539,0.73418501,0.410859246,0.558281644,0.075,0.069444444,0.088888889,0.077777778,809291.2033,502453.2,144447.9632,1910019.602,1189279.617,419790.3611,360.0678655,360.1090065,360.3089905,-0.398855556,0.137383333,-0.221494444,-0.160988889,0.045714284,0.084031262,0.125048102,0.084931216,0.833910838,0.646585427,-0.751746991,0.242916424,-0.287265633,-0.459231909,-0.879869662,-0.542122401,-0.409774396,-0.412018615,-0.473815434,-0.566190572,-0.064785804,0.690385228,0,0,0,0,57.5842895,8.81534,19.915187,58.023198,9.336756,23.290854,-69.17203951,-9.585356371,-24.90192957,cement
-0.469127778,-0.890672222,0.216425,-0.381125,0.125453313,0.199525947,0.238164975,0.187714745,-0.411665136,-0.804597562,1.87878574,0.220841014,0.745015724,0.853920436,4.095432228,1.898122796,0.056746543,0.141948056,0.908734024,-0.25115798,0.782186582,1.096665556,0,0,0.044444444,0.014814815,81.729729,292.864509,29.241575,84.894986,299.91874,37.282441,-111.0928315,-1797.078597,-41.58955218,-25.87708889,-42.10989722,16.49418056,-17.16426852,25.74218783,60.76429932,16.26887107,34.25845274,-0.074933777,0.422875442,0.360506067,0.236149244,-0.498322026,0.036516603,-0.528107917,-0.329971113,0.522360672,-0.606067562,1.390110447,-0.471871532,1.942124743,-0.817479329,0.080555556,0.069444444,0.066666667,0.072222222,327308.5152,1203316.597,137073.1816,479622.2268,1967595.666,193224.2969,360.2704156,360.0658792,360.6719751,-0.291580556,0.662055556,-0.229405556,0.047023148,0.098183157,0.072536445,0.092620174,0.087779925,0.258661133,0.397948401,-0.109895438,0.182238032,-1.463788744,-1.240823412,-1.116540242,-1.273717466,0.83559806,0.11994368,1.935564124,0.577448571,2.370262755,1.666470881,0,0,0,0,30.796401,158.420858,21.833888,34.077295,159.688474,22.033946,-37.64029327,-286.9922255,-23.47046535,cement
-0.480388889,-0.889383333,0.194633333,-0.391712963,0.142613011,0.206433613,0.200561473,0.183202699,-1.51185272,-0.854334105,2.184631969,-0.060518285,11.21986445,0.904987042,9.427355122,7.184068873,0.193079243,-0.057840581,0.932685304,-0.255940575,0.996914386,0.761331121,0,0,0.044444444,0.014814815,85.740971,293.7787165,21.7614265,90.400304,300.102318,28.118534,-120.7127082,-1803.68974,-30.50086635,-28.32242222,-45.21667222,18.93311667,-18.20199259,26.36050501,57.72793569,15.10194302,33.06346124,-0.477852817,0.545147159,0.050775495,0.039356613,0.643014326,-0.326936502,-0.51541378,-0.066445318,0.376472536,-0.536929945,1.209335032,-0.413946608,1.857051303,-0.694061777,0.083333333,0.05,0.055555556,0.062962963,397411.7293,1143937.189,144085.7337,538932.897,1935742.322,211151.3723,360.2406359,360.0669635,360.6148259,-0.272638889,0.656308333,-0.273008333,0.036887037,0.098211861,0.067446497,0.095134305,0.086930888,-0.123675124,0.291781612,0.16959904,0.112568509,-1.509136601,-1.373264932,-0.944857738,-1.27575309,0.779265644,0.050445171,1.7895787,0.616827424,2.331289599,1.629932377,0,0,0,0,29.3685375,155.4297685,27.554032,30.231912,156.704277,30.090271,-33.00346127,-277.4949659,-32.83473207,cement
-0.477255556,-0.863869444,0.21585,-0.375091667,0.130449655,0.175614104,0.224659334,0.176907698,-0.691796047,-0.801181897,1.43752085,-0.018485698,1.623564475,0.372899085,1.696032125,1.230831895,0.224168717,-0.019695967,0.934905392,-0.315722606,0.757043402,0.94198648,0,0,0.036111111,0.012037037,85.707065,273.616443,24.3590385,88.124392,279.759863,34.942694,-116.6885891,-1255.151779,-38.69892972,-26.61606944,-42.51669167,16.35533056,-17.59247685,26.42624228,60.15671982,13.97533551,33.51943254,-0.435371044,0.53315314,0.48772996,0.195170685,-0.284419276,-0.238580526,-0.140289163,-0.221096322,0.386925139,-0.447080051,1.296391151,-0.425859607,1.922173543,-0.699821731,0.094444444,0.066666667,0.038888889,0.066666667,390973.3505,1466993.235,143271.9858,506434.1162,1953540.004,166610.4625,360.256089,360.0663533,360.7795467,-0.322244444,0.63825,-0.261002778,0.018334259,0.097341474,0.07216939,0.085960569,0.085157144,0.62951159,0.588959931,0.236380588,0.484950703,-1.070214511,-1.131577488,-0.798962428,-1.000251476,0.786821995,0.14683838,1.958123997,0.624116946,2.376891007,1.706212367,0,0,0,0,40.5766845,148.042771,24.976981,40.794064,148.525734,27.184201,-46.00748728,-252.8405241,-29.40459074,cement
-0.476877778,-0.884694444,0.196905556,-0.388222222,0.124618268,0.200932413,0.219223838,0.181591506,-0.068527573,-0.509772751,2.661294349,0.694331342,1.796289017,0.028102885,13.65357791,5.15932327,0.052888648,0.138197924,0.911615277,-0.218528537,0.878987365,1.060271825,0.005555556,0,0.033333333,0.012962963,84.917541,287.9298135,21.3668015,87.459166,296.300914,31.25912,-115.5250731,-1674.566085,-34.23146887,-27.09608056,-44.14633056,15.99391389,-18.41616574,27.98965816,56.47318168,13.79675112,32.75319699,0.128922822,0.806704699,-0.079495305,0.285377405,-0.674208308,0.60467166,-0.063716207,-0.044417618,0.327108163,-0.371138565,1.262227638,-0.38592751,1.841172377,-0.561345044,0.077777778,0.063888889,0.041666667,0.061111111,358432.364,1254323.636,113713.0232,546342.6762,1849722.75,160616.0243,360.2373702,360.0700782,360.8087059,-0.286566667,0.661925,-0.219683333,0.051891667,0.100086163,0.072849216,0.096414468,0.089783282,0.103683777,0.173143536,-0.345670685,-0.022947791,-1.460180148,-1.323429405,-0.93531304,-1.239640865,0.840569284,0.065768112,1.867407486,0.531953331,2.319658653,1.578794244,0,0,0,0,30.2295575,158.858635,20.1942495,33.16957,159.642617,20.720346,-36.53590395,-286.8441445,-21.98577036,cement
-0.471319444,-0.885769444,0.193027778,-0.38802037,0.130879634,0.185688448,0.230794989,0.182454357,-0.210224269,-0.852079038,1.890266354,0.275987683,0.499621687,1.160448888,4.505536491,2.055202356,0.106793151,0.062479494,0.905047405,-0.296999722,0.718642464,1.007500551,0,0,0.044444444,0.014814815,83.209241,286.6764035,23.3562305,86.137739,294.864375,32.589378,-113.2305924,-1629.69458,-35.83321765,-30.10122222,-46.76575556,19.89895833,-18.98933981,27.96967768,65.61221462,14.51396444,36.03195225,-0.493056988,0.768840386,-0.327035975,-0.017084192,1.28863127,0.459227371,0.103630124,0.617162922,0.355840506,-0.329884373,1.291332509,-0.500323721,1.895630793,-0.764325571,0.069444444,0.058333333,0.036111111,0.05462963,497194.3602,1469214.086,180240.266,607819.1216,2337119.496,218384.5344,360.2133477,360.0554614,360.5944285,-0.281205556,0.648441667,-0.277472222,0.029921296,0.099335246,0.070452876,0.099630787,0.089806303,0.134786916,0.497474546,0.258698682,0.296986714,-1.484590137,-0.875588861,-0.966279881,-1.108819627,0.709963844,-0.008299764,1.653863077,0.623290069,2.261268779,1.589185847,0,0,0,0,29.673429,151.5764765,29.898873,32.01986,153.158473,31.290166,-35.14587682,-266.5666372,-34.26870326,cement
-0.625922222,-0.575244444,0.147033333,-0.351377778,0.299809883,0.496571609,0.230654778,0.342345423,-1.070047427,0.593588814,1.517180021,0.346907136,0.78881758,-0.898946715,3.548916878,1.146262581,-0.794631892,0.16520762,-0.165551582,-0.364221039,0.509204385,0.290127519,0,0.033333333,0.055555556,0.02962963,152.1903605,145.8908125,18.9856375,173.399254,207.896232,26.935354,-334.5309854,-492.0498979,-29.11364973,-25.94177778,-15.77801389,6.77115,-11.64954722,37.18875594,57.73540791,14.44584037,36.45666808,-0.942379662,-0.037942511,0.680428981,-0.099964397,0.556041025,0.384404074,0.897494053,0.612646384,0.118776999,-0.073122042,1.179210481,-0.446771425,1.527802485,-0.385882984,0.077777778,0.091666667,0.105555556,0.091666667,481322.4036,595923.5388,36653.74142,740152.585,1289636.298,91631.07952,360.1751842,360.1005215,361.419946,-0.420772222,0.666233333,-0.160952778,0.028169444,0.26997657,0.078211188,0.090285261,0.146157673,-0.491740684,-0.848174018,0.230767271,-0.36971581,-1.374093975,0.162523809,-1.053406554,-0.75499224,0.597581017,-0.750030601,1.703621696,-0.066664049,1.597762716,-0.803374191,0,0,0.002777778,0.000925926,80.169625,161.7548385,10.667562,89.97718,161.994184,12.260601,-119.9594345,-294.5262287,-12.69288546,cement
-0.974980556,0.147936111,0.030080556,-0.26565463,0.220671632,0.163171225,0.238544689,0.207462515,-2.085988209,-0.038093247,1.68857579,-0.145168555,4.963716321,0.151967095,4.176971863,3.09755176,-0.079630819,-0.663177223,0.238504624,-0.14905136,0.530426193,0.327188724,0,0.069444444,0.144444444,0.071296296,349.985101,13.653495,11.9283665,359.741899,17.463579,20.811027,-501769.0115,-18.35392692,-22.08789293,-55.83294444,8.597211111,2.564363889,-14.89045648,46.30247214,15.49368782,10.98400059,24.26005352,0.309370922,0.44385426,-0.289908426,0.154438919,-0.056768601,1.432674121,0.000930602,0.458945374,-0.417124104,-0.150157456,1.574207241,0.187532895,-0.072560761,0.285939819,0.016666667,0.102777778,0.1,0.073148148,1728029.791,70208.82028,27597.82967,1894045.18,113027.9045,45800.72324,360.068438,361.1502832,362.8520673,-0.829075,0.505538889,0.018786111,-0.101583333,0.024443641,0.118235493,0.097157183,0.079945439,0.415469839,0.352298518,-0.094926962,0.224280465,-0.57980872,-1.405227818,-1.46330128,-1.149445939,-0.739925241,0.227460158,-0.512129234,-0.421778148,0.740132897,0.661050718,0,0,0.008333333,0.002777778,247.560028,95.9861175,2.3532585,247.666625,97.037712,3.525277,-793.7087709,-132.8463354,-3.560139438,cement
-0.969208333,0.155841667,0.023744444,-0.263207407,0.183351767,0.153213993,0.230848161,0.189137974,-1.999471128,0.029098587,2.372179081,0.133935513,6.758918344,-0.526642517,10.23100616,5.487760662,-0.029645181,-0.595348572,0.218753466,-0.231921903,0.498259286,0.455520729,0,0.066666667,0.141666667,0.069444444,343.3609995,13.3824905,11.747329,350.273759,17.194015,19.387682,-12964.77778,-18.05640995,-20.4912305,-53.181475,9.935661111,1.169038889,-14.02559167,46.08539806,15.12291573,10.32246298,23.84359226,0.13718643,0.284730245,0.231475858,0.217797511,-0.877542392,0.387877211,-0.320880569,-0.270181917,-0.604752828,-0.157725962,1.480970284,0.294785574,-0.407004355,0.31503712,0.027777778,0.108333333,0.130555556,0.088888889,1119195.007,59506.88495,20280.47052,1782767.951,117871.1791,38851.16181,360.0727106,361.1028738,363.3670067,-0.851880556,0.581419444,0.000491667,-0.089989815,0.0251009,0.114581335,0.089886657,0.076522964,0.850105457,-0.716891278,0.605125601,0.24611326,1.808676133,-1.050552444,-1.110859387,-0.117578566,-0.724455606,0.424497386,-0.258112584,-0.415319565,0.771861902,0.692002113,0,0,0.008333333,0.002777778,261.383325,125.6404885,0.521531,261.478993,126.423883,2.908747,-955.4554947,-194.8512479,-2.932440689,cement
-0.968519444,0.167572222,0.039102778,-0.253948148,0.164627862,0.15305963,0.218961635,0.178883042,-2.014886888,0.243022605,2.105610231,0.11124865,5.758712482,-0.561224171,6.722005346,3.973164552,-0.088722301,-0.547222774,0.174568061,-0.192503649,0.53835485,0.555720551,0,0.1,0.144444444,0.081481481,343.6334325,11.831441,7.7711635,347.447609,18.542772,17.810361,-9964.726182,-19.54973382,-18.73735856,-56.89621111,11.30106667,2.625838889,-14.32310185,41.29839196,14.18405418,10.08840143,21.85694919,0.100564391,0.274760442,0.196735523,0.190686786,-0.982790114,0.066038512,-0.380459338,-0.432403647,-0.6270149,-0.225767061,1.378378549,0.272193747,-0.410151163,0.211621287,0.022222222,0.080555556,0.113888889,0.072222222,1701844.986,93796.13115,13584.23365,1779384.966,118404.5403,39121.51439,360.0728489,361.0978907,363.3435226,-0.847727778,0.543061111,-0.014252778,-0.106306481,0.027746237,0.120928338,0.093281444,0.080652006,0.040985396,-0.139070239,0.564276874,0.155397344,-0.824624476,-1.493016426,-0.859069451,-1.058903451,-0.717547489,0.020454698,-0.70819744,-0.23794517,0.977325051,0.806857433,0,0,0.008333333,0.002777778,258.742575,106.5108545,2.4407725,258.988406,111.434052,3.205645,-923.0210362,-161.3908061,-3.234446352,cement
