Accelerometer_Avg_x,Accelerometer_Avg_y,Accelerometer_Avg_z,Accelerometer_Avg_total,Accelerometer_Deviation_x,Accelerometer_Deviation_y,Accelerometer_Deviation_z,Accelerometer_Deviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometer_Dc_x,Accelerometer_Dc_y,Accelerometer_Dc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscope_Avg_x,Gyroscope_Avg_y,Gyroscope_Avg_z,Gyroscope_Avg_total,Gyroscope_Deviation_x,Gyroscope_Deviation_y,Gyroscope_Deviation_z,Gyroscope_Deviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscope_Dc_x,Gyroscope_Dc_y,Gyroscope_Dc_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,Magnetometer_Avg_x,Magnetometer_Avg_y,Magnetometer_Avg_z,Magnetometer_Avg_total,Magnetometer_Deviation_x,Magnetometer_Deviation_y,Magnetometer_Deviation_z,Magnetometer_Deviation_total,Magnetometer_Skewness_x,Magnetometer_Skewness_y,Magnetometer_Skewness_z,Magnetometer_Skewness_total,Magnetometer_Kurtosis_x,Magnetometer_Kurtosis_y,Magnetometer_Kurtosis_z,Magnetometer_Kurtosis_total,Magnetometer_Correlation_x_y,Magnetometer_Correlation_x_z,Magnetometer_Correlation_x_total,Magnetometer_Correlation_y_z,Magnetometer_Correlation_y_total,Magnetometer_Correlation_z_total,Magnetometer_Zero_x,Magnetometer_Zero_y,Magnetometer_Zero_z,Magnetometer_Zero_total,Magnetometer_Dc_x,Magnetometer_Dc_y,Magnetometer_Dc_z,Magnetometer_Energy_x,Magnetometer_Energy_y,Magnetometer_Energy_z,Magnetometer_Entropy_x,Magnetometer_Entropy_y,Magnetometer_Entropy_z,class
-0.16695,0.943961111,0.207791667,0.328267593,0.127143391,0.107258222,0.106850381,0.113750665,-0.286295936,0.564623988,0.186313991,0.154880681,0.154057033,1.260170898,-0.438305563,0.325307456,0.33396596,-0.048283379,1.387287621,0.087839268,1.398721024,0.968196116,0.075,0,0.008333333,0.027777778,12.712951,322.6170795,18.076225,15.853588,324.924086,19.653977,-16.58390581,-3334.843134,-20.78893609,3.112922222,0.724158333,-3.578630556,0.08615,15.92326354,60.08027429,20.7626039,32.25538058,0.029324721,0.177929771,0.485391427,0.230881973,-0.914239151,-0.943521257,-0.086140512,-0.647966973,-0.614842746,-0.616365365,-1.048321446,0.814958739,2.083703107,1.857395549,0.088888889,0.022222222,0.055555556,0.055555556,52641.75693,825849.3964,88575.89059,94766.6183,1299658.955,159801.2343,361.3727851,360.0997461,360.8128387,-0.083488889,-0.086541667,-0.261019444,-0.143683333,0.089306121,0.046815102,0.112780377,0.0829672,-0.354513614,0.132883009,0.47543388,0.084601092,-1.200504483,-1.493441421,-1.257793578,-1.317246494,-0.643551681,0.336787972,1.171080346,-0.870851578,-1.312241114,1.230469373,0.008333333,0,0,0.002777778,3.1843705,3.13509,25.932989,5.380552,3.485201,29.106203,-5.462189767,-3.519271468,-31.66645363,cement
-0.176630556,0.943125,0.217675,0.328056481,0.131969397,0.11253453,0.110711223,0.11840505,-0.139426591,1.216460609,0.238678278,0.438570765,-0.014695683,2.897935576,-0.510458858,0.790927012,0.309913968,-0.109019775,1.307171503,0.085410967,1.375698435,0.89468846,0.055555556,0,0.005555556,0.02037037,14.5812585,322.2911505,19.9232245,17.501139,324.773563,21.470177,-18.39541896,-3319.055023,-22.83185467,3.173558333,1.674033333,-2.248305556,0.866428704,17.40388995,68.51037687,23.04574467,36.32000383,0.296293986,-0.055693721,-0.061893305,0.059568987,-0.60701119,-1.003684686,-0.366418789,-0.659038222,-0.688961178,-0.662383885,-1.240700032,0.878663946,2.113690231,1.974539619,0.077777778,0.027777778,0.072222222,0.059259259,66203.53841,1434585.253,156277.4955,112668.0689,1690730.686,193018.0411,361.1539687,360.0766696,360.6726945,-0.099480556,-0.078727778,-0.273866667,-0.150691667,0.08787532,0.04573873,0.105960941,0.079858331,-0.142621488,0.133993915,0.571322615,0.187565014,-1.14615507,-1.458577238,-1.18776079,-1.264164366,-0.652556001,0.261404365,1.073487124,-0.840514541,-1.260564156,1.133104901,0.011111111,0.002777778,0,0.00462963,4.89507,2.500296,27.9763555,6.342643,2.984434,31.043042,-6.456394685,-3.009382062,-33.97251479,cement
-0.359913889,0.836813889,0.297908333,0.258269444,0.205003715,0.147654162,0.13312565,0.161927842,0.029966426,-0.017268811,1.004628063,0.339108559,-0.915681793,0.141809359,1.17539187,0.133839812,0.566513766,-0.357056422,1.489048814,-0.075360796,1.567112422,0.301371412,0.011111111,0,0,0.003703704,48.9801385,254.3554155,34.910475,61.763231,259.941325,38.329853,-74.55406399,-935.2400179,-42.89719518,13.25219722,-13.14053056,-10.63648056,-3.508271296,25.3370798,37.56948471,20.81359672,27.90672041,1.402633205,-0.992376366,-0.995416775,-0.195053312,1.54737931,0.459753741,0.496685741,0.834606264,-0.786314347,-0.802315971,-0.749046316,0.853282266,1.268742718,1.166121547,0.105555556,0.072222222,0.066666667,0.081481481,153388.9779,261593.7923,100128.1274,294331.8039,570290.3008,196682.5897,360.4408586,360.2273962,360.660138,-0.199338889,-0.018472222,-0.34175,-0.18652037,0.047281035,0.068971849,0.082295664,0.066182849,-1.447965451,0.582886971,1.162015463,0.098978994,1.0106275,-0.316163088,-0.237539079,0.152308444,-0.733884168,0.124170035,0.103989823,-0.747832911,-0.412045734,0.55281896,0,0.016666667,0,0.005555556,14.7125375,1.0497845,42.892474,15.109736,1.835402,44.48363,-15.77169763,-1.844807454,-50.75523276,cement
-0.530025,0.768644444,0.346711111,0.195110185,0.107374536,0.123615943,0.134775306,0.121921929,-0.433314567,0.387958654,0.431190363,0.128611483,0.698695877,-0.353965666,-0.346359192,-0.000542994,-0.274260404,-0.156186527,0.429959495,0.050302988,0.827963937,1.018874154,0,0,0,0,103.038598,215.372975,46.3788325,105.284085,218.194266,49.814272,-148.8021296,-553.926372,-57.81419421,39.16959444,-43.72288611,-28.61699722,-11.05676296,28.52434674,41.28390238,25.96989457,31.9260479,0.062814778,0.06601271,0.010070784,0.046299424,-0.403870431,-0.56649512,-0.676458098,-0.548941216,-0.799879412,-0.840651681,-0.824700646,0.879284465,1.293701923,1.19937014,0.038888889,0.055555556,0.038888889,0.044444444,765711.6494,1079184.95,457291.6826,845242.375,1301778.491,537612.4634,360.1533941,360.0995836,360.2412274,-0.278130556,0.0249,-0.281191667,-0.178140741,0.068089705,0.092149552,0.09929076,0.086510006,0.261032257,-0.243978398,0.137205023,0.051419627,-1.294694036,-1.633144088,-1.554857761,-1.494231962,-0.807777226,0.120625627,0.065083865,-0.674110869,-0.344292441,0.524622646,0,0.008333333,0,0.002777778,29.136493,0.910613,28.8777865,29.517413,3.280158,32.013867,-32.15379296,-3.310320148,-35.13865667,cement
-0.535063889,0.749944444,0.360052778,0.191644444,0.097916,0.123294328,0.138109638,0.119773322,-0.14829279,0.419179096,-0.109158384,0.053909307,-0.331303094,-0.016222567,-0.626996727,-0.324840796,-0.320378896,-0.216845085,0.237671485,0.161946529,0.954223214,1.142525905,0,0,0,0,104.3590575,204.56664,50.6506095,106.517127,207.942538,53.536419,-151.2771465,-492.3093724,-62.88874775,28.35313889,-30.09123056,-20.29480278,-7.344298148,28.19134157,39.80945494,23.69656901,30.5657885,0.366321377,-0.341504849,0.15671104,0.060509189,0.014274821,-0.26161504,-0.357249927,-0.201530049,-0.80865673,-0.792179431,-0.745041361,0.87127048,1.232046014,1.179382989,0.061111111,0.061111111,0.036111111,0.052777778,478825.8515,697874.6586,264746.1711,575514.8007,896498.9493,350426.3049,360.2253306,360.1446204,360.3702156,-0.252733333,-0.005719444,-0.276336111,-0.178262963,0.067174201,0.09672525,0.096300836,0.086733429,-0.233585886,0.352387637,-0.214291659,-0.031829969,-1.303322251,-1.658245096,-1.490929701,-1.484165683,-0.826371832,0.233882111,0.112600434,-0.733844869,-0.339609442,0.473062708,0,0,0,0,24.123279,3.3438175,29.355346,24.619144,3.379855,30.828779,-26.42634987,-3.411887458,-33.71607155,cement
-0.544525,0.751447222,0.343111111,0.183344444,0.107448253,0.116752314,0.137772534,0.1206577,-0.372634688,0.270621111,0.162585912,0.020190778,0.287155644,-0.369968514,-0.474029585,-0.185614152,-0.298749285,-0.26915443,0.294108833,0.073273443,0.785256909,0.973060185,0,0,0.002777778,0.000925926,109.194134,206.321425,44.886952,110.898937,208.189451,49.214342,-160.2707626,-493.6956151,-57.00765999,34.381575,-38.47525556,-25.52140833,-9.871696296,28.15960934,42.07309313,26.28616767,32.17295671,0.161791718,-0.07755693,0.04210841,0.042114399,-0.630236132,-0.765359764,-0.534710004,-0.6434353,-0.822107611,-0.866460789,-0.907747914,0.89695,1.320992734,1.231606768,0.033333333,0.061111111,0.041666667,0.04537037,497806.3064,746653.0974,286051.313,711020.2671,1170176.564,483229.7619,360.1823656,360.1107866,360.2683954,-0.263569444,0.025863889,-0.310316667,-0.182674074,0.06598641,0.089837606,0.094145483,0.083323166,-0.087759014,-0.24730121,0.52358843,0.062842735,-1.325872348,-1.650194005,-1.219500103,-1.398522152,-0.801724528,0.092409117,0.031939485,-0.65975043,-0.302170954,0.491733953,0,0.008333333,0,0.002777778,25.1279345,0.79266,37.319317,26.576301,3.146305,37.85753,-28.69462605,-3.174045318,-42.30647018,cement
-0.541616667,0.772163889,0.341841667,0.190796296,0.104556831,0.130484049,0.132738841,0.12259324,-0.502706388,0.471412405,0.475057499,0.147921172,0.251125815,0.230855698,-0.008980189,0.157667108,-0.368918086,-0.262163962,0.176352012,0.122226725,0.882066391,0.989258836,0,0,0,0,107.371374,218.273789,44.6792105,109.541068,220.774737,48.411117,-157.4501024,-570.8655427,-55.93268268,37.50761389,-40.92927222,-26.81335,-10.07833611,26.58421656,41.09771768,26.25893128,31.31362184,0.061458053,-0.084962299,0.205205392,0.060567049,-0.451018748,-0.535420973,-0.216657722,-0.401032481,-0.827545787,-0.835702161,-0.937951934,0.900321657,1.364886694,1.310726991,0.033333333,0.061111111,0.027777778,0.040740741,647229.5885,899800.6596,403899.945,760875.0012,1211121.98,507055.3957,360.1704108,360.10704,360.255775,-0.291883333,0.039458333,-0.285197222,-0.179207407,0.068242279,0.091480013,0.096429753,0.085384015,0.472769108,-0.412343779,0.314772838,0.125066056,-1.17289763,-1.459125722,-1.491790372,-1.374604574,-0.818673742,0.093073137,0.027230086,-0.639537441,-0.305192799,0.518555876,0,0.008333333,0,0.002777778,32.146607,1.9944405,29.522181,32.34704,3.573199,32.629015,-35.54045231,-3.609020524,-35.88114383,cement
-0.547527778,0.745177778,0.357091667,0.184913889,0.111955593,0.130763767,0.135854129,0.126191163,-0.299737037,0.563274025,0.195941859,0.153159616,-0.397591759,0.297361631,-0.403531569,-0.167920566,-0.312170801,-0.232662651,0.31322939,0.116880984,0.885111617,0.991274181,0,0,0,0,109.4864895,202.3987575,50.2757305,112.43546,206.06007,52.549489,-163.4998518,-481.8868321,-61.53125581,29.29827778,-31.26693333,-21.75707778,-7.908577778,26.56741643,40.83109537,24.07093117,30.48981432,0.317837351,-0.293569184,-0.077992665,-0.017908166,-0.31698347,-0.554101792,-0.112278155,-0.327787806,-0.814609035,-0.817818576,-0.865194426,0.871114788,1.317081882,1.243437401,0.044444444,0.063888889,0.041666667,0.05,505061.0891,766026.2434,301291.2812,563118.0107,952127.8089,379000.8578,360.2302944,360.1361677,360.3422768,-0.259202778,-0.002466667,-0.270294444,-0.177321296,0.065910381,0.094723451,0.095168488,0.08526744,-0.063863534,0.364460062,-0.179092751,0.040501259,-1.375889227,-1.623137613,-1.487173312,-1.495400051,-0.814692533,0.213117002,0.105807273,-0.731230264,-0.334985106,0.468531204,0,0.005555556,0,0.001851852,25.0557175,3.1550435,28.5102045,25.750893,3.232302,29.561806,-27.73476813,-3.261586535,-32.2064772,cement
-0.535025,0.750811111,0.346022222,0.187269444,0.101359437,0.123876587,0.135816521,0.120350848,-0.518380478,0.19279911,0.336200146,0.003539593,-0.087941413,-0.321435871,-0.445243591,-0.284873625,-0.345295322,-0.369518246,0.069785537,0.043830544,0.787950902,0.86241135,0,0,0,0,105.4609045,206.49794,45.101463,106.749175,208.462584,49.743902,-151.7456182,-495.2343271,-57.71942868,35.25559167,-40.30529722,-26.29885833,-10.4495213,26.59874674,37.98096227,23.30799618,29.29590173,-0.206018779,0.096142272,0.144350775,0.011491423,-0.362872173,-0.042803588,-0.008621619,-0.138099127,-0.829388524,-0.827070062,-0.825356855,0.890091906,1.251592324,1.19864944,0.027777778,0.047222222,0.036111111,0.037037037,632319.5729,936957.0087,352724.659,702162.0258,1104145.373,444561.3488,360.1846675,360.1174141,360.2917596,-0.260294444,0.024877778,-0.309275,-0.181563889,0.073218106,0.091430827,0.093832916,0.086160616,-0.053504168,-0.115292654,0.461342151,0.09751511,-1.388201555,-1.684690418,-1.163108042,-1.412000005,-0.784194919,-0.032098516,-0.017332527,-0.588104121,-0.245703488,0.437692746,0,0.008333333,0,0.002777778,25.0487985,0.2862845,36.5429645,26.321072,3.23226,37.604031,-28.39731588,-3.261543771,-41.99013779,cement
-0.535233333,0.754483333,0.345027778,0.188092593,0.109164204,0.121843842,0.136316072,0.122441373,-0.54982401,0.515738251,0.161883558,0.042599266,-0.042927754,0.634313541,-0.560132818,0.010417656,-0.413823623,-0.276501178,0.171925456,0.040995532,0.671811042,0.907594318,0,0,0,0,104.6107845,206.91583,47.2300885,107.420956,210.272768,49.545446,-153.106701,-505.5740059,-57.45240432,27.17593611,-28.51161389,-18.62590278,-6.653860185,29.60598768,40.77223387,26.81680871,32.39834342,-0.042400228,-0.145917653,0.228070831,0.013250983,-0.405542703,-0.697463783,-0.024856463,-0.375954316,-0.838646188,-0.837566236,-0.83486813,0.881189027,1.221481056,1.171290694,0.047222222,0.075,0.052777778,0.058333333,419073.0202,535343.6685,263527.3956,581416.5635,891103.3852,383783.5742,360.223042,360.1454964,360.3380074,-0.288769444,0.041069444,-0.293730556,-0.180476852,0.062853265,0.088492863,0.093295571,0.081547233,0.611215139,-0.48270505,0.421015803,0.183175297,-0.967042992,-1.482547094,-1.301085648,-1.250225245,-0.78622061,0.098900582,0.030722546,-0.678659509,-0.297246082,0.483833363,0,0.008333333,0,0.002777778,31.345355,2.6739025,31.7470695,31.441797,3.426367,34.193413,-34.45065993,-3.45929145,-37.78201292,cement
