Accelerometer_Avg_x,Accelerometer_Avg_y,Accelerometer_Avg_z,Accelerometer_Avg_total,Accelerometer_Deviation_x,Accelerometer_Deviation_y,Accelerometer_Deviation_z,Accelerometer_Deviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometer_Dc_x,Accelerometer_Dc_y,Accelerometer_Dc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscope_Avg_x,Gyroscope_Avg_y,Gyroscope_Avg_z,Gyroscope_Avg_total,Gyroscope_Deviation_x,Gyroscope_Deviation_y,Gyroscope_Deviation_z,Gyroscope_Deviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscope_Dc_x,Gyroscope_Dc_y,Gyroscope_Dc_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,Magnetometer_Avg_x,Magnetometer_Avg_y,Magnetometer_Avg_z,Magnetometer_Avg_total,Magnetometer_Deviation_x,Magnetometer_Deviation_y,Magnetometer_Deviation_z,Magnetometer_Deviation_total,Magnetometer_Skewness_x,Magnetometer_Skewness_y,Magnetometer_Skewness_z,Magnetometer_Skewness_total,Magnetometer_Kurtosis_x,Magnetometer_Kurtosis_y,Magnetometer_Kurtosis_z,Magnetometer_Kurtosis_total,Magnetometer_Correlation_x_y,Magnetometer_Correlation_x_z,Magnetometer_Correlation_x_total,Magnetometer_Correlation_y_z,Magnetometer_Correlation_y_total,Magnetometer_Correlation_z_total,Magnetometer_Zero_x,Magnetometer_Zero_y,Magnetometer_Zero_z,Magnetometer_Zero_total,Magnetometer_Dc_x,Magnetometer_Dc_y,Magnetometer_Dc_z,Magnetometer_Energy_x,Magnetometer_Energy_y,Magnetometer_Energy_z,Magnetometer_Entropy_x,Magnetometer_Entropy_y,Magnetometer_Entropy_z,class
-0.925455556,-0.209377778,0.315286111,-0.273182407,0.096500796,0.129776074,0.117997805,0.114758225,-0.331607172,-0.284056313,0.762235382,0.048857299,0.284433559,0.277442896,0.134659418,0.232178624,-0.36251906,-0.00596912,0.424807479,-0.227477775,0.592121554,0.765963465,0,0.025,0,0.008333333,310.2772525,19.0450105,37.6149265,311.68094,21.845118,40.798373,-2322.171383,-23.25633282,-46.0129681,4.0643,2.90525,-1.312686111,1.885621296,69.1983642,18.04955357,26.67886002,37.9755926,-0.270890202,-0.723276349,0.455773685,-0.179464289,-0.358724237,0.912239054,-0.665069122,-0.037184768,0.368163688,-0.837431987,1.408847631,-0.521078068,0.780082881,-1.071090333,0.030555556,0.091666667,0.038888889,0.053703704,704260.3435,63265.14468,105603.2582,1729775.571,120321.6702,256854.498,360.0749386,361.0803451,360.505274,-0.415813889,0.318775,-0.312536111,-0.136525,0.045944366,0.074819427,0.129384392,0.083382728,0.123759899,-0.028567381,0.07965067,0.058281063,-0.960074261,-1.141900629,-1.649412868,-1.250462586,0.1452343,-0.92197055,-0.749290494,0.030342483,1.02440841,1.070908187,0,0,0,0,62.747575,37.0443775,39.6867585,63.004347,38.597561,41.190891,-76.37002323,-43.23278318,-46.51285155,cement
-0.751127778,0.338716667,0.427016667,0.004868519,0.296266528,0.148101983,0.271252946,0.238540486,1.451983556,-0.551608496,1.44434326,0.781572773,1.005552556,-0.134459077,1.576730937,0.815941472,0.067526514,0.718924861,2.101437094,-0.206518883,0.469894967,1.901817467,0.005555556,0.016666667,0,0.007407407,216.7666675,45.958172,76.321183,234.708046,49.198744,92.131702,-674.3840595,-56.98673187,-123.8198509,15.07206111,-7.985016667,-20.282375,-4.398443519,52.3351605,36.94939747,46.66805371,45.31753722,0.130784226,0.176072446,-1.213056018,-0.302066449,0.691231883,-0.375040349,1.225414965,0.513868833,-0.764353444,-0.46451777,0.053282266,0.643997796,0.595817044,1.018430723,0.066666667,0.058333333,0.069444444,0.064814815,637869.4433,246428.4959,357420.0588,1067808.978,514446.6471,932141.5101,360.121411,360.2520976,360.1390884,-0.318097222,0.162363889,-0.419522222,-0.191751852,0.117345354,0.069638857,0.140679836,0.109221349,1.171334424,0.26707704,0.40759926,0.615336908,0.428892585,-1.416574106,-1.67115416,-0.88627856,0.536006091,-0.731602238,0.473813258,-0.574073541,0.474047524,0.135979704,0,0,0,0,39.367486,10.6114435,66.676314,41.384079,11.236177,70.484296,-46.75933454,-11.59817462,-87.64411122,cement
-0.149194444,0.269466667,0.951077778,0.357116667,0.131481097,0.124311075,0.173723454,0.143171875,-0.219899631,-0.509724471,0.395754435,-0.111289889,-0.799435386,0.599066836,-0.415101522,-0.205156691,0.300918853,-0.390564884,0.70571376,-0.244440603,0.848009777,0.642478701,0.05,0.038888889,0,0.02962963,9.7139465,28.975862,331.9643915,14.236654,31.70359,336.50236,-14.82284198,-34.76520624,-5155.447509,7.884211111,-14.95131111,-57.320325,-21.462475,14.42952936,23.86527303,61.14688894,33.14723044,0.004985521,-0.304649321,-0.337951681,-0.212538494,0.49101901,-0.036562668,-0.252314075,0.067380756,-0.018925657,-0.229373758,-0.001436871,0.812965001,2.211420512,2.330172514,0.144444444,0.086111111,0.044444444,0.091666667,66265.10881,165368.6773,2174135.535,97333.95687,285513.4659,2528842.207,361.3364413,360.4544921,360.051256,-0.099819444,0.119686111,-0.498155556,-0.15942963,0.080812631,0.103630132,0.042619352,0.075687371,0.644901944,0.491864006,-0.568053693,0.189570752,-0.646974432,-1.375300773,-1.22140847,-1.081227892,0.342782041,-0.556035837,1.223946482,-0.95371612,1.198145556,-1.336406491,0.002777778,0.008333333,0,0.003703704,4.718435,8.3730445,89.948614,5.938057,9.023029,89.991132,-6.037645565,-9.254995935,-119.9842352,cement
-0.158319444,0.231558333,0.954108333,0.342449074,0.121173226,0.133251796,0.177751831,0.144058951,-0.415606682,-0.236312622,0.512446581,-0.046490908,-0.281515531,0.414435614,-0.006414564,0.042168506,0.317937236,-0.449766696,0.580263008,-0.278396377,0.848901161,0.598056083,0.05,0.047222222,0,0.032407407,11.558262,21.6739405,333.0767185,14.309279,25.695109,339.090633,-14.90158725,-27.67006852,-5838.179027,8.358225,-12.97871944,-57.956875,-20.85912315,14.38442524,23.67762539,64.53196596,34.19800553,-0.129509667,-0.00883893,-0.436625682,-0.191658093,0.013999162,-0.583755987,-0.509008902,-0.359588576,-0.207406451,-0.454515818,-0.580655685,0.771625217,2.061193158,2.230079468,0.127777778,0.077777778,0.055555556,0.087037037,64252.2326,174218.0271,1762100.38,99637.78127,262467.7569,2708414.637,361.305428,360.4944531,360.0478572,-0.054033333,0.176747222,-0.523963889,-0.13375,0.092058822,0.105004788,0.039773195,0.078945602,-0.220648113,-0.409109453,0.500606926,-0.043050213,-1.386295016,-1.491150907,-1.129138983,-1.335528302,0.352681684,-0.590405578,1.337753708,-0.939071569,1.268245095,-1.433719623,0.016666667,0.011111111,0,0.009259259,3.664523,13.149064,99.2380245,4.101994,15.215611,99.403223,-4.149272587,-15.88708809,-137.3200417,cement
-0.171402778,0.223105556,0.958038889,0.336580556,0.117130063,0.126436062,0.16391237,0.135826165,-0.238949374,-0.781648085,0.699416395,-0.107060354,-0.919480093,1.193648023,0.28452085,0.186229593,0.294333242,-0.393834309,0.661066178,-0.366889848,0.741930307,0.52563087,0.022222222,0.077777778,0,0.033333333,14.185343,21.26711,333.1952355,15.515411,23.67438,340.09408,-16.21421723,-25.34084914,-6150.625985,10.60433611,-13.03839444,-64.74587222,-22.39331019,15.77301471,20.80810476,56.66884231,31.0833206,-0.087752359,0.072591432,-0.225243527,-0.080134818,0.305596165,-0.083446886,-0.532632926,-0.103494549,-0.183725067,-0.554545502,-0.626554917,0.758337108,1.9587448,2.049380334,0.097222222,0.091666667,0.036111111,0.075,87937.76595,161486.793,2348408.756,130046.3775,217071.7032,2665218.837,360.999334,360.5980295,360.048633,-0.110508333,0.164911111,-0.511236111,-0.152277778,0.091177513,0.100566025,0.038428394,0.076723977,0.67658186,-0.006938244,-0.131646339,0.179332426,-0.842594026,-1.612532833,-1.550145003,-1.335090621,0.263874811,-0.560892713,1.253325892,-0.927469574,1.159797901,-1.381371778,0.005555556,0.005555556,0,0.003703704,6.307756,10.1117875,94.111866,7.389155,13.431312,94.622077,-7.543998824,-13.95184414,-128.3601414,cement
-0.153513889,0.23215,0.951613889,0.343416667,0.1240842,0.128258375,0.15204414,0.134795572,-0.216305206,-0.145614763,0.824104204,0.154061412,-0.816529581,1.72174394,0.548386751,0.484533703,0.291153304,-0.237428868,0.929758896,-0.255960265,0.930806854,0.665852146,0.052777778,0.05,0,0.034259259,10.401521,22.940553,332.38159,14.026825,25.32378,334.327109,-14.59551597,-27.23994194,-4688.126446,9.237263889,-12.90086667,-61.18269444,-21.61543241,14.46248833,22.89346125,61.33208801,32.89601253,-0.496463449,-0.12550124,-0.369770278,-0.330578322,1.260141344,0.348104925,-0.411530282,0.398905329,-0.180447806,-0.472720758,-0.567288745,0.786253834,2.082511558,2.203775949,0.113888889,0.075,0.052777778,0.080555556,60481.75263,111192.9435,1499143.256,106016.6206,248595.4543,2701780.963,361.226615,360.522085,360.0479748,-0.077836111,0.138413889,-0.508661111,-0.149361111,0.089122689,0.10241421,0.038654763,0.076730554,0.279921837,0.409684488,-0.285041639,0.134854895,-1.16334611,-1.528391052,-1.419219815,-1.370318993,0.293193644,-0.575033538,1.263148696,-0.934690155,1.204398827,-1.411684395,0.005555556,0,0,0.001851852,2.5048105,9.849528,93.435435,5.040473,10.672947,93.682914,-5.112048394,-10.99903625,-126.6379471,cement
-0.160194444,0.209913889,0.964313889,0.338011111,0.113907155,0.128474277,0.176363384,0.139581605,-0.380899519,-0.617771445,0.591830829,-0.135613378,-0.431035021,2.260194669,0.106491683,0.64521711,0.356408799,-0.390688217,0.650468388,-0.158249509,1.011325024,0.799032287,0.044444444,0.066666667,0,0.037037037,11.060353,19.505045,342.212686,13.909356,21.805013,345.961915,-14.46837193,-23.2108842,-8872.028443,8.135125,-11.54101944,-56.03084167,-19.81224537,14.28178762,20.34328068,56.20091184,30.27532672,-0.709112499,0.288386547,-0.211835097,-0.210853683,1.691995578,-0.297620231,-0.379156006,0.338406447,-0.128972208,-0.434975088,-0.422387738,0.76377648,2.028921511,2.164350196,0.105555556,0.077777778,0.055555556,0.07962963,58905.33448,87508.33277,1573784.928,97253.89793,196935.9116,2267279.176,361.3375455,360.6592873,360.0571701,-0.076102778,0.197238889,-0.527677778,-0.135513889,0.086414138,0.107108349,0.038591256,0.077371248,0.137591111,-0.544800374,0.388128858,-0.006360135,-1.214288724,-1.433240037,-1.402777032,-1.350101931,0.262801762,-0.525027635,1.218810963,-0.938101978,1.209953383,-1.38626572,0.011111111,0,0,0.003703704,2.521585,18.057984,100.7387075,4.773253,18.135136,100.775924,-4.837392157,-19.09716279,-139.9535614,cement
-0.150336111,0.199811111,0.965336111,0.33827037,0.118762746,0.137827561,0.189190955,0.148593754,-0.359311275,-0.448650869,0.681121013,-0.042280377,-0.753819315,1.380557861,0.141628489,0.256122345,0.33104113,-0.39069387,0.608865368,-0.211812575,0.922447192,0.764483465,0.05,0.091666667,0,0.047222222,10.8997755,18.346544,340.5229115,13.213993,21.21153,348.360129,-13.71750124,-22.53958288,-10774.14401,8.280286111,-10.91435833,-58.99983333,-20.54463519,13.54004457,22.92516205,60.82659102,32.43059921,-0.317640592,-0.220766027,-0.276032439,-0.271479686,0.57485225,-0.310650672,-0.118928571,0.048424336,-0.133298671,-0.448341493,-0.517626381,0.743335519,2.045440396,2.213869499,0.108333333,0.108333333,0.055555556,0.090740741,61700.15626,152069.7036,2330270.142,90682.54022,232087.0583,2585107.623,361.4348578,360.5592787,360.0501403,-0.112119444,0.152605556,-0.506705556,-0.155406481,0.083316829,0.106309245,0.038768214,0.076131429,0.817058774,0.37042777,-0.39469574,0.264263601,-0.620271454,-1.478469384,-1.298303211,-1.132348016,0.365553637,-0.643734939,1.277029834,-0.930697524,1.32250944,-1.494881838,0.016666667,0,0,0.005555556,6.171788,11.248466,92.9183645,7.024487,12.45244,92.971258,-7.16427975,-12.89860415,-125.3410125,cement
-0.159138889,0.195641667,0.959805556,0.332102778,0.121573835,0.136647547,0.172052192,0.143424525,-0.153946072,-0.564404592,0.7830304,0.021559912,-0.643807635,1.335536168,0.830900144,0.507542893,0.297163212,-0.333432847,0.730785807,-0.263051632,0.889082318,0.666344349,0.041666667,0.111111111,0,0.050925926,10.920988,17.0101675,337.675859,14.437938,20.501357,342.298318,-15.04116988,-21.73937561,-6961.338164,9.411855556,-11.52846944,-61.78411389,-21.30024259,15.67498745,20.52591397,55.026305,30.4090688,-0.5598812,-0.135262027,-0.486151469,-0.393764899,0.91868066,-0.230070212,-0.320291641,0.122772935,-0.072930357,-0.31772347,-0.108688739,0.745430131,1.98628237,2.148919086,0.102777778,0.094444444,0.047222222,0.081481481,60793.86693,76452.96791,1776261.397,120343.7723,199518.7507,2464261.55,361.0801461,360.6507372,360.0525995,-0.056291667,0.176077778,-0.522888889,-0.134367593,0.093854,0.102104982,0.034293891,0.076750958,-0.239078137,0.05523165,0.131222979,-0.017541169,-1.325032663,-1.64331147,-1.523897505,-1.497413879,0.299887644,-0.618606718,1.345385044,-0.911606765,1.28973105,-1.522383811,0.016666667,0,0,0.005555556,3.9111545,11.3176035,98.5084275,4.311837,14.914372,98.85199,-4.364107332,-15.55896127,-136.2702951,cement
-0.278844444,-0.066527778,0.938833333,0.19782037,0.145768474,0.188412666,0.14834191,0.160841017,-0.231333231,0.484117922,0.318186081,0.19032359,-0.117850546,0.021368233,1.405551865,0.436356518,0.449634583,0.015282618,1.447095909,8.68E-05,1.579000766,0.936241207,0.005555556,0.05,0,0.018518519,32.346914,4.11321,321.8086685,35.640962,14.3731,325.228806,-39.55723386,-14.9708139,-3367.223172,-6.211811111,-0.436669444,16.58507778,3.312199074,20.58488564,17.61530569,58.9226632,32.37428485,-0.776538205,-0.719962072,1.14552837,-0.116990636,0.709342599,1.807311317,0.997250539,1.171301485,0.32660538,-0.541753564,-0.172464769,-0.577590925,-0.299458521,1.161300937,0.094444444,0.091666667,0.063888889,0.083333333,74068.00885,54973.64648,579786.8576,166436.6811,111776.2829,1348900.216,360.7803624,361.1632052,360.0961039,-0.187447222,0.360361111,-0.494180556,-0.107088889,0.117489278,0.06355232,0.062554182,0.081198594,0.139475534,-0.071867064,-0.035453292,0.010718393,-1.71934537,-1.243230698,-1.712363003,-1.558313024,-0.629054181,-0.941022612,0.229640994,0.742471423,0.444464483,-0.010099976,0.008333333,0,0,0.002777778,17.3379855,47.7795455,89.26551,17.618469,48.20365,89.325881,-18.52509048,-55.65592413,-118.8045509,cement
