Accelerometer_Avg_x,Accelerometer_Avg_y,Accelerometer_Avg_z,Accelerometer_Avg_total,Accelerometer_Deviation_x,Accelerometer_Deviation_y,Accelerometer_Deviation_z,Accelerometer_Deviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometer_Dc_x,Accelerometer_Dc_y,Accelerometer_Dc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscope_Avg_x,Gyroscope_Avg_y,Gyroscope_Avg_z,Gyroscope_Avg_total,Gyroscope_Deviation_x,Gyroscope_Deviation_y,Gyroscope_Deviation_z,Gyroscope_Deviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscope_Dc_x,Gyroscope_Dc_y,Gyroscope_Dc_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,Magnetometer_Avg_x,Magnetometer_Avg_y,Magnetometer_Avg_z,Magnetometer_Avg_total,Magnetometer_Deviation_x,Magnetometer_Deviation_y,Magnetometer_Deviation_z,Magnetometer_Deviation_total,Magnetometer_Skewness_x,Magnetometer_Skewness_y,Magnetometer_Skewness_z,Magnetometer_Skewness_total,Magnetometer_Kurtosis_x,Magnetometer_Kurtosis_y,Magnetometer_Kurtosis_z,Magnetometer_Kurtosis_total,Magnetometer_Correlation_x_y,Magnetometer_Correlation_x_z,Magnetometer_Correlation_x_total,Magnetometer_Correlation_y_z,Magnetometer_Correlation_y_total,Magnetometer_Correlation_z_total,Magnetometer_Zero_x,Magnetometer_Zero_y,Magnetometer_Zero_z,Magnetometer_Zero_total,Magnetometer_Dc_x,Magnetometer_Dc_y,Magnetometer_Dc_z,Magnetometer_Energy_x,Magnetometer_Energy_y,Magnetometer_Energy_z,Magnetometer_Entropy_x,Magnetometer_Entropy_y,Magnetometer_Entropy_z,class
-0.161255556,-0.427827778,0.864741667,0.091886111,0.17075828,0.131920002,0.226904281,0.176527521,-0.814987731,-0.882569102,-0.166618882,-0.621391905,1.160837705,0.059305059,1.293610971,0.837917912,0.045730208,0.084666503,1.110320929,0.194730181,1.041842794,1.512798637,0.094444444,0,0,0.031481481,13.5408125,68.98485,275.2038665,19.858228,72.158218,287.734933,-21.01759522,-90.24735151,-1433.397632,6.877561111,18.34353611,-31.67010278,-2.149668519,22.91303505,24.53453594,47.924703,31.79075799,-0.307734838,0.885623032,-1.366821766,-0.262977858,1.809108833,0.231389847,1.72256411,1.254354264,0.183722734,-0.41472051,0.237340356,-0.812911589,-0.321299828,0.581231464,0.144444444,0.044444444,0.05,0.07962963,102889.6756,208539.2606,657524.6552,206030.8879,337834.3575,1187918.124,360.6301329,360.3840292,360.1091315,-0.124013889,0.430927778,-0.464555556,-0.052547222,0.121870434,0.059356646,0.039854907,0.073693995,0.366996156,-0.047010171,0.791518,0.370501328,-1.718151884,-0.032729609,0.184816901,-0.522021531,-0.398283238,-0.54363199,1.038935041,0.918189467,0.643363824,0.381345691,0.008333333,0,0,0.002777778,6.187424,67.315112,77.8699785,10.883465,68.119906,78.2641,-11.22274945,-84.01794663,-100.0052744,cement
-0.932797222,-0.397608333,0.145125,-0.395093519,0.209404647,0.170815168,0.133137203,0.171119006,-1.48009114,-0.042630697,1.240098971,-0.094207622,3.460477558,-0.615743683,1.330852412,1.391862096,0.121943109,-0.40817366,1.027888625,-0.304990971,0.910155921,-0.025907944,0,0,0.041666667,0.013888889,319.486168,60.8214345,9.895449,329.025947,67.417275,13.963241,-3824.147293,-82.95164726,-14.52668432,-51.52799167,-27.11278889,12.97723333,-21.88784907,41.44269633,20.83928949,14.14010357,25.4740298,-0.111251354,-0.240592802,-0.07953312,-0.143792425,-0.879830592,0.510069301,-0.391121281,-0.253627524,0.645570805,-0.511725404,1.870928291,-0.285444396,1.709869674,-0.510937432,0.033333333,0.044444444,0.047222222,0.041666667,1363412.956,367036.4464,108307.8545,1574147.162,420976.5508,132606.401,360.0823491,360.3081191,360.9799889,-0.738058333,0.426116667,0.120283333,-0.063886111,0.069691897,0.084695387,0.093068689,0.082485324,0.318557916,0.298583133,-0.063852147,0.184429634,-1.546606921,-1.512240733,-1.546251239,-1.535032964,0.820697053,-0.726460045,0.867917636,-0.239384671,1.450101642,0.268720928,0,0,0.022222222,0.007407407,197.617595,66.284619,7.8004905,197.851343,67.94954,8.32675,-439.2665644,-83.75893125,-8.52390678,cement
-0.904088889,-0.428702778,0.147783333,-0.395002778,0.187503327,0.154950146,0.128497958,0.15698381,-1.119247984,-0.122666558,0.98635678,-0.085185921,1.094693573,-0.193026181,0.453285338,0.45165091,0.116595291,-0.483797106,0.913488108,-0.237469496,0.931929256,0.006296561,0,0,0.036111111,0.012037037,300.3541695,71.1591645,9.71606,306.912318,74.806423,13.80659,-2081.24428,-94.42818651,-14.35721263,32.14914167,12.82294167,-10.12216667,11.61663889,60.35414398,33.57487166,19.85372197,37.9275792,-0.755752735,-0.225703978,0.387379764,-0.19802565,0.905530108,-0.100237782,0.011390459,0.272227595,0.875530149,-0.843524674,1.924795981,-0.71083552,1.906370379,-1.448093976,0.030555556,0.058333333,0.025,0.037962963,1116614.408,309175.0195,105887.8297,1683428.402,465011.9423,178786.2722,360.0770022,360.2789185,360.7263504,-0.716647222,0.443858333,0.065147222,-0.069213889,0.052157832,0.084995094,0.099122276,0.078758401,-0.215136788,-0.480072476,0.398355143,-0.098951374,-1.408447613,-1.362749229,-1.456270368,-1.409155737,0.78728331,-0.87015031,0.416739953,-0.533877789,0.928648916,0.106149046,0,0,0.022222222,0.007407407,185.702979,72.180534,4.83289,185.869325,73.524379,5.064979,-384.2686362,-92.39451632,-5.137257053,cement
-0.891761111,-0.477402778,0.147036111,-0.407375926,0.190949989,0.155601741,0.124178283,0.156910004,-1.022843615,-0.09609297,0.789271868,-0.109888239,0.638762117,-0.660673058,0.090854864,0.022981308,-0.026484522,-0.492171936,0.801171898,-0.05821707,0.913359388,0.134722955,0,0,0.036111111,0.012037037,290.133228,86.4381235,9.1771315,299.41192,90.765113,13.334351,-1779.034609,-121.3640663,-13.8472513,60.24965556,27.124725,-16.87279444,23.5005287,38.86132121,27.07424322,12.6631783,26.19958091,-0.285492938,-0.02218967,-0.311673243,-0.20645195,-0.655850008,-0.9146192,-0.064540608,-0.545003272,0.763859815,-0.560111123,2.001919833,-0.49126403,1.928957606,-0.855131304,0.008333333,0.055555556,0.025,0.02962963,1486962.547,380134.9565,126473.2074,1850480.381,528755.5268,160217.0197,360.0700495,360.2452708,360.8107245,-0.744561111,0.426038889,0.120116667,-0.066135185,0.044317311,0.095313481,0.091904466,0.077178419,0.459905244,0.043329385,-0.632471559,-0.043078977,-1.478834228,-1.570594823,-0.916241987,-1.321890346,0.799362876,-0.818105391,0.587208581,-0.374661479,1.247836271,0.258335756,0,0,0.011111111,0.003703704,199.8831825,65.4546175,7.6270445,200.280698,68.613766,8.2348,-451.423531,-84.7704966,-8.427576122,cement
-0.905025,-0.413719444,0.127236111,-0.397169444,0.177229769,0.177859094,0.147461209,0.167516691,-1.220414532,0.189531065,1.193713044,0.054276526,1.963858939,-0.19828591,2.102834932,1.289469321,0.030364537,-0.441648473,0.701448672,-0.284153461,0.843730738,0.111324279,0,0.005555556,0.075,0.026851852,302.165095,65.553459,10.472406,306.173031,73.007149,13.656181,-2047.714988,-91.57919282,-14.19463807,-18.97618056,-10.39078889,4.516841667,-8.283375926,76.54550685,38.76371984,23.28402983,46.19775217,0.369979783,0.843736398,-0.437282994,0.258811062,-0.308015824,0.448676162,-0.092521149,0.016046396,0.890276738,-0.768031627,2.016831322,-0.750760412,1.935801461,-1.398501087,0.019444444,0.044444444,0.036111111,0.033333333,811170.2142,203906.4511,62363.15616,2238951.617,579814.0089,202517.2454,360.0578935,360.2236588,360.6410851,-0.724716667,0.434738889,0.081141667,-0.069612037,0.065725927,0.079713052,0.102939461,0.082792814,-0.029354359,0.000771868,0.402583014,0.124666841,-1.594168183,-1.315816876,-1.207334322,-1.372439794,0.814964566,-0.783123222,0.604822512,-0.394914594,1.118757225,0.241423295,0,0,0.008333333,0.002777778,189.131802,68.3430195,3.0023745,190.632292,70.326746,6.184981,-405.1989953,-87.40064266,-6.293099615,cement
-0.880580556,-0.436188889,0.139427778,-0.392447222,0.162055166,0.158299954,0.114500171,0.144951764,-0.677121983,0.109209287,1.040240211,0.157442505,0.705297401,-0.01670779,1.496022959,0.72820419,-0.178892931,-0.291280501,0.692539045,-0.12966951,0.789657513,0.322658949,0,0,0.030555556,0.010185185,284.6250115,74.191515,8.654094,288.606237,77.515064,11.718142,-1455.284621,-98.78552618,-12.11240558,20.130875,9.208563889,-6.184416667,7.718340741,70.16560211,37.3031199,22.10803624,43.19225275,-0.957206936,-0.456278194,0.705128686,-0.236118815,0.157101918,-0.091056751,0.05730638,0.041117183,0.929641518,-0.827781411,2.003681313,-0.772818863,1.978282305,-1.500322291,0.027777778,0.036111111,0.030555556,0.031481481,684408.6476,205953.3298,73587.11708,1918246.985,531475.345,189724.4192,360.0675744,360.2440148,360.6843947,-0.731133333,0.436255556,0.086738889,-0.06937963,0.053906905,0.09834656,0.093015015,0.08175616,0.109541162,-0.092407398,-0.13735361,-0.040073282,-1.472667858,-1.570584969,-1.382232331,-1.475161719,0.804431802,-0.773696601,0.746789051,-0.33287547,1.354620523,0.227142125,0,0,0.016666667,0.005555556,192.7318655,70.154501,3.1294925,193.486286,71.996744,5.823154,-418.3142715,-89.99491256,-5.918894653,cement
-0.891908333,-0.422016667,0.143366667,-0.390186111,0.157745945,0.150475671,0.101911012,0.136710876,-1.48410756,0.442620633,1.190984078,0.049832384,4.861368975,0.294239737,2.137864626,2.431157779,-0.00491656,-0.296414924,0.927491515,-0.310644946,0.863442366,0.061503909,0,0.005555556,0.016666667,0.007407407,290.3376375,69.124231,9.508753,295.338333,72.266758,11.138348,-1644.278671,-90.4171958,-11.49396976,-35.81266667,-17.88291667,8.496311111,-15.06642407,41.04028645,21.18260048,12.78721152,25.00336615,-0.756165523,-0.342948111,0.432388892,-0.222241581,-0.21730109,-0.715727235,-0.824274113,-0.585767479,0.739237085,-0.671030637,1.924486459,-0.576265135,1.765853356,-1.078209711,0.036111111,0.05,0.052777778,0.046296296,658198.9422,186066.9861,49600.84656,1068066.794,276660.4577,84852.0291,360.1213816,360.4690546,361.5338725,-0.743158333,0.4298,0.135438889,-0.059306481,0.071396039,0.082130614,0.104323278,0.085949977,0.51382765,0.527094863,-0.339217229,0.233901761,-1.498614356,-1.37944371,-1.510892624,-1.462983564,0.840816839,-0.828648928,0.628336063,-0.459595486,1.096161997,0.086261419,0,0,0.016666667,0.005555556,199.648474,66.955277,9.9005985,200.657413,68.930452,10.521734,-453.3418846,-85.25441047,-10.8385116,cement
-0.672958333,0.190347222,0.696516667,0.071301852,0.165929054,0.15961086,0.212567871,0.179369262,-0.334012504,-1.118718482,-0.182502467,-0.545077817,-0.227844462,4.228107691,1.033211222,1.677824817,0.362476975,-0.083031086,1.149219063,0.347854263,1.63739851,1.417812154,0,0.041666667,0,0.013888889,167.1180915,17.828243,184.7728525,172.945933,22.214769,190.915404,-332.8478064,-23.67574454,-406.4802298,33.30865556,-7.958913889,-31.82307778,-2.157778704,44.0496623,21.97158258,58.79186594,41.60437028,-0.31673128,0.230120841,0.116535556,0.009975039,-0.369857549,0.844613958,-0.283983752,0.063590885,-0.338625673,-0.869067817,-0.348150882,0.35626637,0.673025466,0.681117341,0.05,0.116666667,0.061111111,0.075925926,686642.0959,122675.6254,877098.2975,1097942.142,196594.1105,1608909.041,360.1180777,360.6604356,360.0805695,-0.322038889,0.201977778,-0.378088889,-0.16605,0.104850362,0.096947979,0.136356346,0.112718229,-2.291729182,0.310765847,2.318268405,0.112435023,8.168314727,-1.273012471,8.00903338,4.968111879,-0.646372127,-0.976546344,-0.807077978,0.526075023,0.895234922,0.753800154,0,0,0.002777778,0.000925926,39.42411,17.7601365,54.3258565,41.292952,18.069816,58.155934,-46.643031,-19.02474267,-69.36076802,cement
-0.703516667,0.196438889,0.710894444,0.067938889,0.191374864,0.14912052,0.193750441,0.178081942,-1.215938296,-0.26609785,-0.070041628,-0.517359258,1.912233192,0.569681632,0.524763725,1.002226183,0.486680797,0.02006374,1.504006041,0.309748576,1.697381059,1.368920412,0,0.05,0,0.016666667,185.48692,17.861674,187.704322,191.361614,21.89706,195.447652,-408.5083039,-23.31521163,-427.5913141,17.18143889,-2.756291667,-13.48820278,0.312314815,63.97569716,29.3029849,73.6848776,55.65451989,-0.493314857,-0.688103719,0.320120559,-0.287099339,-0.487809572,1.069491768,-0.67529159,-0.031203131,-0.588253517,-0.887768295,-0.335587926,0.579472461,0.617513429,0.608567909,0.055555556,0.113888889,0.058333333,0.075925926,669696.6788,178543.2279,953637.3698,1579713.001,311854.3444,2020101.408,360.0820589,360.4160589,360.0641666,-0.323786111,0.220083333,-0.367508333,-0.15707037,0.075638367,0.089661578,0.109979089,0.091759678,0.07736624,-0.118087894,-0.124462779,-0.055061478,-1.44911091,-0.866439946,-1.753450803,-1.356333886,-0.143329516,-0.953544059,-0.458618545,-0.022890845,0.831551015,0.390172943,0,0,0,0,38.157867,18.0985755,49.517441,39.801099,20.331314,52.976799,-44.74842229,-21.54827142,-62.11793629,cement
-0.739327778,0.225419444,0.620022222,0.035371296,0.198465777,0.15845907,0.213986434,0.19030376,-1.020646213,-0.390351574,0.298527666,-0.370823374,1.754955957,1.733104406,0.226725802,1.238262055,0.40033055,-0.179754803,1.174105516,0.158428561,1.428308858,1.068900054,0,0.055555556,0,0.018518519,204.455039,22.211524,149.2785055,210.957922,27.332353,154.87839,-509.5530936,-29.57801027,-271.8203138,-33.32482778,14.75353611,32.06708056,4.498596296,54.5921375,22.80859697,65.85821736,47.75298395,-0.204928884,-0.444388377,-0.156736853,-0.268684704,-0.456739342,0.477725359,-0.115479976,-0.031497987,-0.327567908,-0.878432747,-0.224724002,0.334153345,0.564000532,0.53450618,0.075,0.1,0.069444444,0.081481481,911651.8416,178162.683,1070813.734,1472704.424,265643.6125,1931616.882,360.0880229,360.4885338,360.0671066,-0.351052778,0.243169444,-0.366116667,-0.158,0.076265144,0.10018226,0.079686697,0.085378034,0.473814373,-0.058731079,-0.217220277,0.065954339,-1.220475151,-1.432621589,-1.386965712,-1.346687484,-0.50750511,-0.902396142,-0.544482353,0.128172781,0.839688757,0.277658822,0,0,0,0,45.826149,24.3620025,49.074237,46.459593,24.900431,50.540898,-53.34385332,-26.75072125,-58.79524358,cement
