Accelerometer_Avg_x,Accelerometer_Avg_y,Accelerometer_Avg_z,Accelerometer_Avg_total,Accelerometer_Deviation_x,Accelerometer_Deviation_y,Accelerometer_Deviation_z,Accelerometer_Deviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometer_Dc_x,Accelerometer_Dc_y,Accelerometer_Dc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscope_Avg_x,Gyroscope_Avg_y,Gyroscope_Avg_z,Gyroscope_Avg_total,Gyroscope_Deviation_x,Gyroscope_Deviation_y,Gyroscope_Deviation_z,Gyroscope_Deviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscope_Dc_x,Gyroscope_Dc_y,Gyroscope_Dc_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,Magnetometer_Avg_x,Magnetometer_Avg_y,Magnetometer_Avg_z,Magnetometer_Avg_total,Magnetometer_Deviation_x,Magnetometer_Deviation_y,Magnetometer_Deviation_z,Magnetometer_Deviation_total,Magnetometer_Skewness_x,Magnetometer_Skewness_y,Magnetometer_Skewness_z,Magnetometer_Skewness_total,Magnetometer_Kurtosis_x,Magnetometer_Kurtosis_y,Magnetometer_Kurtosis_z,Magnetometer_Kurtosis_total,Magnetometer_Correlation_x_y,Magnetometer_Correlation_x_z,Magnetometer_Correlation_x_total,Magnetometer_Correlation_y_z,Magnetometer_Correlation_y_total,Magnetometer_Correlation_z_total,Magnetometer_Zero_x,Magnetometer_Zero_y,Magnetometer_Zero_z,Magnetometer_Zero_total,Magnetometer_Dc_x,Magnetometer_Dc_y,Magnetometer_Dc_z,Magnetometer_Energy_x,Magnetometer_Energy_y,Magnetometer_Energy_z,Magnetometer_Entropy_x,Magnetometer_Entropy_y,Magnetometer_Entropy_z,class
-0.121827778,0.372938889,0.907305556,0.386138889,0.121226319,0.130283373,0.155178592,0.135562761,-0.57853278,-0.096635287,0.903212331,0.076014755,0.540237232,-0.20884575,1.407611337,0.579667606,0.379268794,-0.335841137,0.874306339,-0.167779698,1.108157684,0.683129361,0.086111111,0.005555556,0,0.030555556,7.8610105,52.9917055,300.3179925,10.633618,56.180582,305.022156,-10.95727201,-66.56917999,-1997.313248,2.927041667,-19.85788611,-40.98181389,-19.30421944,11.19256473,27.25646396,54.72891951,31.05931607,0.447750109,-0.698329654,-0.365615201,-0.205398249,-0.04155525,0.436696905,-0.935244009,-0.180034118,-0.0868032,-0.084409879,0.135449054,0.886654605,2.408635203,2.509753454,0.091666667,0.061111111,0.044444444,0.065740741,34772.46203,282263.0961,1270388.552,48182.78817,409410.1685,1682914.932,362.7100051,360.3168316,360.0770257,0.128088889,-0.069216667,-0.451261111,-0.130796296,0.116927342,0.071791927,0.03916381,0.075961026,-0.473110559,-0.197701604,0.473822785,-0.065663126,-1.476880204,-0.229324323,-1.266776066,-0.990993531,0.132665845,-0.491518029,1.411275814,-0.901720273,0.684421901,-1.093249083,0.005555556,0.002777778,0,0.002777778,10.328791,2.181198,73.466081,10.828356,3.58021,73.861342,-11.16416017,-3.61617294,-92.92726577,cement
0.159869444,-0.693213889,0.711158333,0.059271296,0.09636111,0.109848842,0.132132341,0.112780764,-0.517750823,0.351584058,1.155330683,0.329721306,-0.007940417,0.398633171,1.597240282,0.662644345,-0.224268207,-0.287766204,0.298830082,-0.108948616,0.654743508,0.819598903,0.05,0,0,0.016666667,10.416104,175.6131445,185.2332365,12.543733,177.340415,188.353847,-12.99658204,-349.5165578,-395.0416816,-10.45061111,33.54190278,-48.80504167,-8.57125,23.79220124,36.69987714,33.97145493,31.48784444,0.452463518,-0.21241797,0.067180433,0.102408661,0.193700643,-0.852959396,-0.604703841,-0.421320864,-0.674576197,0.607602858,0.624891642,-0.874623787,-0.28779417,0.518583573,0.069444444,0.055555556,0.027777778,0.050925926,150591.5258,771667.8497,1156260.127,243102.2805,889898.4806,1272957.063,360.5338996,360.1456935,360.101839,0.072972222,0.504058333,-0.272994444,0.10134537,0.109015948,0.079704311,0.059332397,0.082684219,0.042833152,0.720030225,0.404682681,0.389182019,-1.492761305,-1.004341321,-1.224492572,-1.240531733,0.178330504,0.465290801,1.82424747,0.916822391,1.856974065,2.214826655,0.011111111,0,0,0.003703704,2.3301415,93.070752,27.445411,6.195392,93.753929,28.096668,-6.3038781,-126.7677465,-30.47513991,cement
0.125577778,-0.689438889,0.729977778,0.055372222,0.100981046,0.111565908,0.126170914,0.112905956,-0.316003393,0.616557295,0.848831374,0.383128425,0.043128464,1.405760446,0.697791694,0.715560201,-0.284040082,0.052210067,0.672057093,-0.32991109,0.36541969,0.838187055,0.033333333,0,0,0.011111111,7.490333,173.3993655,194.5150345,9.348102,175.598256,197.563196,-9.597314999,-342.8133096,-437.8487437,-9.293033333,32.24693056,-47.67363611,-8.239912963,17.03946024,37.58443919,35.19582011,29.93990651,0.137471006,0.021936834,0.125181983,0.094863274,-0.131605666,0.010284967,-0.524218173,-0.215179624,-0.705522296,0.633345983,0.427988367,-0.893339031,-0.196362663,0.414565333,0.069444444,0.038888889,0.022222222,0.043518519,76238.00785,543231.2039,987670.7051,135613.3226,882883.6558,1264147.68,360.958202,360.1468516,360.1025489,0.071777778,0.537488889,-0.245966667,0.1211,0.101955522,0.081369663,0.054493516,0.0792729,-0.069713625,-0.282563855,-0.272253906,-0.208177129,-1.469036337,-1.263094277,-1.369675639,-1.367268751,0.151306654,0.419110725,1.729545779,0.943396789,1.869557184,2.194798564,0.008333333,0,0,0.002777778,2.920876,106.131646,22.7880935,5.596912,106.385518,22.848892,-5.685301252,-151.0118278,-24.39737235,cement
0.101488889,-0.672025,0.732991667,0.054151852,0.10308726,0.112717947,0.107802352,0.107869186,-0.369043663,0.519832501,0.720471131,0.29041999,0.011659658,1.002443826,1.16420392,0.726102468,-0.214239156,-0.216606102,0.515328028,-0.221530088,0.618815777,0.560888684,0.041666667,0,0,0.013888889,4.983052,165.148301,195.0120845,7.533712,167.156257,197.603327,-7.694739646,-312.0466943,-438.0459058,-5.321761111,25.41868333,-42.55595833,-7.48634537,21.3864956,36.03591241,42.09688156,33.17309652,-0.199790356,-0.148683948,0.359129705,0.0035518,-0.523760879,-0.069933624,-0.192525842,-0.262073448,-0.607606796,0.61945288,0.770740979,-0.833029527,-0.362541163,0.763444823,0.077777778,0.033333333,0.030555556,0.047222222,117683.0468,448758.3334,926421.0824,174853.2007,700090.7203,1289936.53,360.7427223,360.1852141,360.1004981,0.019586111,0.506622222,-0.274908333,0.083766667,0.104877141,0.074343808,0.054123726,0.077781558,0.425077005,0.339215817,0.447890095,0.404060972,-1.485856342,-1.225390438,-1.229883212,-1.313709998,0.327575676,0.568015324,2.05670179,0.936934721,2.04944989,2.357253416,0.002777778,0,0,0.000925926,3.9735855,92.982223,27.7087305,4.097819,94.389508,28.261429,-4.145000842,-127.9325324,-30.66907297,cement
0.085725,-0.669930556,0.741513889,0.052436111,0.092380881,0.108787807,0.152608849,0.117925846,-0.627554423,0.762396788,1.378530247,0.504457537,0.898608936,1.066159707,2.137284098,1.367350914,-0.375606091,-0.347580353,-0.012926086,-0.0565287,0.555113298,0.969672393,0.069444444,0,0,0.023148148,4.6638575,163.3623705,201.717451,5.717881,165.831025,206.327631,-5.810163849,-307.4598761,-483.3526524,-6.67615,28.59975,-44.27407778,-7.450159259,20.89670186,34.54759947,35.36494621,30.26974918,0.211902399,-0.092564951,0.234921073,0.118086174,0.049124539,-0.844099622,-0.932287403,-0.575754162,-0.645820766,0.622447776,0.680480591,-0.856618605,-0.305327784,0.620353185,0.088888889,0.05,0.025,0.05462963,88106.49591,435122.6454,798520.8727,173247.5259,724133.6386,1155914.418,360.7496203,360.1790615,360.112154,0.027519444,0.504861111,-0.275072222,0.085769444,0.09585869,0.086113347,0.060862964,0.080945,0.216465545,0.320754493,0.410101059,0.315773699,-1.33430612,-1.265147397,-1.279302776,-1.292918764,0.18624579,0.464222056,1.731433299,0.93770012,1.98947226,2.299230057,0.005555556,0,0,0.001851852,0.6606995,94.21482,28.3230475,3.580635,94.42809,28.57285,-3.616606522,-128.0034187,-31.03615983,cement
0.0689,-0.669141667,0.76305,0.054269444,0.103388942,0.130294514,0.15357075,0.129084736,-0.398189827,0.681707502,1.351012071,0.544843249,-0.267896239,1.050009343,2.384134274,1.055415792,-0.458426356,-0.389257819,-0.124880084,0.140686269,0.809573602,1.019922647,0.083333333,0,0,0.027777778,3.5909765,163.5476225,213.9248095,5.557134,167.301803,218.09854,-5.644261549,-312.5542948,-553.3098419,-3.682883333,27.03195833,-43.83319167,-6.828038889,19.8965243,36.08064366,38.73394809,31.57037202,0.432376932,-0.068222951,0.1967014,0.186951794,0.252528084,-0.53791778,-0.858816396,-0.381402031,-0.603367632,0.503864967,0.558856615,-0.854819192,-0.286179628,0.567515738,0.088888889,0.052777778,0.027777778,0.056481481,73377.03396,406440.5699,786953.8539,147396.7112,731714.2625,1231800.273,360.8814125,360.1772055,360.1052426,0.040441667,0.512561111,-0.272772222,0.093410185,0.096779371,0.081485865,0.050790619,0.076351952,-0.167051113,0.101803549,0.092763182,0.009171873,-1.546432721,-1.345840168,-1.506299306,-1.466190732,0.246373112,0.354659187,1.766407453,0.973571164,2.027164713,2.153796952,0.005555556,0,0,0.001851852,3.321817,94.852707,26.8701795,3.960639,96.969182,27.714374,-4.004697784,-132.7179293,-30.02589898,cement
0.057455556,-0.670102778,0.747725,0.045025926,0.102821762,0.116885238,0.155685418,0.125130806,-0.59497907,1.005854901,1.400714503,0.603863445,0.458482524,2.155712448,2.881840972,1.832011981,-0.46867933,-0.391551827,-0.103242707,0.083152142,0.652440293,1.000110455,0.075,0,0,0.025,3.421904,163.9401235,205.7654815,4.994444,166.571961,209.999025,-5.064709015,-310.0166153,-503.994384,-3.949041667,27.70003333,-39.79433611,-5.347781481,19.82205336,35.12297048,37.87059086,30.93853823,0.969279823,-0.049157885,-0.059741723,0.286793405,2.547405617,-0.142090959,-0.621412281,0.594634126,-0.670022333,0.602387203,0.617405965,-0.883395182,-0.375355338,0.607128853,0.097222222,0.052777778,0.036111111,0.062037037,66322.20532,423571.0209,785074.9205,147063.1427,720329.3647,1086397.502,360.8834167,360.1800077,360.1193329,0.031158333,0.542169444,-0.253111111,0.106738889,0.077744739,0.091985093,0.059889703,0.076539845,-0.117365804,-0.246031684,-0.235223038,-0.199540175,-1.416361231,-1.659687036,-1.466837522,-1.514295263,0.347420985,0.408163463,1.752643723,0.979701856,2.321265483,2.374452568,0.005555556,0,0,0.001851852,0.8711625,108.8133525,24.303754,2.525431,108.867227,24.354724,-2.543272274,-156.0616771,-26.12192474,cement
0.061191667,-0.705744444,0.731352778,0.028933333,0.098899469,0.114457009,0.131116384,0.114824287,-0.662113456,0.551413815,1.719826064,0.536375474,3.515557854,0.751085236,4.701023495,2.989222195,-0.353102428,-0.275104667,0.195199922,-0.060223443,0.62390186,0.844905599,0.05,0,0,0.016666667,2.9008525,181.1266285,195.676119,4.869189,184.023226,198.744621,-4.935950319,-376.4608241,-443.6941205,-3.895722222,30.97768056,-47.08999167,-6.669344444,15.19555325,30.50481166,33.60249224,26.43428571,-0.010479161,-0.194372694,0.303733311,0.032960485,0.895924575,0.383541075,-0.337430154,0.314011832,-0.50948599,0.443962964,0.55125534,-0.844730361,-0.212684212,0.551572102,0.094444444,0.027777778,0.016666667,0.046296296,33982.58983,474062.8826,918193.9154,88589.33643,680457.6817,1204774.128,361.4688992,360.1905609,360.1076042,0.003547222,0.512925,-0.267794444,0.082892593,0.100049615,0.088240879,0.059847974,0.082712823,0.353373179,0.146789636,0.150682011,0.216948276,-1.275865147,-1.556938815,-1.410506781,-1.414436914,0.350789762,0.353812353,1.839842479,0.968089152,2.191624321,2.184326389,0.008333333,0,0,0.002777778,3.2624105,94.924147,25.929326,3.608103,97.516263,27.106432,-3.644631348,-133.7448753,-29.3136199,cement
-0.087369444,0.253502778,0.702488889,0.289540741,0.16334073,0.661494499,0.123237147,0.316024125,-0.737656319,-0.601331874,0.652417845,-0.228856783,0.508755106,-1.558393188,0.18680335,-0.287611577,-0.305048449,0.026259228,-0.1114188,-0.421758738,1.77103985,-0.479282196,0.069444444,0.002777778,0,0.024074074,7.3197605,61.1317935,180.8366925,12.352901,180.661907,183.124092,-12.79183509,-362.6574,-372.7170866,2.134486111,-26.1561,-24.48781944,-16.16981111,10.1583244,35.61310833,32.16704111,25.97949128,-0.031535456,-0.806725009,-0.74882301,-0.529027825,0.574193453,-0.314705604,-0.689734622,-0.143415591,-0.588664285,-0.381890437,-0.888782836,0.821190313,2.157414382,2.214547356,0.105555556,0.063888889,0.061111111,0.076851852,19441.99626,393586.1559,314441.3001,38789.13079,702876.6188,588373.8605,363.3724416,360.1844796,360.220403,-0.143619444,0.307808333,-0.289166667,-0.041659259,0.088347151,0.103370313,0.078964232,0.090227232,-0.728925254,-0.119132984,0.518288682,-0.109923185,-1.285145603,-1.54514012,-1.233574861,-1.354620195,0.138750684,0.351229745,1.445510815,-0.829878287,0.555240779,0.268318121,0,0,0,0,10.117491,34.276576,30.738971,10.235435,37.955301,32.346976,-10.53496257,-42.42860821,-35.54037505,cement
-0.123219444,0.7486,0.646366667,0.423915741,0.150436658,0.120485758,0.130620013,0.133847476,-0.103761455,-0.050752347,1.728699397,0.524728532,-0.056774317,1.026450045,3.108177649,1.359284459,0.068524244,0.001912064,1.187490505,0.433033633,1.399781155,1.367840831,0.052777778,0,0,0.017592593,10.055364,204.331704,152.9758735,13.613119,206.97076,156.546524,-14.14811908,-486.8969721,-277.0006674,3.302683333,-42.52981389,-37.22586667,-25.48433241,10.41208535,32.35271069,27.19342134,23.31940579,-0.057073574,-0.452656708,-0.131294781,-0.213675021,-0.130070013,-0.866415777,-1.219170051,-0.738551947,-0.543965184,-0.480205937,-0.868165572,0.914539349,2.210963395,2.220524124,0.069444444,0.016666667,0.022222222,0.036111111,21711.59144,693446.6735,528189.199,42954.92588,1027973.865,765089.0327,363.0426159,360.1261174,360.1694718,-0.189702778,0.281186111,-0.295427778,-0.067981481,0.075530001,0.073012718,0.096254987,0.081599236,0.305702454,-0.356449887,0.351754575,0.100335714,-1.467416469,-1.583151687,-1.674378793,-1.574982316,-0.642707127,0.607175348,1.066773011,-0.988010208,-0.86559465,0.857577042,0,0,0,0,13.2188985,29.855198,34.008205,15.009093,30.382735,34.755334,-15.66207506,-33.1832879,-38.46925576,cement
