Accelerometer_Avg_x,Accelerometer_Avg_y,Accelerometer_Avg_z,Accelerometer_Avg_total,Accelerometer_Deviation_x,Accelerometer_Deviation_y,Accelerometer_Deviation_z,Accelerometer_Deviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometer_Dc_x,Accelerometer_Dc_y,Accelerometer_Dc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscope_Avg_x,Gyroscope_Avg_y,Gyroscope_Avg_z,Gyroscope_Avg_total,Gyroscope_Deviation_x,Gyroscope_Deviation_y,Gyroscope_Deviation_z,Gyroscope_Deviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscope_Dc_x,Gyroscope_Dc_y,Gyroscope_Dc_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,Magnetometer_Avg_x,Magnetometer_Avg_y,Magnetometer_Avg_z,Magnetometer_Avg_total,Magnetometer_Deviation_x,Magnetometer_Deviation_y,Magnetometer_Deviation_z,Magnetometer_Deviation_total,Magnetometer_Skewness_x,Magnetometer_Skewness_y,Magnetometer_Skewness_z,Magnetometer_Skewness_total,Magnetometer_Kurtosis_x,Magnetometer_Kurtosis_y,Magnetometer_Kurtosis_z,Magnetometer_Kurtosis_total,Magnetometer_Correlation_x_y,Magnetometer_Correlation_x_z,Magnetometer_Correlation_x_total,Magnetometer_Correlation_y_z,Magnetometer_Correlation_y_total,Magnetometer_Correlation_z_total,Magnetometer_Zero_x,Magnetometer_Zero_y,Magnetometer_Zero_z,Magnetometer_Zero_total,Magnetometer_Dc_x,Magnetometer_Dc_y,Magnetometer_Dc_z,Magnetometer_Energy_x,Magnetometer_Energy_y,Magnetometer_Energy_z,Magnetometer_Entropy_x,Magnetometer_Entropy_y,Magnetometer_Entropy_z,class
-0.491472222,-0.738552778,0.474761111,-0.25175463,0.118629438,0.077880196,0.102067781,0.099525805,-0.076295755,-0.510011666,0.849496623,0.087729734,-0.55856506,0.665766853,1.576848008,0.561349934,-0.215130593,0.161189861,1.188910924,-0.354665168,0.162364809,0.940140601,0,0,0,0,90.800273,197.822642,82.280603,92.02244,198.549191,84.89374,-123.6225839,-442.7212796,-111.0906978,2.756788889,1.001758333,-2.100691667,0.552618519,33.09748411,47.18022068,34.16645885,38.14805455,-0.252807435,-0.175123614,0.244934736,-0.060998771,-0.634285809,-0.591317935,-0.896402022,-0.707335255,0.947918653,-0.940246521,1.197848799,-0.960570581,1.198872356,-1.108136914,0.033333333,0.013888889,0.016666667,0.021296296,204343.092,411717.136,215071.9534,397095.6023,801711.6274,421833.5337,360.3266659,360.1617268,360.3074926,0.792577778,0.788119444,-1.280455556,0.100080556,0.112840544,0.042736982,0.092890307,0.082822611,-0.02204461,-0.533974747,-0.277904233,-0.27797453,-1.40020595,-1.097743644,-1.152442548,-1.216797381,0.82163684,-0.774871485,0.917343365,-0.541029499,1.028638589,-0.213330402,0,0,0,0,227.704781,223.7930005,591.8585865,230.728508,224.265135,593.350214,-642.5412254,-594.8025852,915.3883915,cement
-0.479586111,-0.733466667,0.487552778,-0.241833333,0.092333263,0.075560454,0.076668641,0.081520786,0.464297435,-0.346874539,0.91155994,0.342994279,0.351871559,0.449217591,1.390649554,0.730579568,-0.259749682,0.064749063,0.952771502,-0.127474609,0.512796984,0.895662292,0,0,0,0,84.0862065,194.461865,86.5338005,85.870177,195.725784,87.690885,-112.7686998,-428.9247817,-115.9297169,11.73668889,14.65843056,-13.94316389,4.150651852,22.9721943,33.63015463,23.96055122,26.85430005,0.855323303,0.724438364,-0.821670133,0.252697178,0.043323043,-0.105151185,-0.525826848,-0.195884997,0.947288646,-0.936026965,1.206582777,-0.952643217,1.212677181,-1.10148396,0.047222222,0.025,0.019444444,0.030555556,115571.1678,201216.5798,126264.4443,239569.7678,484508.4793,276667.1403,360.5417839,360.2676865,360.4690433,0.324411111,0.633230556,-1.358036111,-0.133464815,0.066019129,0.027838715,0.113801954,0.069219933,0.220373115,-0.269409508,-0.773633122,-0.274223172,-1.19996014,-0.592327477,-1.067019597,-0.953102405,0.781769846,-0.844393589,-0.120067196,-0.411440938,0.471362735,0.673243034,0,0,0,0,38.6061975,144.5060815,664.8518805,39.456394,144.632135,668.596667,-44.31316543,-241.7610845,779.9656505,cement
-0.788722222,-0.525505556,0.397858333,-0.305456481,0.175683872,0.197276582,0.237531178,0.203497211,-0.492366773,0.413807432,1.819554163,0.580331608,0.698770855,0.096124944,4.037074043,1.610656614,0.133198004,-0.012296048,0.978097062,-0.291808414,0.743812294,0.873741676,0,0.011111111,0,0.003703704,230.3893945,105.0672035,65.0123635,235.061124,113.42669,77.296433,-677.3072349,-165.6043324,-98.43072083,14.39539167,13.40790278,-8.581913889,6.407126852,72.12979083,60.67544331,44.24878602,59.01800672,-0.173040845,-0.349770737,0.243981966,-0.092943205,-0.676685612,0.029003171,-0.774690351,-0.474124264,0.846553863,-0.905749754,1.413407523,-0.856965114,1.420202665,-1.238257551,0.072222222,0.102777778,0.066666667,0.080555556,1605726.377,1047657.064,618151.6596,1947576.25,1390061.26,731377.5517,360.0665566,360.0932575,360.1772871,-0.300461111,0.501783333,-0.337319444,-0.045332407,0.055684764,0.099016344,0.081950972,0.078884027,-0.42173727,-0.315277977,0.32160012,-0.138471709,-0.740939376,-1.596995636,-1.015932668,-1.117955893,0.604866894,-0.215244869,1.241530767,0.628770284,2.33541007,1.67617771,0,0,0,0,33.1009495,91.5483985,41.931044,33.615962,94.17267,43.380133,-37.07824192,-127.534521,-49.32365119,cement
-0.786486111,-0.523302778,0.383458333,-0.308776852,0.17961884,0.194920981,0.237563988,0.204034603,-0.290920305,0.292824365,1.79362428,0.598509447,0.169611813,0.767115711,4.691866107,1.876197877,0.159964277,-0.08578268,0.933274823,-0.385004436,0.647882212,0.721006917,0,0.011111111,0.005555556,0.005555556,228.74091,106.757447,63.716889,234.296399,112.262395,73.251699,-670.9967174,-163.1341443,-91.96431696,-4.136413889,2.240975,5.204866667,1.103142593,71.53984804,60.48396554,43.21670175,58.41350511,0.222993678,-0.01213349,-0.213020337,-0.00072005,-0.796778031,-0.651013325,-0.820580222,-0.756123859,0.83386208,-0.89927299,1.422813451,-0.875908983,1.408654293,-1.268466939,0.091666667,0.102777778,0.091666667,0.09537037,632772.929,467066.5657,194424.9668,1848621.52,1318799.541,682118.6211,360.0701199,360.098298,360.1900966,-0.308791667,0.507922222,-0.322963889,-0.041277778,0.056539646,0.105596452,0.081753976,0.081296691,-0.229036732,-0.459918325,0.031491581,-0.219154492,-0.86090492,-1.483823338,-1.319242453,-1.22132357,0.595695631,-0.232874856,1.235038526,0.617047187,2.333710386,1.645150685,0,0,0,0,34.9780185,95.886855,38.62357,35.477649,96.888814,39.956179,-39.35616022,-132.5674274,-44.94454664,cement
-0.791502778,-0.5112,0.372691667,-0.310003704,0.191151205,0.174956182,0.217479187,0.194528858,-0.279974438,0.518969759,1.975304397,0.738099906,-0.042469841,1.685384563,5.371020974,2.337978566,0.156096943,-0.157472867,0.946976512,-0.222836042,0.803644771,0.762825201,0,0.016666667,0,0.005555556,232.689462,100.034417,59.3878205,238.685555,105.096638,67.030659,-708.2981734,-148.4279744,-82.36710762,-13.83390833,-4.038466667,10.68039167,-2.397327778,70.02198519,61.47856013,46.94252204,59.48102245,0.329607445,0.326945937,-0.364091984,0.097487133,-0.62532481,-0.410301955,-0.522414512,-0.519347092,0.848090606,-0.890661535,1.350875833,-0.855964789,1.356439394,-1.144009412,0.072222222,0.105555556,0.055555556,0.077777778,1226737.667,749101.1529,571913.8645,1834003.955,1366532.125,834361.6109,360.0706789,360.0948636,360.1553954,-0.314852778,0.45655,-0.349247222,-0.069183333,0.067290812,0.10871161,0.080554657,0.085519026,-0.030361907,0.269790879,0.216247632,0.151892201,-1.351732249,-1.55852366,-0.99610492,-1.302120276,0.6585739,-0.350062405,1.2942884,0.446653641,2.210123542,1.234288027,0,0,0,0,36.067079,77.3415525,44.540101,37.317717,79.292202,46.246563,-41.63345442,-101.6900596,-53.06320415,cement
-0.788091667,-0.527613889,0.389766667,-0.308646296,0.207624086,0.206496538,0.263861498,0.225994041,-0.78975369,0.450642637,1.969672119,0.543520355,1.034103701,0.800089837,5.350477342,2.394890294,0.194906583,-0.039203339,1.051033771,-0.374140458,0.655957907,0.789681136,0,0.022222222,0.011111111,0.011111111,231.524996,108.644304,67.9958975,239.110645,115.566205,79.75474,-712.05469,-170.204917,-102.4520679,14.94187222,12.62002778,-8.206983333,6.451638889,73.6614176,63.07914904,47.84350282,61.52802315,0.072047019,0.015241934,-0.068043085,0.006415289,-0.816590331,-0.533830954,-0.501959222,-0.617460169,0.830610585,-0.864203637,1.376756363,-0.85090432,1.357964302,-1.129392414,0.077777778,0.094444444,0.066666667,0.07962963,1481323.277,944645.7223,546835.2871,2033735.036,1489767.892,848287.9215,360.0637364,360.0870144,360.1528432,-0.309525,0.478844444,-0.342408333,-0.057696296,0.057719142,0.103074397,0.079036823,0.079943454,-0.21535752,-0.012633459,0.410484093,0.060831038,-1.252183941,-1.651081991,-0.755898881,-1.219721604,0.652486729,-0.20756968,1.358062041,0.574748994,2.328667281,1.579841483,0,0,0,0,34.7501345,83.228889,42.990747,35.689401,86.36988,44.456503,-39.61691169,-113.6320695,-50.71992049,cement
-0.803841667,-0.492611111,0.3224,-0.324684259,0.173282172,0.155077754,0.171802538,0.166720821,-0.686007379,-0.397228753,1.128339139,0.015034336,4.119700212,2.629511556,6.202285677,4.317165815,0.098867197,0.097753709,1.23205133,-0.392851895,0.628096258,0.766664431,0.005555556,0,0.005555556,0.003703704,238.1943165,91.1024875,42.056346,243.427729,96.017334,48.044834,-751.7566715,-130.9413257,-55.4443142,-16.80859167,-6.589586111,5.097288889,-6.100296296,49.66091774,37.71986367,20.87111382,36.08396508,-0.453294291,0.155865232,0.243222015,-0.018069014,1.415019948,2.397666236,1.000344114,1.604343433,0.771915661,-0.760362387,1.743374409,-0.763275426,1.666210888,-1.26593142,0.111111111,0.072222222,0.075,0.086111111,560998.1209,315831.9959,85708.23848,989544.7816,527835.8738,166170.8687,360.131017,360.2456984,360.7816134,-0.291816667,0.496355556,-0.266383333,-0.020614815,0.053705832,0.142531678,0.054579023,0.083605511,-1.011727393,-0.898902142,1.005190246,-0.301813096,-0.402909911,-0.781341957,1.157740952,-0.008836972,0.784057251,-0.606782316,1.582924861,-0.224227474,2.062089049,-0.119229514,0,0,0,0,31.289315,90.1587795,26.3650695,31.694862,96.006282,26.618022,-34.75471139,-130.9207726,-28.74326914,cement
-0.818316667,-0.544919444,0.214947222,-0.382762963,0.19482944,0.169017608,0.131253021,0.165033357,-0.791561464,-0.016151401,0.696801605,-0.03697042,0.169733442,-0.572578392,0.187093467,-0.071917161,0.179570946,-0.247096458,1.167933196,-0.133130614,1.130253445,0.367258715,0,0,0.011111111,0.003703704,247.7824705,112.312799,21.4097545,254.736244,117.181495,22.834679,-871.1930044,-173.731974,-24.38116831,27.76800278,17.5289,-12.30305278,10.99795,58.28079935,37.40068492,23.62513051,39.7688716,-0.960829495,-0.305436872,0.485621055,-0.260215104,0.599809157,-0.423414707,-0.501334605,-0.108313385,0.916874004,-0.778034316,1.865563438,-0.765580703,1.829317449,-1.266130317,0.052777778,0.041666667,0.041666667,0.04537037,676401.7855,264441.5153,138313.0785,1500376.879,614186.4844,255424.2838,360.086399,360.2111346,360.5081072,-0.331061111,0.353941667,-0.197736111,-0.058285185,0.063318127,0.110350952,0.085370011,0.086346363,0.250016815,0.15311667,-0.068910174,0.111407771,-1.552903531,-1.626394326,-0.9371164,-1.372138086,0.936779819,-0.315677809,1.618403473,0.002382925,1.967303771,0.760250214,0,0,0,0,40.452747,48.435442,15.05985,40.899832,49.482733,16.699539,-46.14206132,-57.36809438,-17.5118729,cement
-0.842058333,-0.495033333,0.245780556,-0.36377037,0.160162606,0.164673967,0.102217954,0.142351509,-0.704878102,-0.121332051,0.829927294,0.001239047,1.093085284,-0.428944185,0.904523259,0.522888119,-0.181412854,-0.272700051,0.719442955,-0.224592081,0.791428692,0.151435938,0,0,0,0,259.7127355,93.5104375,23.898867,264.497147,97.983186,25.508373,-997.0275225,-134.6247457,-27.45364469,-7.753644444,-1.710794444,1.806822222,-2.552538889,60.15284494,34.67578937,26.72528809,40.51797414,-0.235343973,0.275793734,0.130175478,0.05687508,-0.461778052,-0.47132039,-0.619626615,-0.517575019,0.917807216,-0.891738001,1.681885166,-0.862840889,1.649263928,-1.402710272,0.036111111,0.033333333,0.027777778,0.032407407,896600.6155,316065.8844,159873.6517,1324254.152,433921.387,258302.0269,360.097893,360.2989196,360.5024385,-0.296819444,0.414513889,-0.202022222,-0.028109259,0.066908421,0.089104401,0.078201979,0.0780716,-0.511499509,-0.866252165,0.065047078,-0.437568199,-1.395653028,-0.851986861,-1.367665649,-1.205101846,0.925946582,-0.734618933,1.177965893,-0.444149616,1.489973889,-0.134823668,0,0,0,0,32.4162835,62.612343,15.749805,33.328267,64.714089,16.89427,-36.72854094,-78.89665972,-17.72613124,cement
-0.833316667,-0.495308333,0.236863889,-0.36392037,0.165919926,0.163187697,0.106374892,0.145160838,-0.551171906,-0.200176666,0.916764026,0.055138485,-0.15439321,-0.378503227,0.100850229,-0.144015402,0.15400835,-0.153752965,1.203470173,-0.234641155,1.128271407,0.293286137,0,0,0,0,253.955646,92.5142205,21.8081755,259.900592,97.905805,24.271243,-934.7129517,-134.4787121,-26.02591317,3.488586111,4.283322222,-2.427805556,1.781367593,58.43181367,34.81529355,24.32430456,39.19047059,-0.303303286,0.209757086,0.196054836,0.034169546,-0.057351848,-0.427244956,-0.406694264,-0.297097022,0.923359541,-0.894080519,1.7563188,-0.866122804,1.727487073,-1.481808218,0.038888889,0.05,0.036111111,0.041666667,208309.6063,80614.91426,34497.00681,1233520.95,442962.5451,215123.7716,360.1050958,360.2928135,360.6034537,-0.301972222,0.408575,-0.207047222,-0.033481481,0.06490715,0.094604792,0.078459229,0.079323723,-0.545828212,-0.82348912,0.395422876,-0.324631485,-1.388510352,-0.897889002,-1.150718715,-1.145706023,0.936486358,-0.662820072,1.279552836,-0.394106637,1.569116325,-0.023283193,0,0,0,0,34.142905,62.6877195,16.755352,34.344058,63.318095,17.648785,-37.96602268,-76.83149466,-18.55860976,cement
