Accelerometer_Avg_x,Accelerometer_Avg_y,Accelerometer_Avg_z,Accelerometer_Avg_total,Accelerometer_Deviation_x,Accelerometer_Deviation_y,Accelerometer_Deviation_z,Accelerometer_Deviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometer_Dc_x,Accelerometer_Dc_y,Accelerometer_Dc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscope_Avg_x,Gyroscope_Avg_y,Gyroscope_Avg_z,Gyroscope_Avg_total,Gyroscope_Deviation_x,Gyroscope_Deviation_y,Gyroscope_Deviation_z,Gyroscope_Deviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscope_Dc_x,Gyroscope_Dc_y,Gyroscope_Dc_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,Magnetometer_Avg_x,Magnetometer_Avg_y,Magnetometer_Avg_z,Magnetometer_Avg_total,Magnetometer_Deviation_x,Magnetometer_Deviation_y,Magnetometer_Deviation_z,Magnetometer_Deviation_total,Magnetometer_Skewness_x,Magnetometer_Skewness_y,Magnetometer_Skewness_z,Magnetometer_Skewness_total,Magnetometer_Kurtosis_x,Magnetometer_Kurtosis_y,Magnetometer_Kurtosis_z,Magnetometer_Kurtosis_total,Magnetometer_Correlation_x_y,Magnetometer_Correlation_x_z,Magnetometer_Correlation_x_total,Magnetometer_Correlation_y_z,Magnetometer_Correlation_y_total,Magnetometer_Correlation_z_total,Magnetometer_Zero_x,Magnetometer_Zero_y,Magnetometer_Zero_z,Magnetometer_Zero_total,Magnetometer_Dc_x,Magnetometer_Dc_y,Magnetometer_Dc_z,Magnetometer_Energy_x,Magnetometer_Energy_y,Magnetometer_Energy_z,Magnetometer_Entropy_x,Magnetometer_Entropy_y,Magnetometer_Entropy_z,class
9.229806909,-3.764092708,0.52349142,1.996401874,1.105575107,1.184631421,1.383972563,1.224726363,0.450114936,-0.25115084,-0.291298706,-0.030778203,0.084023839,-0.202256561,-0.184782957,-0.101005226,0.227707851,0.181475459,1.328037092,0.047295832,1.226262234,1.339593472,0,0,0.047222222,0.015740741,30961.37134,5298.101811,367.2183956,31108.18748,5605.828387,788.1923955,364.2148826,384.705345,662.6676825,0.804448062,-0.287920794,0.027728418,0.181418562,0.650971909,0.501177766,0.200699093,0.450949589,0.003257407,-0.24147799,0.173187986,-0.021677532,-0.803777167,-0.003792711,0.949408511,0.047279544,-0.263834586,0.149225537,1.216750883,-0.259727954,0.614928373,0.37181728,0.013888889,0.072222222,0.083333333,0.056481481,287.5219814,71.02405314,7.33066475,385.5244001,120.2679133,14.77763673,5437.494459,-180.6034786,-15.41021031,-38.75850694,16.40260417,-3.522395833,-8.626099537,2.46352808,9.071865835,12.05048461,7.861959509,-0.387110418,-0.501018546,0.097602858,-0.263508702,-0.676627954,-1.176780772,-1.71612319,-1.189843972,0.944636912,-0.520375211,0.605748977,-0.564389589,0.584820786,0.718454354,0,0.008333333,0.002777778,0.003703704,542216.3047,114973.2246,5818.289062,542984.6992,126483.9023,56743.72266,360.2388391,361.027561,362.2985357,cement
9.399374297,-3.32506562,-0.232376782,1.947310632,1.119631839,1.081185436,1.183161901,1.127993059,0.439069805,-0.47557981,-0.386324127,-0.140944711,0.091584363,0.228453435,-0.404296967,-0.02808639,0.396733267,0.251495415,1.636653566,0.146257884,1.505707305,1.438728773,0,0,0.066666667,0.022222222,32003.02292,4182.402874,300.8490034,32256.65254,4401.008396,523.3935794,364.0631223,392.0712028,1153.176822,0.127790998,-0.00365677,0.006576527,0.043570252,1.166083804,0.486797971,0.164734772,0.605872182,-0.014368095,-0.132530171,0.328279666,0.060460466,-1.09321016,-0.70658601,0.440101964,-0.453231402,-0.660041506,-0.033752665,1.385138194,-0.130031997,-0.502228918,0.102458944,0.008333333,0.047222222,0.088888889,0.048148148,48.2645074,19.36382554,6.343586842,495.3895115,85.31482915,9.785086518,1317.238109,-111.8128743,-10.05848412,-38.16440972,14.796875,-10.91336806,-11.42696759,3.237106945,10.30313732,3.977581123,5.83927513,-0.101620381,-0.519795553,0.074580606,-0.182278443,-1.091951936,-1.09733507,-0.5082241,-0.899170369,0.86532816,0.074232061,2.131765601,0.16826215,2.358781384,1.019220049,0,0.005555556,0,0.001851852,526468.0137,113463.2168,46784.08984,528120.3711,117036.7734,48572.19141,360.245566,361.1107609,362.6881168,cement
9.426438052,-3.231260713,0.246068305,2.147081881,0.851932584,0.978336891,1.244005699,1.024758391,0.132095399,-0.522316075,-0.292790241,-0.227670306,0.266267767,0.620036736,-0.177080086,0.236408139,0.20081263,0.287447469,1.372012456,0.028585012,1.156346356,1.480209724,0,0,0.058333333,0.019444444,32112.68599,3943.025662,415.6324988,32250.06845,4103.347991,578.9159245,364.0639612,394.6214139,952.0080976,-0.269367695,0.094425977,-0.013744871,-0.06289553,1.015566313,0.431244371,0.126935727,0.524582137,0.132760138,-0.430569394,0.094930734,-0.067626174,-1.230981139,-0.466471597,0.943396542,-0.251352065,-0.660609069,0.156515804,1.430757483,-0.333817949,-0.537611461,0.270559715,0.019444444,0.058333333,0.097222222,0.058333333,66.02703603,18.72619549,3.420686421,397.4162009,70.15967014,5.868576113,3823.740219,-87.14274257,-5.965828668,-41.90625,4.679340278,5.071875,-10.71834491,1.570085753,5.889088884,9.38765344,5.615609359,0.349102089,-0.055867875,-1.0597998,-0.255521862,-0.175367538,-1.55769266,-0.157103814,-0.630054671,0.655576133,-0.004271248,0.959955461,0.457166953,1.996243654,2.149943713,0,0.025,0.005555556,0.010185185,632315.3027,15636.49219,24347.08008,633095.625,20367.93359,40986.70312,360.2048249,366.4774305,363.1900201,cement
9.329020549,-3.372726523,-0.127035835,1.943086064,1.046047121,1.349880925,1.268855907,1.221594651,-0.09906466,-0.519100573,0.10820716,-0.169986025,0.387621295,0.656742431,-0.165109676,0.293084683,0.368628374,0.171429341,1.44169808,0.012197046,1.433339501,1.198960419,0,0,0.063888889,0.021296296,31548.14106,4438.906277,396.8986291,31724.94203,4751.086576,585.4080298,364.1320019,389.5143349,934.9573345,0.47528619,-0.143135395,-0.032289347,0.099953816,1.133243014,0.532921916,0.168428366,0.611531099,-0.066704376,-0.084746752,-0.697006786,-0.282819305,-1.070201959,-0.724202092,3.82126165,0.6756192,-0.63813117,-0.023634572,1.290511959,-0.151958429,-0.352933621,0.099198023,0.008333333,0.063888889,0.077777778,0.05,108.4825876,37.42327304,5.625287909,543.6492093,109.6176635,10.58785793,1065.69321,-157.6083977,-10.90869033,-38.24392361,14.634375,-8.934027778,-10.8478588,3.842509959,10.42818212,7.318441088,7.196377724,-0.192852861,-0.486062461,1.129657016,0.150247231,-1.340596579,-1.207019739,0.79836906,-0.583082419,0.882028702,-0.424528276,1.380358439,-0.434093967,1.478590408,0.161244456,0,0.011111111,0.008333333,0.006481481,526739.8672,90272.55469,31673.23047,531850.5273,116248.2891,48015.51562,360.2438425,361.1183183,362.7195173,cement
9.50134227,-2.986263485,-0.092487676,2.140863703,1.142737798,1.094582952,1.33464078,1.190653844,0.757324921,-0.780523579,-0.254389094,-0.092529251,0.799244489,1.294147847,-0.689390319,0.468000672,0.174044008,0.11513248,1.248812921,0.088579859,1.185644273,1.3128627,0,0,0.063888889,0.021296296,32731.54422,3450.80626,124.0592436,32969.28766,3641.717318,644.3351938,363.9743278,399.4915184,815.8000657,-0.597447937,0.211124351,0.011286426,-0.125012386,0.727902591,0.347797475,0.139285911,0.404995326,0.553410736,-0.268461318,-0.07051619,0.071477743,-0.528183242,-0.050332126,-0.550807574,-0.376440981,-0.356846343,0.118395038,1.531580874,-0.192964513,0.151040901,0.391000552,0.030555556,0.063888889,0.094444444,0.062962963,193.6225626,35.25058801,3.427014127,319.243039,59.59316711,7.030061422,-2819.824916,-71.41495403,-7.170078342,-41.10260417,6.208680556,2.472222222,-10.8072338,2.974925549,6.189948183,11.36521294,6.843362224,1.115328527,0.009310102,-0.52576896,0.199623223,0.26668134,-0.88823581,-1.379337517,-0.666963996,0.682743047,-0.649015,-0.025590351,-0.025479712,1.159002739,1.355579792,0,0.005555556,0.002777778,0.002777778,610219.6406,19529.82227,6081.730469,611378.7305,27670.74219,48700.78125,360.2121048,364.7453855,362.6809662,cement
9.335367426,-3.404041406,-0.064765321,1.955520233,0.937954355,1.114800824,1.116575658,1.056443612,0.126066075,-0.466155828,-0.034158164,-0.124749306,0.020270508,-0.15633394,-0.220514535,-0.118859322,0.335585871,0.327519758,1.58812674,0.098118968,1.456890161,1.4512439,0,0,0.075,0.025,31523.63442,4441.11611,279.6632691,31690.38361,4618.900357,450.3368685,364.1365596,390.4303903,1794.630202,0.658065145,-0.182681238,-0.022469574,0.150971444,0.950480068,0.428574998,0.148440717,0.509165261,-0.364091628,0.05176603,-0.100726969,-0.137684189,-0.962305266,-0.634750262,0.780478275,-0.272192418,-0.662200185,0.011072636,1.312582194,-0.286301215,-0.477903454,0.071221463,0.030555556,0.05,0.102777778,0.061111111,239.6092576,41.44082027,3.464797749,481.1263538,78.13762679,8.114230164,1429.957081,-99.79886753,-8.301338416,-38.71197917,13.90434028,-5.217708333,-10.00844907,3.790813456,11.73450869,9.171719666,8.232347271,0.338341617,-0.340606535,1.001604403,0.333113162,-1.213871635,-1.465353727,-0.184460586,-0.954561983,0.895990467,-0.266903522,1.440276595,-0.389281876,1.404296587,0.436316221,0,0.005555556,0.002777778,0.002777778,540047.1504,71917.41406,22558.60547,544675.5352,119170.5742,40084.17187,360.2380972,361.090812,363.2624972,cement
9.457812738,-3.008151302,-0.31803865,2.043874262,1.029546177,1.011916013,1.20528761,1.082249933,0.614902831,-0.273429635,-0.324809243,0.005554651,0.559349612,0.263650556,-0.612644913,0.070118418,0.327423253,0.219385675,1.501773107,0.003960397,1.25090032,1.326091911,0,0,0.044444444,0.014814815,32414.70493,3363.623782,377.1977313,32583.66736,3626.261378,559.3920502,364.0218886,399.6783922,1009.975763,-0.748186972,0.266722806,0.004156989,-0.159102392,0.761871417,0.349175637,0.133771608,0.414939554,0.360847095,-0.415112649,0.057195033,0.000976493,-0.100195012,0.095303246,-0.041608181,-0.015499982,-0.490763658,-0.018735174,1.417079825,-0.109624667,-0.09492427,0.195738273,0.013888889,0.05,0.1,0.05462963,295.4321158,42.47363955,3.627114815,410.4834483,69.50328497,6.448364488,2927.17804,-86.13241146,-6.565975044,-40.39357639,9.904861111,1.626041667,-9.620891204,3.123008388,8.133151508,11.47695357,7.57770449,0.731536094,0.503974063,-0.210418571,0.341697195,-0.703068115,-0.624348739,-1.719277437,-1.015564764,0.912088654,-0.58106734,0.51100973,-0.288508011,1.012235168,0.965436966,0,0.011111111,0.002777778,0.00462963,589509.8086,50834.77539,2505.103516,590901.9102,59131.59375,48371.21094,360.2194594,362.2051469,362.6993695,cement
9.411615547,-3.370883688,-0.158556952,1.960724969,1.069502626,1.150629598,1.19315511,1.137762445,0.478048739,-0.681000279,0.174606931,-0.009448203,0.411648186,0.926162585,-0.269644146,0.356055542,0.233028239,0.224772422,1.411384412,-0.006761591,1.22326615,1.253134805,0,0,0.063888889,0.021296296,32072.18978,4389.662066,87.26854638,32300.0435,4567.249912,521.5533926,364.0576025,390.80397,1162.211566,0.83128776,-0.222907279,-0.02456958,0.194603634,0.715592393,0.409754468,0.160541548,0.428629469,0.195303445,0.344576788,-0.101344599,0.146178545,-0.755477257,-0.102729913,0.006593425,-0.283871248,-0.510331565,0.10411011,1.220624781,-0.262260262,0.00574252,0.297645509,0.030555556,0.061111111,0.091666667,0.061111111,402.7179705,54.75224112,5.394799462,433.1202526,78.33109643,9.495811019,2132.422761,-100.1146891,-9.753070218,-40.28298611,9.894097222,-1.118229167,-10.50237269,2.149207809,10.77271723,12.41368671,8.445203917,0.604709725,0.148323956,0.389686686,0.380906789,-0.542663651,-1.054897743,-1.579323778,-1.058961724,0.895943574,-0.096297487,1.255807184,-0.285380211,1.084126057,1.08137153,0,0.005555556,0.002777778,0.002777778,585196.3438,56823.41992,13226.66211,585841.7031,77020.05469,55926.01953,360.2213562,361.6905806,362.3323607,cement
9.461125839,-3.018283581,-0.143321968,2.099840097,1.222332295,1.139794862,1.344463358,1.235530172,0.648534724,-0.348334722,-0.166420753,0.044593083,0.689887501,0.28539513,-0.409406305,0.188625442,0.456463456,0.233695436,1.664712036,0.048921442,1.427337035,1.364497026,0,0,0.061111111,0.02037037,32359.51378,3481.115679,495.6150808,32762.51942,3747.300518,658.1242465,363.999689,398.2605557,794.7180799,-0.796467948,0.299726109,-0.006357557,-0.167699799,0.656627607,0.359049189,0.172276578,0.395984458,-0.650541872,-0.093431669,0.225695576,-0.172759322,-0.105697393,-0.403065032,0.250113044,-0.08621646,-0.163775516,-0.004698064,1.507672239,-0.319591829,0.49610906,0.137486488,0.036111111,0.061111111,0.088888889,0.062037037,310.4809433,58.50742317,4.947832699,383.5875628,78.75074182,10.69906967,5854.420992,-100.8012154,-11.02678163,-39.31597222,12.11423611,-4.855729167,-10.68582176,3.811798218,10.27374099,9.361486079,7.815675095,-0.031841984,0.09793062,0.673196395,0.246428344,-1.642800672,-1.576267286,-1.220870584,-1.479979514,0.923727993,-0.776225721,0.772206367,-0.565228444,1.087996545,0.076213458,0,0.022222222,0.002777778,0.008333333,556548.1816,55934.32813,19402.76367,561699.1719,90829.60938,40037.58984,360.2308765,361.4325253,363.2663274,cement
7.051137388,-6.765870562,1.012175219,0.432480682,1.767015646,2.337827537,1.665645376,1.923496186,0.026559009,0.404570912,0.474419685,0.301849869,-1.161607192,-0.850859278,0.005353523,-0.669037649,0.500571649,-0.276241147,1.287835172,-0.155100494,1.540945635,0.423668498,0,0,0.058333333,0.019444444,18314.7819,17211.63195,821.114409,19022.71779,18447.27914,1367.594349,366.9443262,367.1652568,488.6231906,-0.32516673,0.506093466,-0.127297305,0.017876477,0.710087102,0.905743776,0.280345167,0.632058682,-0.786218849,0.864901639,-1.062421948,-0.327913053,-0.092380911,-0.017345991,1.827005658,0.572426252,-0.803289492,0.61121294,0.243431887,-0.334295941,0.382274659,0.651162837,0.047222222,0.080555556,0.072222222,0.066666667,98.83655174,210.081112,16.20653261,219.5845539,387.5408585,34.12728604,-562.9753821,5065.735663,-37.70129394,-30.45208333,28.43038194,-9.208506944,-3.743402778,7.302043509,6.536929623,11.20630128,8.348424806,0.837589523,0.293606343,0.33021216,0.487136009,-0.708113485,-1.17000023,-1.486401989,-1.121505234,0.842812453,-0.340534886,1.077486218,0.167725662,1.745331301,1.175804036,0,0,0.005555556,0.001851852,337558.9473,292453.1758,62794.60547,353033.7187,306366.5039,75736.00391,360.3674785,360.4235204,361.7193801,cement
