Accelerometer_Avg_x,Accelerometer_Avg_y,Accelerometer_Avg_z,Accelerometer_Avg_total,Accelerometer_Deviation_x,Accelerometer_Deviation_y,Accelerometer_Deviation_z,Accelerometer_Deviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometer_Dc_x,Accelerometer_Dc_y,Accelerometer_Dc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscope_Avg_x,Gyroscope_Avg_y,Gyroscope_Avg_z,Gyroscope_Avg_total,Gyroscope_Deviation_x,Gyroscope_Deviation_y,Gyroscope_Deviation_z,Gyroscope_Deviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscope_Dc_x,Gyroscope_Dc_y,Gyroscope_Dc_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,Magnetometer_Avg_x,Magnetometer_Avg_y,Magnetometer_Avg_z,Magnetometer_Avg_total,Magnetometer_Deviation_x,Magnetometer_Deviation_y,Magnetometer_Deviation_z,Magnetometer_Deviation_total,Magnetometer_Skewness_x,Magnetometer_Skewness_y,Magnetometer_Skewness_z,Magnetometer_Skewness_total,Magnetometer_Kurtosis_x,Magnetometer_Kurtosis_y,Magnetometer_Kurtosis_z,Magnetometer_Kurtosis_total,Magnetometer_Correlation_x_y,Magnetometer_Correlation_x_z,Magnetometer_Correlation_x_total,Magnetometer_Correlation_y_z,Magnetometer_Correlation_y_total,Magnetometer_Correlation_z_total,Magnetometer_Zero_x,Magnetometer_Zero_y,Magnetometer_Zero_z,Magnetometer_Zero_total,Magnetometer_Dc_x,Magnetometer_Dc_y,Magnetometer_Dc_z,Magnetometer_Energy_x,Magnetometer_Energy_y,Magnetometer_Energy_z,Magnetometer_Entropy_x,Magnetometer_Entropy_y,Magnetometer_Entropy_z,class
-9.257928468,-1.68118404,3.208248544,-2.576954654,0.94822145,1.111229447,1.253629578,1.104360158,-1.432135422,-0.098371703,1.12837104,-0.134045362,3.461555907,-0.918990174,1.974102104,1.505555946,0.03062593,-0.065244319,0.815369579,-0.483079531,0.484141716,0.593059528,0,0.016666667,0,0.005555556,31087.46672,1141.628596,3966.213063,31179.01083,1462.035838,4271.200503,364.2051966,477.6005313,393.1356063,0.682619803,0.113773055,-0.226324684,0.190022725,0.786912509,0.342824845,0.260553266,0.463430207,0.389857049,0.779847025,0.226165906,0.465289993,0.545997907,0.096392578,-0.264967972,0.125807504,0.492341861,-0.73343693,1.649871184,-0.195890311,1.465625124,-0.828071818,0.019444444,0.052777778,0.025,0.032407407,328.2422321,32.96179719,34.75816622,390.6723933,46.97034578,42.8799122,4585.297932,-54.01828311,-48.67798978,39.575,4.538194444,-12.08125,10.67731481,3.168731509,9.401523565,12.65456419,8.408273087,-0.737805255,-0.01507048,-0.412705076,-0.388526937,-0.754779638,-1.304378863,-1.472561121,-1.177239874,-0.022225584,0.821341458,1.588137685,0.481240945,1.834025956,2.35263206,0,0.005555556,0.016666667,0.007407407,565551.0996,19711.39844,59528.24414,567439.7344,39234.1875,110194.0547,360.2285393,363.3338317,361.1799619,cement
-9.302615427,-0.710023531,3.386617654,-2.208673768,0.87278995,1.12348053,1.149084497,1.048451659,-0.724714433,-0.218710815,0.55709338,-0.128777289,0.140085117,-0.036957387,0.813932343,0.305686691,0.030344666,-0.031784976,0.830136479,-0.366872626,0.694736276,0.676396123,0,0.027777778,0,0.009259259,31258.17565,512.2846897,4428.610345,31428.14979,635.8830893,4604.246753,364.1714747,829.7642046,390.5354536,-0.379563386,-0.029308926,0.180773893,-0.076032806,1.247253095,0.288111654,0.49653602,0.677300256,0.276392414,0.450659903,-0.322506348,0.134848656,-0.428971417,-0.523798331,-0.12236451,-0.358378086,0.567938357,-0.831892218,1.473228887,-0.295708293,1.254457976,-0.924613748,0.019444444,0.038888889,0.013888889,0.024074074,175.152392,24.3877459,26.28238588,611.8951127,30.19224173,100.5217992,874.4998591,-32.95618962,-139.4639225,38.33993056,-0.622916667,-9.427604167,9.429803241,5.55497956,7.424897119,11.14294549,8.040940722,-1.147242433,-0.00225832,-1.001206909,-0.716902554,-0.239554831,-1.17123497,-0.665083543,-0.691957781,0.419089065,0.966362285,2.416980262,0.530732817,1.948385854,2.54344678,0,0.008333333,0.016666667,0.008333333,533905.5332,3073.775391,43532.25,540290.9062,19986.16406,76696.18359,360.2400307,366.60343,361.6977532,cement
8.938485443,-2.6455169,3.398587305,3.230518616,0.092245898,0.113494761,0.126496239,0.110745632,-0.211141079,0.741980457,0.257553138,0.262797505,0.456929604,-0.586681745,-0.161553388,-0.097101843,0.195137613,-0.575350388,0.375755987,-0.606048563,0.495121481,0.041890491,0,0,0,0,3515.667611,308.0892278,508.3883026,3515.821378,308.5121921,508.9214665,44.55763237,51.31913333,48.16414414,-0.086001126,0.033247308,0.019343579,-0.011136746,0.059810847,0.024788236,0.011577526,0.032058869,1.810805064,-0.72246801,1.76384085,0.950725968,3.000273371,0.907696213,2.401330733,2.103100106,-0.899870046,0.850301453,1.476940505,-0.796770523,-1.193379103,1.331433106,0.022727273,0.022727273,0,0.015151515,0.440604928,0.06446906,0.018807222,0.482835366,0.075672967,0.02236138,-0.488192562,-0.075803337,-0.02237275,-37.45454545,19.82102273,-4.036931818,-7.223484848,0.29776739,0.699227317,0.501828719,0.499607809,0.846650515,1.849893995,0.720472298,1.139005603,0.328754366,2.278770527,1.06013327,1.222552721,-0.33189016,-0.061248447,0.069983882,-0.11447441,1.086761844,0.807728157,0,0,0,0,61726.38672,17294.61719,720.96875,61728.99219,17307.92187,728.140625,44.03138527,44.11214138,46.82982757,cement
-9.09289161,-1.016566094,3.864184549,-2.081757718,0.871683265,1.068820284,1.089078586,1.009860712,-0.95636839,-0.097492687,0.941204503,-0.037552191,1.903774552,-0.152624501,0.719917978,0.823689343,-0.071386313,-0.160558099,0.614464679,-0.336303858,0.634080217,0.583916561,0,0.044444444,0,0.014814815,29953.82147,509.2207706,5547.074622,30038.58344,783.2820322,5802.485183,364.3667852,666.1788362,383.812651,0.60982613,0.051072674,-0.257643093,0.134418571,0.963864342,0.358218927,0.382972001,0.568351757,-0.38743849,0.357329746,0.323993404,0.097961553,-0.693687768,-0.701152715,-0.781653026,-0.725497836,0.530352584,-0.846846148,1.459533295,-0.288666971,1.335186345,-0.944272224,0.025,0.047222222,0.019444444,0.030555556,286.5626696,29.8318995,43.56022385,468.3320562,47.13451843,76.69710593,1556.321796,-54.23553455,-97.46091097,32.5328125,1.940972222,-20.940625,4.511053241,5.811088328,8.82370427,11.11441693,8.583069842,0.28370773,-0.311324178,0.997025551,0.323136368,-1.257923343,-1.24189502,-0.56612104,-1.021979801,-0.676327699,0.931538443,1.188022415,-0.449020968,-0.011313199,1.464003101,0,0.011111111,0.005555556,0.005555556,381610.0781,4196.476562,167644.541,393174.9492,29385.04688,202334.4141,360.3299263,364.4651091,360.6416654,cement
-9.26555256,-1.066003273,3.521557041,-2.269999597,1.006422876,1.045015884,1.134083454,1.061840738,-0.684768903,0.06797794,0.72976516,0.037658065,1.254232023,-0.038656095,0.861288885,0.692288271,-0.138521193,-0.133014564,0.669419045,-0.406671303,0.41852396,0.541735273,0,0.027777778,0,0.009259259,31079.99806,610.7156122,4697.479876,31270.80645,802.2316233,4927.503339,364.1927085,653.0590966,388.3743635,-0.670031413,-0.05355257,0.351117079,-0.124155635,1.050894073,0.39700415,0.350042172,0.599313465,-0.098302522,0.355154333,0.131069158,0.12930699,-0.376011151,-0.489446447,-0.276671104,-0.380709567,0.65640286,-0.717354568,1.769331817,-0.327445078,1.622180205,-0.890716759,0.030555556,0.038888889,0.013888889,0.027777778,475.4897667,31.24226729,73.22992051,559.195361,57.77286237,88.49258097,1010.617561,-68.81655505,-117.3350226,34.91701389,1.531770833,-15.92847222,6.840104167,7.502322645,8.415039534,12.9165459,9.611302694,-0.208233871,-0.257222835,-0.062991581,-0.176149429,-1.754624712,-1.333001157,-1.82208355,-1.636569806,-0.091753633,0.976364028,2.01236644,0.05022722,0.871415315,2.149990335,0,0.011111111,0.016666667,0.009259259,439685.7598,24385.63477,92492.40039,459173.7734,26337.31641,151399.2187,360.2824675,364.988968,360.8580553,cement
-9.113708322,-0.80085465,3.852608603,-2.020651456,1.122298498,1.021674414,0.966730059,1.03690099,-0.478842521,0.428515609,0.779985917,0.243219668,0.952299692,-0.723943756,0.069460772,0.099272236,-0.160397191,-0.223523656,0.715919612,-0.201660994,0.623694209,0.491693925,0,0.033333333,0,0.011111111,30110.50819,333.3815405,5531.710465,30354.92399,606.6672402,5679.777621,364.3207311,885.4041839,384.3619206,0.708209223,0.059801925,-0.322967474,0.148347891,0.958621165,0.311694057,0.357260676,0.542525299,0.013898292,-0.107388409,-0.026577634,-0.040022583,-0.538428403,-0.338027673,-0.661956954,-0.512804344,0.549224183,-0.833399836,1.533698227,-0.332903109,1.325760834,-1.005331857,0.027777778,0.055555556,0.027777778,0.037037037,442.1109964,19.80039096,72.34451726,511.3853429,36.26260405,83.49954489,1216.093447,-40.32446551,-108.7153225,36.27673611,1.951736111,-14.06423611,8.05474537,5.175068901,8.658775029,12.26669768,8.700180537,-0.270256133,-0.333694287,-0.036630497,-0.213526972,-1.508294136,-1.541131741,-1.751461335,-1.600295737,0.063923534,0.971354107,2.02798959,0.201152878,1.316876727,2.187915475,0,0.005555556,0.011111111,0.005555556,474242.4922,23944.84961,72067.49805,483401.8516,28362.11719,125378.8594,360.2682997,364.6282215,361.0366436,cement
-9.261361319,-1.199884879,3.561633728,-2.299870823,0.978654856,0.872096254,1.013879179,0.954876763,-0.698280264,-0.215478163,0.846843364,-0.022305021,0.980876385,0.086756796,0.697588112,0.588407098,-0.205121201,-0.03193362,0.803656159,-0.390368488,0.288588982,0.672535259,0,0.033333333,0,0.011111111,31060.4468,643.2700993,4705.208763,31223.00837,792.0992159,4936.74689,364.1992018,659.9311159,388.3170564,-0.535698609,-0.022622914,0.280763757,-0.092519256,1.144189707,0.339383889,0.467446047,0.650339881,0.474967275,0.497466746,-0.458240932,0.171397696,-0.380886019,-0.739466585,-0.251803432,-0.457385345,0.563479559,-0.855227394,1.438713748,-0.304107378,1.294642439,-0.944591431,0.030555556,0.047222222,0.013888889,0.030555556,207.8830684,12.41516671,47.12505307,574.611511,41.64955938,107.0402737,963.8818672,-47.0985413,-152.3345201,30.98871528,1.6546875,-23.64149306,3.000636574,6.063918491,8.987458574,9.033269388,8.028215484,0.873836101,-0.438439103,1.121711243,0.51903608,-0.536905626,-0.998312754,-0.273703254,-0.602973878,-0.572038944,0.969869687,1.206225263,-0.524861262,0.096839438,1.270184051,0,0.008333333,0,0.002777778,352691.1074,4417.787109,212557.3047,358945.7695,30064.46484,230587.2539,360.3614198,364.3629805,360.5629221,cement
-9.200607655,-0.711999419,3.617597324,-2.098336583,0.96266999,1.003708323,1.242037113,1.069471809,-0.81292223,0.012214203,0.271068825,-0.176546401,0.653029524,-0.731502506,0.23547106,0.052332693,-0.043764225,-0.290246625,0.521983272,-0.388896801,0.447467202,0.535111292,0,0.038888889,0,0.012962963,30603.24988,428.2299259,4981.97242,30808.0493,545.1744854,5266.679972,364.2564303,1059.880438,386.4129719,0.275248755,0.028699161,-0.101512311,0.067478535,1.315609642,0.315775496,0.479976343,0.70378716,-0.497259871,0.634730304,0.267578799,0.135016411,0.09090653,0.930600558,-0.782510867,0.079665407,0.460544346,-0.862394303,1.487821115,-0.267691733,1.127025932,-1.050215817,0.030555556,0.055555556,0.013888889,0.033333333,146.7732988,23.78419921,13.13984646,650.3726187,36.19361016,86.64553403,806.3230747,-40.23916781,-114.1096859,39.42048611,-1.196875,-6.804166667,10.47314815,3.015299029,9.017447823,7.969926111,6.667557654,-1.31025104,0.187375862,-1.179584868,-0.767486682,1.357500255,-1.523400604,0.57538248,0.136494044,0.515864106,0.853885291,2.170581809,0.65735771,2.371486766,2.470519988,0,0.005555556,0.016666667,0.007407407,561088.7402,19009.07812,33858.38086,562704.0313,29788.875,39533.90625,360.2304639,364.4038381,363.3083247,cement
-9.267528487,-1.121487909,3.553650311,-2.278455362,0.943769091,1.120873779,1.318893477,1.127845449,-0.618456962,0.407170414,0.634637576,0.141117009,0.891367105,0.094392995,0.649744542,0.545168214,-0.181726443,0.091938669,0.763698606,-0.297787689,0.493521289,0.950378387,0,0.025,0,0.008333333,31082.81725,603.156846,4820.559342,31240.00237,905.0735366,5172.447792,364.1968909,597.7660835,386.9301623,0.170722652,0.013331241,-0.048271283,0.04526087,1.49976035,0.470038035,0.623544253,0.864447546,-0.004937129,0.587921905,-0.178467071,0.134839235,-0.829882104,-0.64781289,-1.038001201,-0.838565398,0.567082942,-0.902172963,1.392526522,-0.399807867,1.239206074,-1.061283469,0.025,0.044444444,0.025,0.031481481,164.4291666,44.65824586,28.35578068,820.2338391,79.60085158,140.8095189,641.5959823,-102.1982653,-231.266552,30.25798611,-0.0203125,-24.21006944,2.009201389,5.341540441,10.02619344,8.032798878,7.800177585,0.738176664,0.186203344,1.265544669,0.729974892,-0.559692142,-1.358721874,0.445635603,-0.490926138,-0.64511054,0.956417583,0.84052541,-0.539186552,0.288343726,0.991715037,0,0.005555556,0,0.001851852,334545.998,32667.32813,222237.0801,339868,36188.98828,234235.1953,360.3817289,363.6171828,360.5541417,cement
-8.699090585,-0.557420858,4.341791387,-1.638240018,1.408267179,0.867088979,1.39592433,1.223760163,2.774935,-0.14360848,2.385356392,1.672227637,9.333988261,0.105881882,5.9605761,5.133482081,-0.071183586,0.742862513,1.947705608,-0.276902564,0.310770407,1.799350992,0,0.044444444,0,0.014814815,27608.37637,259.6389208,7208.093858,27956.66164,382.5220717,7487.912587,364.6962202,6114.35518,378.1820412,0.078022185,0.001712904,-0.038130997,0.013868031,0.444930651,0.155601762,0.227645982,0.276059465,1.319485787,0.474636571,-1.991561608,-0.065813083,2.083577066,-0.026344201,6.353532939,2.803588601,0.359411352,-0.517131071,1.387863592,0.121012213,1.242713531,0.059364859,0.055555556,0.061111111,0.061111111,0.059259259,49.63459906,4.575704859,10.14519358,73.45826849,8.717343202,19.17959971,-92.29014048,-8.933670626,-20.25892784,40.68229167,-1.9609375,-5.330208333,11.13038194,8.501554379,4.029664814,10.12663905,7.552619413,-3.658728259,1.993711901,-3.247134999,-1.637383786,11.84222486,4.374708406,9.88895921,8.701964159,-0.845879044,0.9100122,1.894483179,-0.679818912,-1.330121652,2.002446313,0,0.047222222,0.044444444,0.030555556,608820.9648,3013.267578,25394.99805,621837.1016,7230.050781,47145.57812,360.2085354,378.8644894,362.7700844,cement
