Accelerometer_Avg_x,Accelerometer_Avg_y,Accelerometer_Avg_z,Accelerometer_Avg_total,Accelerometer_Deviation_x,Accelerometer_Deviation_y,Accelerometer_Deviation_z,Accelerometer_Deviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometer_Dc_x,Accelerometer_Dc_y,Accelerometer_Dc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscope_Avg_x,Gyroscope_Avg_y,Gyroscope_Avg_z,Gyroscope_Avg_total,Gyroscope_Deviation_x,Gyroscope_Deviation_y,Gyroscope_Deviation_z,Gyroscope_Deviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscope_Dc_x,Gyroscope_Dc_y,Gyroscope_Dc_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,Magnetometer_Avg_x,Magnetometer_Avg_y,Magnetometer_Avg_z,Magnetometer_Avg_total,Magnetometer_Deviation_x,Magnetometer_Deviation_y,Magnetometer_Deviation_z,Magnetometer_Deviation_total,Magnetometer_Skewness_x,Magnetometer_Skewness_y,Magnetometer_Skewness_z,Magnetometer_Skewness_total,Magnetometer_Kurtosis_x,Magnetometer_Kurtosis_y,Magnetometer_Kurtosis_z,Magnetometer_Kurtosis_total,Magnetometer_Correlation_x_y,Magnetometer_Correlation_x_z,Magnetometer_Correlation_x_total,Magnetometer_Correlation_y_z,Magnetometer_Correlation_y_total,Magnetometer_Correlation_z_total,Magnetometer_Zero_x,Magnetometer_Zero_y,Magnetometer_Zero_z,Magnetometer_Zero_total,Magnetometer_Dc_x,Magnetometer_Dc_y,Magnetometer_Dc_z,Magnetometer_Energy_x,Magnetometer_Energy_y,Magnetometer_Energy_z,Magnetometer_Entropy_x,Magnetometer_Entropy_y,Magnetometer_Entropy_z,class
-7.69699433,-4.950525558,4.060636037,-2.862294617,1.099387716,1.098988257,1.263262739,1.153879571,-0.249380203,-1.005950103,0.395986177,-0.286448043,0.537312358,1.157640585,-0.280588553,0.471454796,-0.103734777,0.137142391,1.004118034,-0.020037696,0.831655804,1.206377374,0,0,0,0,21513.79211,8973.273783,6198.662576,21762.85502,9257.572258,6510.455197,366.0552669,374.565771,381.0716111,0.502099794,0.24121911,-0.26017176,0.161049048,0.635217747,0.62423241,0.384821058,0.548090405,0.217824216,-0.71969589,-0.125125352,-0.208999009,-0.937810506,-0.119426025,-0.971269155,-0.676168562,0.604362132,-0.825551844,1.267656645,-0.449881368,1.523489794,-0.767053485,0.030555556,0.027777778,0.033333333,0.030555556,102.269294,79.66114169,30.45829452,236.0180841,161.2269938,77.67957288,-685.3137386,-291.9999997,-99.05286175,22.87065972,26.54635417,-18.33003472,10.36232639,4.303229851,10.81644466,7.139834903,7.41983647,0.76896185,-1.095960521,-0.459493661,-0.26216411,0.386704526,-0.438021388,-1.089018631,-0.380111831,-0.620190084,0.096783172,-0.231003205,0.69414948,1.766041193,2.030306817,0,0,0,0,191412.3379,264426.123,123650.752,194970.5508,295813.582,139308.2695,360.6659454,360.4386476,360.9327212,cement
-7.696335725,-4.970863263,4.108775917,-2.85280769,0.923605105,1.063731293,1.021867753,1.003068051,-0.411453646,-0.525257253,0.049213472,-0.295832476,0.09032638,0.182832927,-0.064129005,0.069676768,-0.108088552,-0.065124857,0.739809168,-0.001827289,0.95909037,0.956838729,0,0,0,0,21429.62994,9095.910057,6304.32495,21631.18679,9302.762105,6453.451168,366.0927489,374.4921668,381.2687353,0.125043053,0.020838153,-0.013660224,0.044073661,0.978448981,0.668950196,0.601067124,0.749488767,-0.307052639,-0.603703728,0.381556441,-0.176399975,-1.021481044,-0.409675053,-1.025137656,-0.818764585,0.867515103,-0.962905026,1.307561726,-0.847079407,1.345741159,-1.211145908,0.025,0.030555556,0.019444444,0.025,24.398802,33.77571698,7.208091058,350.2793425,161.2542934,130.1285839,-12972.43141,-292.0895582,-203.7934556,21.80607639,28.60555556,-19.49826389,10.30445602,4.151408517,8.185190485,8.273427727,6.87000891,-0.768578012,-1.245726483,-0.120183293,-0.711495929,-0.027624725,0.293258809,-1.585477283,-0.439947733,-0.253515359,0.370187973,0.748042764,0.763176595,1.957323671,2.337256799,0,0,0,0,173891.3945,311728.7813,156413.2656,177386.0977,318699.0547,161507.4844,360.7320954,360.4071131,360.8042322,cement
-7.781658298,-4.73319745,4.275608998,-2.746415583,0.913475472,1.172652108,1.085963112,1.057363564,-0.05778572,-0.337781824,-0.018729152,-0.138098899,-0.417888011,0.815803572,-0.719839817,-0.107308085,-0.246370347,0.271158798,0.869178066,-0.232713101,0.657182655,1.003220227,0,0,0,0,21982.59805,8379.52095,6899.779395,22099.91159,8560.177584,7005.653347,365.9613858,375.8045358,379.5014686,-0.356593337,-0.26373959,0.24493802,-0.125131636,0.902184303,0.653193295,0.542595653,0.699324417,-0.056170732,-0.156971188,0.281153738,0.022670606,-1.410254593,-1.21360138,-1.078867941,-1.234241305,0.821175626,-0.94053189,1.327341331,-0.829606017,1.349737567,-1.212356558,0.013888889,0.025,0.019444444,0.019444444,66.06588428,43.57566607,33.30266486,338.7943171,178.6392188,127.5856832,-5751.569276,-354.597716,-197.6248563,30.47986111,11.95451389,-21.49149306,6.980960648,8.805453387,9.418499385,7.007029527,8.410327433,-0.592035858,1.418333113,-0.194589839,0.210569139,-1.06139389,0.797813921,-1.450600894,-0.571393621,-0.841127981,0.706866662,0.693947487,-0.259358237,0.023144798,1.282773549,0,0,0,0,347409.8887,59432.65039,171497.625,362360.8594,83382.67188,183953.7852,360.3580102,361.5610194,360.7059062,cement
-7.647158012,-4.979844607,4.192501828,-2.811500263,0.843619561,1.059172949,1.070796504,0.991196338,-0.596224667,-0.962182001,0.439474936,-0.372977244,1.254196019,0.714472881,-0.072218851,0.632150016,-0.208963798,-0.055167362,0.56822016,-0.085408482,0.798461281,0.942087706,0,0,0,0,21155.92919,9098.350826,6571.746308,21308.65906,9331.451871,6740.523624,366.1865535,374.4458224,380.3118126,0.561802829,0.316683065,-0.26038361,0.206034094,0.652972784,0.427018694,0.41818853,0.499393336,-0.431888161,-0.650418686,0.336834511,-0.248490779,-0.606832931,-0.275324332,-0.661437007,-0.514531423,0.681576193,-0.917795475,1.12177512,-0.677307767,1.179084735,-0.941802744,0.025,0.019444444,0.036111111,0.026851852,158.749168,56.39768839,45.14051599,267.118515,101.7479264,87.36525767,-1035.326529,-141.8352735,-115.3612797,25.15017361,24.15729167,-18.11666667,10.39693287,4.95945212,12.031369,8.037829395,8.342883506,0.449029763,-0.764254256,-0.095930604,-0.137051699,-0.165188759,-1.138315223,-1.362783126,-0.888762369,-0.679223396,0.070630682,-0.317014833,0.641772449,1.656651508,1.930929518,0,0,0,0,230233.2715,219417.1992,119927.4785,236565.8633,262198.2891,141415.3125,360.5486739,360.494962,360.9187885,cement
-7.936396514,-4.645519771,4.1227868,-2.819709828,1.021476991,1.030686357,1.131749818,1.061304389,-1.151039894,-0.212616401,0.255753016,-0.369301093,1.986479232,1.253929228,0.366835505,1.202414655,-0.115067536,0.085436472,0.941832687,-0.15672036,0.693278277,0.996407518,0,0,0,0,22862.21993,7939.89266,6398.979655,23050.72975,8151.540591,6580.162314,365.7115836,376.6334242,380.8354692,-0.582050308,-0.379892331,0.37330313,-0.19621317,0.685218204,0.578172198,0.436971094,0.566787166,0.375454387,-0.351981181,0.105023004,0.04283207,-0.548003716,-0.711855308,-0.394239654,-0.551366226,0.65456612,-0.89502746,1.186634154,-0.654878279,1.306539716,-0.979116082,0.016666667,0.047222222,0.019444444,0.027777778,232.5245183,122.3452528,98.37914639,290.9903576,172.2964587,118.9076269,-1517.998427,-330.4504791,-177.5532968,28.42413194,19.06840278,-19.11510417,9.459143519,9.304253043,11.65630622,8.295471263,9.752010175,0.082347476,0.296632625,-0.156556962,0.074141046,-1.764987734,-1.57615279,-0.932305284,-1.424481936,-0.850575193,0.421969161,0.296361584,0.077914351,0.450027797,1.346365766,0,0,0,0,293537.4805,134795.4082,153092.0859,322020.1445,179810.4453,156312.7383,360.4029097,360.722205,360.831021,cement
-7.669192163,-5.009063795,4.029400995,-2.882951654,0.823534379,1.151094779,1.110046117,1.028225091,-0.251672196,-0.970271115,0.329160346,-0.297594322,0.00605449,0.605597504,0.141275385,0.250975793,-0.164705885,-0.07837753,0.531925963,0.050486364,1.042083121,1.073319573,0,0,0,0,21310.69309,9267.743211,5954.676855,21418.09823,9509.666145,6288.578913,366.1544019,374.1644512,381.8602134,0.701964264,0.357300974,-0.336355355,0.240969961,0.57861074,0.473522928,0.353397409,0.468510359,-0.263773551,-0.914999743,0.114553258,-0.354740012,-0.476995599,0.122193668,-1.136655158,-0.497152363,0.703487629,-0.853146052,1.302487011,-0.642182476,1.395108538,-0.948389246,0.013888889,0.027777778,0.033333333,0.025,269.0963483,110.3535318,73.83221418,297.9159177,126.6796617,85.68887537,-1727.491596,-195.4595067,-112.4562308,28.86579861,18.73958333,-17.34513889,10.08674769,6.990368185,12.2331233,8.253091423,9.158860968,0.350894142,0.051640323,-0.210416506,0.064039319,-0.992958282,-1.759381407,-1.50284623,-1.418395306,-0.691630774,0.521480746,0.309360731,0.232658987,1.017432786,1.609870481,0,0,0,0,307387.791,127620.1172,131312.791,317555.8477,180295.6641,132828.25,360.4085804,360.7202574,360.9783476,cement
-7.973499352,-4.712959571,3.989783363,-2.898891853,1.013583617,1.203776307,1.20805385,1.141804592,-0.347745401,-0.259546244,0.462805651,-0.048161998,0.183066985,0.131488401,-0.20889932,0.035218689,-0.248024044,-0.026206892,0.59849016,-0.027380985,0.805133823,1.005890501,0,0,0,0,23069.80151,8321.649216,5993.111355,23257.45572,8517.983513,6255.995541,365.6600175,375.8862787,381.9810207,-0.61343048,-0.400241613,0.385957012,-0.209238361,0.662564401,0.589471588,0.400940723,0.550992238,-0.251344218,-0.372106043,0.330739548,-0.097570237,-0.867205277,-0.371142528,-0.463776873,-0.567374892,0.63308321,-0.870507107,1.246346448,-0.704165671,1.31871421,-1.072450596,0.047222222,0.036111111,0.030555556,0.037962963,238.9131184,115.2347735,88.69955229,293.5038744,182.7612368,111.4978601,-1588.985733,-371.2170186,-161.5246841,26.46284722,23.18246528,-18.34201389,10.43443287,7.387600163,11.52947737,8.164002091,9.02702654,0.618027354,-0.294022229,-0.280167382,0.014612581,-0.801346443,-1.637352207,-1.100628169,-1.179775606,-0.763121775,0.124881133,-0.043343756,0.521605323,1.124426269,1.672800082,0,0,0,0,264052.4102,197981.6738,128668.9316,271749.2109,241327.9961,145108.9453,360.4775429,360.5378308,360.8953433,cement
-7.664661614,-4.970304396,4.184817802,-2.816716069,0.788916988,1.10846247,1.092417458,0.996598972,-0.133714371,-1.112637899,0.178778006,-0.355858088,-0.02909955,1.573228205,-0.285367933,0.419586907,-0.168937789,-0.054258934,0.544233336,-0.019249316,0.957412477,1.031783645,0,0,0,0,21265.0084,9125.148529,6541.665955,21372.99396,9335.741341,6734.187337,366.1676123,374.4389188,380.3320036,0.600500191,0.340976294,-0.310801905,0.21022486,0.63377354,0.452731335,0.348566419,0.478357098,-0.610278271,-0.875583244,0.279382841,-0.402159558,-0.52143648,0.903345231,-0.780667732,-0.13291966,0.685273201,-0.881942683,1.330810373,-0.659927609,1.373473409,-1.064383546,0.019444444,0.025,0.027777778,0.024074074,186.3710393,78.2261792,48.41440346,274.4169764,115.6429783,78.51469433,-1154.319015,-170.3714995,-100.4147975,30.55607639,15.259375,-20.02517361,8.596759259,7.885674807,10.90225168,6.601713692,8.463213394,-0.243153668,0.800172571,-0.108906559,0.149370781,-1.561982235,-1.056970274,-1.113067539,-1.244006683,-0.821987419,0.638631706,0.371044025,-0.136386716,0.415910599,1.199406522,0,0,0,0,336796.0371,96561.38086,146731.2578,358508.7617,126614.7422,160052.4727,360.3618608,361.0264961,360.8115599,cement
-8.02868456,-4.758584682,3.812671665,-2.991532526,0.987270543,1.175357591,1.166337896,1.109655343,-0.236275148,-0.07526557,0.123758536,-0.062594061,0.299737604,0.82448826,-0.218568741,0.301885708,-0.093170242,-0.000374409,0.790628828,-0.038530823,0.935816154,1.00993589,0,0,0,0,23319.13096,8397.934469,5485.358072,23556.4124,8649.21371,5722.851353,365.5870709,375.6347761,384.1662488,-0.222561161,-0.207216953,0.191647908,-0.079376735,1.140659212,0.728166053,0.662510555,0.843778607,0.558118728,0.183865092,-0.476265697,0.088572708,-0.657236298,-0.733070407,-0.526166458,-0.638824388,0.803799332,-0.945607369,1.303047657,-0.827982441,1.299487864,-1.207679242,0.019444444,0.019444444,0.016666667,0.018518519,100.0943274,39.4880478,45.19771626,486.2292873,206.3392799,171.233696,1386.703095,-483.4165861,-326.563212,24.16545139,26.28940972,-19.33246528,10.37413194,4.774666625,9.581194204,9.029187014,7.795015948,0.749396359,-0.817532394,0.143746608,0.025203524,0.594277935,-0.557718724,-1.1458906,-0.36977713,-0.466851814,0.234046318,0.309802664,0.716148905,1.77271925,2.18193805,0,0,0,0,212462.2285,269481.8672,146508.1348,218435.9336,281855.6445,163897.3555,360.5942884,360.4603979,360.7924795,cement
-7.774054072,-4.745491906,4.211043276,-2.769500901,0.875935542,1.081835611,1.017774836,0.991848663,-0.67149838,-2.140454173,0.145379002,-0.88885785,2.581368467,8.9573453,0.306047029,3.948253599,-0.141252309,0.041525674,0.771677756,-0.185059238,0.77608519,0.860962976,0,0,0,0,21883.18976,8311.245705,6631.41669,22033.14472,8528.422219,6756.750392,365.9797506,375.8659771,380.2602872,0.247053443,0.124903176,-0.10273102,0.089741866,0.548756012,0.403015503,0.290660911,0.414144142,1.041109962,0.206728355,-1.149894806,0.032647837,0.137643323,0.475702821,1.466581027,0.693309057,0.737161503,-0.857903291,1.440282534,-0.640950639,1.50005264,-1.058645235,0.055555556,0.041666667,0.05,0.049074074,62.78140735,29.49413238,19.12940328,130.3806831,64.08802767,34.21347388,-204.4124447,-77.96808551,-37.80650705,33.91857639,5.055555556,-22.51371528,5.486805556,3.716158056,3.033879078,3.561561255,3.437199463,-1.585806955,2.762589668,-0.553010518,0.207924065,2.419262855,7.491736287,-0.030935209,3.293354644,-0.805518572,0.926597955,1.330282847,-0.619619351,-0.630271111,1.491067242,0,0,0,0,416889.0273,10967.39258,184481.7441,419140.6758,12514.70313,187038.7539,360.3094699,370.6625393,360.6942408,cement
