Accelerometer_Avg_x,Accelerometer_Avg_y,Accelerometer_Avg_z,Accelerometer_Avg_total,Accelerometer_Deviation_x,Accelerometer_Deviation_y,Accelerometer_Deviation_z,Accelerometer_Deviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometer_Dc_x,Accelerometer_Dc_y,Accelerometer_Dc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscope_Avg_x,Gyroscope_Avg_y,Gyroscope_Avg_z,Gyroscope_Avg_total,Gyroscope_Deviation_x,Gyroscope_Deviation_y,Gyroscope_Deviation_z,Gyroscope_Deviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscope_Dc_x,Gyroscope_Dc_y,Gyroscope_Dc_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,Magnetometer_Avg_x,Magnetometer_Avg_y,Magnetometer_Avg_z,Magnetometer_Avg_total,Magnetometer_Deviation_x,Magnetometer_Deviation_y,Magnetometer_Deviation_z,Magnetometer_Deviation_total,Magnetometer_Skewness_x,Magnetometer_Skewness_y,Magnetometer_Skewness_z,Magnetometer_Skewness_total,Magnetometer_Kurtosis_x,Magnetometer_Kurtosis_y,Magnetometer_Kurtosis_z,Magnetometer_Kurtosis_total,Magnetometer_Correlation_x_y,Magnetometer_Correlation_x_z,Magnetometer_Correlation_x_total,Magnetometer_Correlation_y_z,Magnetometer_Correlation_y_total,Magnetometer_Correlation_z_total,Magnetometer_Zero_x,Magnetometer_Zero_y,Magnetometer_Zero_z,Magnetometer_Zero_total,Magnetometer_Dc_x,Magnetometer_Dc_y,Magnetometer_Dc_z,Magnetometer_Energy_x,Magnetometer_Energy_y,Magnetometer_Energy_z,Magnetometer_Entropy_x,Magnetometer_Entropy_y,Magnetometer_Entropy_z,class
6.255551774,-7.897677021,1.156794488,-0.16177692,1.334467618,1.304393894,1.685352174,1.441404562,0.231000225,-0.192911664,0.42728092,0.15512316,-0.558396921,-0.11465302,-0.396654505,-0.356568149,-0.344519429,-0.146970703,0.44219451,0.084231151,0.684473361,1.10940063,0,0,0.058333333,0.019444444,14426.49976,22824.2148,892.2091073,14728.58346,23066.90847,1504.290758,369.0196783,365.7075141,473.2579278,-0.409435078,0.584079118,-0.139257139,0.011795634,0.693944931,0.876799356,0.288299545,0.619681277,-0.47967673,0.764513074,-0.751561277,-0.155574977,-0.05712153,-0.004427065,1.416581622,0.451677676,-0.76917989,0.60784451,0.314306405,-0.240963032,0.441454903,0.804984672,0.036111111,0.069444444,0.063888889,0.056481481,181.8421534,323.3963302,21.45828692,233.7107943,399.5731899,36.90330416,-666.2159725,3634.944483,-41.11830813,-25.91909722,32.47430556,-10.43090278,-1.291898148,7.909230875,5.632409429,12.16448414,8.568708148,-0.124768,-0.294823672,0.352623052,-0.022322874,-1.555558442,-1.271502386,-1.576599958,-1.467886928,0.845214369,-0.708766353,0.472422111,-0.295809219,1.017544104,0.570980911,0,0,0.002777778,0.000925926,244029.8945,385056.9883,48905.49609,264367.9922,391069.6406,92440.22656,360.4908942,360.3317041,361.4074683,cement_flo
6.670329256,-7.532077279,0.805025969,-0.018907351,1.217408927,1.208014793,1.881228931,1.435550884,0.177406097,-0.285171067,0.28356025,0.058598427,-0.118302684,-0.396928064,-0.176128544,-0.230453097,-0.225651472,0.000431251,0.658722657,0.06803416,0.739292852,1.368074259,0,0,0.069444444,0.023148148,16350.75698,20703.76065,813.884501,16551.13568,20948.93564,1507.352076,368.0043798,366.294643,472.9557375,-0.65018943,0.880891779,-0.149542374,0.027053325,0.790541624,0.952769952,0.253467453,0.665593009,0.045352721,0.454438164,0.131291522,0.210360802,-0.471464741,0.103125721,-0.177767436,-0.182035485,-0.778905574,0.651804491,0.32096945,-0.386639479,0.359096546,0.601520073,0.033333333,0.038888889,0.066666667,0.046296296,208.3874309,384.9970547,12.17311705,377.1728477,606.1467267,31.17912157,7906.797276,886.5152283,-34.13555678,-25.25052083,32.09913194,-10.5578125,-1.236400463,8.520320746,5.718375567,10.59467843,8.277791582,-0.304815457,-0.116571151,0.557056147,0.04522318,-1.589845085,-0.865370528,-1.230730028,-1.228648547,0.906097094,-0.652782593,0.819747937,-0.320775977,1.212895373,0.386388546,0,0,0.022222222,0.007407407,231682.2832,372701.6426,65571.60352,255666.4805,382699.4727,80537.26172,360.5076252,360.3389658,361.6164184,cement_flo
6.530140788,-7.664781318,1.066402455,-0.022746025,1.180481627,1.268353846,1.73724208,1.395359184,0.144328984,-0.385722486,0.406367854,0.054991451,-0.32378585,-0.369776291,0.367446895,-0.108705082,-0.526114843,-0.037492073,0.321099428,0.347360574,0.896352968,1.529039634,0,0,0.077777778,0.025925926,15518.38019,21415.47127,1042.681539,15853.05921,21728.73389,1495.880726,368.3650361,366.0649358,474.0964866,-0.495974646,0.727134163,-0.115264534,0.038631661,0.657273519,0.770693543,0.249050969,0.55900601,0.003825656,0.625800373,-0.336216434,0.097803198,-0.239378354,0.358968669,-0.155740739,-0.012050141,-0.699550787,0.635305157,0.494373235,-0.214531817,0.460581772,0.896738014,0.033333333,0.044444444,0.052777778,0.043518519,173.0585113,288.982919,18.52100717,244.0797583,404.1693464,27.11242719,-758.0100909,3294.161599,-29.32063131,-27.94461806,30.91388889,-6.796875,-1.275868056,7.180797245,4.721178347,12.33466768,8.078881089,0.12309566,-0.098446452,0.047807446,0.024152218,-1.468303391,-1.253954878,-1.736004933,-1.486087734,0.851498592,-0.576338832,0.506496624,-0.134176949,1.136368875,0.936097708,0,0,0.002777778,0.000925926,291613.6914,350581.3789,17478.52148,299687.5898,352064.8984,71402.95312,360.4329704,360.3684907,361.8242485,cement_flo
6.704578044,-7.563452064,0.883323166,0.008149715,1.32461245,1.256478796,1.659675183,1.41358881,0.133213879,-0.499493356,0.398914799,0.010878441,-0.027700676,0.155453543,-0.313267099,-0.061838077,-0.25411097,-0.215486016,0.458188836,0.163188793,0.84233875,1.117215254,0,0,0.086111111,0.028703704,16437.99699,20875.27396,816.2048894,16814.14736,21162.43659,1272.52135,367.8764337,366.2300394,502.0240743,-0.743684144,0.991288697,-0.160279353,0.0291084,0.668516553,0.733072129,0.240702896,0.547430526,0.184504401,0.202874654,-0.026529146,0.120283303,0.24891626,-0.569302559,0.022361741,-0.099341519,-0.725726314,0.586702977,0.507329992,-0.134294821,0.393816042,0.976335319,0.027777778,0.033333333,0.047222222,0.036111111,311.0084386,504.8494879,20.06246232,359.9929755,547.2172897,30.10584784,-18449263.33,1052.243757,-32.85328082,-27.484375,31.29288194,-4.73125,-0.307581019,9.221878883,6.144621641,11.98211721,9.116205911,0.270601269,0.113593535,-0.259917652,0.041425717,-1.597065553,-1.223344754,-1.323153107,-1.381187805,0.911555399,-0.467795239,1.011151418,-0.109714598,1.451948549,0.767206396,0,0,0.005555556,0.001851852,289393.1133,355505.6953,52507.61133,302556.2109,366120.3008,59744.10938,360.4288604,360.3543304,362.182402,cement_flo
1.647693692,-7.530680185,2.598935611,-1.094683627,5.737905586,2.051889608,1.983121956,3.25763905,-0.41391457,0.369780282,0.195036956,0.050300889,-1.662683132,-0.313536986,-0.811802172,-0.929340764,0.361278079,0.239883841,2.134959438,0.476455677,1.556261684,1.33138975,0.002777778,0,0.038888889,0.013888889,3934.315961,21629.61649,3448.669811,12829.84381,21931.7022,3847.406042,370.3930732,366.0078708,397.1622915,0.187523398,0.182006994,-0.059405358,0.103375011,0.520522993,0.678050573,0.409223567,0.535932378,0.726317226,-0.691246334,-1.544209801,-0.503046303,0.816212755,4.011496897,3.236806139,2.68817193,0.447162768,-0.357871727,1.263727381,-0.257332643,1.502992779,0.090419166,0.052777778,0.116666667,0.061111111,0.076851852,43.70775942,98.14109036,35.0722691,110.1993159,177.4364851,61.55745269,-158.8136313,-349.8899255,-74.2544358,-6.091666667,35.45868056,-19.25104167,3.371990741,13.91767383,9.748293039,10.85555408,11.50717365,0.395073125,-1.013448031,-0.16916198,-0.262512295,-1.707784444,-0.139652855,-1.116448809,-0.987962036,0.753149415,0.874831263,2.672799946,0.926078629,2.631704231,2.78598873,0.002777778,0,0,0.000925926,33214.46094,480637.8438,159041.4043,83091.61719,486845.0078,175840.4375,361.5665111,360.2664008,360.7385439,cement_flo
-5.290718094,-8.288045262,2.222797768,-3.785321863,1.084983089,1.374111984,1.542503417,1.333866164,-0.325604185,-0.625301582,-0.071662018,-0.340855929,-0.963245747,0.37466255,-0.223175384,-0.270586194,0.215075325,-0.226436266,0.77312251,-0.074867501,1.11853928,0.895102973,0,0,0.036111111,0.012037037,10361.66479,25092.00341,2038.438833,10500.79905,25408.75608,2635.252816,372.780058,365.1739096,416.960703,0.706009246,0.917426977,-0.235301086,0.462711712,0.592144671,0.823966839,0.363025386,0.593045632,-0.056844104,-0.248672981,-0.190923809,-0.165480298,-0.908886078,-0.728895343,-0.261109057,-0.632963493,0.733528309,-0.670175482,1.607392263,-0.396699464,1.878961217,-0.608187025,0.036111111,0.036111111,0.047222222,0.039814815,217.1913137,363.0912332,36.4238759,305.6703721,547.4136997,67.37545143,-2025.438758,1051.518284,-82.88833809,26.19079861,30.51232639,-11.596875,15.03541667,9.641440683,8.51969035,9.780134554,9.313755196,-0.485167795,0.474723691,0.350948877,0.113501591,-1.357398244,-1.417231911,-1.319212943,-1.364614366,-0.946741646,-0.244876091,-0.087980206,0.507913429,0.468038779,1.261192843,0,0,0.022222222,0.007407407,274271.1348,352156.0625,52084.37109,280409.5117,361291.3867,82849.875,360.4627753,360.359071,361.5711019,cement_flo
-5.639552728,-8.231802228,1.810774556,-4.020193466,1.124718154,1.182007235,1.63363291,1.313452766,-0.085760614,-0.258996896,0.040142924,-0.101538195,-0.247818216,-0.618475575,0.189631392,-0.225554133,0.27308086,-0.069455782,1.015671435,0.040216526,1.18378469,1.220486185,0,0,0.044444444,0.014814815,11595.63383,24630.99919,1736.026248,11905.03652,24897.49525,2141.157951,371.2256033,365.2817127,432.7616548,0.673591179,0.823054911,-0.151435184,0.448403636,0.631723208,0.927817235,0.347356871,0.635632438,0.430714614,-0.213168469,-0.0377486,0.059932515,0.046282811,1.255620594,-0.66539554,0.212169288,0.672076171,-0.646478336,1.621579249,-0.258754266,1.986215936,-0.473725297,0.041666667,0.041666667,0.047222222,0.043518519,209.3713996,335.7066326,34.63394443,307.0077439,553.7751153,51.69218778,-2085.640355,1028.816529,-60.35911795,26.34965278,30.08732639,-13.50555556,14.31047454,10.27973794,8.662829803,7.655540752,8.866036164,-0.547218041,0.449971759,0.864885129,0.255879616,-1.355349238,-1.323499629,0.219163715,-0.819895051,-0.963303106,-0.030572564,0.191828404,0.225202597,0.054632528,1.048061884,0,0,0.002777778,0.000925926,255365.2949,332057.0723,82959.64062,287991.7969,352905.0586,86762.64062,360.4505761,360.3676126,361.4999542,cement_flo
-5.753914906,-8.005452924,2.23425394,-3.84170463,1.084775511,1.200201618,1.378428524,1.221135218,-0.093453307,-0.540584063,0.474007151,-0.053343406,-0.864726302,-0.078328118,0.130252193,-0.270934075,0.266454219,-0.228681434,0.89208244,-0.073368714,1.136738242,0.853552694,0,0,0.016666667,0.005555556,12146.8216,23263.15233,2295.96939,12342.33888,23589.99376,2481.104111,370.8159184,365.5789942,421.100254,0.568427382,0.640262921,-0.159072537,0.349872589,0.629328415,0.81658625,0.329089903,0.591668189,0.329359377,0.089542845,0.520267215,0.313056479,-1.025832944,-0.621457142,-0.096967765,-0.581419284,0.739940891,-0.715225982,1.687060993,-0.366411713,1.963380327,-0.710244196,0.061111111,0.05,0.038888889,0.05,165.6416876,246.888688,20.45524336,258.8990192,387.6298963,48.09752512,-921.8866741,5050.571348,-55.51449712,21.0703125,34.28350694,-12.37413194,14.3265625,9.790113671,9.308156105,9.268470515,9.455580097,0.360522985,-0.324401535,0.532867058,0.189662836,-1.584432745,-1.616909865,-0.522850376,-1.241397662,-0.96979564,-0.430191794,-0.340974902,0.591141378,0.559745984,1.116724735,0,0,0.002777778,0.000925926,170768.8418,428575.9199,61692.35742,194329.582,454320.2227,86048.52734,360.668146,360.2854876,361.5124545,cement_flo
-5.63256725,-8.11460595,1.844065328,-3.967702624,1.129785889,1.138325151,1.417917717,1.228676252,-0.187279043,-0.625595207,0.189614629,-0.207753207,-0.433317136,-0.035605397,0.510461696,0.013846388,0.146684252,-0.076033746,0.96766798,0.066279761,1.137831217,1.145512318,0,0,0.027777778,0.009259259,11730.88265,23890.77111,1552.158747,11880.80279,24171.34099,1947.984331,371.2492161,365.4427846,441.612896,0.748961597,0.874992469,-0.21488204,0.469690675,0.571471522,0.844474943,0.335499189,0.583815218,-0.043795931,-0.172841161,0.07945678,-0.045726771,-0.690407109,0.004813221,-0.56164819,-0.41574736,0.759689282,-0.72867694,1.658983071,-0.35422945,1.986539584,-0.650988213,0.027777778,0.038888889,0.05,0.038888889,249.4869675,392.3531283,34.74507512,319.5083431,532.3499103,57.14423896,-2840.659345,1111.958616,-67.92648075,22.78871528,34.45381944,-8.010763889,16.41059028,9.383497806,9.001987541,9.054438058,9.146641135,0.4542945,-0.471743444,-0.119429077,-0.045626007,-1.226255731,-1.259467403,-1.262476781,-1.249399972,-0.953565987,-0.09322604,-0.004876186,0.348641748,0.351053273,1.237407287,0,0,0.005555556,0.001851852,197723.0391,444186.0352,45380.66797,218655.207,456516.5234,52615.86719,360.5936915,360.284113,362.4801043,cement_flo
-5.738826309,-8.118218416,2.034329674,-3.940905017,1.123919138,1.149005654,1.536816238,1.269913677,0.044176591,-0.557531693,0.473498429,-0.013285558,-0.591708443,0.093410053,-0.493614545,-0.330637645,0.3770888,-0.283103671,0.883617527,-0.029731431,1.202547271,0.93271617,0,0,0.027777778,0.009259259,12081.42655,24071.65186,1788.741125,12311.03579,24201.24633,2340.108493,370.8442483,365.4359574,425.4509591,0.528173706,0.606090124,-0.118997882,0.338421983,0.549259357,0.748237021,0.315850535,0.537782305,0.538439893,-0.301375343,-0.46395528,-0.075630243,-0.245020361,0.003323769,0.303954564,0.020752657,0.697013325,-0.710624288,1.573758494,-0.292566675,1.931396334,-0.545528775,0.041666667,0.055555556,0.047222222,0.048148148,170.5554708,231.02491,31.16760124,209.03519,333.7933964,41.01194036,-498.478211,-4585.318433,-46.28479996,27.16579861,30.28368056,-8.314756944,16.37824074,10.11002279,9.656851977,8.020937858,9.262604207,-0.457514593,0.351387384,0.203424676,0.032432489,-1.592736394,-1.696012179,-1.066818685,-1.451855753,-0.974191356,-0.464768422,-0.326633579,0.6329924,0.527383851,1.018593932,0,0,0.011111111,0.003703704,275048.5098,334605.1719,29524.86914,302469.543,363728.1953,48049.42578,360.4289835,360.356663,362.7175836,cement_flo
