Accelerometer_Avg_x,Accelerometer_Avg_y,Accelerometer_Avg_z,Accelerometer_Avg_total,Accelerometer_Deviation_x,Accelerometer_Deviation_y,Accelerometer_Deviation_z,Accelerometer_Deviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometer_Dc_x,Accelerometer_Dc_y,Accelerometer_Dc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscope_Avg_x,Gyroscope_Avg_y,Gyroscope_Avg_z,Gyroscope_Avg_total,Gyroscope_Deviation_x,Gyroscope_Deviation_y,Gyroscope_Deviation_z,Gyroscope_Deviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscope_Dc_x,Gyroscope_Dc_y,Gyroscope_Dc_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,Magnetometer_Avg_x,Magnetometer_Avg_y,Magnetometer_Avg_z,Magnetometer_Avg_total,Magnetometer_Deviation_x,Magnetometer_Deviation_y,Magnetometer_Deviation_z,Magnetometer_Deviation_total,Magnetometer_Skewness_x,Magnetometer_Skewness_y,Magnetometer_Skewness_z,Magnetometer_Skewness_total,Magnetometer_Kurtosis_x,Magnetometer_Kurtosis_y,Magnetometer_Kurtosis_z,Magnetometer_Kurtosis_total,Magnetometer_Correlation_x_y,Magnetometer_Correlation_x_z,Magnetometer_Correlation_x_total,Magnetometer_Correlation_y_z,Magnetometer_Correlation_y_total,Magnetometer_Correlation_z_total,Magnetometer_Zero_x,Magnetometer_Zero_y,Magnetometer_Zero_z,Magnetometer_Zero_total,Magnetometer_Dc_x,Magnetometer_Dc_y,Magnetometer_Dc_z,Magnetometer_Energy_x,Magnetometer_Energy_y,Magnetometer_Energy_z,Magnetometer_Entropy_x,Magnetometer_Entropy_y,Magnetometer_Entropy_z,class
-6.299859661,-7.555069491,2.234832742,-3.87336547,1.842680051,1.712047315,1.964390432,1.839705933,-0.223347028,-0.771638592,0.787224432,-0.069253729,0.611440334,1.293351399,0.970896594,0.958562776,0.324394844,-0.30579101,0.976985727,0.003400242,1.259159186,0.764653082,0,0,0.027777778,0.009259259,15003.07966,21015.20915,2219.087025,15510.13255,21603.66517,3187.190576,368.5543806,366.1006422,405.8405603,-0.298172207,-0.502575735,0.159520113,-0.21374261,0.995711467,0.942019822,0.336138327,0.757956539,-0.440245946,-0.88011712,0.148493752,-0.390623105,1.220932935,0.814445876,0.729983155,0.921787322,0.502705414,-0.754109058,1.604029931,-0.467856879,1.695749919,-1.128649361,0.041666667,0.055555556,0.047222222,0.048148148,213.4458679,214.1364154,29.64307702,388.9252766,410.3941374,49.83683089,4840.510313,2931.727721,-57.84458281,16.33871528,35.67118056,-8.377604167,14.54409722,9.037002964,6.194718586,6.916825405,7.382848985,1.043136184,-1.025542743,-0.153538293,-0.045314951,-0.23423385,-0.24882717,-0.364012255,-0.282357758,-0.871590619,0.636599792,1.089145124,-0.45924889,-0.658064769,1.330768379,0,0,0.005555556,0.001851852,104560.5313,461936.5742,31794.79688,125503.5742,471890.7578,42489.62109,361.0356105,360.2748495,363.0762204,cement_kevB
-6.79506987,-6.887617408,3.013553428,-3.55637795,1.819815242,1.546460384,2.012741949,1.793005859,-0.699670597,-0.604934022,1.274588877,-0.010005247,0.397732551,-0.024765106,1.411914692,0.594960712,0.10061899,-0.188856857,0.889734074,0.102296902,1.079453039,1.019101783,0,0,0,0,17224.32281,17689.39695,3732.991192,17814.49274,17939.09278,4727.74839,367.4250224,367.3723941,389.6720389,-0.637305052,-0.796606478,0.393921199,-0.346663444,1.050107266,0.857351194,0.335974931,0.74781113,0.01826195,0.1614732,0.120010916,0.099915355,0.170282062,-0.235168265,0.018901747,-0.015328152,0.673378452,-0.836005848,1.80065798,-0.701635298,1.776837593,-1.529087625,0.052777778,0.041666667,0.044444444,0.046296296,364.2294643,321.2447059,77.12014203,543.1978801,493.0678622,96.49910336,1067.431767,1333.939146,-131.8389336,24.82673611,27.50052083,-14.884375,12.48096065,10.50581298,9.748505814,9.636051725,9.96345684,0.111422262,-0.327664219,-0.14229844,-0.119513466,-1.432799369,-1.25390103,-1.115727152,-1.267475851,-0.819974494,0.184844754,0.430920768,0.373137636,0.474692746,1.527133684,0,0,0.011111111,0.003703704,234320.834,274192.8516,106970.9355,261626.0156,306472.3242,113183.3203,360.4960461,360.423374,361.1486987,cement_kevB
-6.696774277,-7.050518657,3.004572086,-3.580906949,1.773645674,1.540311076,1.956464021,1.756806924,-0.17042321,-0.505810413,1.107894753,0.143887043,0.027303959,0.605723449,1.394636066,0.675887824,-0.016307805,-0.097394686,0.88682334,0.104219192,0.976366774,1.10669551,0,0,0.016666667,0.005555556,16760.10168,18254.7146,4006.305907,17277.33769,18749.65375,4627.87376,367.6607799,367.047441,390.366409,-0.720114568,-0.850618337,0.461097963,-0.369878314,1.023134373,0.715300372,0.360609937,0.699681561,0.89758551,0.124034459,-0.655106833,0.122171045,1.891173747,-0.045845968,0.767616765,0.870981515,0.731508911,-0.798246152,1.798714652,-0.677903448,1.742612114,-1.344908571,0.025,0.027777778,0.016666667,0.023148148,363.9957907,346.3908118,102.4097243,563.532817,444.6742238,123.3543088,996.7523523,1890.572046,-187.6541717,23.60798611,28.72829861,-16.28697917,12.01643519,10.86749288,8.918709363,9.483485151,9.756562465,0.418409768,-0.492551931,0.129818842,0.018558893,-1.255377973,-1.15867903,-1.18343934,-1.199165447,-0.827995087,0.33079025,0.678506369,0.213132276,0.199016348,1.535295932,0,0,0,0,203306.291,305714.2031,121374.5332,243158.1875,325749.0664,127872.7852,360.5337766,360.3982924,361.0163687,cement_kevB
-6.779562142,-6.973019812,3.057162743,-3.565139737,1.668931334,1.538757559,2.120237358,1.775975417,-0.0163133,-0.612817589,1.58912277,0.319997294,0.128726353,0.957215543,3.430864963,1.505602286,0.027666862,-0.160308505,0.772314657,0.075207276,0.982214569,1.108359505,0,0,0.005555556,0.001851852,16978.42896,18109.98549,3906.785811,17549.20607,18356.68085,4982.994178,367.5396152,367.2013279,388.0337796,-0.640546725,-0.783193019,0.458325312,-0.321804811,0.92635158,0.721087785,0.370785808,0.672741724,0.810571873,-0.006196993,-0.013069649,0.26376841,1.391207896,-0.346129054,-0.344302037,0.233592268,0.567943624,-0.784531896,1.553338316,-0.567955671,1.540878645,-1.137899468,0.055555556,0.05,0.044444444,0.05,274.6880325,290.5174526,94.91633488,456.6338488,408.0092038,125.1159146,1701.144967,3059.482384,-191.7615202,22.31041667,29.64756944,-16.34270833,11.87175926,11.06811867,9.069081097,9.465734474,9.867644746,0.516257312,-0.583418035,-0.29511231,-0.120757678,-1.128868585,-0.96370664,-0.790215008,-0.960930078,-0.762781525,0.442183239,0.844779125,0.189840303,0.245600913,1.629725082,0,0,0,0,187895.8652,339062.1699,109855.1895,223292.8594,346041.5781,128406.3281,360.5813409,360.3749115,361.0121337,cement_kevB
-1.53852071,-6.746930006,3.215373725,-1.690025664,6.813503276,1.732470113,2.061382174,3.535785188,0.801278027,-0.657022276,1.821356087,0.655203946,-0.98378686,3.28598414,7.698122158,3.333439813,0.474746117,-0.00607374,2.156088685,0.026589189,1.420325204,0.584329532,0.002777778,0,0.005555556,0.002777778,4665.174301,16882.13903,4440.172997,17564.71423,17468.10619,5251.652878,367.5328191,367.5753563,386.4941122,0.037440526,-0.248163152,0.103441256,-0.035760457,0.979966571,0.515287214,0.354706543,0.616653443,0.618881254,-0.663293848,0.761674065,0.239087157,1.274821819,0.280638576,0.220597485,0.592019294,0.129509139,-0.170813054,1.59913559,-0.647843114,0.668783502,-0.237588575,0.069444444,0.072222222,0.055555556,0.065740741,192.8438856,69.15055989,20.05414284,346.2250586,117.7581107,49.14605703,-9048.388453,-175.0024323,-56.91605634,1.418229167,21.24322917,-18.96649306,1.231655093,29.65665115,4.436038461,16.12798124,16.74022361,-0.635165121,-0.48027151,0.697758077,-0.139226185,-1.466208663,-0.631718142,-1.396794906,-1.164907237,-0.038832803,-0.954190066,0.841997585,-0.122500766,0.078176824,-0.759459317,0.002777778,0,0.016666667,0.006481481,51237.25781,168380.1504,155971.7793,317350.1992,169543.1602,223142.2695,360.4088454,360.7660337,360.5817339,cement_kevB
7.739825268,-5.6542422,3.177851759,1.754478276,2.254500812,2.008787807,2.98037019,2.414552936,0.770880936,-0.061007215,2.144853396,0.951575706,0.662115961,0.721255625,6.07758917,2.486986918,0.102246772,0.271476674,1.353871277,0.425551875,1.452693502,1.841855659,0,0.005555556,0.027777778,0.011111111,23018.44748,11953.76325,5529.977765,23395.56087,12962.04599,6833.285377,365.626084,370.2840444,380.0207456,0.864349951,-0.529802682,0.328134957,0.220894075,1.335722609,0.794093525,0.519561373,0.883125835,-0.048726861,0.261188824,0.239968524,0.150810162,0.427897169,-0.010403834,0.041403066,0.152965467,-0.557950732,0.806420532,1.485227191,-0.480225203,-0.227238679,1.376215865,0.041666667,0.052777778,0.036111111,0.043518519,536.9843707,181.0249553,90.43518818,911.2520608,328.0591469,135.9419652,595.1011619,-3697.499646,-218.4215689,-34.596875,20.39479167,-16.48802083,-10.23003472,7.626386699,9.731579766,12.92981177,10.09592608,0.298238821,0.255810078,0.17049145,0.24151345,-0.756989449,-1.039895768,-1.644499224,-1.147128147,0.76641098,-0.646223102,0.666529565,-0.115124931,1.395412613,0.681573636,0,0,0.013888889,0.00462963,432975.668,159620.1562,138787.6816,451837.9922,183834.4219,158052.5508,360.2870572,360.7063655,360.8218524,cement_kevB
7.578161464,-5.631210103,3.780099419,1.909016927,1.997826057,2.23439205,2.695057365,2.309091824,0.25975805,0.007276364,1.655619509,0.640884641,0.094878082,0.728497758,3.312501906,1.378625915,0.126593044,0.260471151,1.29170664,0.427760282,1.576438578,1.806432099,0,0.005555556,0.005555556,0.003703704,21503.25456,12103.31844,6979.274605,22111.14245,13213.09262,7758.894893,365.9583077,370.0831764,377.5161294,0.974098811,-0.621084011,0.433048715,0.262021172,1.107230982,0.647424725,0.49516811,0.749941273,0.324574179,0.174508084,0.435875223,0.311652495,0.373737711,0.118135686,-0.242771368,0.08303401,-0.418525796,0.822390841,1.658114838,-0.38447414,-0.00847978,1.54255634,0.047222222,0.047222222,0.047222222,0.047222222,517.6885282,212.1519577,114.3956194,782.9384192,289.7654844,155.7801529,666.4275888,-1485.246583,-274.6102097,-33.46197917,21.71927083,-17.24965278,-9.66412037,7.167714143,9.653771917,12.02669556,9.61606054,0.014126652,0.497864881,0.120148561,0.210713365,-1.047981056,-0.54433799,-1.559640016,-1.050653021,0.640565675,-0.700963075,0.511781259,-0.020808782,1.455367572,0.707307255,0,0,0.008333333,0.002777778,418820.0859,176445.2285,146689.668,421588.8633,203371.9336,159189.0938,360.3076712,360.6383861,360.8159714,cement_kevB
7.811635928,-5.360972027,3.781576316,2.077413406,1.972403497,2.072134211,2.60667696,2.217071556,0.052095224,-0.014833966,1.795258619,0.610839959,-0.422235237,0.927473421,5.83320136,2.112813181,0.133170616,0.28983919,1.354880953,0.42593476,1.55388522,1.831673302,0,0.005555556,0.005555556,0.003703704,22472.39947,11117.75808,6150.019022,23368.33132,11892.15406,7594.230316,365.6327423,371.2381433,377.9148291,0.793174003,-0.449548319,0.328959059,0.224194914,1.076226224,0.635764747,0.461054126,0.724348366,-0.146806625,0.214835542,0.25512803,0.107718982,0.513990824,-0.295324092,-0.73077687,-0.170703379,-0.571968283,0.80404266,1.495545776,-0.508357886,-0.295690622,1.384955011,0.05,0.061111111,0.055555556,0.055555556,454.861261,139.0028111,85.9653752,643.459638,218.2645819,115.4825893,817.2079501,-554.3797773,-170.0236069,-33.06440972,21.3046875,-17.83940972,-9.866377315,6.444508611,7.309724199,13.21780773,8.990680181,-0.28861345,-0.071614215,0.099593461,-0.086878068,-1.109414261,-0.80423492,-1.734818135,-1.216155772,0.330232688,-0.803226704,-0.195588945,0.234005114,1.393770655,1.084669788,0,0,0.027777778,0.009259259,400372.3984,177800.748,117136.2344,408523.2773,182635.8398,177463.793,360.31752,360.7110103,360.7317743,cement_kevB
7.630073535,-5.299579684,3.91519847,2.08189744,1.817251169,1.838578013,2.252221038,1.969350073,0.209058939,-0.211341346,1.378671366,0.45879632,0.090778896,-0.110026977,2.201609886,0.727453935,0.133932691,0.258937756,1.343936747,0.24705859,1.33973027,1.613228908,0,0,0.005555556,0.001851852,21334.78617,10654.10612,6233.879786,22147.35263,11327.72902,7344.460317,365.9484051,371.8164845,378.555478,0.800864613,-0.5131017,0.370594627,0.219452513,0.994934809,0.588302019,0.487514154,0.690250327,-0.263198676,0.174294143,0.154828461,0.021974643,0.594785423,-0.47935512,-0.322684383,-0.069084693,-0.550301655,0.875168674,1.590507541,-0.518401606,-0.307048567,1.525929331,0.033333333,0.05,0.041666667,0.041666667,376.9045216,139.6741561,82.9845583,587.2605847,219.374143,135.0037542,930.2704679,-561.5943835,-216.009611,-36.28524306,21.23819444,-11.59149306,-8.879513889,7.784730181,9.002784072,10.49532879,9.094281013,0.597440064,0.125206312,-0.752344022,-0.009899215,-1.108444916,-1.090586403,-0.959688301,-1.05290654,0.83297672,-0.715421534,0.854960991,-0.273278064,1.387590722,0.271126632,0,0,0.011111111,0.003703704,477423.0762,166565.2852,76996.54102,495799.5195,191559.9687,88025.26953,360.2615859,360.6778244,361.4783506,cement_kevB
7.528192061,-5.512490294,3.996476095,2.004059287,1.92024295,1.98158522,2.300927507,2.067585226,0.190836588,-0.141821757,1.376615171,0.475210001,-0.077451175,0.987627619,2.12153159,1.010569345,0.089007559,0.239381676,1.280440034,0.408140514,1.495272386,1.726344166,0,0.005555556,0.005555556,0.003703704,20980.7681,11522.47205,6435.819827,21729.96313,12353.12252,7655.791884,366.064587,370.8061933,377.7636646,0.806724671,-0.474870302,0.387598542,0.239817637,0.977908253,0.676086718,0.483009247,0.712334739,-0.522025233,0.734078727,-0.195850462,0.005401011,0.606423688,0.614241296,-0.342573383,0.2926972,-0.423448894,0.814960099,1.52351596,-0.346620752,0.132762753,1.467876983,0.044444444,0.05,0.047222222,0.047222222,382.6238314,133.454243,93.02779868,578.5593284,245.7342194,138.0710026,952.9740036,-774.1978264,-223.9705559,-37.24652778,17.0390625,-14.57378472,-11.59375,5.739270342,7.190294124,12.2938307,8.407798388,0.631513614,-0.000831716,-0.414521895,0.072053335,-0.836001794,-0.797999392,-1.508926372,-1.047642519,0.203675982,-0.782690334,-0.287649844,0.377044771,1.5455378,1.250365624,0,0,0.005555556,0.001851852,506246.4395,112045.1426,85204.99023,511287.5,123130.793,130872.0508,360.2536563,361.0556257,360.9930118,cement_kevB
