Accelerometer_Avg_x,Accelerometer_Avg_y,Accelerometer_Avg_z,Accelerometer_Avg_total,Accelerometer_Deviation_x,Accelerometer_Deviation_y,Accelerometer_Deviation_z,Accelerometer_Deviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometer_Dc_x,Accelerometer_Dc_y,Accelerometer_Dc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscope_Avg_x,Gyroscope_Avg_y,Gyroscope_Avg_z,Gyroscope_Avg_total,Gyroscope_Deviation_x,Gyroscope_Deviation_y,Gyroscope_Deviation_z,Gyroscope_Deviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscope_Dc_x,Gyroscope_Dc_y,Gyroscope_Dc_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,Magnetometer_Avg_x,Magnetometer_Avg_y,Magnetometer_Avg_z,Magnetometer_Avg_total,Magnetometer_Deviation_x,Magnetometer_Deviation_y,Magnetometer_Deviation_z,Magnetometer_Deviation_total,Magnetometer_Skewness_x,Magnetometer_Skewness_y,Magnetometer_Skewness_z,Magnetometer_Skewness_total,Magnetometer_Kurtosis_x,Magnetometer_Kurtosis_y,Magnetometer_Kurtosis_z,Magnetometer_Kurtosis_total,Magnetometer_Correlation_x_y,Magnetometer_Correlation_x_z,Magnetometer_Correlation_x_total,Magnetometer_Correlation_y_z,Magnetometer_Correlation_y_total,Magnetometer_Correlation_z_total,Magnetometer_Zero_x,Magnetometer_Zero_y,Magnetometer_Zero_z,Magnetometer_Zero_total,Magnetometer_Dc_x,Magnetometer_Dc_y,Magnetometer_Dc_z,Magnetometer_Energy_x,Magnetometer_Energy_y,Magnetometer_Energy_z,Magnetometer_Entropy_x,Magnetometer_Entropy_y,Magnetometer_Entropy_z,class
8.772025529,-4.142692042,-2.896077683,0.577751935,1.790437766,1.301462321,1.915762148,1.669220745,0.437708177,-0.039868314,-2.551792762,-0.717984299,3.847789963,2.847324273,8.584824348,5.093312862,-0.006627122,0.15736905,1.2480641,-0.142722136,0.608772212,1.205217562,0,0.005555556,0.011111111,0.005555556,28263.62051,6481.284645,3623.975852,28855.47574,6788.05255,4340.667799,364.5480904,380.1616273,392.5573513,0.004826915,-0.005542532,0.001959097,0.000414494,0.569782164,0.609876735,0.241163878,0.473607592,1.811762542,0.549154374,-1.734511154,0.208801921,9.725708533,3.006077929,6.134603872,6.288796778,0.867559443,-0.485454022,2.073050613,-0.42601374,2.114530092,-0.623417019,0.066666667,0.055555556,0.044444444,0.055555556,57.67399008,67.83485868,10.39568558,116.8830047,133.9129264,20.93898754,-173.0766771,-213.2304724,-22.23209168,-32.07638889,12.57482639,24.42013889,1.639525463,2.335207168,1.61168085,3.368412782,2.4384336,0.907520557,-1.259323518,0.53680128,0.061666106,-0.394912334,2.899642065,-1.067054772,0.479224986,0.078548219,0.833957477,2.161598681,-0.284349257,0.343376806,1.992096897,0,0,0,0,370923.1426,57333.73633,215210.4961,372365.25,57860.55859,218768.1797,360.3483822,362.2538911,360.5933844,cement_kevC
8.008340314,-4.136604711,-4.31685655,-0.148373649,2.471878014,1.666110394,2.578131851,2.238706753,-0.031509982,-0.25759493,-0.417216369,-0.235440427,-0.337071566,-0.605718115,-0.216519004,-0.386436229,0.112424035,0.264891021,1.492876564,0.149400302,1.040414324,1.555285226,0,0,0.016666667,0.005555556,24532.48664,6617.028307,7835.13725,25287.73038,7159.472057,9101.525153,365.1990293,379.0603033,374.8257881,-0.870632558,0.468466121,0.444005384,0.013946315,0.956564132,1.019104481,0.528211168,0.834626594,-0.508285865,-0.341717736,0.744146263,-0.035285779,-0.447802932,-0.298856713,0.077932988,-0.222908886,0.206854623,-0.793600573,0.896427126,-0.148903523,1.363869422,-0.458488772,0.038888889,0.061111111,0.044444444,0.048148148,560.1085724,335.0937139,136.8571986,602.2857563,452.892402,171.4132149,894.9055677,1755.162545,-327.2167629,-31.38854167,15.25190972,21.275,1.712789352,6.95494015,8.611640887,8.064813406,7.877131481,0.478584237,1.00926653,-0.135723977,0.45070893,-0.954393052,-0.337491656,-1.168606906,-0.820163871,0.693599986,0.480066365,2.132707807,-0.214331788,1.48620617,1.213372898,0,0,0,0,356302.9746,88639.48437,179445.6582,372100.2266,110441.1992,186360.0625,360.3486306,361.1773128,360.696774,cement_kevC
8.175971658,-3.787051616,-4.18362029,0.06843325,2.531369756,1.585659079,2.871999491,2.329676109,-0.281366797,-0.083865253,-1.057890635,-0.474374228,-0.278563076,0.607494342,2.018952228,0.782627831,0.278011937,0.140723649,1.449283076,0.049539337,1.043787601,1.419414299,0,0.011111111,0.011111111,0.007407407,25482.8831,5512.496411,7887.134729,26371.56434,6068.186877,9270.381531,364.9823993,382.7042321,374.5448317,-0.777677889,0.422570962,0.384514806,0.009802626,0.70922061,1.158516005,0.43803307,0.768589895,0.061267012,-0.43172095,0.226100588,-0.048117783,-0.392628338,-0.187446898,-0.025332593,-0.201802609,0.371095188,-0.657113438,1.107616575,-0.288150199,1.685534838,-0.470773742,0.038888889,0.061111111,0.033333333,0.044444444,342.1439023,266.2914165,84.36901257,398.799638,547.4611989,122.3008582,3700.23735,1051.343066,-185.2270421,-32.47361111,23.53194444,3.019444444,-1.974074074,4.597079083,6.353497195,8.44895259,6.466509622,0.586789797,-1.11279561,1.262851557,0.245615248,0.17452267,0.609955427,1.074735037,0.619737711,0.774778865,0.780485511,2.491903739,0.326729169,1.96021299,2.182441516,0,0,0.027777778,0.009259259,380113.9668,203015.9453,14843.38867,387240.6797,213882.9609,28980.66406,360.334987,360.6069605,364.5281968,cement_kevC
8.427987584,-3.702913235,-3.747300945,0.325924468,2.374771565,1.490232655,2.164775992,2.009926737,-0.303773738,-0.210638311,-0.128915032,-0.21444236,-0.189039455,-0.206251706,0.116823754,-0.092822469,0.169553387,0.185749363,1.507294402,0.025747678,0.969498607,1.315599359,0,0,0.022222222,0.007407407,26479.36785,5197.808537,5907.460081,27601.38529,5735.649524,6742.26701,364.7574673,384.1087146,380.3062642,-0.846306079,0.446101469,0.357230717,-0.014324631,0.778443129,1.023098306,0.419849196,0.740463544,0.055022669,-0.247368797,0.361588525,0.056414132,0.006418999,-0.283481959,0.210910686,-0.022050758,0.235261425,-0.756770624,0.94725684,-0.197946322,1.516790868,-0.502080416,0.027777778,0.077777778,0.038888889,0.048148148,317.1278815,214.238551,65.01518882,475.9947668,448.4651993,109.3993676,1477.291785,1824.982853,-157.1575138,-35.58958333,9.855381944,18.06267361,-2.557175926,4.822602132,5.404398698,9.919205403,6.715402077,0.775617531,0.604330893,-0.638162917,0.247261836,-0.069990387,-0.477745494,-1.094603321,-0.5474464,0.717392535,0.760074346,2.41817404,0.174476793,1.577681946,2.163337884,0,0,0.011111111,0.003703704,457810.9785,43639.87891,121572.5566,464355.3359,45480.98828,152874.293,360.2793132,362.8722775,360.8497564,cement_kevC
8.529143936,-3.41650217,-3.954390293,0.386083824,2.337626631,1.650838522,2.216236657,2.068233937,-0.229773152,0.05889309,-0.071082517,-0.080654193,0.120751429,-0.19649088,-0.154818813,-0.076852755,0.324633015,0.270830496,1.679581661,0.080584701,1.251456146,1.441988506,0,0.011111111,0.016666667,0.009259259,27024.25696,4738.410074,6666.10844,28155.88604,5183.191765,7397.606705,364.6625605,386.8701736,378.4153513,-0.748698255,0.363870467,0.34194121,-0.014295526,0.769595459,1.183715878,0.450432147,0.801247828,-0.370437685,-0.145150272,0.337368293,-0.059406555,-0.657675272,0.093106169,-0.292221872,-0.285596992,0.351748314,-0.818628848,1.019945071,-0.413662039,1.582647787,-0.835246221,0.044444444,0.063888889,0.047222222,0.051851852,241.7691727,297.2724353,67.33591166,415.0174494,552.0905988,115.1326477,2715.616289,1034.681639,-169.2661466,-31.87690972,22.46753472,7.513020833,-0.632118056,4.302414565,5.349677779,14.00281136,7.8849679,0.741622118,-0.761227133,0.632738902,0.204377962,-0.895758892,0.75253106,-1.171483963,-0.438237265,-0.170403125,0.903609052,2.034742569,-0.463301979,-0.237286612,1.954604761,0,0,0.022222222,0.007407407,366993.375,189035.7734,36363.42188,372473.332,192027.3008,90908.71484,360.348281,360.6761717,361.4312738,cement_kevC
8.429690736,-2.999429453,-4.124782664,0.43515954,2.37873226,1.580182273,2.403736509,2.120883681,-0.451481997,0.248618399,-0.752512813,-0.318458804,0.179779812,0.085996593,1.237810175,0.501195526,0.271215572,0.234268031,1.589158778,0.114291552,1.178781421,1.481268843,0,0.016666667,0.016666667,0.011111111,26384.32039,3649.487966,6712.513234,27618.4991,4137.679101,8205.041242,364.7544804,394.3067785,376.5199896,-0.846819476,0.392929989,0.387914771,-0.021991572,0.784917049,1.056902795,0.497531203,0.779783682,-0.527148416,-0.258415831,1.165842359,0.126759371,0.004687138,-0.342184872,2.075967205,0.579489824,0.263961095,-0.855428691,0.818554962,-0.208068577,1.488322692,-0.505034448,0.019444444,0.058333333,0.044444444,0.040740741,421.2619438,240.8059523,103.9402479,479.9512799,457.7174981,143.2854603,1440.438659,1686.272188,-238.0217119,-36.98819444,9.865104167,12.76857639,-4.784837963,2.626824671,9.138380823,9.029139506,6.931448333,0.195683028,0.398071396,0.15172827,0.248494231,-0.4351245,-1.151828067,-1.373272228,-0.986741599,0.66527726,0.127656093,1.422358766,-0.541639607,0.864957464,0.636917491,0,0.005555556,0.005555556,0.003703704,494574.6367,50045.07813,62529.86914,495009.625,65098.90234,88042.28516,360.2620036,362.0018875,361.4780637,cement_kevC
8.46711297,-3.143855772,-4.105689024,0.405856058,2.244862057,1.896084248,1.782881785,1.974609363,0.396748827,-0.357885588,-0.876536897,-0.279224553,-0.106839809,-0.655749909,0.846545709,0.02798533,0.380469937,0.40934833,1.871805564,0.241107374,1.610471812,1.599796027,0,0.011111111,0,0.003703704,26717.72483,4271.451005,6674.958315,27623.30677,4852.427252,7212.725934,364.753642,388.8485473,378.912182,0.929414329,-0.266360704,-0.464026041,0.066342528,0.817598768,1.00250665,0.450227097,0.756777505,0.50795506,0.135253823,-0.664504454,-0.007098523,-0.383588519,-0.220853354,0.066468783,-0.179324363,0.00554967,-0.805486311,0.608515162,-0.194183741,1.21517522,-0.532531699,0.033333333,0.069444444,0.027777778,0.043518519,473.9373129,210.6777459,120.2864114,551.620347,387.3483386,150.4888579,1036.337362,5098.861913,-258.5828529,-35.48767361,5.197048611,15.29739583,-4.997743056,5.691069352,10.94039971,11.66490964,9.432126235,0.371534786,0.553827355,0.052452734,0.325938292,-1.028817062,-1.150746638,-1.534861102,-1.238141601,-0.327260365,0.925423602,1.368269733,-0.615497969,0.201249436,1.081173585,0,0.011111111,0.011111111,0.007407407,455559.6406,27035.66016,86396.42578,465034.7695,52812.59766,133228.957,360.2789047,362.4708023,360.9753971,cement_kevC
8.901250143,-2.752961986,-3.788708183,0.786526658,2.092629211,1.88709786,1.918304301,1.966010458,-0.182648361,-0.540554523,-0.692072717,-0.471758534,-0.274036695,-0.425851428,0.634289835,-0.021866096,0.13223692,0.359750824,1.542354345,0.192419674,1.288365572,1.543350966,0,0.011111111,0.005555556,0.005555556,29259.5178,3351.873708,5607.748437,30100.0864,4010.37769,6492.312393,364.3577547,395.5031756,381.1339527,0.851360019,-0.172787579,-0.381908937,0.098887834,0.762191801,0.805254348,0.363523819,0.643656656,-0.162107402,0.246166229,0.513100123,0.199052983,-0.816336754,-0.326949278,0.127151779,-0.338711418,0.054429896,-0.762514937,0.821601649,-0.278648842,1.158140556,-0.686766775,0.033333333,0.083333333,0.033333333,0.05,298.2253612,108.5472985,68.58501252,470.0700801,244.1844403,100.0814411,1537.431686,-759.0206247,-138.617723,-37.22864583,14.02482639,10.07517361,-4.376215278,5.932341486,7.005208099,11.55181854,8.16312271,0.422266425,-0.101995552,0.489867787,0.27004622,-1.446742507,-0.731120841,-1.238129075,-1.138664141,-0.115365833,0.975062918,2.007556458,-0.216745332,0.467592608,1.937723975,0,0,0.016666667,0.005555556,499940.9551,84355.18359,43183.85937,511619.3086,88476.73047,84583.30859,360.2534917,361.4707763,361.5387664,cement_kevC
8.675492918,-2.600119813,-4.130650449,0.648240886,2.248250072,1.867348978,1.808815119,1.974804723,0.078453327,-0.631764291,-0.592034872,-0.381781945,-0.265374291,0.79461604,0.201748507,0.243663419,0.2118488,0.373580599,1.680968203,0.205093912,1.374624536,1.535189581,0,0.022222222,0,0.007407407,28062.4563,3057.31309,6899.030358,28914.77007,3689.141489,7320.270695,364.5386462,398.9289552,378.6199655,1.047392372,-0.220427093,-0.509535019,0.105810087,0.858580705,0.811853634,0.427419442,0.699284593,0.691797031,0.126487089,-0.121695785,0.232196111,-0.157341133,-0.375592235,-0.784230591,-0.439054653,0.094222614,-0.822319517,0.834567689,-0.342079498,1.067576679,-0.795565521,0.022222222,0.072222222,0.033333333,0.042592593,537.5526588,121.9992246,137.9678214,660.3089788,254.7699932,159.2327934,791.5555284,-871.587871,-285.5237496,-32.76822917,0.600347222,22.16631944,-3.333854167,5.582012024,7.236965945,8.912907268,7.243961746,-0.692515238,0.757206896,-1.10181803,-0.345708791,-0.711279625,0.660322008,-0.105053463,-0.052003694,0.366600825,0.963763201,2.322627084,0.210241752,1.540207112,2.183081303,0,0.016666667,0,0.005555556,389746.293,8696.138672,188342.4395,397769.6523,18984.27344,205482.8281,360.3261119,366.9586607,360.6318166,cement_kevC
8.952370494,-2.466750468,-3.61285386,0.957588722,1.691418949,1.468369015,1.664068416,1.607952127,0.213393104,-0.434354952,-0.157172803,-0.126044884,1.252294154,0.130471491,0.250600785,0.544455477,-0.02026056,0.11114719,1.148433133,0.105657405,1.001224504,1.24830143,0,0.022222222,0.005555556,0.009259259,29192.96797,2575.598968,5177.698372,29882.10079,2966.747557,5695.861216,364.3899315,409.7171273,384.2884878,0.402577428,-0.128192941,-0.162359416,0.03734169,0.628979222,0.605590536,0.321167313,0.518579024,0.847827976,0.092522049,0.041598711,0.327316246,-0.380623685,1.213855541,0.105032672,0.312754842,-0.083706649,-0.711781911,0.674316098,-0.09423651,1.007898666,-0.354039501,0.061111111,0.097222222,0.033333333,0.063888889,98.305686,74.76575817,22.30981167,200.7660411,137.9423981,46.62324826,-453.8967398,-223.6323497,-53.55971457,-41.43645833,13.93159722,0.905555556,-8.866435185,2.920150263,5.133390816,6.282343357,4.778628146,1.673319628,0.987659055,1.172877775,1.277952152,1.426071886,0.022702589,0.587114117,0.678629531,0.880489663,0.901043537,2.741521687,0.803004236,2.667983546,2.727908524,0,0,0.016666667,0.005555556,619578.3789,72599.36328,9343.851562,621182.6484,79358.79688,14503.63281,360.2087553,361.6405313,369.1631338,cement_kevC
